text,time,votes,replies
"Algum time merecia a vitória?
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 1 ano,28,9
Vamos Santos Pedrinho 😍😍,há 6 meses,0,
galo pré contŕato com Oscar é Wellington Ribeiro prá chega junto com pituca ano que vem o Santos não tem meio campo galo,há 9 meses,0,
Uuu7,há 9 meses,0,
Se esse jogo teve melhores momentos eu sou o Palmeiras,há 1 ano,0,
Melhores momentos:,há 1 ano,0,
Reagir Coritiba reagir porque a coisa tá feia pro santos e pro Vasco a série 🅱️ e logo ali 👻👻👻,há 1 ano,0,
Esse goleiro João Paulo se não fosse ele o santos tinha tomado deus temos que pedi do jogador temos que protestar deus me livre,há 1 ano,0,
Assisti esse jogo.,há 1 ano,0,
Jogo feio demais,há 1 ano,0,
Nunca achei que fosse possível um jogo dar calo nos olhos. Parabéns aos times!!!,há 1 ano,2,
Se o santos não cair esse ano cai mas nunca mas cair com esse time,há 1 ano,0,
Na verdade o jogo Santos X Coritiba ofuscou a final da Champions.,há 1 ano,0,
"O Santos é um time nota 6 mas com esse horroroso Odair Hellmann se torna nota 3.
Pensa num técnico ruim, meeeeeeu Deus..",há 1 ano,0,
"A melhor coisa que aconteceu no jogo foi a expulsão do Camacho, pelo menos estamos livre desse horroroso no próximo jogo..",há 1 ano,0,
Ainda bem que não assisti esse jogo horrível,há 1 ano,0,
"Time que não vencer coritiba e Vasco, certeza que vão lutar pra não cair com eles",há 1 ano (editado),0,
"PELO AMOR DE DEUS ESSE TÉCNICO ESTÁ ACABANDO COM O DNA DO SANTOS. VAZA TÉCNICO, FALCÃO

ESSES FILHOS DA MÃE JUNTO COM UNS JOGADORES MEDÍOCRES ESTÃO ACABANDO COM O DNA DO SANTOS

SANTOS É TIME QUE TEM QUE JOGAR PRA FRENTE, JOGAR PRA FAZER GOLS CARALHO


PELO AMOR DE DEUS VAZA COM ESSA PORRA DESSE TÉCNICO

MANDA ESSAS PORRAS DESSES JOGADORES TREINAREM UM POUCO DE FINALIZAÇÃO, COBRANÇA DE FALTA",há 1 ano (editado),0,
PELO AMOR! O Coritiba dentro de casa não vencer o Santos é praticamente carimbar o rebaixamento!,há 1 ano,0,
Piores momentos corrigind0*,há 1 ano,0,
Santos,há 1 ano,2,
segundoo,há 1 ano,2,
Jogo chato digno de um 0 a 0,há 1 ano,5,
​ @user-me6qq6zx5l  merecia sim kkkkkk,há 1 ano,2,
"Santos....o que fizeram com vc, o Santos parece aquela pessoa q era linda, brilhava e depois se envolveu com o crack...igualzinho,o crack: Rueda,  Peres,  etc, etc, etc...",há 1 ano,2,
​ @user-me6qq6zx5l sonhou né,há 1 ano (editado),1,
"Coritiba e Santos dois times ruins que maltratou a bola, coitada",há 1 ano,2,
a oh peixe né 🐳🐋🐬,há 1 ano,1,
"Não kkkkk, jogo feio da orra",há 1 ano,1,
"O negócio do Coritiba é série B mesmo,  não tem jeito",há 1 ano,1,
Toda hora o João Paulo tem q salvar esse time de MERDA cara é incrível 😭,há 1 ano,0,
O zago acabou com o time no segundo tempo...e esse João paulo...merece uma estatua na vila...merere...,há 1 ano,0,
"Soteldo teria que ter feito o gol, não é possível",há 1 ano,0,
"Conseguiram ainda fazer um vídeo de ""melhores"" momentos, com mais de 3min, é pra glorificar de pé igreja kkkkkkkkkkkkkkkkk jogo horroroso",há 1 ano,0,
"Ta dificil pro Santos ganhar algum jogo,",há 1 ano,0,
Lamentável 🤍🐳🖤,há 1 ano,0,
Tiginhunufoipurgeeugisdiserisonaoepurgeeutomocincucuprimidoidoisdiduashorasiuparadodicabeca,há 1 ano,0,
O Coxa a quantos jogos sem vitória?? É 16 pá pá pá! É 16 pá pá pá! ⚽😄,há 1 ano,0,
"My Friends, seria insensato cobrar o Treinador tendo um elenco tão limitado nas mãos. 
A realidade é se manter na série A, sejamos realistas. 
Eu não sei para onde foram os milhões, mas a situação tá braba.",há 1 ano,0,
CFC 0x0 san,há 1 ano,0,
Venceu quem não assistiu essa merda.,há 1 ano,0,
