text,time,votes,replies
Parabéns Botafogo Fernando Marçal 🤩🤩,há 6 meses,1,
Kk,há 1 ano,0,
"O lateral ao invés de cabecear a bola para a lateral, escorou para o meio do campo. Rsrsrsr",há 1 ano,0,
"Eu sabia que esse botafogo era fogo de palha, estava bom demais pra ser verdade.",há 1 ano,0,
Bento é muito seguro,há 1 ano,0,
"BOM, E COM TUDO ISSO... SEGUE O LÍDER!!!!",há 1 ano,0,
Melhor narrador do Brasil...,há 1 ano,0,
Which keeper is better? Benso Krepski or Lucas Perri?,há 1 ano,0,
I lost money because of this match 😥😥,há 1 ano,0,
Filmaram o jogo de um celular kk,há 1 ano,0,
Atlético paranaense só fabrica goleiro foda bento é muito mostro,há 1 ano,0,
versificando e  músicando Tem coisas que só acontecem ao Botafogo,há 1 ano,0,
Eu se eu fosse dirigente do Botafogo eu contrataria O maestro Felipe técnico do Bangu,há 1 ano,0,
bota um numero branco nessa camisa ai aflético,há 1 ano,0,
esse foguinho tá parecendo o cheirinho freguês do furacão aqy no Paraná os cariokinhas não tem vez tudo timinho pequeno,há 1 ano,0,
q golaço,há 1 ano,0,
"Será que já está acabando o fogo, restando apenas o Bota? 😂😂😂",há 1 ano,0,
"my brazilian friends, i have a question for u all, its not the end of the season, its still the first weeks, ok botafogo is at 1st place but who doesnt want an advantage of 5-10 points or even more? was it a fixed match or what? botafogo players didnt care to play especially at the second half, teams when are loosin generally always rush to get the ball and to make attacks   but botafogo was playin very slow and quiet at the second half as they were winning 3-0. can u pls explain why botafogo played that way?!",há 1 ano,0,
Cavalo paraguaio,há 1 ano,0,
Unica lei q funiona no brasil kkk,há 1 ano,0,
"Meu Deus que golaço.
Mas vms Fogão",há 1 ano,1,
Fúria independente. Cabo de st. Agostinho. 😮😮😮😮,há 1 ano,1,
"Na vida podemos andar por diversos  caminhos, mas apenas em Jesus encontramos a direção certa.",há 1 ano,0,
Um golaço de alex Santana sabe aquela  lei do ex funcionou  avante fogo!!!,há 1 ano,0,
Empurra por tras dentro da area so e pênalti se for a favor de flamengo ou Corinthians,há 1 ano,0,
Esse goleiro ro Atheltico é bom dms,há 1 ano,1,1
Rapaz não vi bota fogo jogando só atlético,há 1 ano,0,
Roubo do c.,há 1 ano,0,
Nós tem um jogador de100 milhões e nois não gasta 😂😂😂😂😂😂😂😂😂,há 1 ano,0,
"O CLUB ATHLETICO PARANAENSE tem uma ótima estrutura, organização e uma administração visionária e tem tudo para chegar perto dos maiores do Brasileirão da Série A e do continente, e pode disputar títulos com eles.
Este jogo, foi um jogão.
O BOTAFOGO está numa ótima fase, tem grandes atletas e pode chegar aonde ele quer, é a sensação deste campeonato de 2023.
Essa é a minha opinião.
Parabéns ao FURACÃO e ao FOGÃO pelo belo jogo e pelas campanhas de ambos.",há 1 ano,2,
Quase que o juiz não deixou o gol acontecer.,há 1 ano,0,
Esse bento goleiro do Atlético é muito bom,há 1 ano,3,
Furacão pai do Botafogo,há 1 ano,0,
"Futuro são os gramados sintético, parece até Europa 😅",há 1 ano,2,
Botafogo: é impossível vencer todas. Mas perder todas é possível sim,há 1 ano,0,
Os reis da grama sintética. Não vejo o Botafogo como um time que está pipocando. Vejo o Athlético como um time à altura dos grandes há muito tempo.,há 1 ano,9,4
"21 pontos não tira do rebaixamento, se continuar nos chutões pra frente e jogadas com chutões de fora da área não vai chegar a nenhum lugar, falta jogadores com  habilidade para chegarem a pequena área.",há 1 ano,0,1
