text,time,votes,replies
"Mais um empate na 15ª rodada.
O que acharam da partida?🤔",há 1 ano,54,11
que jogo ruim do caralho,há 1 mês,0,
تلاقيهم كلهم بعد سنوات ب رياب مدريد,há 1 ano,0,
"Ué, galinhada trouxa, qdo o felipão traíra saiu do ATHLETICO, mentindo até aos 45 min do 2 tempo, vcs tiraram sarro do FURACÃO e falaram que nas aí nas galinhas ele daria certo. Tomem, seus trouxas kkkkkkkkkkk",há 1 ano (editado),0,
felipao e galo lixos,há 1 ano,0,
O galo merecia perder. Goias jogou bem.,há 1 ano,1,
"É só botar a braçadeira de capitão que até o Arana começa a vacilar, essa braçadeira de capitão tá amaldiçoada só pode, nunca vi o arana fazer isso na vida 😂",há 1 ano,0,
"O América tá jogando muito mais que atletico e cruzeiro, tá uma vergonha 🤮 todos os dois.",há 1 ano,0,
Sou galo mas o Goiás  e muito mas time esse galo ta com a perna e a asa quebrada,há 1 ano,0,
Acorda goias a série 🅱️🅱️🅱️👻🅱️👻 e logo ali 😂😂😂,há 1 ano,0,
E so uma faze,há 1 ano,0,
Desde que Felipão entrou eu disse a todos que o Atlético já era kkkk,há 1 ano,0,
Estádio da Serrinha em Goiânia,há 1 ano,0,
Goiás mereceu vencer. Jogou muito melhor,há 1 ano,0,
"Sete jogos sem vencer kkkkkk fica Felipão, 6 x 1 ETERNO",há 1 ano,0,
"Quer dizer então que os jogadores não conseguem acertar um passe porquê o técnico do Atlético Mineiro chegou a 30 dias, esses marmanjos começaram a jogar com 12 anos de idade; é nítido que nenhum jogador do Atlético Mineiro está querendo jogar; SALÁRIOS ATRASADOS.",há 1 ano,0,
GOIÁS 0 X 0 ATHLETICO MG 15ª RODADA BRASILEIRÃO SÉRIE A SUL-AMERICANA 2024 MUNDO CLUB 2025,há 1 ano (editado),0,
Time passar 90 minutos sem dá um chute no gol tem negócio errado,há 1 ano,0,
"Booa Goiás, sou cruzeirense mas gostei que oceis não deixou o Atlético levar um ponto pra casa😂. Obrigado Goiás",há 1 ano,0,
galo cego,há 1 ano,0,
O Goiás era pra ter metido 10 nesse timeco 😂😂😂😂,há 1 ano,7,
"Infelizmente meu Goiás já caiu faz tempo . Nós últimos 8 jogos perdeu 5 , empatou 2 e venceu somente apenas um  jogo 😊",há 1 ano,1,
Tudo leva a crer que os 2 times do Estado de GOIÁS (Atlético e Goiás) se encontrarão na série B em 2024...caso o Vila Nova não seja promovido. .😢,há 1 ano,0,
Jogo ruim hein,há 1 ano,0,
​ @torcedor2737 jogo péssimo,há 1 ano (editado),0,
"Sou o Colorado, mas todas as partidas com placar de 0 a 0 se tornaram uma semana que não se deu bem 😣😣😣😣",há 1 ano,1,
"Vi Ferroviário X Cordino pela série D, foi um jogo muito mais animado que esse",há 1 ano,1,
"Jogo horroroso, não dá pra saber qual time é pior, cê ta louco",há 1 ano,0,
​ @carluciodoamaralsuzuki8719 wb,há 1 ano (editado),0,
Atlético maior de Minas,há 1 ano,0,
Achei tudo empatado,há 1 ano,0,
Jogo bem disputado uma hora o Goiás bati e outra o atletico apanhava,há 1 ano,0,
Ele deu cartão pr Arana mais falta criterio e o atacante no começo do jogo soltou o cutuvelo no Jermeson😡😡😡😡😡,há 1 ano,0,
0-0 1-0 0-1! brasil A to brasil B ! i don't know why!?????????,há 1 ano,0,
"Serra dourada e outro nivel so o tapete,melhor que arena galo cego.",há 1 ano,0,
"Parece mentira, mas o nosso GALÃO DA MASSA  atualmente não consegue faz ninguém ficar intimidado, vergonha, time limitado, sem coragem,  sem alma preguiçoso, temos tambem que aguentar: Felipao, Vargas, Ednilson, Patrick,  Mariano, Otávio e Saraiva. Brincadeira, para chegar aos 46 pontos vai ser osso, Libertadores, Aaaaaaaa Libertadores.",há 1 ano,0,
"goiás x atlético mg 
regra 
quem fizer gol fica o ano todo sem receber",há 1 ano,1,
"O ATLETICO SOMENTE FOI PASSEAR  EM GOIÂNIA,  CONHECER  MAIS A CAPITAL  DE GOIAS,  E  ESQUECEU  DO FUTEBOL .",há 1 ano,0,
"não sou torcedor do Atlético Mineiro mas o Góis jogou feio demais , só bateu ...",há 1 ano,0,
"Que Belo gramado do Estádio do Goiás, a torcida de parabéns lotou o mesmo. E que situação do galo em, mostra que o problema não estava no Coudet.",há 1 ano,11,
achei que Atlético ia eliminar palmeiras 🌴 acho que vai não,há 1 ano,0,
So goias jogou 😂😂😂,há 1 ano,0,
Se eu fosse o Felipão teria continuado no atlético paranaense logo que já estava a mais tempo lá com táticas que os jogadores entendiam e que funcionava além de ter o risco de não funcionar no novo time. E por fim o fato do atlético paranaense estar menos endividado. Não estou dizendo que o Felipão não possa dar certo mas foi uma jogada arriscada dele trocar de time no meio do campeoanto,há 1 ano,0,
Fora Filipao,há 1 ano,0,
Satisfação em ver esse insuportável ser expulso,há 1 ano,0,
Empate ótimo para todos os clubes que lutam contra o rebaixamento,há 1 ano,0,
Os 3times de minas gerais brigando pra não ir pra serie b😅😅😅,há 1 ano,1,
Empate ruim pro Goiás pois tropeçou no Atlético-MG nanico,há 1 ano,0,
"Falar de gramado que o time joga um jogo cada dez dias ,pois so disputam o brasileirao",há 1 ano,0,
"KKKKKK Falei, fim do galo. Ninguém mais aguenta comandante mandão, birrento, teimoso, impostor.  Athletico Paranaense agradece.  Jogador do galo, nervoso, perdendo a cabeça.  
Escaparam com as calças nas mãos ontem contra o Goiás.",há 1 ano,0,
O melhor momento foi quando acabou esse jogo foi de doer,há 1 ano,0,
