text,time,votes,replies
Halter Hj Ta No Botafogo,há 5 meses,1,
Time de covardes 15 pontos na frente do segundo colocado no segundo turno e emtrega o título para o Palmeiras time vagabundo,há 8 meses,2,
Galápagos soalho,há 9 meses,1,
💙💙💙💙,há 9 meses,0,
a globo não botou o repeli do golaço do Tiquinho!! bizarro!!,há 10 meses,0,
Ainda bem que esse burro bagre foi demitido,há 10 meses,0,
"Cadê os secadores falando agora

Fogão 2x0 fluminense.
😎😎😎",há 10 meses,1,
Golaço do tiquinho hein 😮,há 10 meses,0,
Sou torcedor do são Paulo .Mas no Rio sou botafogo a torcida do fogão tem que fazer oque a do são Paulo fez nas finais da copa do Brasil  .,há 10 meses,0,
o Menor do Rio perdeu o gás,há 10 meses,0,
botafogo é time pequeno,há 10 meses,0,
RJ X GO    07/10/23,há 10 meses,0,
Eu: a vida e uma roda gigante cê tava encima agora em baixo,há 10 meses,0,
Absurdo Tiquinho ter ficado no banco,há 10 meses,0,
Caralho mano tiquinho suarez e foda mesmo,há 10 meses,0,
"A  BOSTA  DESSE   CLUBE   PRECISA  ACABAR   PELO  AMOR   DE DEUS   PELO  BEM DO SER HUMANO   ,  ESSA  DESGRACA   NEM DANDO  200  PONTOS  NA FRENTE DOS ADVERSARIOS  ESSA  DESGRACA  NAO GANHA O  CAMPEONATO , PQP  E DE FAZER    INFARTAR  QUALQUER TORCEDOR , ACABEM COM  ESTA MERDA  PELO AMOR  DE DEUS .",há 10 meses,0,
Parece que esta acabando a pilha do Botafogo! Kkkkk,há 10 meses,1,
A fogão 😢,há 10 meses,0,
"O bota fogo não passa de um elefante 🐘 encima da árvore 🌲 , saí da frente que o galo doído tá dando seta ⬅️ pra esquerda 😎",há 10 meses,0,
Quantas besteiras falam aqui.,há 10 meses,0,
Deprimente esse empate decepcionante vergonha,há 10 meses,0,
Tudo voltando ao normal,há 10 meses,0,
"Na moral: quem edita esses melhores momentos?
Inteligência artificial?",há 10 meses,0,
Diego costa é ruim demais bicho. O próximo treinador tem que deixar ele no banco e deixar Carlos Alberto e Janderson jogarem mais,há 10 meses,0,
Toma banho esse treinador de merda como pode colocar tiquinho no banco?,há 10 meses,0,
"O narrador faltou entrar em campo para comer o Tiquinho. baba ovo de mais,",há 10 meses,0,
O palmeiras largou o br achando q ia dar pra chegar e o fogão ta tentando a dar esperança a eles,há 10 meses,0,
O Botafogo virou a mesma porcaria que o Corinthians no segundo turno de 2017.,há 10 meses,0,
"Culpa não é do Treinador B.Lage .Ele esta sempre Orientar os jogadores..
Mas Sim de Certo Jogadores do Botafogo que se acham Craques da Bola.
Tem de jogar mais rapido e atacar rematar mais a baliza.Depois Eis o Resultado.
Pra proxima época Botafogo tem de Contratar Avançados de qualidade renovar Equipa.",há 10 meses,0,
"Sou português, conheço muito mal o futebol brasileiro mas, gostava que o Botafogo fosse campeão. Seria difícil com o Lage, não é treinador... tb não sei com quem será. Uma das duas coisas é certa, ou perde o campeonato de forma estrondosa, ou ganha o campeonato com o maior número de trocas de treinador numa só época...",há 10 meses (editado),0,
