text,time,votes,replies
Temos que pedir ao Dexter investigação no jogo PALMEIRAS X DEL VALE. O palmeiras foi beneficiado.,há 3 meses,0,
"Kkk tanto time grande pra red  bull escolher,me escolhe um time pequeno, vai se burro lá adiante 😂",há 4 meses,1,
Hugo deixou o cara cruzar. Affs,há 4 meses,0,
A deus foguinho 😅😊,há 5 meses,0,
Parabéns Botafogo Diego Hernandez 😍😍,há 6 meses,1,
Parabéns Botafogo tomou um empate no final,há 7 meses,1,
"Novo hino do Botafogo pipoquinha que será canção nas arquibancadas em 2024, escrito por Bob Zoom. 👇🏻👇🏻👇🏻👇🏻

Pula, pula pipoquinha
Pula pula sem parar
Pula, pula pipoquinha
Pra crescer e estourar
Pula, pula pipoquinha
Pula pula sem parar
Pula, pula pipoquinha
Pra crescer e estourar
Pula pula
Pipoquinha
Pula pula
Pra crescer e estourar
Pula pula
Pipoquinha
Pula pula
Pra crescer e estourar
Pula, pula pipoquinha
Pula pula sem parar
Pula, pula pipoquinha
Pra crescer e estourar
Pula, pula pipoquinha
Pula pula sem parar
Pula, pula pipoquinha
Pra crescer e estourar",há 8 meses,1,
Maior cavalo paraguaio da história chama-se Botafogo kkkkkkk deixou Palmeiras ganha essa aff😂😂😂😂,há 8 meses,3,
"Porque ? Depois de dois, tres,  resultados negativos.   Continuar com aqueles imbecis na defesa.",há 8 meses,0,
"Fizeram macumba pesada, sem assim pra o botafogo kkk",há 8 meses,0,
Time nojento esse Botafogo time sem vergonha.....😡😡😡😡😡😡😡😡😡😡😡,há 8 meses,2,
1:39 A chance do jogo cara 😢,há 8 meses (editado),1,
CALMA! O EX-BOTAFOGO VAI FICAR EM TERCEIRO NO PRÓXIMO CARIOQUINHA! TENHA FÉ!,há 8 meses,0,
Mds botafogo,há 8 meses,0,
"Kkkkkkkkkk eu nem sabia que existia tanto botafoguense assim kkkk do nada começou aparecer de montes, agora no final do campeonato sumiu tudo kkkkkkkkkkkkkkkk",há 8 meses,1,
voces podem falar que é choro podem falar o que quiserem que eu respeito a opinião de todos. Mais eu nunca vi um jogo com tantos minutos de acrescimo kkk engraçado que nesse jogo que o Botafogo fez cera o juiz deu isso tudo de acrescimo mais quando goias e cuiaba fizeram ceras maiores que essa contra o Botafogo o jogo deu muito menos minutos de acrescimo. Isso parece mafia,há 8 meses,0,1
Brangatino perdeu o título ai. Já o Botafogo ja perdeu faz tempo  😅😅😂😂,há 8 meses (editado),0,
O torcedor do bota fogo tá começando a sentir o dedo do Tiago Nunes nesse trabalho,há 8 meses,0,
Acabou o gás do fogão. Entregaram a paçoca. Time de segunda divisão é isso aí. Dale fogão!😃😄😁😆😅🤣🤣🤣,há 8 meses,0,
O Botafogo colocou a taça em uma bandeja e esta entregando sei lá pra quem...,há 8 meses,0,
pare de chorar,há 8 meses,0,
