text,time,votes,replies
Parabéns Fortaleza Yago Pikachu ❤💙,há 7 meses,1,
🔵⚪🔴,há 1 ano,1,
"Não irei citar os time que eu torço se não irão encher o saco,mais tenho que parabenizar as duas equipes um belíssimo jogo,eu achava que o Inter ia destruir mas não o Fortaleza jogou muito bem,aliás parabéns ao Fortaleza tbm por continuar na série a e tbm ao Inter que tbm jogou muito 👍",há 1 ano,3,
Jogo com cara com empate mesmo,há 1 ano,1,
"Mas o goleiro do Internacional foi muito bem. O internacional tem que melhorar. Mas aguardemos, acho que vai melhorar. Parece que o Fortaleza vai fazer novamente boa campanha em casa.",há 1 ano,2,
"Esse narrador é muito bom, um dos melhores do Brasil 👏👏",há 1 ano (editado),1,
"Esse goleiirinho do bintermunicipal eu vou te falar ,que garoto horrível",há 1 ano,0,
"Internacional 1 x 1 Fortaleza não 🤦‍♂️

Fortaleza 5 x 1 Internacional (2021) 
não derrota humilhação 7x1

Copa do mundo 2014 Brasil 🇧🇷 
🇧🇷 Brasil 1 x 7 Alemanha 🇩🇪
😂👏👏👏",há 1 ano,2,
Menor do Sul 😂,há 1 ano,0,
Fortaleza Campeão série A 2023. Anote aí ! ⚪🔴🔵,há 1 ano,1,
Dale Inter🇦🇹❤️🤍,há 1 ano,1,
Goleiro do Inter se atrapalhando até para tirar a bola kkk,há 1 ano,0,
"O Maior do Nordeste,  Fortaleza Esporte Clube, com esse time e treinador milionários vai buscar grandes conquistas. A maior galera do estado, e talvez do Nordeste, está feliz com seu Leão do Pici.💙⚪❤🦁",há 1 ano,4,1
"O Tinga não corre mais, apesar de dar assistências, mas tá péssimo na defesa. O FM é um poste no gol, pois se a bola não vier em cima dele, é gol. E o ataque é cego e sem direção.  Blind attack!",há 1 ano,0,
"Fortaleza é pequeno ✅sem título 👎
Internacional é grande ✅têm títulos 👍",há 1 ano,0,1
Falta de laterais e zagueiros e bom cruzador é notável no inter e uma goleiro também,há 1 ano,1,
Internacional cagado de medo do Fortaleza fazendo cera no primeiro tempo,há 1 ano,0,1
Né 😅,há 1 ano,0,
John titular absoluto,há 1 ano,1,
Adm ta atrasado  p caralho. E pago somente pra postar vídeo sem ter q passa sufoco numa obra e ainda me larga lances de serieB do que esse jogo top. E um loco,há 1 ano,1,
O maior do nordeste é o Bahia. O único bi campeão brasileiro!  E tem muito mais participações em série A.,há 1 ano,0,
"Historicamente o orçamento do Inter deve ser quase 15 vezes o do Fortaleza. E hoje em dia o Fortaleza, que ainda tem metade do orçamento do Inter, já consegue jogar de igual pra igual.",há 1 ano,0,
Kkkkkkk,há 1 ano,0,
O pior inimigo do Fortaleza é o próprio time... O time pra perder gol! Deusulivre,há 1 ano,2,
"Sport recife ❤🖤 o maior do nordeste 🏆 campeão brasileiro de 88 campeão da copa do Brasil 🏆  2005,quem é o fortaleza 😅😅",há 1 ano,0,5
"Timaço do Fortaleza,jogou muito o maior do nordeste.",há 1 ano,4,10
Fortaleza nunca foi campeão Brasileiro serie A imajina libertadores 😂😂😂😂,há 1 ano,0,1
"Eles só lançam os jogos dos favoritos primeiro , sempre tem que ter um jeito de mostrar o clubismo",há 1 ano,7,1
O menor do sul se é um gremista que falou isso tem mais vitórias em grenais e mais estaduais que vocês gazelas tricoletes.,há 1 ano,2,
Globo em decadência mesmo.. Postando os melhores momentos 1 dia depois. Que várzea..,há 1 ano,3,
Torcida do Fortaleza é absurda e as líderes de torcida todos os times poderiam aderir só as equipes do nordeste que tem,há 1 ano,3,1
Como santista fico feliz em ver o Jhon jogar bem infelizmente aqui ele perdeu espaço mas torço por ele,há 1 ano,17,
Dbd,há 1 ano,1,
"Já passou da hora do John ser titular..
Esse Keiller aí 😢",há 1 ano,4,
🇦🇹,há 1 ano,2,
Fortaleza ec 🦁🇲🇫🇲🇫🇲🇫,há 1 ano,0,
🤔🤔🤔,há 1 ano,0,
Fortaleza perde muitos e o Internacional pedindo para o juiz apitar logo o fim do jogo foi foda.,há 1 ano,2,
Era pra ter sido de 15x1 Fortaleza.,há 1 ano,1,
atrasou kkkkkkkkkkkkkkkkkkk,há 1 ano,0,
Por quê o atraso ? Expliquem-se!,há 1 ano,1,
1 dia depois vocês lançam? Jornalismo esportivo da Globo acabou mesmo,há 1 ano,0,
Kkk,há 1 ano,0,
Um time do Nordeste que está na série A. Não podemos dizer o mesmo do xipó,há 1 ano,2,
" @davidlima6965  até o Ceará é maior que o fortaleza,sem falar do Bahia 💙❤️🤍 que tem 🏆🏆 brasileirão e o vitória tem 🏆🏆🏆🏆 copas do nordeste. Então vcs são pequenos aí no nordeste",há 1 ano,0,
 @davidlima6965  maiores do nordeste são: Bahia 💙❤️🤍 Sport recife ❤️🖤 vitória ❤️🖤 Ceará 🤍🖤 fortaleza 💙❤️ América -RN❤️❤️ ABC 🖤🖤 náutico ❤️❤️,há 1 ano,0,
"Maior do nordeste é o Bahia, sempre foi e sempre vai ser",há 1 ano,0,
 @voltaiko  sport ❤🖤 também irmão 🏆 campeão brasileiro 🏆 campeão da copa do Brasil Santander,há 1 ano,0,
"Sport mandou abraços, Bahia também.",há 1 ano,1,
"Maior do nordeste não, melhor do nordeste sim.",há 1 ano,1,
" @Gustavo-xb2dy  FALOU TUDO....BAHIA ,SPORT E CEARÁ SÃO MAIORES ...MAS HOJE O FORTALEZA JOGA O MELHOR FUTEBOL",há 1 ano,0,
​ @user-ju1li5jw4h  meu vice eterno,há 1 ano,0,
​ @Gustavo-xb2dy  maior torcida e maior Club do Nordeste fec 🇲🇫🦁,há 1 ano,0,
" @psg8668  Maior clube não é, falta 1 copa do Brasil e 1 Brasileirão para serem os maiores, por enquanto o Sport é o maior",há 1 ano (editado),0,
 @Gustavo-xb2dy  maior do Nordeste fortaleza esporte clube ❤💙🤍,há 1 ano,0,
 @psg8668  Sport muito maior,há 1 ano,0,
 @Gustavo-xb2dy  meu ovo esquerdo,há 1 ano,0,
​ @adilsonmoutinho124  por isso que chegou na final da copa do Nordeste né kkkk,há 1 ano,0,
Analfabeto não tem moral pra dar comentário,há 1 ano,0,
"Clubismo? Mostram o que chega primeiro na emissora ué, o nordeste demora mais pra ser lançado porque é de longe a transmissão, existe todo o trabalho de envio e de taxar licença e direitos pra vir um aleatório igual a você nos comentários e falar que alguém é clubista só porque demorou mais que seu time pequeno.",há 1 ano,0,
As do Fortaleza são as mais gata né não? As do Ceará parece uns guabiru de saia 😎👍,há 1 ano,0,
"Mermao é por isso que o Fortaleza tem que fazer bonito nesse brasileiro,  a mudia Flamenguista nos despreza, contra tudo e contra todos.🤙🔴🔵⚪",há 1 ano,8,
jogo pegado e bom empate pra duas equipes,há 1 ano,2,1
Q dejavu! tenho a sensação q já assisti esse jogo a mt tempo 🤔,há 1 ano,3,
