text,time,votes,replies
"Galo com esse Alan Franco dentro decampo. Ele perde para Cruzeiro. Alan Franco lento, pequeno, um a menos nem no banco deveria estar.
Felipão retranqueiro. Tinha entrar com Com Alan para aproveitar conta ataque, jogador veloz. Jogador lento está fora futebol.",há 4 meses,0,
América sempre abrindo pras frangas!,há 4 meses,0,
Vaiii galooooo .😮😮,há 4 meses,0,
Gollll galooo eu te amooooo🎉❤,há 4 meses,0,
Amo o meu galão....da massa.....nu...,há 5 meses,0,
América é  a puta do atlético,há 5 meses,0,
"Esse time do Galo é horrível, só vem dando vexames, já pensaram nas outras competições, esse time do América não passa de um time da Bolívia, acorda diretoria enquanto há tempo😮😮😮😮😮😮 😮😮😮 3:32",há 5 meses,0,
Como que nao mostra um lance em que um jogador é expulso?,há 5 meses,0,
"Esse américa MG tem a fama de jogar bem e perder ou empatar,enigmas do futebol.",há 5 meses,0,
Gemerson quando não falha na defesa  marca gol contra. Assim não dá.,há 5 meses,0,
E eu assistindo este vídeo pensando que era de hoje?! 🤦🏻‍♀,há 5 meses,0,
"Confronto dos pequenos,,, empate ta otimo😂...",há 5 meses,0,
Tem que colocar mais um zagueiro para marcar o Jemerson.,há 5 meses,0,
As FRANGAS FROUXAS TREMERAM !,há 5 meses,0,
Esses dois times tem torcida? Cadê?,há 5 meses,0,
Como o Felipão pode ter coragem de escalar um jogador que marca gol contra de reto,há 5 meses,0,
Manda esse homem ir embora,há 5 meses,0,
Jen versão e jogador do América,há 5 meses,0,
"Não dá  pra entender a imprensa: O Atlético empatou com o América,  no minuto final, num estádio  beeeeeeem cuidado, e mesmo se tivesse perdido o jogo, seria muuuuuuuuuuito menos grave, ou normal, em relação  ao jogo do Cruzeiro com o Souza, em um estádio  bem comum, gramado alto, baaaaaaaita chuva, onde o campo mais parecia um brejo. CRUZEIRO,  com um técnico estrangeiro. recém chegado, estreiando jogadores estrageiros, até agora. Teve tbem uma viagem longa, difícil, cansativa, etc, etc... Mesmo assim o time foi e está  sendo pregado na CRUZ. Pela derrota e eliminação na copa do Brasil. Essa imprensa, deveria de enxergar e parar de criticar um time que é  o Campeão disparado da copa do Brasil. Quero declarar  que respeito, amo e defendo o meu CRUZEIRO CABULOSO. Pq aprendi que perder faz parte dos. Graaaaaaaaaaaandes Campeoooooooooes. Obrigado Senhor, por nos  permitir CRUZEIRO, o seu espetacular futebol.",há 5 meses,0,
América filho da puta. Time sem vergonha. Sempre abrindo as pernas para as frangas de vespasiânus...,há 5 meses,1,
😅❤❤😅❤😅❤😅❤😅😅❤😂😅😂😅😂😅😂😅😂 0:39 😂 0:40 ❤❤ 0:40 ❤😅❤😅😅😅😂😂😅😂😅😂😅😂😅😂😅😂😅😂😅😂😅😅😅😂😅❤😅❤😅❤😅❤😅❤😅😅❤❤😅❤😅❤😅❤❤😅,há 7 meses,0,
GOSTEI,há 8 meses,1,
como esse Jermenson ainda e titular?Esse Felipão...🤨,há 8 meses,0,
"Jemerson, o artilheiro dos clássicos mineiros!",há 9 meses,1,
clássico empatado,há 9 meses,0,
"A CBF reconheu o campeonato de 1937 como campeonato brasileiro. So tinha 5 times e time da liga da Marinha. Vasco fez gol impedido na rodada passada. Gerson foi expulso injustamente para o Santos ter chance de ganhar e depois virou o jogo. Agora a CBF coloca árbitro Mineiro para apitar Bahia e Cuiabá,sendo que o Cruzeiro entrou na zona. Já não basta o pênalti roubado contra o Flamengo, o gol roubado do Palmeiras. 3 cartões amarelos aplicados ao Bahia e 2 não aplicados que resultariam na expulsão de kaneman no último jogo contra o Gremio. Todo ano a máfia se repete. Qual o crédito que tem esse  campeonato? Qual o credito tem a CBF?",há 9 meses,0,
Falta um treinador bomm,há 9 meses,0,
"Esse jemerson ta envolvido com jogo de aposta
So em classico dois gols contra
Podem investigar
Esse cara ta fazendo nos de bobo",há 9 meses (editado),0,
Mais uma vez o galo desperdiçando chances contra times tecnicamente fracos!,há 9 meses,0,
Ate quando vovo felipao vai ficar insestindo no Germerson,há 9 meses,0,
Quem tem jemerson adversario nao precisa de centriavante so precisa do cabeça  de bagre que marca para o adversario,há 9 meses,0,
"Time adversário:  precisamos de um gol.
Germeson: deixa cmg",há 9 meses,0,
"Qm viu o jogo sabe o quão roubado foi essa arbitragem, só teve UM pênalti e o cara me manda 6 minutos de acréscimo, pelo amr de Deus né mn",há 9 meses,0,
"Se o Cruzeiro não cair para a segunda divisão, tem que dá uma Ferrari zero km para Gemerson.",há 9 meses,0,
PQP a unica coisa que impediu o Galo de estar disputando o titulo foi o próprio galo 😂,há 9 meses,0,
"ESSE TImeco do Atlético é uma merda, time sem vergonha, safado... Perde até pro América, Coritiba.... Tinha que decretar falência",há 9 meses,0,
Time sem alma e vontade de competir e isso aí esse time do galo treinado por Felipão e pior joga mal com os time k está só cobrindo tabela e duro de aguentar,há 9 meses,0,
"Bateram a carteira do meu galo mais uma vez..., esta arbitragem brasileira é uma vergonha..",há 9 meses,0,
