text,time,votes,replies
São Paulo chuva de gols perdido,há 5 meses,0,
Vamos São Paulo Rafinha ❤️🖤,há 7 meses,1,
Kffkffiffittitititittiriir,há 8 meses,0,
Bora santos aquenta só espera o Ney chega que o negócio vai pegar prós caras 🔥🔥🔥🔥🔥,há 8 meses,0,2
eita time pra perder gol esse do São Paulo,há 8 meses,0,
Na vila da sorte para o São Paulo,há 8 meses,2,
são paulo é pique roda gigante sobe e desce,há 8 meses,0,
Jogão viu,há 8 meses,1,
Vc Marcelo eu sou santista..vc e muito burro deixa Luca Lima de reserva ..vc e deixa Luca Lima na reserva santos vái cair ..,há 8 meses,0,
"Caramba que jogo rápido? Pelo menos pelos melhores momentos poderia ter sido 
Santos 1x3 São Paulo",há 8 meses,2,1
A trave o VAR salvou o Santos de levar uma cassetada do Sao Paulo,há 8 meses,1,
Campeão de tudoooo amassou as sereias   santos so prestou na épocas de Robinho e neymar 😂😂😂😂😂😂,há 8 meses,1,
"Fizeram macumba pro são paulo não ganhar fora de casa , não é possivel um negocio desses quando faz tudo certo a bola insiste em não entrar",há 8 meses,0,
Caramba ainda anula o gol,há 8 meses,0,
"Essa camisa do São Paulo é linda ,eu n gosto mt dessa do Santos prefiro aquela preta e branca

Volto a repetir : ""Santos e Vasco n vão cair""",há 8 meses,0,
"Saiu ganhador quem não assistiu, kkkkk 
2 times de MERDA",há 9 meses,0,
"Faltam 4 jogos pra acabar o pesadelo de 8 milhões de Santistas, a pessima e horrorosa gestão Andrés Rueda",há 9 meses,0,
"Acabei de postar o video dos 5 GOLS MAIS BONITOS da rodada 34 do Brasileirão, confere la e veja se concorda?",há 9 meses,0,
pra cima!,há 9 meses,0,
Soteldo activo en la selecion,há 9 meses,0,
Depois que vocês  voltarem da série B pra primeira divisão  👍,há 8 meses,1,
a gente volta e vcs caem @museunaoganhanada6251 ,há 8 meses (editado),0,
Na vdd era pra ter sido Santos 0×3 São Paulo.,há 6 meses,0,
"Santos poderia investir no Bruno Gomes do rebaixado Curitiba, ótimo meio campista.",há 9 meses,0,
Duurururru❤❤❤❤,há 9 meses,0,
Mano quem assistiu viu que quando a torcida cantava forte o Sao Paulo entregava a bola pro Santos so que o Santos tava durmindo quando pegava bola fazia td errado,há 9 meses,1,
Se não e essa torcida do Santos o time tinha caído faz tempo nossa torcida fodaa,há 9 meses,1,1
Esse JUAN nunca faz gol e qnd faz está impedido 😂😂😂,há 9 meses,0,
"Nem sempre o melhor time ganha, isso é a magia do futebol...",há 9 meses,6,
O vasco da lama vai cair,há 9 meses,1,
Pqp o Santos não jogou nao?,há 9 meses,0,
"O São Paulo, mesmo fora de casa, foi bem melhor que o Santos. Muito mais chances criadas.
1 gol impedido e 2 bolas na trave!",há 9 meses,0,
"Duas bolas na trave 😩,  São Paulo é assim, um sofrimento pra fazer um gol, cria , cria, e não marca.",há 9 meses,0,
São Paulo deve ser o time que mais perde gol no brasileiro,há 9 meses,0,
O Santos deu sorte kkk o são Paulo jogou mais😎😎,há 9 meses,2,
Sou santista mais o Santos jogou bem só não tomamos gols por que o São Paulo é ruim essa é a verdade O Santos respondeu tambem,há 9 meses,0,
"O Gol do são Paulo foi legal, não estava impedido",há 9 meses,1,1
Santos  teve  roi  miota sorte,há 9 meses,0,
O gato é são-paulino foi tentar comer um peixe mas não deu certo.,há 9 meses,0,
O meu Corinthians ganhou do Grêmio kkkkkkk 🔥🔥🔥🦅🦅.  Soares deixou a pist0l4 em casa 😂😂😂😂😂,há 9 meses,0,1
O Santinho saiu no lucro!,há 9 meses,0,
Só o São Paulo que jogou no jogo 😂,há 9 meses,1,1
Como o SPFC pede tanto gol assim aff,há 9 meses,0,
que torcida? kkkkkkkkkkkk torcida foda é a do Vasco...surreal aquilo,há 8 meses,0,
Tu é burro mano tava muito impedido,há 9 meses,0,
Alguém te pergunto alguma coisa,há 9 meses,0,
E mesmo assim não ganhou 😂😂😂,há 9 meses,1,
São Paulo tem que tirar este defeito fora do Morumbi funciona assim ou perde ou empata tem que jogar pra vencer tem tudo pra ser diferente,há 9 meses,1,
"Agora o 🔥👀 no Rio, isso é bom ou ruim?",há 9 meses,0,2
Dale tricolor!!👏🏼👏🏼,há 9 meses,4,
mds teve momento bom desse jogo horroroso?,há 9 meses,0,
"Enquanto o amado pelos comemtaristas e locutores da Globo Marcos Leonardo estiver em campo, vai se esse sufoco, não assistem todos os jogos do Santos, faz 5 jogos que não faz 1 gol e não produz nada, o maior enganador da história do Santos.",há 9 meses,0,
"Você olha os melhores momentos de qualquer campeonato lá fora e tem uns 10 minutos brincando..aqui vc vai olhar e tem 3, dos 3 minutos 2 é repetição da jogada kkkkkk",há 9 meses,2,
que timinho fraco e inutil.. como pode errar tanto gol assim. os dois péssimos.. horriveis.,há 9 meses,0,1
Se Lucas Braga kevison e messias são jogadores eu sou um astronauta pelo amor pra eles serem péssimos precisa melhorar muito ainda,há 9 meses,0,
conseguira 3 minutos de melhores momentos nesse jogo de cumpadre?🤣🤣🤣,há 9 meses,0,
"Cara, sou New York RedBulls, e vou te falar, não assisti esse jogo.",há 9 meses,0,
"Ridícula a precisão desses jogadores do São Paulo, erram gols FÁCEIS",há 9 meses,0,
Foi bom o empate não mereceu ganhar,há 9 meses,0,
Santos sempre Santos minha vida minha paixão ❤,há 9 meses,2,
Se o São Paulo aproveitasse 30% das  chances que cria seria o campeão,há 9 meses,1,
Era pra afundar as sereias,há 9 meses,0,
Esse jogadores do São Paulo  são muito ruim não ganhar essa porra e clássico e afundar o rival e uma palhaçada tor decepcionado com  meu time,há 9 meses,0,
"A vila cheia, mas n adiantou de nd, santos jogando futebozinho medíocre",há 9 meses,0,
"Parecia cinema, pipoca nos dois lados",há 9 meses,0,
"Sou santista, mas sp mereceu a vitória",há 9 meses,3,1
Time Velho pipoqueiro  ganha uma esse Dorival  tenho certeza que o pato não jogo,há 9 meses,0,
"Entrega para o Botafogo, ganha do Fluminense, na Vila pronto se salvou não se rebaixa mais.",há 8 meses,0,
" @jeffhenr  
Serão 2 jogos difíceis fora de casa, e 2 empates contra Botafogo e Athletico PR estarão ótimos. E na Vila é ganhar dos tricolores do Rio e Fortaleza para nos garantirmos na Sula",há 8 meses (editado),0,
"Sou SP mas a copa do Brasil  ""caiu do céu""  foi um presente de Deus",há 8 meses,1,
Sim amigão mereceu mesmo mais vou torcer para o Santos não caia para série B,há 9 meses,1,
Que time ridículo é o primeiro time que ganhou grande título que tem q vender tudo só ganhamos pq Flamengo tento qualquer time ainda é uma bosta o Palmeiras nós ganhamos pq já tem trauma Corinthians por causa daquele chute do Rato que a vezes ele inverte o tanto que ele é ruim ele fica bom mais só lampejo bem efêmero e curto aí volta a ser o pé de Rato era melhor ter pego o Pikachu pegamos o Rato errado.,há 9 meses,0,
James Rodríguez nem pisou no jogo 😅 q vergonha.,há 9 meses,1,1
SANTOS ESTÁ JOGANDO COM A SORTE,há 9 meses,1,2
Missão do São Paulo agora é ganhar do Fluminense para  colocar água no chopp do  Fluminense.,há 9 meses,0,
Campeão da Copa do Brasil não ganhou um único jogo fora de casa. Realmente é uma copinha de menos valor.,há 9 meses,0,2
"Eu já vi o Tricolor perder gols, mais igual esse ano de 2023 tá demais, misericórdia!
As vezes chega ser ridículo, surreal. 😮",há 9 meses,1,
"Klaus apitou os três clássicos que o São Paulo jogou contra Santos, Corinthians e Palmeiras.",há 9 meses,1,
"Isso mostra o quanto Calleri faz falta , e a diretoria do clube tem que procurar por reforço neste setor, para quando for necessário ele suprir a ausência dele .",há 9 meses,4,
Volta Cleber Machado,há 9 meses,0,
Que narração merda,há 9 meses,0,
O são Paulo sem o calleri e o lucas é um time fraco sou são Paulino mais falo a verdade não temos jogadores precisamos de reforços,há 9 meses,1,
"Cara, por isso reserva é reserva...",há 9 meses,0,
Revoltante esses caras do sp perder gols assim.  Volta calleri urgente,há 9 meses,1,
Rato jogo muito,há 9 meses,0,
boa partida do Rato!!,há 9 meses,1,1
Força pro editor que tentou pegar os melhores momentos,há 9 meses,1,1
Um jogo de encher os olhos…………. De água,há 9 meses,2,
"n sei quem é pior kevyson ou max silveira , n sei pq o santos n demite logos esses 2 ruins",há 9 meses,0,
São Paulo não tem copa do Brasil,há 9 meses,0,
Os caras parecem que fecham os olhos na hora da finalização.,há 9 meses,0,
Verdade amigão e pena que ele se machucou,há 9 meses,0,
Se livrou da derrota com as bolas na trave,há 9 meses,0,
A sorte se chama João Paulo 😅,há 9 meses,0,
N ganhou pq a maioria dos jogos jogou com reserva,há 9 meses,0,
 @D.Jgames7005  São mais de 30 jogos sem ganhar nenhum,há 9 meses (editado),0,
O rato é um bom jogador hein,há 9 meses,0,
O São Paulo jogou bem só faltou o gol,há 9 meses,1,
Mais um ponto jogo foi bom se aquele gol não fosse impedimento  seria mais bom pro São Paulo ❤🤍🖤,há 9 meses (editado),2,1
"Quem vai pra série B agora é o Santos!
O Santos na segunda divisão!
Kkkkkkkk zuera",há 9 meses,1,
"Não pode perder tanto gol assim,puta que pariu.",há 9 meses,0,
"O fantasma do Pelé está ajudando o Santos. Não entra uma e quando entra, o fantasma vai lá no VAR e faz anular.",há 9 meses,1,
Sou corintiano parabéns bambis é sua cara sempre salver o melhor do mundo 🦌,há 9 meses,1,
"Mano nunca passei tanta raiva com esse time do Santos, pqp o pior time do Santos da história, se se salvar, próximo ano tem que fazer uma reforma completa nesse elenco e outra tirar essa diretoria de vermes e o presidente, ai garanto que o Santos vai melhorar bastante",há 9 meses,0,
"São paulo dominou, era pra ter vencido!",há 9 meses,0,
"Uma pena, maioria dos jogos fora de casa jogamos melhor mas parece uma maldição essa de não ganhar fora da casa... vamos São Paulo!!",há 9 meses,42,
