text,time,votes,replies
"E aí, Fluminense chega forte no Mundial?
🌟Assine o Premiere: https://gplay.la/ytgepremiere",há 8 meses,178,29
Quanto faz falta o luisito Suarez,há 3 dias,0,
Apesar do talento mais depois que chegou ao fluminense já fez umas cagadas já marcelo,há 2 semanas,0,
"Sempre volto aqui pra ver um dos últimos jogos do Luizito no Brasil, deixando sua marca registrada. E que jogasso, ein? Com exceção do primeiro do flu, todos os outros gols foram bonitos",há 4 semanas,0,
Suarez brincando aqui no Brasil kkkk,há 1 mês,1,
O melhor 9 estrangeiro q jogou no Brasil,há 1 mês,1,
"2023: Fluminense campeão da Libertadores e Grêmio brigando pela vice-liderança do Brasileirão 
2024: Fluminense e Grêmio fazendo duelo dos lanternas",há 1 mês,0,1
Golaço do galdino e do suarez de cavada e driblando o fabio(goleiro do flu),há 2 meses,0,
Tive impressão que no primeiro gol do Suárez tava impedido,há 2 meses,0,1
Suarez engoliu o fluminense,há 2 meses,0,
Ferreirinha era muito burro… suarez pedindo dentro da area e ao lado dele…. Pra quem ele passa?? Pro pepe que bota pra fora! 🤌🤌,há 2 meses,0,
Dá-lhe Grêmio,há 2 meses,0,
amei o suarez joga muito,há 2 meses,0,
Eramos felizes e nem sabíamos.,há 3 meses,0,
E foi nesse jogo que eu virei gremista...,há 3 meses,0,1
O suarez ganhou,há 3 meses,0,
Sim,há 3 meses,0,
Que despedida absurda concerteza ele foi embora muito feliz,há 3 meses,0,
Se saudade de ver esse Craque no meu Grêmio.,há 3 meses,0,
Suarez ganhou campeonato brasileiro,há 4 meses,1,
Sim o fluminense vai forte no mundial 👍,há 8 meses,7,
​@@edi-7foi perder do meu curintia no sul😂😂,há 8 meses (editado),1,
"Como colorado dou os parabéns aos palmeireses, de nada pela a entregada no 3x0, e vamos combinar gente as rodadas que decidiram de fato esse br foram inter 3x2 gremio no 2°turno,pal 3x0 inter 2 turno, e grêmio 0x1 Corinthians sendo que o grêmio tava com 1 a + desdo dos 10 minutos do 1 tempo",há 8 meses,8,
Tá podendo invadir a área deste jeito na cobrança do pênalti?,há 8 meses,2,
 @Football_editzzzzzzs  comemore com os palmeirenses...parabéns kkkkkk,há 8 meses (editado),1,
" @Football_editzzzzzzs  culpa do el nino que resultou em muita chuva , do Roger Waters que fez um show antes e detonou o campo, 😁 brincadeira , grêmio realmente foi mal , ali foi a ducha de água fria na busca do titulo",há 8 meses (editado),1,
"Sim, Confio No Fluzão 🔥🔥",há 8 meses,3,
Muito,há 8 meses,2,
