text,time,votes,replies
verde x verde,há 1 mês,0,
Será que John e o IA vao dizer que a vitoria foi manipulada tambem kkkkkkkkkkkkkkkkkkkkkk,há 4 meses,0,
❤❤❤❤❤❤❤❤❤😂😂😂😂😂😂😂😂😂😂,há 6 meses,1,
Esses três pontos valeram o  título 2023 do brasileirão,há 7 meses,0,
Breno Lopes decidindo nos acréscimos. De novo,há 8 meses,0,
Quem é esse narrador?,há 10 meses,0,
Breno Lopes mostra 🖕para a torcida do Palmeiras só um aviso ok,há 10 meses,0,
Em q mundo é q vc vive breno Lopes 😂😂😂,há 10 meses,0,
Bahia de Rogerio lembra o sp de rogerio,há 10 meses,0,
"Jogo equilibradissimo agora estamos aumentando a diferença de pontos comtra o Gigante Botafogo, Mais Pra Esclarecer.. Palmeiras sem Dudu Empatou Com Corinthians É agora Faz Apenas 1x0 encima do GOIÁS, Volta Dudu...😢",há 10 meses,0,
"Eu estava vendo algumas polêmicas sobre o Breno Lopes, mas enfim, o que está acontecendo com ele? Por gentileza",há 10 meses,0,
Na verdade roubaram o goias,há 10 meses,0,
"Ta ai mais um exemplo do pq tem que se parar de idolatrar esses mimados sem nenhuma educação. O Esporte no Brasil, deveria ser como nos EUA, analfabeto ou analfabeto funcional nao deveriam se tornar atletas! É esse tipo de jogadorzinho que apoiara políticos como o M1nto no futuro!",há 10 meses,0,
"digitei time fraco sem historia no google e me recomendaram esse video, ta certo isso ?",há 10 meses,0,
CBF ajudando o Palmeiras kkkk,há 10 meses,0,
"Anularam um gol do Goiás e expulsaram um jogador do Goiás esse é o sistema, parabéns aos envolvidos.",há 10 meses,0,
"Anularam um gol  e expulsaram um jogador, estão prejudicando o Goiás. Vão tentar salvar o Vasco de todo jeito.",há 10 meses,0,
"Breno Lopes, vulgo Lopim, desde q vc faça gol, pode meter marra na mancha, ta autorizado, macho.",há 10 meses,0,
O Palmeiras está com muita dificuldade em marcar gols. O time está bem mais fraco que no ano passado devido a saída de jogadores e a não reposição deles. E mesmo assim consegue se manter forte nas competições... vai entender,há 10 meses,0,
"A Mancha verde insuportável como sempre, se acham mais torcedores do que os que não fazem parte da panelinha deles",há 10 meses,0,
ROUBARAM O GOIAS,há 10 meses,0,
