text,time,votes,replies
Obrigado Bahia Éverton Ribeiro ❤💙,há 6 meses,0,
Essa porta desse fudido inter ê fraco mi deve além de eu ser capêao em cima delas esse ano brinque Bbmp. Morde o rabo puta Bbmp city,há 7 meses,0,
"😅
 Nbko",há 9 meses,0,
"1-0 FOI POUCO, O INTER PODERIA TER TOMADO UNS 3 😢",há 9 meses,0,
"É TRISTE VER MEU TIME CORRENDO RISCO DE REBAIXAMENTO, AINDA BEM QUE METERAM 7-1 NO SANTOS 🙌🏽🙌🏽🙌🏽🙌🏽",há 9 meses,0,
Bahia tricolor sta nel mio ❤ un abbraccio dall’Italia.,há 9 meses,0,
"É incrível como o Rogério Ceni consegue fazer um time ruim jogar.
Clube do Remo o maior!",há 9 meses (editado),1,
3 gols anulados do Bahia.,há 9 meses,0,
Bahia vence em casa mais uma.   21/10/23,há 9 meses,0,
"Quando assisto esses melhores momentos só fico mais nervoso com camilo candido segurando a desgraça da bola até cauly ficar impedido,  e a torcida ama essa peste , tá doido",há 9 meses,0,
"A MISERIA DO LATERAL LEVOU UM ANO PARA DAR O PASSE PARA CAULY , Q DEU O CARA ESTAVA IMPEDIDO SIMPLICA A JOGADA PORRAAA",há 9 meses,0,
"IMPÉRIO + BAMOR, TERROR TRICOLOR / 🍓🍓🍓",há 9 meses,0,
Internacional vai cai e a Renata fa vai chora 😂😂🅱️🅱️🅱️🅱️🅱️👻👻👻👻👻👻,há 9 meses,0,1
O pessoal da Globo tem a cara  de pau de colocar uma expulsão nos melhores momentos kkkkkkkk... Parabéns!!!,há 9 meses,0,
Bahia vence mais uma em casa.  20/10/23,há 9 meses,0,
"Houve um 3° impedimento marcado de Thaciano em q ele ia ficar cara a cara com o goleiro do Inter, mas nesse ele tava em posição regular. O Bahia foi roubado de novo.",há 9 meses,0,
era pra ser uns 7x2 ou 7x3 fácil pro Bahia.,há 9 meses,0,
Tomara que o Internacional se classifique pra série B do ano que vem merece muito a vaga.,há 9 meses,1,2
Juiz ladrão. Anulou 3 gols do Bahia pra ajudar esse time o mais arrogante do Brasil,há 9 meses,0,
O Bahia só precisa de mais um zagueiro esquerdo bom e mais veloz,há 9 meses,0,
Quase sendo rebaixado o Bahia,há 8 meses,1,
kkkkkkkkkkkkk,há 9 meses,0,
O teu é série BBB,há 4 meses,0,
Gooooooooooooooooooooooolll e é do Bahea!!!,há 9 meses,0,
"Acts 4:12
12 Salvation is found in no one else, for there is no other name under heaven given to mankind by which we must be saved. The day of receiving salvation is today are you ready to repent ? Do it you will taste the difference",há 9 meses,0,
inconformado com fato do Cruzeiro não ter contratado o Ceni quando teve a oportunidade.,há 9 meses,0,
Biel e Thacinaldo na Selrção...,há 9 meses,0,
"2 gol mal anulando. Parou o vídeo quando o jogador do bahia mata a bola na coxa , e pegou o pé de CANU ( em sentido contrário ao gol) considerou impedido. Porem o momento do passe da bola acontece no cabeceio do mesmo jogador que amorteceu a bola na coxa, nesse momento um jogador do inter, a esquerda da área dava condição legal.",há 9 meses,0,
Cauly substitui Neymar com os pés nas costas na seleção,há 9 meses,0,
"Monte de times com camisa rosa, é ativismo ?",há 9 meses,0,
Esse Biel joga mto!,há 9 meses,0,
JOGAÇOOOOOO 🌏,há 9 meses,1,
EVE ECERGOL EVERALDOOOOOO,há 9 meses,1,
RESPEITAAAAAAAAAA 🌏🌏🌏🌏🌏🌏🌏🌏🌏🌏,há 9 meses,1,
Bora Baheaaa!❤💙🤍❤💙🤍,há 9 meses,1,
Ge Globo/ba 🙏🙏👏👏👏,há 9 meses,0,
A torcida tricolor querem Everaldo é humilde e ótimo profissional é Cauly é Ratão é Biel em campo BBBP 🙏🙏🙏🙏,há 9 meses,0,
Inter não tem esse time todo é ruim,há 9 meses,0,
Bahia 1 x 0 Internacional Não Derrota GOOOOOLLLLL BAHIA 🤣,há 9 meses,1,
"Bahia tava morto
Rogério Ceni chegou
Mudou o time completamente 👏👏👏",há 9 meses,0,
Se não fosse anulado os 2 gols impedido taria BAHIA 4 X 0 INTERNACIONAL,há 9 meses (editado),0,
Troco o Biel por o Ferreirinha do Grêmio!!,há 9 meses,0,
"Parabennnsss Rogério Ceni,voce colocará o Bahia no cenário do futebol,assim como fez com o Fortaleza.
Parabennsss aos torcedores.
Digo mais,tirando jorge Jesus,Rogerio foi o melhor,foi muita sacanagem o que fizeram com ele no Mengao.
Tem tudo num futuro proximo,ser o melhor tecnico do Brasil,e Rogério falou uma coisa certa na coletiva anteriormente,querendo ou nao ele tem titulos pelo Mengao.
Mais uma vez.
Parabéns ao Bahia 
Parabéns aos torcedores.
Parabennss ao Rogério Ceni.",há 9 meses,2,
"Rogério Ceni só sabe treinar times de menos pressão, Bahia tá feito",há 9 meses,0,
"Força, Bahia.",há 9 meses,4,
Rogério é foda,há 9 meses,1,
BBMP💙,há 9 meses,1,
"Anularam 3 do Bahia , n queriam q o Bahia vencesse kkk mas venceu",há 9 meses,3,
GRANDE VITÓRIA DO TRICOLOR,há 9 meses,1,
SALVE BAMOR,há 9 meses,1,
"O Bahia tem q aprender a matar o jogo, foi no sufoco, mas poderia ser mais fácil",há 9 meses,1,
