text,time,votes,replies
Jogo de igual pra igual bom,há 1 mês,0,
As thumbnails dos ultimos jogos do botafogo sao o reflexo do final do ano de 2023 do botafogo e de agora em 2024. Que sofrimento deve ser torcer pra esse clube,há 5 meses,0,
Obrigado Santos além de ajudar o palmeiras caiu pra série b,há 7 meses,0,
"Melhor perder um título do que ir pra série B.
Kkkkkk😂😢",há 8 meses (editado),1,
"Futebol de verdade só em pelada .
O futebol midiático é combinado .
Antes de um campeonato começar tudo já foi decidido no futebol midiático .
Não passem mal por causa dessa bosta combinada .",há 8 meses,0,
"Ah e mesmo que o Santos não caia nesse brasileirão os planos da Globosta continuam de pé 😁
Santos e São Paulo serão rebaixados nos próximos anos para o Cheirinho querido da Globosta flamenguista ficar como o único time não rebaixado .",há 8 meses,0,
"Avisei que os planos da Globo Flamenguista é rebaixar o Santos e depois o São Paulo .
E olha o que está acontecendo ?
O Santos está caindo justamente no ""Brasileirão Rei "" .
O nome é ""Brasileirão Rei "" não por causa da morte do Pelé e sim pra zombar do Santos .
Pois essa emissora flamenguista maldita é zombadora .",há 8 meses,0,
Com o Santos a origem do gol vem de bola parada,há 8 meses,0,
"Tem que @pedrocertezas ano que vem vender a série dele sobre esse ano do botafogo.
Roteiro inacreditável",há 8 meses,0,
O zagueiro do botafogo nem subiu na cabecada do messias😅,há 8 meses,0,
A MAIOR PIPOCADA DA HISTORIA KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK,há 8 meses,1,
"""Há coisas que só acontecem com o Botafogo"". Dá-lhe Peixão.",há 8 meses,0,
muito bom!!!,há 8 meses,1,
vai ser campeão!!!,há 8 meses,1,
Esse solteldo é muito inteligente nas jogadas,há 8 meses,0,
"Eles queriam fazer o sergovinha como um craque , mas na vdd é ruim pra caramba",há 8 meses,0,
Não mata esse jogo contra santo acho q é pior do q levar o gol no último minuto 😂😂😂 time pipoqueiro,há 8 meses,0,
"Botafogo empatar com o santos e sacanagem,despencou de uma forma impressionante, não tem jeito,uns meses estava em ascensão e outros dias estava decaindo,de 1 lugar ao 3 lugar. Husahushsuahauhsushs",há 8 meses,0,
"Ainda bem que eu não sou vc Botafogo kkkkk coitado dos torcedores, é  muita sacanagem",há 8 meses,0,
Parabéns Botafogo por ser um time,há 8 meses,0,
parabens botafogo!,há 8 meses,0,
muito bom fogão!!!,há 8 meses,0,
Vamos acreditar no impossível,há 8 meses,0,
Sou botafogo até o ultimo jogo,há 8 meses,0,
Se ele esrivesse em campo isso não teria acontecido... Márcio Resende de Freitas... Vc faz muita falta 😂😂😂😂😂,há 8 meses,0,
"Um time com tamanha ingratidão .. se perder esse título acho pouco ainda . Construiu uma baita vantagem e ficou relaxado dms , dps se esquece q ainda existe time grande na disputa . Por enquanto é incerto .. mas a piada já deve tá pronta .",há 8 meses,0,
vai ser campeão!,há 8 meses,0,
"muito bom botafogo,campeão!!",há 8 meses,1,
muito bom fogão!!!,há 8 meses,0,
muito bobotafogom!,há 8 meses,0,
