text,time,votes,replies
O que você achou do jogo? 👇,há 11 meses,33,14
Parabéns Red Bull Bragantino Matheus Fernandes 🤩🤩,há 6 meses,1,
Estádio Mineirão em Belo Horizonte,há 11 meses,0,
Pra acabar de piorar a situação do cruzeiro hoje contratou Zé Ricardo treinador time de série b treinador do Vasco Zé Ricardo meu Deus cruzeiro,há 11 meses,0,
Jogo de time pequeno as Marias rumo ao 🅱️🅱️🅱️🅱️👻,há 11 meses,0,
"Se esse cara mete esse ultimo gol, esquece kkkkk",há 11 meses,0,
Sou Flamenguista kk mas este é a equipe forte do Cruzeiro?  kkkk time horrível,há 11 meses,0,
Não tem condições de esses jogadores do cruzeiro errarem tantos gols assim... Tem que colocar para treinar finalização 3 horas todo dia.,há 11 meses,0,
Jogador não sabe bater um lateral kkkkkk,há 11 meses,0,
@ronaldo esta acabando com cruzeiro.,há 11 meses,0,
"Sou cruzeirense , mas esse jogo foi ruim , dos dois times",há 11 meses,1,
Are re,há 11 meses,0,
"Neris erra lateral. Viva essa diretoria wue tras um jogaror horrivel. Erraram feio, e nada de vir se explicar.",há 11 meses,0,
O jogo se resume no lateral que o jogador do cruzeiro bateu só isto.,há 11 meses,0,
E a rodada 22 não a 26,há 11 meses,0,
Lateral mais bem cobrado dos ultimos anos kkkkkkk,há 11 meses,1,
"😂 Cruzeiro junta junta futebol clube misericórdia cuidado que a segundona tá ali pertinho vai brincando vai , time horroroso medilcre sem tática técnica e pegada sem palavras 😂😂😂😂",há 11 meses,1,
Verdade meus pais sempre serão bom mesmo ter um seguro de que ter dois voando um. Pode fazer muita falta um ponto de respeito vale um milhão 💙🇧🇷⭐,há 11 meses,6,
Olá ❤,há 11 meses,0,
Uniforme do Cruzeiro ficou bonito pena que nao posso dizer o mesmo do Futebol,há 11 meses,1,
Marias vai cair de novo 🤣🤣🤣🤏🤏🤏🤏🤏,há 11 meses,10,
Que jogo? Kkkk se isso é jogo eu sou um astronauta do planeta Marte,há 11 meses,7,
​@@eusouomiliorCR7é,há 11 meses (editado),0,
​ @RicardoSantos-yo1fi se aposentou,há 11 meses (editado),0,
HORROROSO!,há 11 meses,2,
Uma desgraça,há 11 meses,0,
​ @luanacam Vc de Novo kkkkk,há 11 meses (editado),1,
Jogo de dois nanicos digno de 0 a 0,há 11 meses,0,
"Eu não achei nada, mas um amigo meu achou 10 reais na saída do Mineirão",há 11 meses,0,
Achei que as marias vao pra serie B de novo,há 11 meses,0,
Jogo foi do nível do time do cruzeiro 8 jogos sem vencer time pipoqueiro,há 11 meses,1,
"Uma vergonha, canbada de safadeza pura",há 11 meses,0,
Sinceramente?,há 11 meses,0,
"Porque tanta pressa em mostrar os lances? 🤦‍♂ (dito isso, impressionante a fase do Cruzeiro",há 11 meses,0,
"Mais Ronaldo já havia falado que o time iria ficar entre o quatro, está aproximando",há 11 meses,0,
Jogo feio. Pior que varzea. Pqp. O Cruzeiro é inimigo do gol. Tá foda viu!!!!,há 11 meses,0,
Eu queria ver o filme do Pelé,há 11 meses,0,
A torcida como sempre fazendo a sua parte,há 11 meses,1,
Eita meu Cruzeiro 😅,há 11 meses,0,
😂🎉😂🎉😢😮😅,há 11 meses,0,
"Misericórdia que pelada hein,,bater um lateral desses olha tem que ficar no banco",há 11 meses,0,
Cruzeiro jogou bem só faltou fazer o gol kkk💙🦊,há 11 meses,1,
Cruzeiro fugindo do Z4 . Parabéns.,há 11 meses,1,
"Um clube gigante merece investimento,a camisa do cruzeiro e pesada e não tem geito.
Os times sem tradição e pequenos vão querer aproveitar",há 11 meses,0,
"Torcida do cruzeiro e fera demais, time horrível  sempre comparece!",há 11 meses,0,
E pra ficar pior o Cruzeiro ainda cogita o Tecnico Giromba Preta para assumir o comando.,há 11 meses,0,
Jogo 0 X 0 pouquissimas oportunidades,há 11 meses,1,
Sorte que os do z4 não estão querendo perder a vaga,há 11 meses,0,
TUDO DENTRO DA NORMALIDADE - ANDAM FANTASIANDO DEMAIS... CRUZEIRO NÃO TEM TIME SUPERCAMPEÃO... CAIM NA REAL... NÃO COMPARE NADA - O QUE PRECISA É TER MAIS TRANQUILIDADE... ESTAO AFOITOS... SÓ ISSO...,há 11 meses,0,
1 minuto de silêncio para quem assistiu esse jogo,há 11 meses,0,
O time do Cruzeiro é terrível,há 11 meses,0,
essa carniça de cruzeiro nao faz gol cara q pqp,há 11 meses,0,
BBBB,há 11 meses,0,
É SÓ QUEM ACHA QUE OS MARIA VAO PRA B DA UM LIKE KKK,há 11 meses,0,
Pênalti não dado por impedimento kkkkkkk,há 11 meses,0,3
HORROROZO,há 11 meses,0,
"Eu falei que a culpa não era do Pepa.jofagores sem talento, pé torto do carajo que não acerta o gol",há 11 meses,0,
"Mandaram o Pepa embora d a culpa da ruindade dos jogadores não era dele.
O cara não tinha era jogador com talento pra decidir na hora de fazer o gol.",há 11 meses,0,
Like 👍🏼,há 11 meses,1,
"machado é um animal, perde gol na cara mds",há 11 meses,0,
"Se lateral já tá difícil, imagina então fazer gol kkk acorda cruzeiro",há 11 meses,0,
Esse goleiro da raposa  fez boa partida salvou o Cruzeiro da derrota.,há 11 meses,2,
"se o Ronaldo contratar o Rolão Preto nosso time apruma


~relato de um cruzeirense",há 11 meses,0,
"""NOIS É BAUM É NA BBB "" 😂😂😂",há 11 meses,1,
Pra um cara conseguir errar o lateral....,há 11 meses,0,
Incrível como o são Paulo perdeu pro Cruzeiro em Minas gerais o Cruzeiro não de liguem em casa,há 11 meses,0,
O Jogo demorou tanto pra acabar que o GE pensou que tinham se passado 4 rodadas.😅,há 11 meses,8,
Credo como o Machado perde um gol daquele é  ruindade demais..,há 11 meses,0,
Esse do Cruzeiro e ridículo e ridículo e os dirigentes então falando que o trabalho trenamento então não tem nada de bom esse time horrível do Cruzeiro,há 11 meses,0,
Essa rodada do campeonato brasileiro só teve empate a maioria dos jogos,há 11 meses,0,
Se esse ultimo lance sai o gol quero nem imaginar a repercussão,há 11 meses,5,
Bela qualidade da transmissão,há 11 meses,1,
Esse ano concerteza um gigante vai cair,há 11 meses,0,
Bom jogo,há 11 meses,0,1
Que pênalti?,há 11 meses,0,
"​ @Idisappear_ a bola bateu no braço aberto do jogador do Cruzeiro, logo depois da jogada que o Alerrandro estava impedido. Se não houvesse impedimento, o pênalti contra o Cruzeiro seria marcado. Se salvou por centímetros. Igual o último lance ali no lateral kkkk",há 11 meses (editado),0,
 @aadmaquino  mas o cara ir no Var pra olhar impedimento é fod4,há 11 meses (editado),0,
Pra dormir nunca serão Palmeiras 😅,há 11 meses,0,
Mais um empate na rodada do campeonato brasileiro da série a dessa vez entre Cruzeiro x bragantino.,há 11 meses,0,
"😂KKKKKK CALMA GENTE, ATÉ O COELHO ESTÁ CHEGANDO PRA PASSAR O INCAIVEL 🦊 DO ZEZÉ, E O CRUZEIRO VAI CAIR PRA SER TETRA DA SÉRIE B😂 KKKKKKKKKKKKKKKKKKOMEDIAS AGUARDEM",há 11 meses,0,
Série C x Marias mineiras,há 11 meses,3,
"Cruzeiro até que voltou a jogar melhor, mais os caras parece que tem o pé torto, não acerta a rede, tá osso!",há 11 meses,0,
1:08 que time ruim esse Cruzeiro,há 11 meses,0,
ESSE É O CSA MINEIRO QUE TODOS CONHECEM . RUMO A B 😅😅😅,há 11 meses,0,
O INCAIVEL VOLTOU 😅😅😅😅🅱️🅱️🅱️🅱️🅱️,há 11 meses,0,
"O problema que o cruzeiro acha que tradição ganha jogo. Hj o bragantino é melhor, isso é fato. Time muito bem treinado. Ta de bom tamanho o empate.",há 11 meses,2,
Dois timecos,há 11 meses,0,
"Time do Cruzeiro é horrível, só não vai cair porquê tem times piores.

Obs, sou Cruzeirense.",há 11 meses,0,
O time que disputou a série b era muito melhor que este este time horrível 😊,há 11 meses,0,
CBF vergonha,há 11 meses,0,
