text,time,votes,replies
GABI,há 5 dias,0,
Oooi,há 1 mês,0,
Quer um 9 bolado,há 2 meses,0,
França x Alemanha...,há 2 meses,0,
Fora o baile,há 3 meses,0,
💙💙💙⚪⚪⚪❤❤❤,há 3 meses,0,
Sempre flamengo para vida toda ❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤❤️🖤🎉❤️❤️,há 3 meses,2,1
Essa calma do TIte serviu para o Fla ganhar este jogo.,há 3 meses,1,
Everton Ribeiro Engenho O que é isso Everton Ribeiro do céu que corta a luz do Everton Ribeiro por Luiz Araújo,há 5 meses,0,
Parabéns para o Flamengo ganhando da França mané😂,há 5 meses,0,
Vai meu flamengo ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🖤🖤🖤🖤🖤🖤🖤🖤❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️🖤🖤🖤🖤,há 5 meses,0,
É a França todinha,há 5 meses,0,
02:21,há 6 meses,0,
Graças a Deus Pedro melhorou,há 7 meses,1,
Oi boa tarde ☺️ tudo bem com vc e sua mãe e sua mãe pra mim né o que de bom de mais o o seu pai que eu fiz e é só um pouco mais tarde e a sua mãe está melhor,há 7 meses,0,
"Bostalezense: dã eu vi a alemania joga cum a francia 🥴
Realidade: Meu vice sem estádio. 87 do aport. 81 é uma Toyota. Contra o bostaleza serie b 😂",há 8 meses,2,
Ffttirurr🎉,há 8 meses,0,
Wesley não me retornou 0x2,há 8 meses,0,
"Rossi, A muralha Flamenguista ❤🖤🥳🥳",há 8 meses,1,
Alguém me explica porque o mbappé e o resto do elenco Não estavam no jogo? 😂😂😂,há 8 meses,1,
Flamengo e pra vida toda até Borré vai flamengo 😜😜😜😜😜😜😜🖤🖤🖤🖤❤️❤️❤️❤️❤️❤️,há 3 meses,1,
🇧🇷sv🇦🇷rtyrueeeuru4u455,há 8 meses,0,
O primeiro jogo do flamengo que eu vi de perto 🥺❤️🖤,há 8 meses,3,
Flamengo tá precisando fazer mais contratações e vender alguns jogadores que não querem fazer a diferença mais  estão cagando,há 8 meses,0,
"ATENÇÃO!!!! ISSO NÃO É UM TREINAMENTO, HOJE TEM JOGO DO CORINTHIANS PELO CAMPEONATO BRASILEIRO. VAMOS MOSTRA PRO GALO QUEM É O VERDADEIRO CORINGÃO, VAMOS PRA CIMA DELES, TIMÃO 💥💥💥💥🎉🎉🎉",há 9 meses,0,
"Essa musiquinha no gol é muito escrota, poderia voltar a por o hino dos times.",há 9 meses,0,
"Flamengo 2 x 0 Fortaleza Vitória 
😂👏👏👏",há 9 meses,1,
O fortaleza 😢😢 o mengooooo😁😁 a naçao rubro negro 😁😁😆😆,há 9 meses,0,
Flamengo campeão,há 9 meses,0,
Só eu vi falta do atacante do Flamengo no jogador do fortaleza,há 9 meses,0,
Minha nossa senhora flamengo tava puchando contra ataque mt rapido😮😮,há 9 meses,0,
"mengão conseguiu um feito histórico,vencer a selecao francesa",há 9 meses,1,1
"Tite tem que fazer o arroz com feijão, igual o Dorival fez... Colocar Pedro e Gabigol juntos",há 9 meses,0,
Esse uniforme do Fortaleza parece da França,há 9 meses,1,
Jogãooooo 🇧🇷⚽🔥!!! Esse uniforme do Laion ficou muito parecido com o da seleção da França kkk 🦁🇨🇵!!! Muito bonito uniforme!!!,há 9 meses,3,
Flamengo campeão brasileiro 2023,há 9 meses,0,
Flamengo campeão brasileiro 2023,há 9 meses,0,
Bostaleza como sempre entregou ora cer sua torcida medíocre e terceirizada feliz,há 9 meses,0,
"Dps do trauma da sula, o Fortaleza não ganha mais não.",há 9 meses,2,
Os terceirizados comemorando a vitória do segundo time deles em cima do primeiro 😂,há 9 meses,0,3
achei  que  fosse   frança  x  alemanha   com  os  uniformes = iguais.,há 9 meses,0,
depois daquele vice da copa a França nunca mais foi a mesma 😂😂😂,há 9 meses,0,
🥪🥪🥪,há 9 meses,0,
​ @davuedits Palmeiras campeão 🤣,há 8 meses (editado),0,
 @jogandonds2800  Né KKKKKK,há 8 meses (editado),0,
"Agora que uniforme lindo lindo do Fortaleza viu kkkkkk achei q estávamos jogando contra a França, grande vitória do meu mengão vamos por mais!! SRN❤🖤",há 9 meses,5,3
Rossi monstro,há 9 meses,0,1
"Venceu , blz! Mas ainda acho o Tite um erro!",há 9 meses,0,
hehehhehe,há 9 meses,0,
Impressionante como esse time do Fortaleza perde gols. Nem no meu futebol de fds que só tem perna de pau é assim.,há 9 meses,1,
Ta parecendo França x Alemanha,há 9 meses,0,
Flamengo não pode jogar sem o Pulgar,há 9 meses,2,
França X Alemanha no Brasileirão,há 9 meses,1,
Flamengo vence mais uma fora de casa.  06/11/23,há 9 meses,0,
"Palmeiras que se cuide na quarta-feira, vamos com tudo pra conquistar mais uma vitória",há 9 meses,0,
Fortaleza é muito timinho pequeno 🤏😂,há 9 meses,0,
PARABENS AO FLAMENGO PELA VITORIA.SAUDACOES VASCAINAS MESMO COM JOGADORES RESERVA GANHOU.PARABENS SOUBE ESPERA O RESULTADO MESMO PRECIONADO.👏💢⬜🟥⬛,há 9 meses,3,
Boa flamengo,há 9 meses,0,
Cade o Mbappe??,há 9 meses,1,
Realidade alternativa onde o Tite foi pra copa do mundo com o Flamengo e ganhou da França na final.,há 9 meses,0,
Viram o que houve com um torcedor do Flamengo que é especial? Deu ódio de ver 🤦🏾‍♂️🤦🏾‍♂️,há 9 meses (editado),0,
Com o uniforme dos 2 times nem parecia Fortaleza x Flamengo parecia mais França x Alemanha😂😂😂😂,há 9 meses,1,1
"Bonito esse uniforme do Fortaleza, parece a seleção da França.",há 9 meses,0,1
"Felipe e Ayrton juntos, muito bom!",há 9 meses,0,
"Não sou viúva do jorge jesus, mais ele tinha uma coisa diferente que hoje os jogadores não fez com nehum treinador mesmo o Dorival que fez uma otina passagem pelo clube, mais soube conduzir o time pra conquistas importates.  Com JJ vc era obrigado a dar somente dois toques na bola e com isso dava intensidade ao time, era passar e correr e claro isso era muito bem treinado por ele. Hoje o time não faz mais isso e lento na marcação, jogadores tocam errado, se atrapalham, batem cabeça, não fazem uma tabela, não tem uma jogada de velocidade. Mais como todos falam o importante e o resultado e não se importar de que maneira vão jogar, so que a medida que vc joga mal, e sinal taticamente as coisas não fluem e tudo não dar certo.  Flamengo hoje e uma equipe que tem dificuldades pra ganhar dos adversarios, passa sufoco na maioria dos jogos e vivem de barata vooa. Arrascaeta com essa última lesão tenho minhas dúvidas se será o mesmo, não vem jogando bem, e não esta entregando mais pro time como vinha entregando.  Temporada dele esse ano nem precisa comentar, não e o nosso arrasca que nos estamos acostumados a ver.  Tite chegou mais prefiro esperar ate o final da temporada pra ver como esse time vai se sair ate la.",há 9 meses,0,
Verdade amigão o uniforme do Fortaleza ficou lindo hein,há 9 meses,1,
as cores do Fortaleza e o primeiro escudo são de fato baseadas na bandeira da França. O fundador do clube morou muito tempo lá e jogou muito futebol lá. Voltando pra casa fundou o Fortaleza homenageando a frança.,há 9 meses,1,
 @robertoesportes3987  Não sabia disso deve ter sido uma baita história!,há 9 meses (editado),0,
ULTIMATE.,há 8 meses,0,
Parecia Flamengo x França hein amigão,há 9 meses,0,
Concordo com você amigão,há 9 meses,0,
"O Fortaleza ta sentindo o peso da final aínda.
Esquece Fortaleza perder, faz parte de um time grande.
Não para com o trabalho não continue assim pra melhor .
Ano q vem vcs vão levantar a taça, pode ter certeza disso.",há 9 meses (editado),1,
Flamengo venceu e convenceu se manter a regularidade pode entrar para disputa do título 2023,há 9 meses,0,
1:07 Felipe Luis e a idade 😢,há 9 meses,0,
milagre que não teve lei do ex contra o Flamengo...,há 9 meses,0,
Vamosssss Mengão ❤🖤,há 9 meses,0,
