text,time,votes,replies
Mano o Bahia tinha o uniforme do city?,há 7 dias,0,
Vai Vasco.,há 1 mês,0,
"ta na cara que ele fez o penalt de proposito kkkkkk eu lembro muito bem desse lance ele balancando a cabeça de baratino , a casa de aposta tomou um baque ai vai por mim",há 2 meses,0,
❤❤❤❤❤,há 2 meses,0,
É isso aí juiz marca direito está partida aí por favor ?,há 3 meses,0,
Parabéns VASCO Dimitri Payet 🤩🤩,há 8 meses,1,
Gilberto deu uma colher de chá ao Vasco.,há 9 meses,0,
Como entender que um lateral tão experiente pôde cometer um pênalti tão infantil? É só buscar o histórico do atleta.,há 10 meses,0,
Vasco ❤,há 10 meses,0,
O Vasco tá jogando com Tesão agora o série C que aguarde,há 10 meses,0,
"As vezes parece ate resultado combinado, ta ganhando de 1x0, o lance n havia tanto perigo e o cara da carrinho dentro da area pra ser penalti",há 10 meses,0,
kkkkk juba foi pro baia PR ser zagueiro,há 10 meses,0,
Vai com tudo Bahia,há 11 meses,1,
Arena Fonte Nova em Salvador,há 11 meses,0,
"Era uma vez um menino chamado Ribamar, seu pai lhe deu um mapa, Ribamar estava vendo o mapa quando, de repente, viu um ponto no oceano pacífico e foi perguntar ao seu pai o que era aquilo, o seu pai respondeu: ""É que o Vasco tá tão afundado que até no mapa ele aparece"" 



























































JKKKKKLLLLLJLLLKKLLKKK",há 11 meses,2,
Atacantes do Bahia perdem gols. Zaga entrefa pênalti para o Vasco...,há 11 meses,0,
"cara eu não entendo o Bahia jogando oelo lado com facilidade e ninguém se mexe ou da cobertura 
levaram um gol de bobeira falha na marcação",há 11 meses,0,
Oi,há 11 meses,0,
A segundona pro vasco é o melhir distino final,há 11 meses,1,
O cara quis arrancar o nariz do outro com a cotovelada rss,há 11 meses,0,
Bahia tá pensando e o Manchester city com esse uniforme e kkkkk tá mais pro Ibis kkkkkkkk isso sim time horrível desse,há 11 meses,1,
Santos agradece até o momento Vasco u,há 11 meses,0,
Gilberto NAO ganhou cartao! Por que a regra mudar? Quando eh a favor do Vasco!,há 11 meses,0,
Sai fora vasco seria b😂,há 11 meses,0,
"minuto 2:30 , payet na pode tocar essa bola",há 11 meses,0,
"Criticam aquela narradora, mas esse narrador aí tá igual viu",há 11 meses,0,
"Os que vão cair:
CORITIBA
AMERICA
SANTOS
CRUZEIRO OU GOIÁS!",há 11 meses,0,
Assisti esse jogo.,há 11 meses,0,
Mais uma falha do jardim,há 11 meses,0,
"O Bruno Henrique pode dar todas cotoveladas que quiser que não é expulso, mais uma vez a regra só funciona pra um lado",há 11 meses,0,
VASCO O MENOR DO RIO,há 11 meses,0,1
Vasco vai jogar a sereib,há 11 meses,0,
Globosta!,há 11 meses,0,
Pênalti infantil de jogador de escolinha,há 11 meses,0,
maicon jogou mt,há 11 meses,0,
"Obrigado por nada, Jair",há 11 meses,0,
Parece qui o vasco foi campeão mundial.  Torcida tá carente,há 11 meses,0,
"Existe um Deus que te ama inigualmente. Ele criou os céus, a terra,eu e vc e nos deu um Salvador que levará para o céu aqueles que Nele crêem. Jesus Cristo morreu na cruz por mim e por você..Pra nos dar perdão e salvação. Só Jesus nos leva ao Pai. Entregue a Ele teu viver. Deus ama você..",há 11 meses,0,
"Pra quem só fazia perder, o empate saiu de bom tamanho pro Vasco. Lembrando q meu Bahia meteu 4 no braga q vcs não ganharam. Infelizmente meu time perdeu o melhor jogador, e não temos muitas opções ...não sei se conseguiremos sair dessa, mas esse Vasco ta com kra q vai fazer um bom returno.",há 11 meses (editado),2,
JAIR..o cara entra perde gol..dá uma cotovelada no adversario sem nessecidade ..quando Näo entrar mas pra jogar vai ficar Reclamando,há 11 meses,0,
"Maior do Rio e o Vasco, varmengo e só mídia",há 11 meses,0,
"O GE é pior canal quando se trata de ver os melhores momentos dos jogos. Cortam a maioria dos lances, não dão profundidade ao replay dos gols.",há 11 meses,0,
"Nada contra, mas caem Bahia e Santos",há 11 meses,0,1
que jogador irresponsavel esse jair perdeu um gol feito é ainda deu uma cotovelada infantil  no adversario,há 11 meses,0,
Venceremos.❤❤❤❤,há 11 meses,2,
"Garfaram o Vasco de novo, estranho a CBF ser tao omissa nisso",há 11 meses,0,
"Maicon tava em praticamente todas, salvou a gente de levar uns dois",há 11 meses,2,
Demorar pra dar o impedimento do 1:14 é sacanagem kkkkkkkkkk,há 11 meses,0,
Resende jogou hein,há 11 meses,0,
Entrou fez pênalti e foi embora Jair e melhor Jair embora,há 11 meses,0,
O Gilberto não ter tomado um cartão amarelo é no mínimo estranho,há 11 meses,1,
Tem que faser uma campanha pra bota o goleiro ivam,há 11 meses,0,
Uma vergonha o Vasco não poder jogar em seu estádio. Preconceito com a comunidade da barreira é o mais engraçado e que os lacradores nada dizem,há 11 meses,0,
"VEGETTI, PAYET, PAULINHO, JOGADORES QUE VÃO AJUDAR MUITO O VASCO!!! VEGETTI CAIU MUITO BEM COM A CAMISA DO VASCO!!! MUITO BOM JOGADOR E COM A CHEGADA DO PAYET VAI AGREGAR MUITO!!!",há 11 meses,3,
"Como é que Gilberto não é expulso num lance desses, vai tomar no cu rapaz",há 11 meses,0,
