text,time,votes,replies
"E o uniforme novo do Timão deu sorte! 🤩
Será que o Fogão perde a liderança?",há 10 meses,701,100
ᝰᝡᝧᝫᝰ,há 2 semanas,0,
"Esse uniforme do Corinthians é lindo gostei do uniforme, Timão amassou o Botafogo 🦅",há 3 meses,1,
Parabéns Botatogo Patrick de Paula 🤩🤩,há 6 meses,0,
😃🥲😃🥲🥰🥲🥰🥲🥰🥲🥰🤨🥰🤨😍🤨😝🥲🥲🤪🤪🙃🤪🙃🥰😉🥰😀😃😃😀😃 2:04 🥰 2:04 😍 2:04 2:04 😍😍 2:04 2:04 😍😍🙃😍😍🥲😍😙😍😙🥲😍😉🥰😉🥰🥰😊😃😀 2:07 🥰😍 2:07 😍 2:07 2:07 😍 2:07 😍🤑😅😝😃😍🙃😍🙃😍🥲😍🥲🥲😃🥲😃😋🥰😋🥰🤐🐈🤐🐵🐈🤩🐈🤩🤩 2:11 🤩 2:11 😀 2:11 😀😉🤩😉🤩😋😉😋😃😋😃😅❤😃❤❤😉😉😋🐏😀🐏😀🐈😉😀😀😙😀😙😀🤩🐈🤩🐏🤩🐺🐒🐏🐒😉🦄😉,há 7 meses,1,
❤12828🥲😃😃🥲🥰🥲🥰🥲🥲😍🤨😍🤨😝🥲😝😝 1:46 😝 1:46 😍 1:46 😝 1:46 😍🙃😍😍🙃😍😙😍🤐😍🤐😍🤐😍🤐🤩🤐🤩😙🤩😙🥲😍😉😃😉😀🤐😃🙃🥲😃😃😙😍😙😍😙😍😍😙🥰🥲😀🤨😃🤨😍🤨😍🤨😋🥰😉🥰,há 7 meses,1,
🦊🤗🦊🤗🤪🥲🤪🥲🙃🥰🥰😉😃😃🙃😃🥲🦁🐃🦁🐃🦁😅❤❤😅😅❤❤😅😙😍😍🤐🤑🤐🤐🤑😝😋😝😋😝😉😝😊😝😉😝🥲🤑😙😙🤑😙😍🙃🥰😉🥰😉🥰😉😊😊🥰🥰🥲🤐🤐😍😍😙🥲🥰🥲🥰😋,há 7 meses,0,
🐮🐏🦄🐮🦄🐮🐮🦄🦄🐮🐮🦊🐈🦊😊😊😊😊🦁🦊🐒🐒🦊🐈🦄🐈‍⬛🐽🐂🐽🐈🦓🦓😀🥲🥲🦁🦁🤪🦓😅❤🦊 1:44 ❤ 1:44 1:44 🐈🐏🐃😋🤪😋🤪😋🤪😋🥲😀🦁🥲🦁,há 7 meses,0,
😀🥲😃🥲😃🥲🥰🥲🥰🥲🤪🥲🤪🤐😝🤐🤐😝🤗🤗🐈‍⬛🐎🐈‍⬛🐎🐈‍⬛🐎🐈‍⬛🐩🐺🐈🐵🦊 1:30 1:31 😅🤐❤❤🐺🐺🦍🦄🦍🦄🐈‍⬛🦓🐈🦊🐈🐈🐈‍⬛🐽🐃🐽🐃🐽🦁🐎🐩🐈‍⬛🐈‍⬛🐈🦊🐈🦊🙃,há 7 meses,0,
🥰🥲🥰🥲🥰🥲🥰🥲🥰🥲🤪🥲🥰😅❤❤❤😅🙃😄😙🤐😍😍🤐🤑🤐🤑😙😝🙃😍😉😉🥰😊🥰😃🥰😃😃😃 1:17 😄 1:18 😍 1:18 😄 1:18 😍 1:18 😄 1:18 😄 1:18 😄 1:19 😄😄🥲😄😙🤩🤐🤐🤩🤐🤐🤩🤩🤐😍🥲🥰😋🥰😉😋😍🤐😝🤐😙🤑😙😍😙😄😙😍🥰🙃😃😉😃😃😃😙🙃😙❤🙃😍😍🥲😍🤐🤩😙🥲😍😍😋😋,há 7 meses,0,
