text,time,votes,replies
"O que acharam da primeira partida de Dorival?
🌟 Assine Premiere: https://bit.ly/3uuE0kN",há 1 ano,355,62
O América jogou melhor mais não ganhou porque o São Paulo tinha um goleiro de seleção no gol,há 3 semanas,0,
MEU TIME E SÃO Paulo,há 5 meses,0,
AQUI E SÃO Paulo,há 5 meses,0,
Parabéns América-MG 🤩🤩,há 7 meses,1,
o 3° Gol Do São Paulo kkkk,há 8 meses,0,
💝,há 8 meses,0,
R Rr,há 8 meses,0,
1:59 que defesasa,há 10 meses,2,
🚩🏴🏳🚩🏴🏳🚩🏴🏳,há 11 meses,1,
Vai ser sao paulo,há 11 meses,0,
só gol de qualidade,há 1 ano,0,
Quero ver o spfc ser campeão 2023,há 1 ano,1,
Vamos spfc,há 1 ano,1,
Esse último gol tem que ser investigado.,há 1 ano,0,
o zagueiro do America fez um Sportingbet no ultimo gol,há 1 ano,1,
Eu sou são Paulo desde de criança por que meus pais eram são Paulo,há 1 ano,1,
Bem imparcial o narrador né?,há 1 ano,0,1
Esse terceiro gol do São Paulo tá com cheiro de enxofre de site de apostas.,há 1 ano,0,
SÃO PAULO 3X0 AMÉRICA-MG,há 1 ano,1,
"Trikas deram sorte, e quando o assunto é dar elas entendem bem",há 1 ano,11,
Se o Dorival comandar o são Paulo igual como comandou o Flamengo vai ganhar tudo.,há 1 ano (editado),26,
​ @cruzeiro5848  Quando o assunto é cair o Cruzeiro entende bem também,há 1 ano,31,
"​ @cruzeiro5848  serie b + sem mundial = sem argumentos

nada que você dizer será valido.",há 1 ano,28,
 @cruzeiro5848  série b vcs entendem tbm né,há 1 ano,19,
 @cruzeiro5848  enquanto vc zoa o São Paulo o BBBruzeiro já ta perto do rebaixamento 🤣🤣🤣🤣🤣🤣,há 1 ano,19,
​​​​ @cruzeiro5848  seu cruzeiro e muito rebaixado quando o são Paulo golear seu time não vai reclamar kkkkk gostou do bagre nikão 😂😂😂 cruzeiro e moeda kkk cruzeiro essiste ainda kkkk nunca mais ouvi falar 😂😂😂😂😂kkk Cruzeiro só apanha seis nem tem time que falar o que😂😂só o calleri e melhor que eo time do Cruzeiro,há 1 ano (editado),14,
Boa mais dá para melhorar mais,há 1 ano,7,
Verdade,há 1 ano,3,
Verdade,há 1 ano,3,
Boa,há 1 ano,2,
​ @cruzeiro5848  kkkkkkkkkkkkk,há 1 ano,4,
Bom tem que ser assim em todas as partidas e também para ganhar títulos,há 1 ano,3,
