text,time,votes,replies
O Zé eu sou atleticano do galão da massa mas o athletico pr e o maior de Curitiba serio Curitiba futebol clube é time de série b não ta com nada,há 3 meses,0,
Coritiba jogou muito 💚💚💚,há 6 meses,0,
"Estava na hora de pelo menos ganhar uma ,estava só tomando na cabeça",há 10 meses,0,
E  live de hoje Curitiba x athetico-pr?,há 10 meses,1,
Vamos coxa 🇳🇬🇳🇬🇳🇬👍,há 10 meses,1,
Nem escutei a narração ligada,há 11 meses,0,
Uuu,há 1 ano,0,
O que eu comemorei nesse jogo foi brincadeira KKKKKK,há 1 ano,0,
Venceu o maior p variar kkkkkkk se contentem c “ain mais ruralzao” comedia kkkkkkkkk,há 1 ano,0,
Xupaaaa seus coxaaaa porcoooooo,há 1 ano,0,
O Henrique ex jogador falhou 2 vezes nos gol,há 1 ano,0,
foi um jogo incrível,há 1 ano,0,
Bola na trave não faz parte dos melhores momentos? Foram 2 do furacão.,há 1 ano,0,
"Acho tão sem graça ver jogo no estádio justamente por esse silêncio sem narrador, não dá emoção nenhuma,  parece q o jogo não tá valendo nada, alguém tem esse sentimento? 😅😢",há 1 ano,1,
sou são-paulino e invejo pq Pablo não deu certo no SPFC,há 1 ano,0,1
Eu tava eu fui! Haha... Que jogo! 🌪️❤️🖤,há 1 ano,0,
Não conseguem lotar um CLÁSSICO,há 1 ano,1,
Vence o Maior 🖤❤️🌪☠️,há 1 ano,1,
🌪🌪🌪,há 1 ano,0,
❤Allan R. Fontoura ❤lindo❤🎉,há 1 ano,1,
"Ainda bem que ele,  Reinaldo,  Igor Gomes e Léo sairam do clube

São Paulo campeão da copa do Brasil",há 10 meses,1,
Vlw forlan,há 1 ano,0,
Clássico Atlhé-tiba sensacional 👏🏼,há 1 ano,0,
Atlético Paranaense ganhou do Coritiba,há 1 ano,1,
Pq o corinthians não joga assim com raça ate o final e com vontade 🥺😒,há 1 ano,0,
"Fico aqui imaginando a torcida do Coritiba aí no Parana como deve ter ficado.
O jogo ganho e em poucos minutos levaram a virada que por sinal muito merecida pelo Furacão. 
Esse time do Athletico  jogando aí na Arena da Baixada sempre apronta no finalzinho das partidas e os adversarios parece que nao  se atentaram para esse detalhe.
Foi um jogao.",há 1 ano,1,
"Alerta um FURACÃO 🌪️🌪️🌪️🌪️🌪️ ta chegando, Dale atlhetico ooooooo.",há 1 ano,0,
"Volte sempre freguês kkkk...

Pelo brasileiro, 23 anos sem perder pras paquitas na ARENA. Dá-lhe ATHLETICO⚫🔴🌪🌪

14/05/2023 - Athletico 3 x 2 xoritiba - Arena da Baixada
16/10/2022 - Athletico 1 x 0 xoritiba - Arena da Baixada
12/09/2020 - Athletico 1 x 0 xoritiba - Arena da Baixada
10/09/2017 - Athletico 1 x 1 xoritiba - Arena da Baixada
16/10/2016 - Athletico 2 x 0 xoritiba - Arena da Baixada
21/06/2015 - Athletico 2 x 2 xoritiba - Arena da Baixada
04/12/2011 - Athletico 1 x 0 xoritiba - Arena da Baixada
19/07/2009 - Athletico 0 x 0 xoritiba - Arena da Baixada
29/06/2008 - Athletico 1 x 1 xoritiba - Arena da Baixada
10/07/2005 - Athletico 1 x 0 xoritiba - Arena da Baixada
02/05/2004 - Athletico 1 x 1 xoritiba - Arena da Baixada
11/10/2003 - Athletico 2 x 0 xoritiba - Arena da Baixada
26/10/2002 - Athleticco 1 x 0 xoritiba - Arena da Baixada",há 1 ano,0,
Esse último lance ... Zagueiro ganhou quanto da casa de aposta? 😅,há 1 ano,0,
"Probabilidade de vitória do coxa: 99%
 Site de apostas aos 90min: essa será minha maior vigarice 😂",há 1 ano,0,
FURACÃO é um time top!,há 1 ano,1,
