text,time,votes,replies
"Que jogo louco foi esse.... Diz aqui se você lembra de algum jogo mais animado na história do futebol brasileiro?
🌟 Assine Premiere: 
https://gplay.la/ytgepremiere",há 10 meses,1 mil,128
❤️❤️❤️,há 4 dias,0,
Jogo das viradas,há 7 dias,1,
Vai ficar pra história,há 2 semanas,2,
Que  virada !,há 2 semanas,0,
Melhor  do  mundo,há 3 semanas,0,
Esse Jogo foi pra testar o coração das duas torcidas quem tem problema de coração não aguentou,há 1 mês,0,
Meu Bahia é lindo 😍,há 1 mês,1,1
An?,há 1 mês,0,
esse dia foi loko,há 1 mês,0,
Esse jogo foi absolute cinema,há 1 mês,0,
Perdeu o gol do Gilberto a transmissão!!!,há 2 meses,0,
Placar mais nada aver de 2023 😂,há 2 meses,1,
Vitoria não triunfo,há 2 meses,1,
"Chorei quando o Goiás fez 4x3! 👍🏿
De raiva!",há 3 meses (editado),1,
Incrível como 2 times de baixo da tabela acham como marcar 10 goles em uma só partida,há 3 meses,0,
1 minuto de silêncio de quem sentiu saudades do brasileirão 2023,há 3 meses,2,
"Bahia e Goiás fizeram um jogo histórico com 2 viradas e 10 gols com hat trick de Everaldo e golaço
de Gilberto do meio campo e de Biel o Goiás empatou ainda no primeiro tempo os gols baianos foram marcados por Everaldo (3x), Gilberto, Rafael Ratão e Biel. Os Gols do Goiás foram marcados por Guilherme Marques (2x), Matheus Babi e João Magno no segundo tempo 

FICHA TÉCNICA 

GOIÁS 4 X 6 BAHIA 

Local: Estádio Haile Pinheiro - GO

Horário: 16h (De Brasília)
 
Data: 07/10/2024, Sábado 

Cartões Amarelos: 
GOIÁS: Lucas Halter e Bruno Santos 
BAHIA: Resende 

Gols: Everaldo aos 15 e 37 do primeiro tempo; Gilberto aos 18 do primeiro tempo; Guilherme aos 27 e 47 (P) do primeiro tempo; Matheus Babi aos 49 do primeiro tempo; João Magno aos cinco do segundo tempo; Everaldo aos oito do segundo tempo; Rafael Ratão aos 11 do segundo tempo e Biel aos 50 do segundo tempo",há 4 meses,0,
Os Palmeiras aindam acham que botafogo x palmeiras e o melhor jogo do Brasileirão mas na verdade o melhor jogo do Brasileirão e esse vheio de gols😂😂😂😂,há 5 meses,1,
Eve é demmais,há 6 meses,0,
"Fácil..Santos 4 X 5 Flamengo 2011
Grêmio 4 X 5  Fluminense 2019",há 10 meses,77,
Esse jogo deve ser melhor do que o jogo SANTOS 4 x 5 flamengo,há 10 meses,49,
Pareceu um jogo de Basquete da liga Americana kkkk🏀🏀🏀🏀🏀🏀🏀🏀🏀🏀🏀. Só meu Goiás mesmo 😅😢,há 10 meses,22,
​ @user-jb4em3zp8p ..Tá maluco Santos x Flamengo tinha Ronaldinho e Neymar do Outro lado esse ai é só mais um jogo,há 10 meses (editado),0,
Santos 4 - 5 Flamengo,há 10 meses,16,
Jogão!,há 10 meses,16,
Rogério Ceni é seleção. # fora Fernando Diniz,há 10 meses,15,
Santos 4x5 Flamengo uns dos melhores jogos que vi 👍😎,há 10 meses (editado),21,
"Santos x flamengo
5×4",há 10 meses,7,
seu kid sabe de nada,há 10 meses,2,
Ge Globo/ba,há 10 meses,4,
Sim santos e flamengo R7 e Neymar,há 10 meses,2,
Eu acho que o de mais qualidade foi Atlético Paranaense 6 Vasco 4 em 2004,há 10 meses,6,
Fortaleza >>> Bahia,há 10 meses,5,
"O jogo foi muito bom , mas as duas equipes são muito ruins ! Isso tira muito da qualidade do jogo, parecia jogo de várzea",há 10 meses,4,
Foi um jogaço,há 10 meses,6,
Atlético PR 6x4 Vasco,há 10 meses,3,
Santos 4×5 Flamengo.,há 10 meses,5,
"Boa noite torcida tricolor de aço, Essa palavra de Deus é para os torcedores do Baêa é E para os jogadores é equipes é dirigentes do Baêa, Eu sou sócia do Baêa é gostaria quer vocês do GE Globo/ba, na mandasse essa palavra de Deus é do Senhor Jesus Cristo para os jogadores é equipes é dirigentes do Baêa, Se vocês não derem essa bênção de palavra de Deus é do Senhor Jesus Cristo, Jesus Cristo está vendo tudo, Essa palavra de Deus é do Senhor Jesus Cristo é para os torcedores do Baêa é jogadores é equipes é dirigentes do Baêa, Por isso sinto prazer nas fraquezas, nas injúria, nas necessidades,,perseguições,,nas angústias, Por amor a Cristo, Porque quando estou franco e quer estou Forte 2 coríntios 12:10 essa bênção de palavra de Deus é do Senhor Jesus Cristo é para os torcedores do Baêa é jogadores é equipes é dirigentes do Baêa  pra cima deles tricolor de aço BBBP 🙏🙏🙏🙏🙏🙏",há 10 meses,0,
Santos 4 x 5 Flamengo 2011 inesquecível,há 10 meses,4,
 @alefjunio9894  respeita o meu VASCÃO 🖤🤍💢,há 10 meses (editado),1,
​ @rafaelleal3088  os dois tão uma carniça ainda pra ser nível seleção brasileira....kkkkkk,há 10 meses (editado),2,
"Fluminense 5-4 Grêmio 
Brasileirão 2011 com show e gol de Bicicleta do Fred",há 10 meses,3,
​ @user-jb4em3zp8p Nunca,há 10 meses (editado),0,
Corinthians 4x4Gremio,há 10 meses,1,
Flamengo 1x6 São Paulo,há 10 meses,7,
Lembro sim 😅😅😅,há 10 meses,1,
"Recente foi Corinthians e grêmio
 4 x 4",há 10 meses,3,
Bahia 4 x 3 São Paulo,há 10 meses,10,
"10 gols e mesmo assim vcs conseguem fazer ""melhores momentos"" de 3 minutos né dona GE",há 10 meses,14,
"Quantidade """"""""""exagerada"""""""""" de gols em razão constante de falhas defensivas gravissimas = Jogão",há 10 meses,2,
 @HerumorNumenorean  melhores momentos da libertadores e melhor que mostra desfecho da partida com mais segundos antes do gol,há 10 meses (editado),1,
"Os 5 a 4 da partida entre Santos e Flamengo, com Neymar e Ronaldinho Gaúcho em campo.",há 10 meses,3,
Athletico Paranaense 6 x 4 Vasco,há 10 meses,1,
coloquem a foto e nome do jogador que fez o gol,há 10 meses,1,
 @comunidade_q  Eu lembro desse jogo. Teve QUATRO viradas. Foi alucinante...,há 10 meses (editado),0,
Vasco 4 X 4 Flamengo 2019,há 10 meses,2,
Pq reaproveitaram a foto do vídeo de bahia 1x1 gremio??? Tão querendo dar para everaldo é?,há 10 meses,1,
pra mim o gol do meio campo foi bonito,há 10 meses,1,
Goias x Bahia 4a4 em 99 na série b,há 10 meses,2,
​ @RonardoTheBes7  tem que ver o contexto e as viradas sem falar no placar que foi superior.,há 10 meses (editado),2,
​ @rafaelleal3088 Rogério ceni? E Cauly fica como?,há 10 meses (editado),0,
"​ @LDMJ7 falou merda, o jogo foi disputadíssimo.",há 10 meses (editado),2,
​ @andersonfranca6174 o placar já diz que foi um jogo desequilibrado. Tá viajando é maluco?,há 10 meses (editado),0,
