text,time,votes,replies
0:31 que jogada cebola 🧅 alguém agosto de 2024?,há 3 dias (editado),0,
7dduddd uf ué ydhd Che ddyd uf,há 2 semanas,0,
Porra de gremio,há 2 semanas,1,
Vamo vamo Grêmio i dale dale tricolo,há 4 semanas,0,
Gostava do Fla 5 x 0 gre 😢,há 1 mês,0,3
Flamengo filho do Grêmio,há 1 mês,0,1
Esse ano tem mais,há 1 mês,0,
Oi,há 1 mês,0,
Eu fui nesse jogo! Sensacional!,há 1 mês,0,
Kkkk pegagaaaaaaaaaa é grmjooooo,há 2 meses,0,
Kkkk o narrador nem segurou o desanimo,há 2 meses,0,
E o Rossi no segundo gol do Grêmio teve um delay do 5 segundos só reagiu quando a bola tinha entrado,há 2 meses,0,
O fla deu de graça,há 2 meses,0,
flamengo ficou no chocolate,há 2 meses,0,
TORCIDA DO GRÊMIO GANHOU O JOGO,há 3 meses,0,
Como um dos melhores narradores do Brasil não escondeu o clubismo?,há 3 meses,0,
A tristeza desse FILHO DA PUTA desse Luis Roberto com o flaMERDA perdendo!,há 4 meses,0,
2:16,há 4 meses,1,
"Coisa constrangedora hein Sr. Luis Roberto??? 
Tá no contrato narrar gols contra o Flamengo dessa forma?",há 4 meses,0,
💙💙💙💙💙💙💙💙⚪⚪⚪⚪⚪⚪⚪⚪⚫⚫⚫⚫⚫⚫⚫⚫⚪⚪⚪⚪⚪⚪⚪⚪💙💙💙💙💙💙💙💙,há 4 meses,0,
bom msm foi o 6x1,há 1 mês,0,
É mais isso nunca mais vai acontecer pq meu Grêmio tá bem melhor do que antes e tbm pq o flamengo não tá tão bom como 2019​ @Ramonzzk ,há 2 semanas,0,
 @LIONS_FC-d5g  respondeu errado?,há 2 semanas,0,
É ao contrário.😂😂,há 1 mês,0,
🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪🇪,há 4 meses,0,
