text,time,votes,replies
"E aí, quem merecia os 3 pontos? 
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 1 ano,106,42
Vamos meu Corinthians Cássio 🇧🇷🇧🇷,há 6 meses,0,
Alguem hoje,há 9 meses,0,
Vai.   Time.    Do.   Ponbo,há 9 meses,0,
Vai.   Time.   Do.     Ponbo,há 9 meses,0,
mano o guilherme biro é muito ruim eu sou corinthiano e vejo ele sempre cagando as jogdas boas do corinthians,há 1 ano,0,
Biro 👏🏿👏🏿👏🏿👏🏿,há 1 ano,0,
Que fase diz o craque neto,há 1 ano,0,
Corinthians meu timão você é muito bem,há 1 ano,0,
Só prá ajudar não quero fama nem dinheiro quero ajudar o Timão,há 1 ano,0,
Eu amo o Corinthians me ajuda a chegar até o Luxemburgo,há 1 ano,0,
"Os jogadores do Corinthians tão fumando crack, só jogam com medo esses bando de nóia",há 1 ano,0,
Luxa coloca o time no ataque arruma ele certinho e acabou a conversa mano o timão volta numa boa fase,há 1 ano,0,1
"Ki fazi ki ta u curintia, ki fazi.",há 1 ano,0,
Pensava que esse Yuri Alberto ia me impressionar mas ele não e tudo isso num sei como foi convocado ainda pra seleção brasileira,há 1 ano (editado),0,
"Fui Corinthiano minha vida toda,mas tem uns 4 anos que parei de acompanhar o time,porque chega ser vergonhoso o Corinthians de agr....",há 1 ano,0,
WALTER SEMPRE FOI MELHOR QUE O FRACÁSSIO 🤦🏻‍♂️🤬🤬🤬,há 1 ano,0,
FRACÁSSIO INÚTIL REMUNERADO MAIS CARO DO MUNDO 🌎 🤦🏻‍♂️🤬🤬🤬,há 1 ano,0,
Esse Corinthians e muito fraco time mole 😂😂 vai perde pro santos quarta feira,há 1 ano (editado),0,
"O Gil consegue cabecear no ataque, mais na defesa que é bom nada. E banco não sei porque ainda joga.",há 1 ano,0,
Cuiabá óbvio,há 1 ano,10,
Cuiabá 🐠,há 1 ano,8,
O Corinthians né,há 1 ano,2,
Cuiaba,há 1 ano,7,
cuiaba né,há 1 ano,6,
"Esse Yuri Alberto… misericórdia, que cara ruim !",há 1 ano,1,
Corinthians pequeno fraco e caloteiro não paga nem as marmitas,há 1 ano,0,
"Gamba vai cair, estádio construído com dinheiro público",há 1 ano,2,
"Sou Corinthiano mais ó Cuiabá merecia, samos pequenos 😢",há 1 ano (editado),3,
​ @viniciusclaudio8482  shhh vcs nem tem,há 1 ano,1,
VAI CORINTHIANS 🦅🏁🦅🏁,há 1 ano,0,
"A bola, que foi maltratada. Coitada!!! 🙄",há 1 ano,3,
​ @osdepreto4776  h87i😊jjj,há 1 ano,0,
Cuiabá 👍,há 1 ano,0,
Cuiabá,há 1 ano,0,
Cuiabá concerteza. Corinthians é nanico do Brasil,há 1 ano,0,
 @cruzeiro5848  ridículo vc kkkk,há 1 ano,0,
O Cuiabá jogou melhor e merecia a vitória,há 1 ano,1,
Deyvinho crueellllll,há 1 ano,0,
cuiabá,há 1 ano,0,
o Dourado,há 1 ano,0,
