text,time,votes,replies
Os gols que eu faço é esse gol do Caio Alexandre e os que eu tomo é esse do Yuri Alberto😂,há 6 dias,0,
Jeferson Josué j,há 6 meses,0,
Parabéns Fortaleza ec 🦁 🇫🇷🇫🇷,há 7 meses,2,
Yuri Alberto pai do Fortaleza fez gol na 4 rodada do brasileiro e na ida da aula americana brabo,há 10 meses,0,
Corinthians é bom né pai Corinthians,há 10 meses,1,
amo o Corinthians jogando bola asim,há 1 ano,0,
MELHOR LANCE DO MUNDO: 2:24,há 1 ano,0,
Tinha o mesmo resultado de Real Madrid e Atlético Madrid ou de Madrid,há 1 ano,0,
Empata o jogo do time do meu pai,há 1 ano,0,
Varinthians sendo varinthians,há 1 ano,0,
Quem quer bater no Corinthians agora é a hora kkkkk,há 1 ano,0,
"Congele a imagem na saída da bola.
Em 1:29 min. no momento da saída da bola, o zagueiro do Corinthians que estava marcando o jogador com a bola, dava condições ao Romero - Roubo.
O VAR ""optou"" por traçar a linha de impedimento no jogador que estava marcando Romero do Fortaleza.
MALANDRAGEM - ROUBO DESCARADO de SANTA CATARINA.",há 1 ano (editado),1,
Ndvmp,há 1 ano,0,
Fortaleza cagou no pau o goleiro entregou o gol pros caras,há 1 ano,0,
que jogo difícil mais um empate bom pro timão,há 1 ano,0,
Fernando Miguel virou literalmente uma fortaleza no gol kk,há 1 ano,0,
Iria ser 2 a 1 pro Fortaleza ksks,há 1 ano,0,
👻👻👻🅱️🅱️toma cuidado heim,há 1 ano,0,
"Qualquer time tem um finalizador de respeito, o Corinthians não tem 1",há 1 ano,0,
O Fernando Miguel é muito bom vey,há 1 ano,0,
Esse biro joga d++,há 1 ano,0,
ese time do Corinthians e pequeno,há 1 ano,1,6
Laion!,há 1 ano,1,
"Meteram a não no Fortaleza, era para ser 2  X 1.",há 1 ano,1,
"Eu já disse,time fraco e ruim. Será que o Duilio vai continuar? Fora Duilio um mal Corinthiano.",há 1 ano,0,
"# AQUI NO BRASIL O DINHEIRO 💸 COMPRA TUDO#
Tá certo Du Queiroz não dá mas, ótimo.
A base tá jogando agora,tá ótimo.
Esses que ganham muito estão todos cansados.
Coloca mesmo o Biro Biro, só os moleques.",há 1 ano,0,
"Biro consegue conduzir a bola para o ataque e dá passe no tempo certo,  sabe fazer gol , cabecea bem e sabe marcar  e sabe se posionar na área. Biro tem psse vertical (agudos). Giuliano sabe fazer gol só q os passes dele é muito pra lateral e qndo tenta da passe vertical era muito. Não sabe marcar e não  sabe conduzir com bola verticalmente . Qndo tenta pede facilmente. Biro é muito mais completo.",há 1 ano,0,
"Sou corintiano, desejo que seja rebaixado como fizeram com a família de cuca ninguém merece isso, Luxemburgo voltou pra isso ir para o fundo mais uma vez com o Corinthians",há 1 ano,0,
"Roger tá jogando muito, tomara que o ""Pofexô"" consiga estruturar o time, e esse corresponda. O maior (e único!) teste será a Copa do Brasil.",há 1 ano,0,
Roger tá numa fome do caralho,há 1 ano,0,
Sera que o biro vai ser nosso meia ? E o roger guedes tem que para de ser fominha,há 1 ano,0,
"Já observei que sempre que o Corinthians está com alguma desvantagem no placar, os árbitros sempre dão 7,8 ,9 ou até 10 minutos de desconto.😂😂😂",há 1 ano,1,
Pelos melhores momento Corinthians atacou bem parece,há 1 ano,0,
Gostei do time do Corinthians bem diferente do atual com mais vontade de jogar pra cim,há 1 ano,0,
.,há 1 ano,0,
Fernando Miguel virou o Neuer vsf,há 1 ano,0,
Foi uma vitória este empate. Pra o Corinthians,há 1 ano,0,
Não foi impedimento do Romero nem aqui nem na China.,há 1 ano,0,
Corinthians tomando um sacode pro Fortaleza kkk,há 1 ano,1,1
Fominha Guedes não toca então o time piora e isso é o menor dos problemas.,há 1 ano,0,
E o Flamengo é uma bactéria,há 1 ano,1,
 @Amaurizinho11  KKKKKKKK 🤣,há 1 ano,0,
 @Amaurizinho11  CORINTHIANS 👎 e pequeneninho,há 1 ano,1,
 @FX27955  tá rindo de que tercirizado?,há 1 ano,1,
 @Amaurizinho11  fas 2 ano que o Corinthians ganha nada cara,há 1 ano (editado),1,
 @GuilhermeKaue-gw8bn  ?,há 1 ano,0,
Óbvio! O Fortaleza tem bem mais time que o corinthians,há 1 ano,0,
vai corinthians,há 1 ano,0,
"O gol do laion foi uma jogada ensaiada , criada , treinada e que dificilmente um time faz em campo . Ô treinador VojFóda",há 1 ano,1,
"Como sempre o time nordestino foi roubado ... O Var procurou , procurou uma forma de anular o gol do leão",há 1 ano,1,
