text,time,votes,replies
Por um segundo pensei que era partida de ppsspp,há 5 meses,1,
nao tem a menor possibilidade do sebastian ta em posiçao regular no gol do pec,há 7 meses,0,
Sou mengao mais dou parabéns por essa vitória incrível de 2 a 0,há 7 meses,0,
Sou palmeiras  Verdão  Vasco  não  vai cair,há 9 meses,1,1
Cbf roubou o Cuiabá descaradamente,há 9 meses,0,2
Óbvio q o Clayson chutou 2 vezes no gol,há 9 meses,0,
Golaço do Orelhano,há 9 meses,0,
"Engraçado  é  que QUANDO o Vasco é  prejudicado pela arbitragem,  que naquele  gol do Paulinho  anulado e 3 pênaltis não  marcado pro Vasco com Pedro  Raul caindo ninguém  fala nada, fala que é  normal, mas quando é um erro favorecido por outro time todos falam ""operação  salva Vasco "". O Corinthians foi roubado no mundial  aí e todos falam que Corinthians  é o mais ajudado  pela arbitragem.  Pega o jogo no mundial do Corinthians",há 9 meses,0,
"Lucas orelhano tem que ser titular sempre, ai que é a posição certa dele ! não nas pontas?",há 9 meses,0,
Meu vasco é uma  vergonha,há 9 meses,0,1
"O Vasco está dividido. É LS de um lado, Pedrinho do outro.  Quero vê o Vasco sem divisão. :face-blue-smiling:",há 9 meses,0,
"nem o saci com 1 perna cai e o vasco cai, 🤦‍♂️",há 9 meses,1,
Vasco venceu fora de casa mais uma.  05/11/23,há 9 meses,0,
Léo jardim deveria ir prá Seleção Brasileira ❤❤,há 9 meses,1,
VASCO ❤,há 9 meses,0,
Boa vasco. Agora é bater o foguinho,há 9 meses,0,
"Esse jogo  Cuiabá x Vasco teve o muito jeito de jogo com mala branca, preta e outras coisas mais. O Cuiabá nao joga desse jeito parecia umas meninas jogando contra o Vasco. Os cara praticamente entregava a bola para os jogadores do Vasco e erravam cruzamentos de proposito faz tempo que nao via um jogo tão entregue quanto esse. kkkkkkkkkkkkkk",há 9 meses (editado),0,
O Vasco ainda ganha?,há 9 meses,0,
Gol chorado,há 9 meses,0,
Se esse primeiro gol não tava impedido eu sou um astronauta 🤦🤦 os cara vão fazer de tudo para salvar o Vasco,há 9 meses,2,1
Kkkkkkk,há 8 meses,0,
"CBF SEMPRE ROUBA O VASCO EM SEUS JOGOS E VCS NÃO FALA NADA, QUANDO E O VASCO VCS FICA LATINDO IGUAL CACHORRO",há 8 meses,0,
"TA TA ok, não esqueça do jogo do Palmeiras gol impedido roubado, mas tá esse jogo fica 1 x 0 Vasco ainda ganha satisfeito? 😂😂😂😂😂",há 7 meses,0,
@antonioferreiraaraujoferre3135 mais o vasco ganho,há 7 meses,0,
"Os cara sempre rouba o Vasco vcs não fala nada, mais quando é o Vasco vcs fica latindo igual cachorro",há 8 meses,0,
Muito dificil a situação do vasco.,há 9 meses,0,
Que Golaço o cara passou de 4 marcadores.,há 9 meses,0,
Todo gol do Vasco e mesma coisa e difícil tem sempre esse lance de impedimento nunca sai o gol direto sempre entra o var pra tentar complica mas o Vasco e um time grande e está somente desorganizado o time e bom só tem que parar de jogar bola pra trás e chutar mas a gol que rápinho o Vasco sobe na tabela Vasco intende nem todo jogo e cruzamento na área que resolve o problema alguém abre a mente desses jogadores técnico sei lá quem está responsável.e só um desabafo.,há 9 meses,1,1
"O gol que eu sempre esperava do Orelhano aconteceu um dos mais bonitos do campeonato, fico feliz",há 9 meses,1,
"Sou palmeirense gosto muito do Vasco.Meu pai é mineiro e vascaíno tenho uma admiração enorme por esse clube,não queria que caísse de jeito nenhum.",há 9 meses,0,
Avante gigante,há 9 meses,0,
"Gol pode ser legal ou ilegal, mas nada tira o fato que o sebastian perdeu um gol incrível, só ele a bola e o gol, e o cara consegue fazer o mais difícil que era acertar a trave",há 9 meses,1,
Orejano vai fazer história no Vasco,há 9 meses,0,
Que vergonha pro futebol brasileiro tá doido,há 9 meses,1,
O time do vasco nao e ruim mas tropeca quando nao pode tropecar sorte que os concorrentes tambem tropecam mas com fe em Deus sairemos dessa vamos  pra cima botafogo nao podemos nem pensar em perdee e torcer tropeço dos outros !,há 9 meses,0,
Também amigo com uma defesa dessa do Cuiabá  5 jogadores do Cuiabá ficaram olhando orellano passar por eles no segundo gol,há 9 meses,0,
😅,há 9 meses,0,
Sou flamenguista mais o Vasco arrebentou o Cuiabá... parabéns nação vascaina🎉👏🏽,há 9 meses,0,
Vasco ganhou só no erro dos caras,há 9 meses,0,
Só deu Cuiabá,há 9 meses,0,
"Estou na torcida pelo rebaixamento do rei da série B "" vasco""",há 9 meses,1,1
"Assim eu choro meu vasco, não vamo cair porra",há 9 meses,0,
"Sou flamenguista mas a verdade é dura, o time do Vasco hoje, está com a mente mais vencedora brigando pra sair da zona de rebaixamento que o Botafogo brigando por título.",há 9 meses,0,
"Não tava impedido 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
Futebol brasileiro é uma piada 😂😂😂😂😂😂😂😂😂",há 9 meses,1,
Vamos vascão torço muito por você,há 9 meses,0,
Se isso não tava impedido eu sou um dinossauro,há 9 meses,1,
Mermao FDS,há 8 meses,0,
Sou gremista mais torço muito prô vascão não cair vamos Vasco,há 9 meses,0,
poque todo lance do vasco o var faz questão de ver e outros time eles nem  comentam,há 9 meses,0,
Em Dezembro vai ser o rebaixamento de vcs😂,há 9 meses,0,
É isso ai qnd o Pec for sair sempre tem q colocar o Orelhano,há 9 meses,0,
"que preguiça que esses caras tem de fazer os melhores momentos  , cortaram vários lances ai .",há 9 meses,1,
"Sou apaixonado por esse time passo raiva mais não tem jeito amo esse time, pro nosso vascão não cair só depende das boas atuações do time agora vitória,foi muito  importante a vitória em cima do Cuiabá sem tirar o merito do time é difícil ganhar eles lá dentro mais ganhamos e só o Vasco jogar futebol de verdade que vamos permanecer na série A ❤",há 9 meses (editado),0,
"Boa noite, Gremista aqui, mas torcendo pro Vasco, esse gigante e sua gigantesca torcida, força pra vocês.",há 9 meses,0,
Que golaço do orellano,há 9 meses,0,
Vamos consegui vascao !!!,há 9 meses,0,
Mano como que não foi impedimento no primeiro gol? Kkkkkk é só olhar a linha da pequena área.,há 9 meses,1,1
Vasco 2 x 0 Cuiabá não derrota 🤦‍♂️,há 9 meses,1,
VASCÃO ❤,há 9 meses,0,
"Primeiro tempo deu sono. Segundo tempo, o Vascão fez dois. Golaço do Orellano. PS - os Zé Regrinhas da Globo estão até agora procurando impedimento no gol do Vasco; usem microscópio eletrônico pra ver se tinha um átomo à frente. Já mataram a regra da Mesma Linha.",há 9 meses (editado),0,
"A linha do VAR está levemente deslocada para validar o gol do Vasco. Está exatamente paralela a linha de fundo, o que não pode. Estudem Geometria Descritiva. Um absurdo.",há 9 meses,0,
Essa torcida do vasco é gigante sempre preenche seu espaço nos estádios,há 9 meses,0,
"Baaaaaaaaaaaaaaaaassssco!

Baaaaaaaaaaaaaaaaassssco!",há 9 meses,0,1
Ja to pensando no Vasco x Botafogo.,há 9 meses,0,
O Vasco da gama não vai cair!!,há 9 meses,0,
Aí é  o vascão,há 9 meses,1,
🎉🎉😊🚂,há 9 meses,0,
Chora,há 9 meses,0,
Sendo assim eu comi tua mãe,há 8 meses,0,
"""sou Botafogo,mais do jeito que o vasco vem jogando certeza que vai toma uma goleada espero.",há 9 meses,1,2
"Cuiabá 3 x 0 FLAMENGO ✅
Cuiabá 3 x 0 FLUMINENSE ✅
Cuiabá 0 x 1 VASCO ❌
Cuiabá 1 x 0 BOTAFOGO✅
Cuiabá 0 x 2 VASCO ❌
 
Incrível que o Cuiabá ganha de time forte e perde pro Vasco que ta em rebaixamento kk.",há 9 meses,0,
Assisti esse jogo.,há 9 meses,0,
Deyverson,há 9 meses,0,
Golaço segundo gol,há 9 meses,0,
Vascooooo 💢🫡,há 9 meses,0,
Te amo vascão 🖤🤍💢🇧🇷,há 9 meses,0,
Cuiabá não merecia,há 9 meses,0,
"2:46 se ele quisesse tocar nem poderia, olha onde a mula tá vey, vianjando trocando ideia com o goleiro do Cuiabá",há 9 meses,0,
Bate a poeira e ir em frente acreditar do  inicio ao fim,há 9 meses,0,
Dale vascão,há 9 meses,0,
"Sou vascaino  mas sabem, o Vasco é  um time refém... Refém  dos adversários  diretos dele, os adversários  tem ajudado demais o Vasco, não  fazendo os deveres de casa. Digo isso porque o Vasco tropeça  nele mesmo nitidamente",há 9 meses,0,
VERGONHOSO O QUE ROUBAM PARA OS GRANDES.,há 9 meses,0,
Tamo so a 3 pontos do Cruzeiro 🖤🖤,há 9 meses,0,
"Sou Santista, confesso que esse argentino camisa 14 do vasco joga muito",há 9 meses,1,
"VASCO!!!
⬜
⬜
⬜⬛⬛⬛⬛⬛⬛⬛🔴🔴
⬜
⬜
⬜",há 9 meses,1,
"Ano passado a FC CBE subiu o Vasco, e  mesma quadilha já entrou em ação, é só olha o primeiro gol do vasco sobre o Cuiabá,  o Vasco não tem nada haver, está na hora de uma CPI do futibol , onde está o presidente da CBE? O que aconteceu, e continua",há 9 meses,0,
O VASCO NO ABAJAR,há 9 meses,0,
Inacreditável incrivel e o ditado você vai de vasco,há 9 meses,1,
Edmundo tinha criticado o Orellano no jogo contra o Flamengo tá aí a resposta dentro de campo,há 9 meses,0,
"Sou botafoguense mais pra isso tem q jogar muito, igual o 1° tempo contra o Palmeiras",há 9 meses,1,
" @emersonsilva-qg2im  ""saudações botafoguense,realmente foi um primeiro tempo impecável do Botafogo iremos vencer o vasco,mais uma vez,lutaremos até o final da competição é seremos campeões"".",há 9 meses (editado),1,
"Q golaço do orelha!
Primeiro por ter passado por toda a zaga do Cuiabá e segundo por ter visto aquilo que o Alex Teixeira não teve a capacidade de ver: QUE ESTAVA COMPLETAMENTE IMPEDIDO",há 9 meses,1,
"Escreve aí vão derrubar o Bahia, Goiás e deixar cruzeiro e Vasco na série A",há 9 meses,0,
"Impedimento claro, esse futebol brasileiro está cada vez mais difícil de acreditar que tenha alguma chance de melhorar, facilita para os ""grandes"" e complica para os mais """"pequenos"""".",há 9 meses,0,
"Vasco e pra quem acredita, valeu meu vascão!",há 9 meses,1,
"""Não  impedido"" assim só a favor do baxquinho ou do curintia, mesmo assim eles caem de tempos em tempos.",há 9 meses,0,
Isso aqui e vasco o time do impossível e que não existe impossível pra ele,há 9 meses,0,
"Tá muito difícil o vasco escapar do rebaixamento, mas vamos continuar acreditando",há 9 meses,0,
Cuiabá só joga fora de casa,há 9 meses,0,
Golaço do argentino! 👏👏👏👏,há 9 meses,0,
O gigante da colina não vai cair🎉,há 9 meses,0,
"Que coisa ridícula esse VAR, o lado certo da linha de impedimento quê era pra mostrar eles não mostraram. ABSURDO ESSE VAR!",há 9 meses,0,2
"nesse ritmo o Léo jardim  vai servir a celeção brasileira em breve, ainda mais se o vasco conseguir ficar na série A",há 9 meses,0,
PERDER PRA POR|*** de um time de Série B e que vai voltar pra lá é triste! A diferença técnica e de equipe do Cuiabá pra esses times que lutam contra o rabaixamento é gritante. Futebol infelizmente é injusto e o Cuiabá tem errado muito contra os que vão cair! Are re re o Vasco vai voltar pra Série B eeeeeeeee!  Are re re o Vasco vai voltar pra Série B eeeeeeeee!  Are re re o Vasco vai voltar pra Série B eeeeeeeee!,há 9 meses,0,
Desde q entendo de futebol o Vasco só luta pra não cair. A torcida não merece isso.,há 9 meses,0,7
"Mano os cara nem colocaram a linha vermelha, que análise do impedimento estranha foi essa",há 9 meses,0,
Sério que esse 1° gol foi legal ???,há 9 meses,0,
"Eu não vi esse jogo, mas se tivesse assistido teria um enfarto",há 9 meses,0,
"UMA VERGONHA PRA ESSE TIME DO CUIABÁ, é por isso que eu não vou mais NA ARENA PANTANAL, oque  JUSTIFICA A VITORIA DO VASCO UM TIME QUE ESTA NO FUNDO DO POÇO  ganhar do Cuiabá que ganhou do Botafogo que esta em primeiro lugar no Campeonato,  então eu ACHO QUE ESSE TIME DO CUIABÁ TEM QUE TOMAR VERGONHA NA CARA, e fim de papo...!!!!",há 9 meses,1,
"Vai nadar, nadar e morrer na praia.",há 9 meses,0,
"Sou Galo e nesse momento estou na torcida tb pelo Vascão, Goias, Bahia....",há 9 meses,2,
Chora,há 9 meses,0,
 @ggggggggg45  pra sair da segunda tem quê ser assim + não vai sair não vai ficar lá.,há 9 meses (editado),0,
"Então você tá dizendo que tem 10 anos? Eu sabia que era Enzo, se entregou muito aí kkkkkkkkkkkkkkk",há 9 meses,0,
" @euicaro_emanuel  tenho 30 anos, último título do Vasco foi em 2000. De lá pra cá só luta pra não cair. Ou está errado sabe tudo?",há 9 meses (editado),0,
" @rapecompromisso1993  Mas esse Vasco que você diz ter sido campeão pela última vez é o de Portugal ou da Espanha? Tem vários Vasco mano, tenho 32 anos e falo do Vasco Da Gama time do Rio De Janeiro, último título a nível nacional foi em 2011, acho que você é quem está errado, antes de assitir futebol ligue primeiro a tv irmão.",há 9 meses (editado),0,
" @rapecompromisso1993  Eu já estava esquecendo, obrigado por me chamar de sabe tudo, infelizmente você não sabe nada.",há 9 meses (editado),0,
 @euicaro_emanuel  Vasco foi campeão brasileiro em 2011? Vc usa drogas?,há 9 meses (editado),0,
" @rapecompromisso1993  Vasco foi campeão da copa do Brasil, copa do Brasil é um título a nível nacional ou é um estadual? Pare de usar drogas irmão, 30 anos de muita burrice e drogas né",há 9 meses (editado),0,
 @euicaro_emanuel  o assunto é brasileiro inteligente. Se sabe ler?? Falei desde que entendo de futebol o Vasco luta pra cair. Tem rebaixamento na copa do Brasil? Vc e burro em,há 9 meses (editado),0,
"Alegria dura pouco, porque esse time do Vasco vai ser rebaixado com certeza, oh timinho feio é esse do Vasco...",há 9 meses,0,
Eu tava lá,há 9 meses,0,
O Vasco a então  tão entregando  .alô Cuiabá vou mandar  um presente ai,há 9 meses,0,
Deixa um 👍 quem fez o método que ensinei e deu bom!!!🤑🎰,há 9 meses,3,1
rapaz sério que o VAR aceitou esse primeiro gol do vasco ? kkkkk,há 9 meses,0,4
"Se o gol do pec foi regular, eu nao sei, mas ao contrário do que estão dizendo, que tem uma ""operação salva-vasco"" eu nao acho isso, se foi um erro do var ter validado o gol, acho que seria falta de profissionalismo msm, o próprio Vasco foi mto prejudicado nesse brasileiro, com gols mal anulados inclusive, como o do Paulinho contra o Palmeiras.",há 9 meses,0,
Tô até vendo na próxima rodada o Vasco arrancando mais 3 pontos e contra o Botafogo kkkk,há 9 meses,0,
"Primeiro gol com impedimento não marcado, Rouba muito vasco",há 9 meses,1,
Primeiro gol irregular ! Interferiu na dinâmica da partida.,há 9 meses,0,1
"cara acho q vai brigar ate a ultima rodada !! espero que não caia !! cada ponto vai ser muito importante agora, esse clássico contra o Botafogo vai ser divisor de aguas , Vasco pode dar a si mesmo gás Para sair dessa situação  e ao mesmo tempo pode dar o que o Palmeiras precisa para ser campeão !!",há 9 meses,1,
"Não foi impedimento não, foi muito impedimento, o Vasco é medíocre.",há 9 meses,0,1
Domingão tem jogão do meu coringão 🔥🔥🔥🦅🦅🦅,há 9 meses,0,
"Operação salva Vasco, pec mt impedido, pqp, esse é o Brasil",há 9 meses,0,
Sou Palmeirense e tô na torcida pro Vascão permanecer na série A e pro Santos Nanico cair 😂😂😂,há 9 meses,0,
Se o Vasco empatar em um a um eu mato UM.,há 9 meses,0,
"Que golaço do Orellano e que goleiro bom que o Vascão tem, Léo Jardim o melhor do Brasileirão.",há 9 meses,6,
Cuiba ganha do líder perde pro Vasco,há 9 meses,0,1
o primeiro tava impedido var no Brasil q piada rs,há 9 meses,0,
