text,time,votes,replies
"Fala, torcedor! O que achou do resultado? 
🌟 Assine Premiere: https://gplay.la/ytgepremiere",há 1 ano,73,17
Bora Athletico Agustín Canobbio ❤🖤,há 6 meses,1,
Tem que tirar o H se não serie b,há 11 meses,0,
o tanto de gol que o inter perdeu tá de brincadeira,há 11 meses,1,
Pedro Henrique perdeu uma chance inacreditável,há 1 ano,0,
Incrivel como o  inter  perdia  gols mas deu a volta,há 1 ano,0,
Destruir o Internacional o poderoso que conseguiu ser o Palmeiras por 3 a 0 ano passado,há 1 ano,0,
"O meu pai sempre me falou , o furacão  é um diabo,  eu sou santista",há 1 ano,1,
Impressão minha ou a torcida do Inter so vai ao estádio quando joga contra o Fla ou Grêmio?,há 1 ano,1,1
Agora é o que?,há 1 ano,1,
Essa camisa do Atlético Paranaense é muito linda nota 10,há 1 ano,1,
"E esse gol do Willian tá louco, gol de craque",há 1 ano,0,
"INTERNACIONAL SE ESPELHANDO NO RIVAL , PERDENDO MUITOS GOLS!!!!",há 1 ano,0,
"Grande Eduardo Vargas, hj ele jogou pensando q estava no meu gremio ainda..",há 1 ano,0,
Athletico é pouca mídia e muito futebol.,há 1 ano,1,
"Golaço do bigode , atlético paranaense fez um baita investimento 😅",há 1 ano,1,
"Esse brasileiro tá demais, e esse roque tem um baita futuro",há 1 ano,1,
Kkkk.. zaga do Inter igual funcionário público caçando serviço,há 1 ano,0,
Quem Não faiz tomar intenacional Ridículo,há 1 ano,0,
O goleiro não só ganhou SG como também ganhou assitência no cartola,há 1 ano,0,
"Sou flamengo e Venho agradecer ao patético e ao moranguinho, por encher estádios quando o gigante nacional flamengo vai jogar aí. Vcs são comédia, e reconhece que o gigante flamengo é o maior do Brasil.",há 1 ano,2,
Inter é meu filho.,há 1 ano,4,
"​ @alexandremoraesalmeida33  zona de rebaixamento, não pode comentar.",há 1 ano,5,
TUDO NORMAL NO SUL⚫🔴🌪🇧🇷,há 1 ano,2,
 @fanaticoatleticano2844  meu grande freguês.,há 1 ano,1,
