text,time,votes,replies
"Bahia vai conseguir permanecer na Série A?
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 8 meses,36,25
Manda aí alô pra Renilson e Valdeir aqui de Miguel Calmon,há 6 meses,0,
Parabéns Bahia Éverton Ribeiro ❤💙,há 6 meses,1,
"Vamos que vamos Bahia 
Miague falando de Chapecó. 
Santa Catarina",há 6 meses,0,
Time pequeno do Bahia é essa cina,há 8 meses,0,
"O City Group não se preocupou com a torcida do  Bahia. Uma SAF  que até agora prejudicou a parte profissional do futebol do clube. Os torcedores ficaram tão emocionados com a chegada do City Group,  que,  no delírio, alguns disseram ""O Bahia é o mundo"". Mistura de  Arrogância e  ilusão por parte de quem isso citou. A realidade está levando para ""O Bahia é Série B"". Lamentável. Se eu fosse Bahia estaria muito chateado.",há 8 meses,0,
E como migou acontece tudo tudo tudo tudo tudo tudo tudo tudo tudo tudo tudo tudo tudo tudo tudo tudo tudo tudo tudo tudo tudo tudo tudo,há 8 meses,0,
Nada nada nada nada nada nada nada nada nada nada nada nada nada nada nada nada nada nada nada nada nada nada nada nada nada diz nada nada nada nada nada nada nada nada nada nada nada nada nada,há 8 meses,0,
E como ele acontece que Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo????????,há 8 meses,0,
Ele mim Punição maneira pisicologica,há 8 meses,0,
Eles apertado minha cabeça mente porque aqui rua sem saída,há 8 meses,0,
E como ele acontece que Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo??????????,há 8 meses,0,
Prde meu carro BAVIERA consócio disal pode lá ver verdade e,há 8 meses,0,
Prde meu trabalho sem nada nada nada nada nada nada nada nada nada não consegui mas nada nada nada nada nada nada nada nada nada nada nada,há 8 meses,0,
Prde minha saúde perde minha paz ouvindo coisa aqui direto sempre maneira indireta ouvindo 👂 sutil transparência,há 8 meses,0,
Mas eles agir de forma muito dura muito crúel acontece mortes mortes mortes mortes mortes mortes mortes mortes mortes mortes mortes mortes mortes mortes mortes mortes mortes mortes,há 8 meses,0,
ano 2015 Eu Fek news pessoa Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo Léo,há 8 meses,0,
aqui desabafo,há 8 meses,0,
Aqui desabafo!!!!!!!!!,há 8 meses,0,
"São Paulo precisa da vitória para estar matematicamente na Série A. São Paulo irá a 50 pontos e o Bahia 17° lugar chegará no máximo a 47 pontos. As 2 últimas partidas do São Paulo são contra o Atlético MG (fora) e Flamengo (casa) e ambos estarão lutando pelo título, ou seja, São Paulo não fará nenhum ponto nessas 2 partidas e não pode estacionar com 47 pontos correndo riscos reais!
________

Bahia não vai ganhar nem 2 e fazer 47 pontos kkkk Engana os torcedores iludidos que eles gostam kkkk
________

O Bahia já está na série B, só falta terminar o campeonato e já pode estar rebaixado matematicamente no jogo contra o América MG!

São Paulo não quer entrar para história como única equipe grande (e que não foi rebaixada) a não conseguir ganhar fora de casa desde 2006:
- Ipatinga 2008
- Sport 2009
- Criciúma 2014
- América MG 2016
- América MG 2023
- São Paulo 2023
________

Anota para não esquecer:

Bahia vai perder do São Paulo e do Atlético MG, e vai no máximo empatar com o América MG
________

Kkkk O número para sair do rebaixamento aumentou para 47 pontos! 6 pontos que o Bahia jamais vai conseguir! Anota para não esquecer:

- Bahia perde do São Paulo: 41 pontos
- Cruzeiro vence o Athlético PR: 47 pontos
- Vasco vence o Corinthians: 45 pontos

Conclusão: Bahia já no jogo do América MG estará praticamente rebaixado em caso de derrota para o Time Mineiro!

América MG está ganhando R$ 1 milhão para mandar o jogo em Uberlândia, fora que vai ganhar mais de R$1 milhão de mala branca dos adversários (Cruzeiro, Vasco, Santos e Corinthians) do Bahia que brigam para não cair para série B.
_______
Obs: O jogo do Bahia contra o Corinthians foi a melhora da morte, o time está quase morrendo (caindo para Série B) e tem uma pequena melhora, depois morre!",há 8 meses,0,
Não 👍,há 8 meses,2,
Não 😂😂,há 8 meses,0,
Não kkkkk,há 8 meses,1,
Talvez 44 pontos escapa mais só sonhando KKK vitória seria A Bahia série B kk,há 8 meses,1,
Vai Porque Rogério Vai Arrumar E Nós Iremos Ganhar Contra O Corinthians 😭,há 8 meses,7,
Acho que sim,há 8 meses,2,
"Já caiu, esse time de puta 😂😂😂😂🐟🐟🐟",há 8 meses,0,
Se depender dá mídia do eixo principalmente de Rizek e o cearense do Paraguai infelizmente  não!!,há 8 meses,1,
"Sim , as Marias é que vão p 🅱️🅱️🅱️🦊🦊🦊😂😂😂",há 8 meses,0,
"​ @Tristesigma 44 é garantido , Bahia ganha do América e o Galo vai entregar p rebaixar o cruzeiro",há 8 meses (editado),0,
NÃO,há 8 meses,0,
"Bahea vai ganhar do São Paulo, América e Galo vai facilitar para o Cruzeiro cair...mais 9 pontos",há 8 meses,0,
Pra min fica sim o único time que vai ser chato pro Bahia e o Corinthians,há 8 meses,1,
" @romero345  Como se o Bahia tivesse bem no campeonato pra fazer frente a alguém... Tomando 3x0 do Cuiabá dentro de CASA.

Eu cravo que ele SÓ ganha mais 1 partida, que é contra o América, o resto ele perde e empata.",há 8 meses (editado),0,
 @lucianooliveira5878  Nem você acredita nisso,há 8 meses (editado),0,
Muito provável,há 8 meses,0,
Parece que vai escapar mais vai ter que brigar muito,há 8 meses,0,
Não.,há 8 meses,0,
Sim,há 8 meses,0,
Time que não ganha em casa tem caí pra série B,há 8 meses,0,
