text,time,votes,replies
"Emoção! Bruno Henrique volta a marcar um gol pós 428 dias. O que achou da partida? 
🌟 Assine Premiere: 
https://gplay.la/ytgepremiere",há 1 ano,"1,4 mil",150
Que narração meu Deus😢😢😢,há 2 semanas,0,
Voltando aqui em 2024 e percebendo que ninguém tava xingando a narradora😅,há 4 semanas,0,
"duvido vc chegar no final 
































































































































































































































































































ta muito lento mais rápido possível 























































































































































































































quase lá 






































































































.















































































































mais um pouco 










































































...................



































🎉🎉🎉🎉🎉🎉🎉🎉
se você conseguiu da like
mas se vc não quiser pode não da like",há 1 mês,1,
alguém em 2024,há 1 mês,0,
30,há 2 meses,0,
NnamamnaabbavnvsbsbsbsnsvnabnabansbsmabBambamabaabanjsbambanhanamashsnbmvabnsbbamzabbsmznbnabMBbsbbbvvmvhkajjbzb🙏♥️🤲,há 2 meses,0,
0:00 0:00 Grêmio❤❤,há 2 meses,0,
CapazesJUNAM,há 3 meses,0,
Grêmio   vai  ganhar   do   Flamengo 1:30,há 4 meses,1,
KKKKKKKKKKK GRÊMIO PERDE COMO SEMPRE PRO MENGÃO 😂😂,há 5 meses,0,
Foi emocionante. Muito fã do BH. Eu teria um desgosto profundo ver o BH fora do mengao. Espero q se aposente no mengao,há 6 meses,1,
❤❤❤❤❤❤❤,há 6 meses,1,
Onde tem esse jogo completo??🥺🥺 Queria assistir,há 6 meses,0,
Não vejo a hora do futebol voltar snrz,há 7 meses,0,
Parabéns Flamengo David Luiz ❤🖤,há 8 meses,1,
Eta😂 Flamengo amém,há 8 meses,1,
Eu sou flamenguista,há 8 meses,0,
A mulher kkkkkk GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOLLLLLLLLLLL DO FLAMENGO,há 8 meses,0,
Faltou sorte para o Grêmio não era o dia rsrs,há 9 meses,0,
BH É UM MONSTROOO,há 1 ano,50,
 @user-ju6zb7xn5u  Até chorei por causa deste gol 🥹🥹,há 1 ano (editado),38,
BH pé de rato perdeu um Gol na cara,há 1 ano,6,
Flacheirinho sem estádio real Madrid está esperando,há 1 ano,8,
 @AugustoGusmao-gp6et  emocionante,há 1 ano,13,
​ @AugustoGusmao-gp6et  eu quebrei meu relógio por conta do gol dele kkkk,há 1 ano,15,
​ @AugustoGusmao-gp6et  eu tbm quase choro kkkk,há 1 ano,11,
Só a narração q fica ruim mas de resto,há 1 ano,16,
​ @user-ju6zb7xn5u  é mesmo,há 1 ano,8,
 @luanacam  galinha rebaixado,há 1 ano,11,
​ @luanacam  Maior q o Altetico,há 1 ano,9,
A narradora tá engasgada,há 1 ano,10,
"Pô mn n sei oq foi mais maneiro, se foi o gol ou a entrevista dele. Muito massa ver ele dando entrevista com aquele jeitão estabanado dele, e ainda por cima emocionado. Cara é ídolo demais.",há 1 ano (editado),7,
​ @luanacam é seu hulk também é,há 1 ano (editado),7,
​ @user-ju6zb7xn5u  Ídolo ❤🖤🖤🖤🖤,há 1 ano,4,
 @cruzeiro5848  Ano passado não ficamos no cheirinho na libertadores e na copa do Brasil e o seu time oq ganhou me fala ?,há 1 ano,11,
"mengâo vulgo malvadâo, os antis tão começando fica com o c** na mão",há 1 ano,6,
​​ @luanacam  tá revoltada por que ele não quis ir pra franga recaída 😂😂,há 1 ano (editado),8,
BH é ídolo nunca critiquei,há 1 ano,9,
kkk Chorar pra que?!?!  kkkk  esses enzos são Føda!!!!,há 1 ano,2,
"​​ @Desde_1903_  Especifique ""roubo"". Meia palavra n basta. Não te ensinaram isso em casa?",há 1 ano (editado),5,
 @kauannunes2851  ❤🖤,há 1 ano,2,
Verdade fico muito feliz ❤,há 1 ano,1,
​ @luanacam  some secador,há 1 ano,2,
Diferenciado,há 1 ano,1,
Emoção com essa narração é impossível.,há 1 ano,1,
"​ @cruzeiro5848  Aqui temos remédio pra dor de cotovelo chorão,kkkkkk",há 1 ano,6,
​ @luanacam  mais e claro o cara levou quase um ano fora dos Gramados vc que o quer .. diferente de muitos que joga e treina todos os dias e perde um caminhão de Gol,há 1 ano,6,
Gostei Bh e ele é de bh,há 1 ano,2,
É o monstrão aí ó Segura esse Flamengo aí,há 1 ano,4,
​ @luanacam  inveja😂,há 1 ano,1,
Bruno Pacheco é importante demais pro flamengo!🎉❤,há 1 ano,2,
​ @user-ju6zb7xn5u Bruno Henrique é muito bom,há 1 ano (editado),5,
Flamengo nome de bairro nanico,há 1 ano,0,
​ @luanacam Bruno Henrique é craque!❤🖤❤️🤩🥰,há 1 ano (editado),5,
​ @cruzeiro5848 sem mundial 😂🎉,há 1 ano (editado),4,
Foi um treino de luxo.,há 1 ano,1,
​ @cruzeiro5848 e o cruzeiro tem estádio Agora é?,há 1 ano (editado),2,
" @cruzeiro5848  falou o bobão, corno manso sem noção. Otario!",há 1 ano,0,
" @vacantoroficial9211  , esse merda não passa de um invejoso. Fato!",há 1 ano,0,
BH é diferenciado... Sucesso,há 1 ano,0,
"Normal, o maior venceu mais uma vez",há 1 ano,4,
​ @cruzeiro5848  nanico kkkkk,há 1 ano,1,
"Isso nao gramado é pasto de boi, Mineirão  tambem vergonha,torço po banhia parabens bota verdao furacao, pelo, gramado, o Gabopinguinha  so joga em pasto",há 1 ano,0,
" @Desde_1903_  Me ensinar oq? Vc n sabe analisar um lance de forma concreta e parcial sem deixar sua raiva por um time alheio te influenciar, tem crtz q eu q preciso ser ensinado? Sabe oq é bola na mão? Sabe a diferença entre bola na mão e mão na bola? Aliás, vou melhorar a pergunta: vc sabe das regras do futebol? Tá muito claro q não. Vou encerrar com vc, deve ser só mais um boiola q tá mordendo a fronha de raiva pq n conseguiu secar o Flamengo.",há 1 ano (editado),0,
​ @cruzeiro5848  seu timeco cai esse ano denovo 😅,há 1 ano,0,
Isso não muda o fato de varmengo não ter estádio,há 1 ano,0,
Como é bom ver o Bruno Henrique jogando e fazendo gols,há 1 ano,0,
"​ @Desde_1903_  putz major, tá precisando de óculos?",há 1 ano,0,
​ @Desde_1903_ cincun!!! Kkkkkkkkkk,há 1 ano (editado),0,
Só a narração que é horrível,há 1 ano,0,
 @luanacam  O BH é melhor que qualquer jogador do Atlético KSKSKSKSKSK,há 1 ano,0,
Essa narração do cão,há 1 ano,0,
​ @Desde_1903_  Só sei que foi goleada 🙅🙅🙅,há 1 ano,2,
​ @Desde_1903_  🅱️remio vai pra 🅱️🅱️🅱️,há 1 ano,2,
 @Desde_1903_  kkkkk cheira o 3x0 kkkkkkk,há 1 ano,2,
​ @cruzeiro5848  está esperando o Cortuois pegar um gol do City,há 1 ano,0,
​ @luanacam  qm é o galo? Perdeu com uma vantagem de 2 a 0 kkk,há 1 ano,0,
​@Flu e City vlw mano!,há 1 ano (editado),1,
