text,time,votes,replies
E os dois times seguem sem vencer no campeonato! Qual time merecia os 3 pontos?🤔,há 1 ano,129,66
Otávio é péssimo,há 11 meses,0,
"Enquanto o rueda n for embora, esda merda n muda.",há 1 ano,0,
🐬🐳🐋🦈🦭🐡🐟🐠/🐔🐓🐥🐤🐣,há 1 ano,1,
eu amo eses dois times. boms goleiros.,há 1 ano,0,
"Impressionante o que as últimas Diretorias fizeram e a atual ainda faz com o Santos FC!.........:hand-orange-covering-eyes:.........Entre os Grandes seguramente o mais Tradicional Clube do Brasil, JAMAIS Rebaixado, hoje é um ARREMEDO de Time, e à meu ver o maior favorito ao Rebaixamento!.....",há 1 ano (editado),0,
"OS JOGADORES DE FUTEBOL,DA ATUALIDADE,NÃO SABEM A JOGADA DE (CALCANHAR) ACHO QUE ELES NÃO SABEM.",há 1 ano,1,
Vamos alianza a ganarles a esos brazucas,há 1 ano,0,
Teve melhores momentos????,há 1 ano,0,
O Santos precisa trocar de Técnico Urgente 🚨,há 1 ano,0,
🙆🙆🙆,há 1 ano,0,
Quem vai na missa de sétimo dia do Sr. Futebol?,há 1 ano,0,
A disputa pelo 16° lugar esse ano vai ser grande,há 1 ano,0,
"Se o Santos n cair esse ano, n cai nunca mais. Q time ruim !!!!",há 1 ano,0,
Horrível!,há 1 ano,0,
COM TODO RESPEITO AO SANTOS QUE AO LADO DO SÃO PAULO É UM CLUBE GIGANTÃO . MAS NA PRÓXIMA RODADA EU ESTOU CONFIANTE NA PRIMEIRA VITÓRIA DO COELHÃO 🐰.,há 1 ano,0,
Santos e atlético se reinventou no futebol poderia jogar sem goleiros esse jogo que saia 0a0 kkkkk,há 1 ano,0,
Vargas e pavon no Banco tá de bricadeira o time tá ruim demais,há 1 ano,0,
Alguem avisa pro prueda q o santos tm o dna ofensivo.  Acho q ele n sab ainda. Contrata 1 tec retranqeiro do carai. Contratauns 6 zagueiros ruins . Uns meios campistas ridiculos . Oq salva eo jp. Soteldo e luks lima.,há 1 ano,0,
RUEDA e Odair fazendo tudo que eles podem pra rebaixar meu time. Bando de traças! Pior ainda é quem defende.,há 1 ano,0,
O santos claro!,há 1 ano,24,
Santos,há 1 ano,13,
Santos,há 1 ano,11,
Santos sempre santos,há 1 ano (editado),10,
O Santos jogou melhor merecia muito o resultado,há 1 ano,10,
Santos (sou palmeirense mas gosto do peixão da vila),há 1 ano,10,
O Atletico Mineiro tem o melhor Time,há 1 ano,8,
Santos,há 1 ano,6,
​ @BrunoFormiga32  mas pq então não ganhou ?😅,há 1 ano,7,
 @coragem6639  porque não queria humilhar o Santos,há 1 ano,5,
" @BrunoFormiga32  sim, foi isso sim...",há 1 ano,2,
"kkkk...santos deu um chute perigoso ao gol...Galo deu mais de 15,com umas chances fe verdade...bols na trave..
o goleiro fazendo defesas dificies...placar moral...2x0 pro Galo...",há 1 ano,5,
Atlético MG,há 1 ano,4,
​ @Donetsk378  eae cuequinha branca 👍,há 1 ano,1,
Nenhum dos dois timecos,há 1 ano,1,
​ @LuizEduardo_577 depois de livrar o Palmeiras do tri rebaixamento 😂,há 1 ano (editado),1,
 @BrunoFormiga32  vocês também tem e não ganhou do internacional.,há 1 ano,1,
 Fanático cosplay  dois nanicos,há 1 ano,1,
Merecia os 3 pontos quem conseguiu assistir esse jogo,há 1 ano,1,
 @juliocezar1626  flamengo jogou melhor tambem kkk...tem fazer golllll ...nao adiamta chuta tamto para o golll,há 1 ano,1,
O CAM teve mais oportunidades,há 1 ano,3,
 @torcedor2737  EAE cuequinha azul,há 1 ano,2,
 @torcedor2737  EAE cuequinha azulzinha👍🏻,há 1 ano,3,
 @Donetsk378  eae cuequinha branca 👍,há 1 ano,1,
 @Donetsk378  quase o Vasco ganhou hein,há 1 ano,0,
​​ @torcedor2737  oque tem haver o Vasco sobre a conversa de tudo isso?,há 1 ano (editado),2,
 @Donetsk378  ah errei de vídeo amigão pois  pensei que estava comentando com você  no jogo do Vasco e Palmeiras...Foi mal hein,há 1 ano,0,
"Atlético logicamente, não fez gol mas mandou no jogo.",há 1 ano,0,
O atletico não conseguiu ganha do pior time do cpeonato paulista vcs acham que o atletico vai ganhar de alguém.  Se pudesse perdia os dois dois time doentes em campo que vergonha de ser atleticano,há 1 ano,0,
"Galo merecia. Atacou o primeiro tempo inteiro e teve muito mais chances e posse de bola.
O problema é que sofremos da BURRICE de Coudet, e o time todo jogo é diferente. Um dia Patrick é volante, no outro joga na esquerda, depois, na direita, mais tarde é lateral.
Resumindo, Coudet é burro e os jogadores nunca estão em suas posições por conta das irregularidades das substituições",há 1 ano,0,
​ @lucasfriedrich2066  concordo PLENAMENTE,há 1 ano,0,
​ @Vermelhoo292  Vasco da gama,há 1 ano,0,
​ @BrunoFormiga32  mentira,há 1 ano,0,
​ @Usuario_de_K9  foi não,há 1 ano,0,
