text,time,votes,replies
O que acharam da partida? 🤔,há 1 ano,72,58
E D i N E i,há 2 meses,0,
Parabéns  meu Cabuloso..Em frente 😂😅🎉,há 1 ano,0,
Como que o Wesley perde um gol desses pqp,há 1 ano,0,
Teve cobrança de pênalti ou não?,há 1 ano,0,
"COMO É QUE PODE ESSE WESLEY. MANO. SE EU SOU DONO DO TIME TINHA RESCINDIDO O CONTRATO DELE NO MESMO DIA. SE DIZ ""PROFISSIONAL"". NEM O MAGUIRE PERDERIA AQUELE GOL.",há 1 ano,0,
Globo filha da puta. Só da highlights.  Pra ver o jogo completo tem que pagar. Seus capitalistas de merda.,há 1 ano,0,
"Meu Deus como Cruzeiro perde gols, fara falta no fim do campeonato",há 1 ano,0,
Muito bom❤,há 1 ano,0,
Ataque sem vergonha 😤,há 1 ano,0,
Ta faltando um r9 no cruzeiro pelo amor de deus erra muito na finalização,há 1 ano,0,
Esse Wesley é uma água.. não parece o mesmo do Palmeiras... Perde cada gol esse camarada...,há 1 ano,0,
"Será possível que o Ronaldo não dá conta de trazer pelo menos um atacante que saiba fazer Gols, manda esse Wesley pra Marte deixa de pagar os QUINHENTOS mil q paga pra ele e traz um Atacante de qualidade.",há 1 ano,0,
porra cara dribla o goleiro  e perdi um gol daqueles é  de lasca,há 1 ano,0,
Cruzeiro jogou melhor merecia a Vitória,há 1 ano,0,
"Na moral , time do cruzeiro parece que esta jogando pelada...😮",há 1 ano,0,
"Wesley joga muito, mas tem horas que ele iventa como no caso desse gol que perdeu.",há 1 ano,0,
🎉,há 1 ano,0,
Eita que jogo,há 1 ano,0,
Boa.,há 1 ano,0,
Achei um show de horrores.😮,há 1 ano,7,
 Wanluupier  cara vc teve duas chances e errou nas duas. Kkkkkk,há 1 ano (editado),3,
CRUZEIRO DOMINOU ATÉ FICAR COM 1 A MENOS,há 1 ano,6,
um show de horrores,há 1 ano,1,
Tive que pegar o microscópio para assistir esse confronto de dois times minúsculos,há 1 ano,4,
​ @Mr.Dog_D Patético Mineiro não tem 10% da história do Crubbbeiro que é o maior de Minas disparado,há 1 ano (editado),2,
