text,time,votes,replies
"Botafogo está jogando o melhor futebol do Brasil?
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 1 ano,105,24
Parabéns ao Botafogo Fernando Marçal 🤩🤩,há 6 meses,0,
Esse é o Botafogo 🎉,há 8 meses,0,
Que narração ruim.,há 9 meses,0,
Grande estrela solitária!😎👏🏿👏🏿👏🏿,há 9 meses,0,
Palmeiras  agradece  se ganhar quarta o circo pega fogo,há 9 meses,0,
Rapaz o que que é jogo né..só deu Cuiabá o tempo todo ai o botafogo acha um pênalti kkkk ...que coisa,há 9 meses,0,
É . COMPLICADO,há 9 meses,1,
Kkkkkkk medíocre,há 9 meses,0,
Cavalo paraguaio,há 9 meses,0,
Muito boa campanha  do botinha tem muito jogos ainda pra tirar o mofo de anos sem ganhar um título importante,há 9 meses,0,
"O dia ja vem raiando meu bem, tiquinho soares é foda",há 9 meses,0,
"Muito cuidado com o Cuiabá, o time deles não é  bolo tem excelentes  jogadores",há 9 meses,0,
"Só deu Cuiabá,pena que não saiu vencedor.",há 1 ano,0,1
Grande partida do J Cafu!,há 1 ano,0,
Botafogo soube sofrer nessa partida,há 1 ano,0,
"Odeio o Botafogo brincadeira.😁      oque esta fazendo ada jogo, que fase, ótimo trabalho, que bom o povo tá vendo os times do rio com bons olhos. Retirando o mengo 😂",há 1 ano,0,
"Se o bota fogo jogar dessa forma contra o Palmeiras vai perder fácil  ,poq só deu Cuiabá .",há 1 ano,0,
DReagir Cuiabá reagir a série 🅱️ e logo ali 🅱️🅱️👻👻👻👻👻,há 1 ano,0,
"Botafogo medíocre...
Brasileirão VENDIDO...
""Bets"" mandando na Po44@ toda...
Nunca EXISTIU campeonato mais estranho...
ESCREVE...
...
...
...",há 1 ano,0,
Sim,há 1 ano,6,
"Não mesmo, tem q melhorar muito jogou nd hj",há 1 ano,2,
Vamos ver no próximo jogo contra o palmeiras completo,há 1 ano,4,
" @diegorodrigosilva Palmeiras jogou sem 3 titulares, Botafogo jogou sem 4 titulares. Faz parte, campeonato longo.",há 1 ano (editado),9,
Só deu Cuiabar kkkk,há 1 ano,1,
" @Vnbrtl  errado! o Palmeiras jogou sem quatro titulares(Weverton, Piquerez, Veiga e Rony) e mesmo assim jogou melhor teve várias oportunidades sem falar nos lances polêmicos, bola que entrou e blá na mão no último lance e não revisaram, já o Botafogo só teve o erro da defesa do Cuiabá que gerou o pênalti, no mais foi amassado o jogo inteiro!",há 1 ano (editado),2,
Melhor futebol do Brasil é do Atlético Mg disparado,há 1 ano,0,
 @luanacam  tu ta em todo lugar meu kkk,há 1 ano (editado),0,
" @giorleyfranca8594  Entendi, mas isso acontece, nem todo time que tá brigando no topo vai jogar bem o tempo todo. Palmeiras foi amassado pelo SP e saiu com 2 x 0. Parada é ter resiliência, e tanto Botafogo quanto Palmeiras já demonstraram que tem.",há 1 ano (editado),3,
 @giorleyfranca8594 botafogo também teve um pênalti não marcado. Cara meteu a mão. Nem por isso ficou reclamando.,há 1 ano (editado),2,
