text,time,votes,replies
"E aí, o que achou da partida? Quem mereceu ganhar? 
🌟 Assine Premiere: 
https://gplay.la/ytgepremiere",há 1 ano,36,5
Ouvindo no mudo NARRAÇÃO HORRÍVEL,há 9 meses,0,
BORA BAÊAAA🗣🗣🗣🗣🗣🗣,há 9 meses,0,
😂😂😂😂😂😂😂😂😂,há 11 meses,0,
Volta por palmeira deyvinho,há 1 ano,0,
1 tempo bahia errou muito,há 1 ano,0,
"Péssimo melhores momentos, não repete os lances duvidosos, imagem horrível",há 1 ano,0,
"Mingote é tão ruim, que o gol que é pra ele fazer, o zagueiro fez contra.",há 1 ano,0,
Cuiabayern é incaivel e o Bahia tem que ficar pra ter BaVi ano que vem,há 1 ano,0,
Que narração horrorosa 🤦🏻‍♂️ Luciano do Valle deve tá se tremendo todo na cova.,há 1 ano,1,
"Meu fogão vai ser Campeão. Gosto do Bahia, mas com esse técnico o time não encaixa. Porteiro do Z4, o Bshia vai mal. Houve investimento relativamente alto e o time não responde. Não dá para entender. O City Group  vai deixar o Bahia voltar para a Série B? É o que parece.",há 1 ano,0,
Narradora ruim da peste,há 1 ano,0,
Inacreditável uma pelada dessas ser um jogo de primeira divisão!,há 1 ano,0,
Timinho vagabundo esse Cuiabá,há 1 ano,0,
Acho que o serto era ela narra pé 👣 esquerdo,há 1 ano,0,1
"Esse JahiaCity não ganha de ninguém, essa carniça.",há 1 ano,1,
Essa narracão é horrível.,há 1 ano,2,
Cuiabá tinha tudo pra vencer 🙆🏻‍♂️,há 1 ano,1,1
"Nada contra , mas e essa narradora ein (primeiro gol do Cuiabá ) eessa bola vai saindo pela linha lateral, não , penaltiiiii",há 1 ano,2,
Grato ao Cuiabá pelos gols!. Fez dois né....mas o segundo....,há 1 ano,1,
Bahia,há 1 ano,2,
Bahia jogou muito bem no segundo tempo,há 1 ano,2,
Coloca na conta do Alan enpereur que fez gol contra Cuiabá era pra ter ganhado,há 1 ano,2,
O empate tá de ótimo tamanho,há 1 ano,1,
Não é a 14 rodada ADM???,há 1 ano,2,
Certo é escrever corretamente! Rsrsrs,há 1 ano,0,
"Falou bem, tinha...",há 1 ano,0,
EU DOIDO PRA DEYVINHO METER OUTRO GOL PRA EU GRITAR O DEYVINHO É PESCADOR O DEYVINHO É PESCADOR🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟🐟🎣🎣🎣🎣🎣🎣🎣🎣🎣🎣🎣🎣🎣🎣🎣🎣🎣🎣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,há 1 ano (editado),0,
Narração braba,há 1 ano,1,
Filmagem horrorosa. A câmera fica bem longe do jogo.  como vcs são amadores mesmo.,há 1 ano,0,2
Gg,há 1 ano,0,
A zaga do bahia e pessima,há 1 ano,0,
"Imagens mal focadas no lance   que originou-se a marcação do pênalti que resultou no gol desse jogo,  aqui não mostram o lance da possível falta em  Replay desse lance por outro ângulo , o padrão Globo nessa transmissão de imagens deixou  à desejar .",há 1 ano,0,
Like ge 🤙🏻,há 1 ano,1,
"Imagem escura, cheia de sombras,não deu pra ver quase nada",há 1 ano,0,
"bahia quando está fora de casa parece que esta fora de casa e quando esta dentro de casa tmb, ta foda esse bahia.",há 1 ano,8,
Narração terrível,há 1 ano,1,
O jogo foi horrível com uma transmissão desta,há 1 ano (editado),1,
"Pelo amor de deus, que narração é essa kkk",há 1 ano,1,
Pelada horrorosa de 2 postulantes ao rebaixamento. Bahia é tão fraco que precisa de um gol doado pelo adversário.,há 1 ano,0,
A narração dessa mulher é pra lá de bizarra! Horrível!,há 1 ano,2,
Adorei assistir o jogo no MUDO❤,há 1 ano,2,1
"Bora melhorar Bahia, bora ganhar pra fica bem no campeonato! 🎉🎉🎉🎉",há 1 ano,1,1
Pior Bahia 😢,há 1 ano,0,
Esse arbitro merecia ser preso filho da puta,há 1 ano,0,
"Se fuder, vim ver gol do Deyvinho essa fdp narrando",há 1 ano,1,
Esse pênalti que o gil da esfiha deu é lamentável kkkkkkk,há 1 ano,0,2
Vai lá filmar!,há 1 ano,0,
No próximo jogo do Dourado você filma pra nós gênio!,há 1 ano,0,
"kkkk
sem contar que no comeco da partida, nem dava para ver onde a bola estava... O sol e a sombra tavam atrapalhando tudo. :p",há 1 ano,0,
Esse time do Bahia será rebaixado,há 1 ano,0,
"quando mostra de perto, da pra ver que foi pênalti, até vários torcedores do bahêa concordaram... o jogador é atingido na perna por traz...",há 1 ano,0,
" @celiorama  foi o mesmo caso do Everton Ribeiro, p mim nenhum dos dois foi",há 1 ano (editado),0,
Que narração péssima pqp,há 1 ano,1,
"A Maior do Bahia Nordeste🔴⚪🔵
A Maior do Goiás Centro Oeste 💚",há 1 ano,0,
"Cuiabá poderia ter saído com a vitória perdeu chances claras de gols, ia  fica mais tranquilo na tabela . O empate para Bahia também foi ruim tá a dois pontos do z4.",há 1 ano,0,
Que narração  escrota dessa mulher,há 1 ano,1,
"Situação do Bahia preocupa, acho que o elenco necessita de reforços, Paiva não está com muitas opções.",há 1 ano,1,2
Rodada 15 é foda kkk 😂,há 1 ano,0,
"😂 eu não entendi aquele lance que ele saiu na cara do gol foi engraçado. 
Mas tava impedido parece",há 1 ano,0,1
Bahia tem que sair logo da copa do Brasil pra focar no brasileirão,há 1 ano,0,
alguém vai cair kkkkkkkkkkkkkkkkk,há 1 ano,0,
"Excelente narração, nota 0",há 1 ano,1,
"Saudações Botafoguense  !!!!!

Segue o Líder  !!!!!",há 1 ano,2,
MT     X     BA     09/07/2023,há 1 ano,0,
Carnixa,há 1 ano,0,
Deyverson é diferenciado irmão 😮,há 1 ano,0,2
Preguiça dessa narração...,há 1 ano,1,
Deyverson tem q ser o camisa 9 da seleção do ancelotti pra copa de 2026,há 1 ano,1,
Nem pênalti FOI..Que LADROAGEM ESSas casas 🏘️ de apostas 😂,há 1 ano,0,
Do bahea,há 1 ano,1,
Esse tal Chavez é uma vergonha,há 1 ano,0,
GE já foi melhor nos cortes de melhores momentos.,há 1 ano,0,
Vai ser rebaixado com certeza,há 1 ano,0,
" @filipepinto8812  Rapaz, se continuar assim, infelizmente viu.",há 1 ano (editado),0,
mas o Deyverson deu bobeira porque o bandeira marcou mas o juiz não... ai confundiu a porra toda...,há 1 ano,0,
"Perdeu um gol de cara e fez um gol de pênalti cara, que diferenciado?",há 1 ano,0,
 @JoaoPedro-ij4os  parece que vc não acompanha o Cuiabá kkkk. Ele que salva o time,há 1 ano (editado),0,
O Cuiabá é aquele time que so faz 1 gol se toma 2 perde...tirando o Santos que ta horroroso rumo a queda histórica...os outros times so precisa fazer 1 gol e pronto empate garantido contra o Cuiabá kk,há 1 ano,0,
"Que narração ruim 😩
Essa lacração no futebol precisa acabar 😰",há 1 ano,2,
"Menino maluquinho,o dançarino do Palmeiras e do Cuiaba 😂😂 quem sabe dançar e ele 😂😂😂",há 1 ano,2,
Deyverson e Alef Manga irão salvar seus times do rebaixamento 👍,há 1 ano,0,
Porque não mostra o replay do pênalti?? Isso foi muito rápido 👎👎👎👎👎👎👎,há 1 ano,0,
"denei kkkk das pepas vc nao,  deus kkkkkkkk",há 1 ano,0,
narração horrível,há 1 ano,1,
Cuiabá série b ano que vem aturou demais na série A,há 1 ano (editado),0,
2:05 3   a narradora tem dley na visão kkk,há 1 ano,0,
Que tristeza essa mulher narrando jogo.,há 1 ano,1,
Bahia tá tão fudido que todas as capas dos videos  mostra só o time do Cuiabá kkkkkk.,há 1 ano,3,
PENALTI TÃO MANDRAKE QUE NEM MOSTRARAM O LANCE. Rsrsrsrs.,há 1 ano,0,
"Por mais jogadores como o Deyverson, o pai do Flamengo.  Cuiabá perdeu um caminhão de gols, 🤦, pô Dourado, assim não dá.  Esse jogo foi: "" quem não faz, leva "". Bahia não merecia a vitória.  E o time ruim da p*ste. Como o Grêmio empatou com esse time? Misericórdia.  
Mas seguimos 💚💛🐠 💪",há 1 ano,2,
"Fica paiva,TODO MUNDO TE AMA",há 1 ano,1,
"gol de deyvin, pai dos urubus...kkkkkk",há 1 ano,1,
"a hora que alguma narradora narrar sem masculinizar a voz,. vai arrasar...",há 1 ano,0,
"Bahia gastou 118 milhões de reais pra montar isso aí.!? Sai fora, falta de planejamento do caraio.",há 1 ano,0,
"Narração bizarra, igual o jogo.",há 1 ano,1,
Penalti fantasma. Quem fez a falta foi o jogador do Cuiabá. Coloque em câmera lenta em  menos 05 neste vídeo.,há 1 ano,0,
Sera que o cuiabayern acorda?,há 1 ano,1,
Ninguém merece essa narradora 😂😂😂,há 1 ano,1,
DEIXEI NO VOLUME MUDO MEUS OUVIDOS NÃO SÃO PRIVADAS,há 1 ano,1,
"To triste pelo cuiabayern, n merecia esse gol de empate safado.",há 1 ano,0,
Perna esquerda 😂😂😂😂😂😂😂😂😂😂😂😂,há 1 ano,0,
O deyverson está jogando muita bola todo jogo marcando gols 👏👏👏,há 1 ano,10,1
Que narração horrível 😡,há 1 ano,2,
Que narração... péssima. Vixi,há 1 ano,1,
"Cuiabá dos medianos é o melhor time . Melhor que meu Goiás,  Coritiba, América mg,  Bahia e os ex grandes Vasco , Santos e Corinthians.",há 1 ano,1,
Espero que ano que vem o cuiaba esteja jogando a série B,há 1 ano,1,3
Vcs erraram agora ja e 14 rodada,há 1 ano,0,
O Jahia será o time mais rico da serie b 2024,há 1 ano,4,1
Narração horrível. Deveria ser uma narradora trans e nordestina.,há 1 ano,1,
Paiva vai rodar,há 1 ano,0,
Fudeu meu pule esse gol do Bahia,há 1 ano,0,
E muita coincidência o cuibayen enpata com o Bahia city em casa 1x1 ainda,há 1 ano (editado),0,
0:35 linha de LATERAL??????,há 1 ano,1,
Vontade de dar uma voadora na TV com essa narração.,há 1 ano,7,3
Que narração horrorosa!,há 1 ano,1,
A narração péssima 😂😂😂,há 1 ano,1,
Fora Paiva fora Paiva fora Paiva fora Paiva fora Paiva fora Paiva fora Paiva fora Paiva fora Paiva fora Paiva fora Paiva fora Paiva fora Paiva fora Paiva fora Paiva fora Paiva fora Paiva fora Paiva fora Paiva ou quer que eu desenhe?,há 1 ano,2,4
Pe de 🐀,há 1 ano (editado),0,
Sai fora cuiaba é gigante pelomenos no fato de ser guerreiro,há 1 ano,0,
" @LEOcisneLoiro  pare, tem que dar espaço pra time que tenha torcida na série A, e não em time de empresário",há 1 ano (editado),0,
 @hedercwb  pode ser isso pelomenos pra vc mais pra mim cuiaba continua na série A🟢🟡,há 1 ano (editado),0,
Fala de novo otário KKKKKKKK,há 1 mês,0,
Perna esquerda no cantinho go o o o😂😂😂😂😂😂,há 1 ano,0,
Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,há 1 ano,0,
Triste essa narração,há 1 ano,1,
Desenha que sou cego...,há 1 ano,0,
​ @claudemirbatista7140  oxi kkkk como é tu vai ver o desenho,há 1 ano (editado),0,
 @claudemirbatista7140  certo vou desenhar em braile,há 1 ano (editado),0,
 @hamzayev6_6  com a mão ✋,há 1 ano (editado),0,
o que o árbitro viu no pleneitli,há 1 ano,0,
Salv rapaziada e mulherada,há 1 ano,1,
"O😮 Bahia deu o cocô de agua fresca no Cuiabá, esse briga da permanecer vai ser emocionante. Risco de rebaixamento grande: América mineiro, Goiás, Vasco da gama, Bahia, Corinthians, Santos e o próprio Cuiabá. 😂😂😂😂",há 1 ano,2,
Narradora péssima.,há 1 ano,3,
"Esse é o típico jogo,que acontece na série A,mas tem toda a cara de série B.",há 1 ano,1,
"sobre o Bahia,não adianta ter um ataque promissor e um estilo intenso se a Zaga não é boa,vai tomar tudo sempre.",há 1 ano,41,3
"Gols:

00:44

01:54",há 1 ano (editado),0,
Cuiaba jogou muito mal...!,há 1 ano,0,
"A imagem tá de acordo c a narração, péssima, deve tá na pauta do chefe da quadrilha",há 1 ano,2,
Bahia e Vasco voltando pra série B em 9...8...7...6...5...4............,há 1 ano,2,
Desse jeito no ano que vem veremos o Bahia na série b.,há 1 ano,1,
Deyverson craque! 😎✌️,há 1 ano,1,
"Quem É Deyverson, perto de. Vitor Roque",há 1 ano,0,1
"Mais ruim do que esse time Bahia, só a narração 😢",há 1 ano,3,
Cuiaba ta numa fase que não ganha nem da SAF mais pobre do Brasil,há 1 ano,0,1
Cuiabá mal de mais hoje 😢,há 1 ano,1,
"Deixe essa mulher tirar uma folga, todos os jogos que eu quero ver os melhores momentos é essa narração, que enjôo",há 1 ano,2,
Vsfd parece que todos os jogos que eu quero ver os melhores momentos é essa mulher narrando,há 1 ano,0,
"Esse projeto até agora do grupo city tá uma piada, do que adianta trazer bons jogadores se o técnico e fraco? Um exemplo e Manchester city trouxe o melhor técnico do mundo e grandes jogadores o resto e história.",há 1 ano,3,1
Fala sério em flamenguistas.. vcs tem ainda pesadelo com deiverson né kkkkkkkkkkk 😂😂😂😂.. 27-11-2021 ainda sangra kkk 😢,há 1 ano,0,
Poisé os cara do Cuiabá quase não deixou o Bahia passar da metade do campo do Cuiabá,há 1 ano,1,
Lá ele. Vai tomar tudo? Kkk,há 1 ano,0,
 @futuroprofessorjorge  sai daqui criança,há 1 ano (editado),0,
Um trem títulos e o outro não 🤣🤣🤣🤣🤣🤣🤣🤣🤣,há 1 ano,0,
Inveja da porra kkkkk,há 1 ano,0,
O grupo City vai colocar o Bahêa na série B e vai morrer abraçado com esse treinador limitadíssimo e o elenco tbm.....,há 1 ano,1,
Estão levando o futebol na brincadeira. É simplesmente horrível narração de mulheres. Emoção ZERO!,há 1 ano,3,
Boa narradora!,há 1 ano,1,
Rapaz não existe jogo bom com a narração dessa senhora pelo amor de Deus qual foi a cigana q falou q ela é narradora🤦🤦🤦,há 1 ano,2,
Arena Pantanal em Cuiabá,há 1 ano,1,
"Mais uma vez Renato Paiva inventou ao entrar com três zagueiros e insistir com Chavez. Bahia tomou sufoco no primeiro tempo e Chávez faz um pênalti juvenil demais. 
O jogo só ficou igual após a entrada de Ryan no lugar de Chavez e mudança no esquema. 
Precisamos de um treinador urgente. E Chávez é o pior lateral do Bahia.",há 1 ano,1,
"Deyverson, esta iluminado velho.",há 1 ano,0,
Mais essa e a rdd 14 ué,há 1 ano,0,
Olha só essa NARRAÇÃO feminina 🤌 ISSO sim é de conseguir assistir e passa emoção 💪 manda vê,há 1 ano,9,1
Bom empate de Cuiabá e Bahia,há 1 ano,0,
Rodada 15 n é 14 kkk,há 1 ano,0,
Assistam no mudo,há 1 ano (editado),0,
Deivinho salva o Cuiabá e ficou em 1 a 1,há 1 ano,2,
"Uma coisa também a ser observada: 
Essa é uma excelente narradora, a primeira impressão é que ela tem um grande futuro. 
Nada haver com questão de gênero, é que a outra trabalhadora tira todo o ""tesão"" de assistir o jogo...",há 1 ano (editado),2,1
2 Disgraça Renato paiva e Chaves,há 1 ano,2,
O grito de gol deoois de 30 minutos...,há 1 ano,1,
Essa narradora é beeem melhor que aquela outra que chega a dar depressão.,há 1 ano,6,3
Deyverson pai do Flamengo.,há 1 ano,2,
"E quando eu pensei que viria mais uma vitória em casa 
Empereor veio com a facada pelas costas 
Gosto muito da entrega do deyverson 
Mas sozinho vai ficar difícil para ele",há 1 ano,4,
"Olha, sinceramente acho que o Deyverson poderia ter espaço em um time como o Cruzeiro ou Fortaleza. Ele tem um nível melhor do que o nível de outros jogadores do Cuiabá",há 1 ano,9,4
Eu acho que a CBF quer derrubar o Bahia 😂,há 1 ano,3,
Kkkkkkkkkkkkkk,há 1 ano,0,
"quem é essa que esta narrando amigonn , nao é aquela que diz  olha o chuuti ??  é outra ??",há 1 ano,0,
Achei que não ia ver ninguém fazendo esse comentário. Ela é melhor inclusive que muitos narradores do SporTV,há 1 ano,2,
estava com essa duvida  ...é outra narradora ???  bem melhor  essa narraçao,há 1 ano,0,
" @alexandro347  O nome da outra é Renata SIlveria, simplesmente horrível.",há 1 ano (editado),0,
"Cruzeiro queria ele mais trouxe o cara errado , o wesley 😂",há 1 ano,4,
"Eu também acho que Deyverson  caberia como uma luva no cruzeiro no lugar do Gilberto, é dourado que ruim de mais",há 1 ano,1,
Ele poderia estar em qualquer time de ponta o próprio santos não tem um jogador igual a ele .agora vai ficar nessa fazendo uns golzinho pra ease timinho,há 1 ano,1,
​ @antoniostanele8427 timinho é a cx do caralho seu modinha,há 1 ano (editado),0,
Cuiabá em 13° no Brasileiro com 16 pontos. Bahia em 15° no Brasileiro com 13 pontos. A 14°Rodada do Brasileiro 2023.,há 1 ano,2,
A quantidade de gols feitos que o Cuiabá perde é foda do normal.,há 1 ano,32,2
Quero ver direito o lance do pênalti.,há 1 ano,2,
"0:29 PÊNALTI DO CUIABÁ 
0:44 GOL DO CUIABÁ DEYVERSON
1:55 GOL DO BAHIA ALAN EMPEREUR ( CONTRA )",há 1 ano (editado),51,6
Este time do Bahia precisa de contratação urgentemente!,há 1 ano,31,4
"Com todo respeito ao Cuiabá,Deyverson deveria estar em um clube mais melhor",há 1 ano,3,2
"Essa SAF do Bahia está deixando a desejar, eu esperava mais do Bahia para este ano.",há 1 ano,14,9
O menino maluquinho ta fazendo a alegria dos cuiabanos,há 1 ano,33,1
parabéns arbitragem pro ter roubado o Cuiabá mais uma vez estão satisfeitos ?,há 1 ano,3,3
Essa narradora é boa! Comparada com aquela da ESPN.,há 1 ano,3,2
Que juiz ladrão mano,há 1 ano,0,
Narração ruim demais,há 1 ano,3,
"Esse Kayky é aquele do Fluminense? Parece está recuperado né, todo jogo vejo ele criando um monte.",há 1 ano,8,5
"Era pro vasco ter contratado o deiverson ,quem tá lá é o Mérida do Pedro Raul.",há 1 ano,2,
CORINGAÇO AGRADECE ESSE BELO EMPATE DESSA TARDE DE SÁBADO,há 1 ano,5,10
gol contra estranho da prr,há 1 ano,1,1
"Deyverson sempre salvando o Cuiabá, mas não pode perder os gols que ele perdeu.",há 1 ano,98,5
Bahia tava com reservas?,há 1 ano,1,3
"Deyverson e patriomonio brasileiro kkkkk.



Obs:sou flamenguista",há 1 ano,8,2
Parabéns ao GE pela rapidez e eficiência 😊,há 1 ano,35,4
"""foda"" 💀",há 1 ano,5,
"Não é foda não. Se a bola não entra, como que é foda?",há 1 ano,1,
"valeu, ó narração ruim da peste kkkk",há 1 ano,7,
 @vicentesantos238  sim kkkkkkk,há 1 ano (editado),2,
 @vicentesantos238  ruim é pouco kkkkkk,há 1 ano (editado),2,
"do bahia nao, do BAHEAAA",há 1 ano,1,
 @LinkDard  Bahia é diferente do baêa,há 1 ano (editado),1,
 @BetoFernandes11  kkkkkk,há 1 ano (editado),2,
já tá vindo uns,há 1 ano,5,
Verdade,há 1 ano,3,
Tá chegando o Gilberto do Benfica,há 1 ano,4,
Mais ainda de um treinador,há 1 ano,3,
"é que o salário do Cuiabá não esta tão mal, tá rolando até de 300 mil nos principais... (podem pesquisar...)",há 1 ano,2,
Ele morreu de medo de.sair do Cuiabá kkkkkkk ele sabe que ninguém quer ele,há 1 ano,0,
Verdade.,há 1 ano,1,
"O Manchester esperou 10 anos pra ganhar tudo, em 6 meses tu já quer oq.?",há 1 ano,1,
" @Homemdaroca1978  Calma, amigo, não quero nada. Mas o City não ameaçou cair pra segunda divisão. O Bahia está mais para um Genova, time tradicional mas que não tem ambições de ganhar grandes títulos. o grupo city não veio fazer caridade e dar dinheiro ao Bahia, veio para ganhar dinheiro. Esse modelo SAF pode ser muito perigoso para os clubes, veja o Vasco que está mal também. Não tenho nada contra o Bahia, muito pelo contrário, mas não vejo com bons olhos esse novo modelo que estão impondo no futebol br",há 1 ano (editado),2,
" @Homemdaroca1978  e outra, o city rapidinho começou a ganhar premier league, demorou pra ganhar a champions, mas mesmo assim tava lá disputando com times muito fortes todo ano.",há 1 ano (editado),1,
Realmente vc está com razão quando se trata de montar um elenco!,há 1 ano,1,
​ @orthografoseleftherisxrisis quando o City tinha acabado de ser comprado tomou 8 á 1 do Middlesbrough,há 1 ano (editado),0,
" @Sensatokiko  e o que isso prova? todo time grande já levou alguma goleada, na própria premier o Liverpool tomou de 7x2 do aston villa, e o manchester united levou 7x0 do liverpool. O City tem sido um gigante nas últimas temporadas, e dizer que só ganhou algo importante este ano é falácia, porque tem ganhado premier league há anos, que é o campeonato mais difícil do mundo. O Bahia não está no caminho de se tornar uma potência sul-americana, como já disse, tá cheio de saf na europa de time médio-pequeno que vive caindo pra série b, tipo genova na Itália. Torço pra q o bahia se firme na série a, mas existe um longo caminho pela frente.",há 1 ano (editado),0,
" @orthografoseleftherisxrisis  sobre a Premier League ser mais difícil sei não viu. Lá os times são campeões fazendo mais de 90 pontos, e tem times que só servem pra dar 3 pontos pros outros. No Brasileirão um time na zona de rebaixamento pode ganhar de um time na parte de cima da tabela, e vários times podem chegar e surpreender. É só ver as goleadas de lá também, tem jogos de lá que parecem baba, e aqui um time debaixo de tabela pode jogar de igual pra igual pra um time de cima de tabela",há 1 ano (editado),0,
" @Sensatokiko  o brasileirao é mais equilibrado, mas é nivelado por baixo. qq time do meio pra cima da tabela da premier seria campeao brasileiro. é so ver o palmeiras e flamengo, as duas maiores potencias hj no brasil, e mesmo o gremio uns anos atras, q na hora de bater de frente com um europeu jogam como time pequeno. o nivel na europa é muito superior.",há 1 ano (editado),0,
"Tá jogando porra nenhuma, mas como a única jogada desse time de merda é tocar a bola pra ele, acaba conseguindo um gol claro depois de errar 5.

Nenhum torcedor tá com essa alegria toda com o deyverson, vê o jogo maluco erra uma porrada de passe uqe poderia virar ataque perigoso, erra gol na cara...",há 1 ano,0,
Sim,há 1 ano,0,
O papai city tá pagando o juiz,há 1 ano,1,
Agora o papai city estas satisfeito valeu a pena pagar caro para o juiz,há 1 ano,1,
"sim, ambos sao ruins",há 1 ano,0,
​ @willemrosenau7418 🤣🤣🤣🤣,há 1 ano (editado),0,
"Sim, é ele mesmo!",há 1 ano,4,
Tava no Sport?,há 1 ano,1,
