text,time,votes,replies
Cuiabá 🟢🟡🟢🟡🟢,há 5 meses,0,
Eu sempre digo Atlético nenhum é time grande,há 6 meses,1,
Vídeo com resample meu deus que amadorismo,há 6 meses,0,
Bora Athletico Agustín Canobbio ❤🖤,há 6 meses,2,
Quem não ama o cuiabá tá podre por dentro KKKKKKK,há 7 meses,0,
Saudades já! 💚💛🥺,há 7 meses,0,
Cuiaba pai do furação 😂😂😂,há 8 meses,1,1
Cuiabá venceu com facilidade mais uma em casa.  10/12/23,há 8 meses,1,
Melhor ano de Serie A do Cuiaba!! Fizeram uma excelente campanha e conseguiram uma vaga pra Sulamericana,há 8 meses,1,
Eita que vitória do cuiaba melhor campanha do Cuiabá até agora,há 8 meses,0,
Cuiabá detonou,há 8 meses,1,
"em 2024 Cuiaba vem forte pra ganhar tudo, Avante meu Cuiabayern",há 8 meses,3,1
Atlético paranaense nem tentou ja que so tao cumprindo tabela,há 8 meses,1,
"Nosso querido Denis Medeiros até foi chamado pro Premiere, pq foi tanto jogo ao mesmo tempo que faltou equipe kkkk",há 8 meses,4,
Da-lhe Cuiabayern,há 8 meses,2,
Furacão virou  redemoinho.,há 8 meses,2,
O furacão precisa dum zagueiro bom estilo Adrielson do Botafogo e também um centroavante de verdade que faça gols,há 8 meses,1,
A zaga do furacão não presta só Thiago Heleno defende Kaká não vale nada  já Esquivel joga muito mais só armando,há 8 meses,2,
Furacão fez uma campanha razoável  pelo menos não caímos  pena que não fomos pra liberta culpa de errarem muito gol,há 8 meses,2,
Melhor que time Vasco é Botafogo kkkkk,há 8 meses,2,
??🤔,há 7 meses,1,
🤣,há 7 meses,0,
"Aí está prova que a nossa defesa é fraca,,, deve mudar, para ter melhores resultados.
Salva apenas o Thiago Heleno.",há 8 meses,1,
Cuiabá amassou,há 8 meses,1,
Como consigo a entrada das crianças q entrou antes dos jogadores. Vcs podem me ajudar por favor ❓ obrigado,há 8 meses,0,
Parabens a todos matogrossenses que prestigiaram os jogos do Cuiabá!!,há 8 meses,10,
"pelo menos mato grosso tem time que representa o povo ,cidade e o estado.aqui em mato grosso do sul nem time disputando a serie d,temos .lamentavel.",há 8 meses,2,1
Cuiabá fez bonito esse ano parabéns,há 8 meses,3,
"Parabéns ao Cuiabá, campanha incrível 🎉🎉🎉🎉🎉",há 8 meses,3,
"Destacar essa narração desse cara nesse jogo, narra muito 🎉",há 8 meses,4,
"Nessa Sul-americana os time vai sofrer pra enfrentar o Cuiabá lá em mato grosso ainda mais nesse calor, e os outros são tudo acostumado com altitude frio",há 8 meses,2,
Z,há 8 meses,0,
Se o cuiaba manter esta base pode sonhar sim com titulos.,há 8 meses,1,3
PAYSANDU!,há 8 meses,0,
