text,time,votes,replies
"2023: bahia 0x3 cuiaba
2024: bahia 1x2 cuiaba
Cuiaba infernizando o bahia na fonte nova",há 6 dias,0,
"Eu narro melhor
Qm também acha dá like",há 4 semanas,0,
Ceni pipocou nesse jogo,há 2 meses,0,
Cuiabá 🟢🟡🟢🟡🟢🟡🟢,há 5 meses,0,
"kkkkkkkkkkk geral sempre não dando nada para o cuiaba, mas vamos ser sincero QUE TIME ENCARDIDO!",há 7 meses,0,
"Esse brasileirão vai ficar pra história, foi melhor que eu acompanhei de vdd com emoção no começo ao fim",há 8 meses,0,
Mulher narrando é uma coisa triste,há 8 meses,0,
Essa mulher é muito chata narrando,há 8 meses,0,
Que emoção até chorei com a narração;.,há 8 meses,1,
O 3 gol saiu na cagada pq ela ia pra fora golero espalmo pra dentro kkk avante dourado,há 8 meses,0,
"A zaga do Bahia é a pior que tem,dps eles choram quando é pênalti",há 8 meses,0,
"Gente do céu, que narradora é essa meu Deus ,tem como ficar pior ?",há 8 meses,1,
"Bota essa narradora  nos jogos das mulheres.

Essa narração causa depressão.",há 8 meses (editado),1,
"Sem emoção, em nome da lacração",há 8 meses,1,
puta  que  pariu   que   narração   de  bosta,há 8 meses,1,
Colocar mulher pra Narrar é como querer que um pedreiro de aula de astronomia. NAO TEM QUE FORÇAR UMA COISA QUE NÃO É PRA DAR CERTO. ISSO É COMO UM ESTUPRO AO FUTEBOL,há 8 meses,1,
"2:42 u passêê kkk. Ela é esforçada, más não transmite nenhuma emoção",há 8 meses,0,
ELA É HORRÍVEL,há 8 meses,1,
"Q narradora HORRÍVEL, misericórdia",há 8 meses,1,
Sou do futuro pra dizer que o Bahia vai ser rebaixado 👤,há 8 meses,0,
O jogo do Bahia foi tão bom quanto a narração 😂😂😂😂,há 8 meses,1,
CafuDeyversonnnn,há 8 meses,0,
Esse pita está jogando com raça,há 8 meses,0,
Mdss querem empurrar a todo custo essas narradoras ruins... vão lavar louça....,há 8 meses,1,
Que narração horrorosa 😂,há 8 meses,1,
A Grobu e sua politica identitária de seus mestres... Narração chata. Só imagens.,há 8 meses,1,
"Gente.... Que insistência é essa com esta Narradora??? Coloquem ela em outra área, já mostrou que não dá conta. Pelo Amor de Deus",há 8 meses,2,
"Narração da depressão.


🥵",há 8 meses,1,
