text,time,votes,replies
"Partida animada!🔥
Craque da partida?",há 1 ano,225,58
Jackson MC Fal 10,há 7 dias,1,
Esse 2° gol do furacão era pra ter sido anulado. O Santos estava caído inconsciente...,há 3 meses,0,2
esse jogo foi roubado oi falta no santos deveria ter sido 1 x 1,há 5 meses,0,
🌪🌪🔴☠️⚫️🌪🌪,há 7 meses,0,
Parabéns Flamengo Pedro ❤🖤,há 8 meses,0,
"mano,eu tava nesse jogo é muito legal",há 8 meses,0,
Mano namoral eu tava ali infiltrado na do athletico pq tava lotado a do fla e o vitor roque deu uma joelhada no santos,há 9 meses,0,1
"Flamengo é Flamengo 
O pai de todos os times",há 11 meses,1,
Gente está vendo esse estádio fica lá no centro,há 11 meses,0,
O santos e muito ruim,há 1 ano,0,
Vcs so vao ganha  do flamengo  o dia que vcs pararem  de joga trancado  e no chuveiro  so tem cruzamento  e se tranca que e isso e medo e,há 1 ano,0,
Oi boa tarde  eliminado  kkkkk,há 1 ano,0,1
Bora flamengoooo,há 1 ano,1,
💯💰🤟❤️🖤❤️🖤❤️🖤❤️,há 1 ano,1,
o flamengo e o pior do mundo o melho e o corinthasn timao vamossssssss corinthasn timao o corintahsn que ganho do galo de 3 ×1 no penatasi,há 1 ano,0,2
"SEM MEU PÊNALTI MANDRAQUE, EU NÃO CONSIGO... AQUELA CAVADA DE PENALTI MAROTA, JUÍZÃO: OPA, OLHA O ALIBE PRA ROUBAR AÍ KKKK TODO ANO TEM QUE SER ASSIM AGORA PQP... CORRUPÇÃO TÁ ENTRANHADA NESSE PAÍS",há 1 ano,0,2
Sem meu penalty Eu nao consigo,há 1 ano,0,2
22,há 1 ano,0,
22,há 1 ano,0,
Everton Cebolinha,há 1 ano,7,
Vitor Roque ✌😉,há 1 ano,20,
Real madrid pode esperar!,há 1 ano,15,
NOSSA  QUE PARTIDA ESTOU MUITO SATISFEITO QUE O FLAMENGO CONTINUA MIN DANDO ALEGRIA,há 1 ano (editado),13,
"Flacheirinho vai cair, nem com apito amigo ganha mais KKKKKKKKK",há 1 ano,15,
O Claus,há 1 ano,5,
Vitor Roque,há 1 ano,9,
obraboooooooooooooooo VITOR ROQUE,há 1 ano,9,
Varmengo tá na ativa,há 1 ano,5,
Esse Gabipênalti n joga nada,há 1 ano,8,
"AQUI NÃO!
ai seu Gabi nada, nossa grama vale mais doque vc !
Mantenha o respeito. 
SEGUIMOS ⚫🔴🌪💀🏴‍☠️🇧🇷",há 1 ano,5,
Santos,há 1 ano,1,
PH,há 1 ano,1,
VITOR ROQUE DO ATHLETICO PARANAENSE FOI O CRAQUE DA PARTIDA NO GOL DE EMPATE DO FURACÃO.,há 1 ano,1,
RAPHAEL CLAUS,há 1 ano,3,
E o estádio?,há 1 ano,3,
Vitor roque botou eles pra chorar 😂😂😂,há 1 ano,4,
Rafael Claus,há 1 ano,1,
Isso que eu queria ver o Cheirinho não consegui ganhar do Athletico Paranaense,há 1 ano,1,
"​ @cruzeiro5848  siim sim lkkk pqp mlk 
Pow flamengo tá sendo mais roubado pela arbitragem do que favorecido kkkk mas n faz mais gol por incompetência dos jogadores tmb",há 1 ano,1,
​ @PiponelPessi  MDS n sei pq chamam de varmengo se nesses últimos anos a arbitragem só tá favorecendo os times adversários,há 1 ano,0,
"​​ @fanaticoatleticano2844  vcs tmb mantenham respeito 
Ficar mandando dedo do meio é feio o mais pior é esse claus aí seis n tem vergonha não
Cara quase quebra pescoço do santos e de boa segue o jogo KKK pqp se fosse no goleiro do Atlético iriam anular o gol 
E o Fernandinho que fez 5 ou 6 faltas e de boa só 1 cartão tá de boa kkkkk enfim seguimos na luta 
Infelizmente a diretoria e presidente tão acabando com o Fla 
Por n contratar ninguém enfim atlético jogou melhor segundo tempo apesar do primeiro tá inteiro retrancado",há 1 ano (editado),0,
"​ @tubedanielsilva02  além de quase matar o Santos 
Craque de mais kkkkk",há 1 ano,1,
"​ @fhannycopia18  botou até o Santos pra dormir
SLK ridículo esse jogo",há 1 ano,1,
"​ @ArrascaEdit50  pelo menos temos a liberta do ano passado e Flu tem oq?
Nem mundial tem 😂😂 espero que o fla de a volta por cima e amasse esse fluzinho minúsculo que só joga no Maraca pq flamengo paga a maior parte do aluguel",há 1 ano,2,
Sem meu var eu não consigo kkkk até 😂🤏👃🏼,há 1 ano,0,
Santos,há 1 ano,0,
TÁ EM CHOQUE! CHAMA VITOR ROQUE! KKKKK Everton Ribeiro ex-Coxa Branca o nome dele É PIPOQUINHA!!!!!,há 1 ano,0,
Everton cebolinha,há 1 ano,0,
Gabigol,há 1 ano,0,
 @PedroHss58  Varmengo assaltou o Botafofo,há 1 ano,0,
" @PiponelPessi  sim sim confia que sim aquele jogo foi limpo botafogo ganhou por méritos vê jogo Flamengo contra Racing pra tu ver oq é roubo Wesley limpo na bola e marca falta e expulsa o menino e aí fazem gol de falta e hj tmb santos tomou uma falta séria 
Quase quebra o pescoço dele 
e gol foi limpo confia",há 1 ano (editado),0,
Santos😂,há 1 ano,0,
Roque.,há 1 ano,1,
Santos 🤠,há 1 ano,0,
"@yyyyy kkkkk oq que foi roubados anti do krl 
Diga pra mim?
N sabe nem ser anti direito porra 
Vai dormir enzo",há 1 ano (editado),0,
Boa notícia no domingo,há 1 ano,0,
VOLTA VITOR PEREIRA,há 1 ano,1,
 @cruzeiro5848  KKKKKKK,há 1 ano,1,
Esse é Varmengo normal só derrotas,há 1 ano,0,
 @isaquemartins1110  KKKKKKKK 😂,há 1 ano,0,
O narrador que achou que estava narrando jogo da libertadores 😂😂😂,há 1 ano,0,
Vitor Roque,há 1 ano,0,
Pra mim foi o Erik ele que fez o gol da vitória,há 1 ano,1,
​​​ @denisaragao4094 gabigordo🤢: 2 libertadores Cap👿:0p,há 1 ano (editado),0,
Vitor roque,há 1 ano,1,
​ @denisaragao4094 o cara que zuar Fla,há 1 ano (editado),0,
​ @denisaragao4094 CHELSEA PODE ESPERAR A TUA HORA VAI CHEGAR,há 1 ano (editado),0,
Vitor Roque,há 1 ano,0,
 @luanccsr7348  Ancelotti está esperando.,há 1 ano (editado),0,
Sou Flamenguista e digo Flamengo nunca jogou pra ser campeão no 3-4-3 não presta contrata um Lateral top pra direita e volta a formação 4-1-3-2 que ganhamos tudo.,há 1 ano,0,
Tá em choque tem...gol! Do Vitor roque,há 1 ano,0,
Vitor toque,há 1 ano,0,
Kkkkkki,há 1 ano,0,
Santos,há 1 ano,0,
