text,time,votes,replies
"Fala, torcedor! 🤙
Quem foi o melhor jogador da partida?
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 1 ano,59,14
oi,há 1 mês,0,
qual o nome desse narrador?,há 2 meses,0,
Vamos Santos Pedrinho 😍😍,há 6 meses,0,
Serie B 😂😂😂😂 tchau viúvas.,há 7 meses,1,
Vai peixe🐟❤,há 8 meses,0,
Que saudades do Ângelo,há 9 meses,0,
Kkdbfjtykkhhkhkhkhlhkhkhkhhhh,há 10 meses,0,
"o que o Deivid e o Angelo jogaram esse jogo nao ta escrito, infelizmente o burro do Rueda vendeu os mlk por uma coxinha",há 10 meses,0,
"Deivid Washington é muito melhor que Marcos Leonardo, o Santos não podia vender ele tão cedo e nem por tão pouco dinheiro",há 10 meses,0,
Santos sempre Santos!!!!!vvvvvvvvvvv,há 10 meses,0,
O que estar acontecendo com o Santos ?,há 1 ano,1,
Quem tá feliz  com o triunfo  do Bahia  curte  😂😂😂  copa do brasil Bahia  quebrou quebrou amassou 😂😂😂,há 1 ano,1,
Galera chegou internet no Acrê  esses dias sabe mim dizer se o Neymar ta no Santos ainda?,há 1 ano,1,1
Ffvd? Sd? Dfs? Eh!,há 1 ano,2,
Pra cima,há 1 ano,1,
"Primeira partida que o Santos de Odair Hellmann mostrou um futebol ok, vencendo e de maneira convincente!

Contra o Vasco voltou a ser o Santos passivo que a torcida tá acostumada a ver.

Time precisa evoluir jogando como nesse jogo contra o Bahia. Disso pra melhor! ⚪⚫",há 1 ano,1,
Orgulho de ser santista 🏳️🏴🏳️🏴🏳️🏴,há 1 ano,0,
Avantee,há 1 ano,0,
Caiu mais um raio na Vila ⚡️⚡️⚡️⚡️,há 1 ano,0,
Prantos insignificante da casas de apostas manipulando resultados,há 1 ano,1,
Prantos vai cair já tô preparando o Caixão quando a gente foi jogar contra eles,há 1 ano,2,
"​ual 
As voltas que a Terra plana da 
Um corinthiano tá falando de manipulação de resultados",há 1 ano,2,
​ @palzaoterrordananicada2395  time grande não cai bi rebaixado kkkkkkkk,há 1 ano,6,
​ @Mater_Mf  Não dá atenção pra esse carente não,há 1 ano (editado),1,
​ @palzaoterrordananicada2395   menos tri rebaixado quando vcs caíram noix n zoou n tá inclusive noix os salvou uma vez,há 1 ano,3,
​ @palzaoterrordananicada2395  Esse ano não tem chance pra porcada não só a série B santos ainda passa na tabela,há 1 ano,0,
U melhor time Du mundo,há 1 ano,0,
"Fala, Globo!  Vocês tentam derrubar o Santos de todas as formas, vocês me dão nojo! Mas quem  está descendo a ladeira com vontade  são vocês, tenho acompanhado vosso balanço. Paz! E viva o Santos!",há 1 ano,0,
​ @isaquemartins1110 insignificante é vc mané !!! Respeita o maior time do mundo!!!.,há 1 ano (editado),0,
O Deivid Washington,há 1 ano,0,
Até que enfim meu Santos voltou a jogar 🙏🙏🙏 vai peixe,há 1 ano,0,
​ @palzaoterrordananicada2395  e o mundial bi rebaixado chore mais Palmeiras só são alguem por causa da crefisa 😂,há 1 ano (editado),0,
Ffkfnffjyjyukkyykykiyi6oyyoouhohkhkohhohhihihih,há 10 meses,0,
É zueiras né,há 1 ano,1,
deivd e bom em  garoto promete,há 1 ano,0,
Qual nome desse narrador gente??,há 1 ano,0,
Olaeusouoclaudela,há 1 ano,0,
Olajetor,há 1 ano,0,
Nossa esse David joga muito Cadê aquele mestiço de aponês ele joga demais tbm,há 1 ano,0,1
Feliz que o peixão ganhou mais o Bahia jogou mal isso ajudou tbem,há 1 ano,0,
"Santos deu sorte que o Bahia não é mais aquele time de outrora, senão seria um sacode dentro da Vila ......",há 1 ano,0,2
Esse Ângelo não joga muito,há 1 ano (editado),1,
"Lucas Lima é santos , Angelo máquina de passes e David promeça",há 1 ano,0,
ÁTE QE EM GIM ESSE PÉ DE PANO MARCOU UM GOOL,há 1 ano,0,
Tenho 16 anos e só vi 2 gols do Ângelo em 200 jogos,há 1 ano,0,
"Ufa né, Ângelo fazendo gol",há 1 ano,0,
Como é toma 3 gols e + mil chances perdidas desse time fraco do Santos! O bahia tem muito que caminhar. E que sistema defencivo 🙏,há 1 ano,0,
Parecia o man city,há 1 ano,0,
Santos continue brocando essas sardinhas 🐟🎣🤣,há 1 ano,1,
Lucas Lima jogando muito desde que voltou,há 1 ano,0,
"caiu na vila...
o resto vcs ja sabem né !!!",há 1 ano,1,
parabéns Santos continue assim.,há 1 ano,0,
"Olha a movimentação do Deivid, meu... 🔥🔥",há 1 ano,1,
Vou te falar esse Deivid joga muito tem que ser titular absoluto,há 1 ano,0,
Soteldo? se for ele tá machucado!,há 1 ano (editado),0,
Quem vive de passado é museu,há 1 ano,0,
Ta delirando ?,há 1 ano,0,
"O elenco do santos n pode ter partidas de 1 em 1 semana,eles pioram,mas quando é de 3 em 3 dias dá certo,tem que fazer os jogadores terem vontade de jogar",há 1 ano,0,
15 a 20 primeiros minutos segura a casinha. Que o time da casa vai vir pra cima. Depois avança que cair o rítimo começa a avançar. O time do Santos não é essa coisa toda. Mas jogar desorganizado vai tomar gol. Não tem jeito! Pô nem todo time dar pra enfrentar assim todo aberto( LA ELE) 😂😂😂😂,há 1 ano (editado),0,1
Ae o mzr do vasco perde pro Bahia detro de casa só acontece com a merda do vasco mesmo,há 1 ano,0,
O domínio do Deivid no gol do Mendoza é um deboooche,há 1 ano,0,
m4theu0.5,há 1 ano,0,
Santo  toda vida,há 1 ano,1,
"Santos, o peixe.    11/05/2023",há 1 ano,0,
Sou palmeirense e tomara ki o Santos volte ao seu bom futebol 💚,há 1 ano,4,
Que Deus abençoe David e q de tudo certo ✔ pra ele santos fez um bom jogo 🎮,há 1 ano,0,
Como o Santos ia Ganhar se Tinha um jogador que Jogava Contra se Loko vai Saber quantos Jogos ele entregou,há 1 ano,0,
olha o peixe aiiiii,há 1 ano,0,
quem é o narrador?,há 1 ano,0,
Quando o Santos consegue ganhar de um pereba sempre vem alguém postar de o gigante acordou e bla bla bla.,há 1 ano,0,
"Deivid Washington vai ser craque guardem esse nome, vamo peixão",há 1 ano,0,
Que vergonha o bahia perder de 3x0 pro santos dessa forma!!!!,há 1 ano,0,1
"mesmo santos ganhando vai brigar para não cair para série b, o elenco do santos é fraco.",há 1 ano,0,
"O bahia é uma merda kkkkk, nao sei como tem gente que se iludi com esse time",há 1 ano,0,
Duelo dos times mais fracos da Copa do Brasil,há 1 ano,1,
me disseram que o novo bahia city era imparável🤣🤣🤣🤣🤣🤣,há 1 ano,0,
"A gente percebe que um time tá chegando no fundo do poço, quando consegue a proeza de perder pra esse atual time do Santos!😩",há 1 ano,1,
"E ainda mais um time de série A,  mesmo que o elenco seja uma merda kkkk",há 1 ano,0,
"Vegonha nao, tem que ter orgulho, esse timeco do da bahia nao chega nem perto do gigante como santos",há 1 ano (editado),0,
O domínio do Deivid aos 0:52 é uma coisa absurda.,há 1 ano,4,
"se não fosse esses mlk de 17 , 18 , 19 santos já taria no limbo , aliás não sei pq ninguém investe no santos o time td fudido chegou em uma final de libertadores foi vice de brasileiro e tals imagina um santos com investidores",há 1 ano (editado),1,
Que saudade que eu tava disso ❤😢😂,há 1 ano,1,
San 3x0 bah,há 1 ano,0,
Boa deivid continue assim vai santos  rumo ao bi 🏆🏆❤❤🐋🐋❤❤.,há 1 ano,0,
"Esse David já mostrou q vai ser melhor q o ML fácil, Joga muito",há 1 ano,0,
Timinho du bahia er ruuim demais,há 1 ano,0,
Q tempo de bola e que visão de jogo do Lucas Lima no segundo gol. ❤,há 1 ano,1,
Boa recuperação do Santos,há 1 ano,0,
Botar o mendoza pra correr é meio gol pode ter certeza kkkmmm,há 1 ano,0,
Peixe pescou uma sardinha?😂😂😂😂😂😂,há 1 ano (editado),1,
nao tem mais graça vai saber se ta manipulado esses jogos,há 1 ano,1,
Esse Deivid o jeito dele correr com a bola e dominar na e bem diferenciado,há 1 ano,0,
RUMO HENEA CAMPEONATO BRASILEIRO,há 1 ano,0,
Vamos meu peixudo🤍🤍🥷🏽,há 1 ano,0,
