text,time,votes,replies
red bull te da asas,há 2 meses,0,
Parabéns Red Bull Bragantino Matheus Fernandes 🤩🤩,há 6 meses,1,
essa entregada do diogo custou o título,há 8 meses,1,
Torço pro RBB Mas admiro muito o gol de Eduardo sasha😅,há 10 meses,0,
"Tem que mandar o homem estátua embora , o que estão esperando ?!",há 10 meses,0,
"BRAGANTINO, FAZ tempo que não tem goleiro em minha visão.Ele joga bem, mas falha quando vc menos espera.Lateral direito não temos, creio que duas peças arruma a casa..",há 11 meses,0,
Vai fazer falta esses 2 pontos q o grêmio perdeu,há 1 ano,0,1
não torço pra nenhum dos dois mas eles jogaram muito bem parabéns🎉,há 1 ano,2,
O Grêmio empatou o jogo com RBB,há 1 ano,0,
6 Golazos papá,há 1 ano,0,
"Dá para colocar uma criação de suínos nesse campo do grêmio, só lama kkkk",há 1 ano,0,
Perdeu aquele que não assistiu esse jogo.,há 1 ano,0,
Esse brasileirão vai ser coisa de louco,há 1 ano,0,
Que jogaço... apesar do empate foi um jogo mt foda de se ver,há 1 ano,1,
"Diferente do que o Renato disse após o título do campeonato gaúcho, o Grêmio não parece estar no mesmo nível de alguns times da série A.",há 1 ano,0,
Grêmio tá levando gol do Sasha....pqp,há 1 ano,0,
Kanneman e Andrei tem que voltar e Diogo Barbosa tem que sair o cara dorme em campo.,há 1 ano,0,
Suárez >> Gremio,há 1 ano,0,
diogo borbosa nem de gandula serve,há 1 ano,0,
Se esse Diogo Barbosa é jogador eu sou um alienígena 👽,há 1 ano,0,
KKKKK fez,há 8 meses,0,
Nem a pau que esse Kanneman é mais zagueiro que o Cuesta!,há 1 ano,0,1
Que show !!!!,há 1 ano,0,
Só eu que acho que o contra ataque e o gol do sacha foi igual ao gol do inter no mundial contra o Barcelona? Só mudou a finalização,há 1 ano,0,
"CARAMBA  !!! A DEFESA DO GRÊMIO É UMA """""" PORCARIA"""".......",há 1 ano,1,
"Um jogo com muitos golaços!!! 3-3, o Renato tem algumas falhas, mas para o Grêmio, acho que ele é o cara. No Flamengo, ele falhou no planejamento, mas está longe de ter sido um técnico ruim.",há 1 ano,1,
Nao adianta ter uma grande orquestra e nao ter um bom maestro ! Que.bagunça esse time do gremio 😅,há 1 ano,0,
Que gramado horrível,há 1 ano,0,
Grêmio vai briga dnv pra nao cair🤣🤣🤣🤣,há 1 ano,0,
Ainda bem que que só vejo os melhores momentos no GE. Esse bordão a cada gol é terrível,há 1 ano,2,
Os times brasileiros voltando a jogar bonito como antes,há 1 ano,1,
Que jogaço ! Bragantino energizado do começo ao fim . O Renato Gaúcho ficou louco com o empate de 3x3 . Foi o melhor jogo desse começo de Brasileirão.,há 1 ano,9,
Sou palmeirense o Bragantino não merecia sair com a derrota parabéns 👏👏👏👏👏,há 1 ano,3,1
"Obrigado Diogo Barbosa, sempre fazendo m3rd4",há 1 ano,0,
Jogo bom a pena ter sido em um potreiro😂😂😂😂,há 1 ano,0,
Tô tentando lembrar de um gramado pior mas não tô conseguindo 😂😂😂,há 1 ano,0,
0:04 lá ele,há 1 ano,0,
0:03 Lá ele...,há 1 ano,0,
gramado pasto,há 1 ano,0,
"E tem comentarista do sul, que diz que o Grêmio vai amassar o Cruzeiro kkkk!",há 1 ano,0,
"Alguem avisa pra esse narrador que é chato pra crl ouvir ""olha ele ai"" PQP",há 1 ano,1,
O Kannemann não tava jogando seu mongolão. Quem é Cuesta? Ganhou o que?,há 1 ano,0,
"Vou rezar uns trinta pai nosso antes de jogar contra vcs quarta, a gente vai tomar um vareio de vcs, mtoo provavelmente, vcs jogam dmss",há 1 ano,0,
"Golaço de suarez, e pênalti muito bem batido do jogador do Grêmio",há 1 ano,1,
não  tem como   meu  grêmio  é melhor no momento.,há 1 ano,0,
bragantino virou um timão emmm,há 1 ano,0,
"51 2t



36 1t
22 2t",há 1 ano,0,
"4 2t
19 2t
44 2t",há 1 ano,1,
"50 1t
15 2t


34 1t",há 1 ano,1,
"9 2t




33 2t
46 2t",há 1 ano,1,
"19 1T
6 2T
47 2T


28 1T
39 1T",há 1 ano,1,
44 1T,há 1 ano,1,
"7 1T
12 1T
28 2T



2 1T
5 2T",há 1 ano,1,
45 2T,há 1 ano,1,
"4 2T
34 2T",há 1 ano,1,
"6 2T



30 2T",há 1 ano,1,
Olha ele ai kkkkkk que bordão mais sem criatividade e sem graça,há 1 ano,0,
Uma VERGONHA Suárez. INTER>>>>>>>>>>Bremio,há 1 ano,3,
Diogo barbosa fazendo cagada de novo nao sei como nao sumiro com ese cara do gremio é uma ingua o home,há 1 ano,0,
"Impressionante como o nosso goleiro saiu no primeiro gol brother, maluco tava em narnia",há 1 ano,1,
Essa desgraça do Grêmio fez eu perder um dinheirão.,há 1 ano,0,
