text,time,votes,replies
@CBF MASSA BRUTA NA SELEÇÃO !!!!,há 9 meses,0,
O Cleiton e pegador de pénalte,há 10 meses,1,
Red BULL BRAGANTINO na zona de classificação da libertadores.   21/09/23,há 10 meses,0,
goleiro do america acho que tomou todas;tava com uma cara de pinguço...,há 10 meses,0,
"O  bragantino  perdeu alguns jogos para times a times menores mas, pode corrigir  isso.",há 10 meses,1,
Uma vergonha os árbitros e o VAR no Brasil. Pênalti bizarro do Yuri Alberto e esse aí nem.penalti foi kkkkkkkk,há 10 meses,0,
"FINAL DO CAMPEONATO:
17.PRANTOS
18.FALIDORINTHIANS 
19.AMERICA MG*(INFELIZMENTE)
20.CORITIBA",há 10 meses,0,
"3 primeiros classificados no brasileirão = 3 treinadores portugueses
depois aparece o ressabiado Luxemburro ... sempre a falar mal dos treinadores estrangeiros",há 10 meses,1,
"bragantino não, o braga morreu, agora é redbull",há 10 meses,0,
América tá na série B,há 10 meses,0,
América-MG é Série B o jogo escreveu isso,há 10 meses,0,
Bragantino tá chegando devagarinho....,há 10 meses,1,
"Este América não está caindo, está é despencando...",há 10 meses,0,
A GENTE NÃO VAI CAIR PRA SÉRIE B,há 10 meses,1,
Esse goleiro do América é muito ruim mano kkkkkk,há 10 meses,0,
"Juiz correto deu o pênalti e acabou, diferente de um que roubou o Grêmio só pq era contra o Corinthians queridinho da CBF",há 10 meses,0,
O futebol do bragantino é uma caixinha de surpresas.,há 10 meses,7,1
Não é atoa que eles estão no lugar onde está parabéns,há 10 meses,6,1
Bragantino tá fazendo história adoro ver esse time jogar,há 10 meses,18,
Pênalti no meio rasteiro e brincadeira so pra quebra o ambas da galera,há 10 meses,0,
O Bragantino tem que ser a SELEÇÃO !!!!!,há 9 meses,0,
Não é a toa... treinador é português normal,há 10 meses,0,
"eu sou o único que simpatiza com o RBB?
eu realmente acho que eles tem uma administração muito boa (espero)
tomara que ao longo dos anos a torcida da região apoie mais
fora o uniforme que é muito lindo",há 10 meses,0,
ja falei e repito!!o América ta c azar d rebaixado!!,há 10 meses,0,
"Azar de equipe rebaixada o América MG, nada dá certo",há 10 meses (editado),0,
América tá pedindo pra cair,há 10 meses,0,
Mano olha esse penalti marcado para o america kkkkkkkkkkk o corinthians foi mtttooo mais penalti kkkkkkkkkkkkkkkk isso é um absurdo na moral.,há 10 meses,0,
OK 👍👌👍👍👍,há 10 meses,0,
Esse goleiro do america ta em pessima fase. Entregando a pacoca direto,há 10 meses,0,
Vasco agradece,há 10 meses,0,
Esse  goleiro do América  é  ruim.,há 10 meses,0,
O América já pode fazer planos para série B de 2024. Já caiu.,há 10 meses,0,
Pior goleiro do Brasil,há 10 meses,0,
E a arbitragem continua marcando somente oque eles querem 😅,há 10 meses,0,
"Claro que foi pênalti.

Por mais que tenha batido primeiro na perna do atleta, o braço dele está totalmente fora de sentido, aberto e na altura da cabeça, é pênalti claro.

Mas tem gente que não sabe a regra e fica pagando de juiz.",há 10 meses,0,
