text,time,votes,replies
Qual time merecia os 3 pontinhos nessa 2ª rodada?🤔,há 1 ano,61,15
Quase o deiversom não fes,há 10 meses,0,
O Cuiabá e o Bragantino dois times minúsculos na Série A!,há 11 meses,0,
Tirando a narração que é péssima até que o jogo foi bom.,há 1 ano,0,
CUIABÁ 1X1 BRAGANTINO,há 1 ano,1,
Cuiabá parece ter sido melhor no jogo,há 1 ano,0,
Narração horrível pqp,há 1 ano,0,
Pior canal de melhores momentos,há 1 ano,0,
Já ia voltar o vídeo pra vê os gols kkk😂,há 1 ano,0,
Respeitem os times de fora do eixo,há 1 ano,0,
Essas edições do GE é uma confusão ahauahauah,há 1 ano,0,
"Vai cair 

Coritiba 
Santos 
São Paulo 
America Mg

Meu Bahêa vai pegar g4",há 1 ano,0,
Cui,há 1 ano,0,
"Contrata o Artilheiro do Nova Mutum.
Até hoje o cara é o Artilheiro da copa do Brasil. Nesse campeonato tenho certeza de que vai ser o Artilheiro do Brasileirão nesse time do Cuiabá.",há 1 ano,0,
1:08,há 1 ano,0,
Red Bull bragantino ****************,há 1 ano,0,
"Não sei oq é pior,a matrix no vídeo, ou a narração",há 1 ano,0,
"Final de jogo:
Austrália 1 x 1 Polônia",há 1 ano,1,
Que defesa essa última do Walter,há 1 ano,0,
Que edição podre,há 1 ano,0,
O Bragantino,há 1 ano,7,
Cuiabá,há 1 ano,11,
Cuiabá.,há 1 ano,9,
Bragantino,há 1 ano,6,
O Cuiabá não ganha nada,há 1 ano,4,
"Qualquer um, menos o time de edição.",há 1 ano,10,
Cuiabá,há 1 ano,4,
CUIABÁ,há 1 ano,0,
Bragantino com certeza,há 1 ano,0,
"Pelos melhores momentos com certeza Cuiabá,  que impedimento foi esse que deram no final contra o Cuiabá???",há 1 ano,0,
Que narração horrível,há 1 ano,1,
Nenhum dos dois,há 1 ano,1,
​ @marcilenesantos7809   sim o time que menos finalizou merece kkkkkkkk óbvio que o bragantino não mereceu pq quais não finalizou no gol,há 1 ano,0,
Péssima edição do vídeo!,há 1 ano,1,
Cuiabá,há 1 ano,0,
Tenho um erro na edição. 😂😂😂😂,há 1 ano (editado),0,
Até q o Cuiabá jogou bem contra o Bragantino,há 1 ano,0,
Sport Club Kuyabá 💚. 🤍. 💛,há 1 ano,0,
pra um jogo desse so podia ser essa narradora msm kkk,há 1 ano,0,
A qualidade do video tá horrível. De todos os jogos,há 1 ano,0,
Até o Cuiabá tem estádio e o flamengo não kkkkk,há 1 ano,0,
Essa edição aí pqp kkkkkkkk,há 1 ano,0,
Cuiabá fez 3 gol . E teve 2 gol anulado tá louco.,há 1 ano,0,
NÃO TINHA NGM PRA REVISAR O VIDEO ANTES DE POSTAR NAO? ATE UMA CRIANCA ARRUMARIA ISSO,há 1 ano,0,
Que narração!,há 1 ano,1,
Essa camisa do Cuiabá tá parecendo a Austrália,há 1 ano,0,
Magina o sofrimento de quem tava assistindo ao vivo com essa narreaçao emocionado 😢,há 1 ano,1,
Rapaz que jogo bonito. Cuiabá vai crescer muito ainda,há 1 ano,13,
Essa mulher aínda narrando horrivel,há 1 ano,0,
"Tirem logo essa mulher da globo,o coisa chata essa narração",há 1 ano,0,
"Empate ruim pra ambos lados, vai brigar pra não caír tanto Cuiabá e RB Bragantino",há 1 ano,0,
Estagiário editou igual a cara dele pqp 😂,há 1 ano,0,
Bela Narração 🤮,há 1 ano,0,
"Narração dela que foi top , uma das piores que vi na minha vida kkkkk",há 1 ano,0,
"muito ruim esse narrador, melhor mudar de trabalho.",há 1 ano,0,
QUE NARRAÇÃO HORRÍVEL PQP,há 1 ano,0,
Arena Pantanal em Cuiabá,há 1 ano,0,
Perdi por causa desse gol anulado😢botei gol HT,há 1 ano,0,
KD a assistência do Aderlan no Cartola??,há 1 ano,0,
Com essa narração fica difícil assistir os melhores momentos,há 1 ano,0,1
O editor tá maluco,há 1 ano,0,
Pior jogo do sábado!!,há 1 ano,0,
Mulher narrando parece um robô...zero emoção.,há 1 ano,0,
"Do fim ao começo, q isso deve ta com o salario atrassado😂😂",há 1 ano,1,
Ok 👍,há 1 ano,2,
الجميل في مشروع براغانتينو إنه مهما تتغير أسماء المدربين و اللاعبين فإن الفريق دائما محافظ على نسقه و نتائجه الجيدة,há 1 ano,1,
Melhores momentos doido começou no início daqui a pouco foi pro fim é depois voltou ao normal kkjj,há 1 ano,1,
Que narracao sem emocao,há 1 ano,1,
Se o deyvin adianta mais chegava em 2024,há 1 ano,0,
