text,time,votes,replies
"Não foi jogo pra 3x0. Coxa jogou bem. Esse gol anulado do Islimaini fica na conta desse VAR brasileiro, que procura pelo em ovo.",há 9 meses,0,
Eu sou fam do Deyverson  História dele é linda,há 9 meses,0,
ASSISTI ESSE JOGO.,há 9 meses,0,
Deyverson tá carregando o Cuiabá,há 9 meses,0,
Po esse gramado aí tá coisa fina,há 9 meses,0,
Sou Cuiabano meu time do coracao é  Botafogo torco muito para o Cuiabá permanece na elite,há 9 meses,1,
Kkkkkkkkkkkkk esse islimane e outros jogadores que o coxa contratou vai ser tudo contratado pelos outros clubes Kssksk,há 9 meses,0,
Uu78,há 9 meses,0,
"Sport Club Kuyabá, na libertadores. 💚 🤍 💛",há 9 meses,0,
"Como o glorioso da mauá perdeu esse jogo, nem Deus sabe...",há 9 meses,0,
❤❤❤😂😂😂😂,há 9 meses,1,
O Coritiba do caralho reagi miséria a série 🅱️ e logo ali,há 9 meses,0,
Cuiabá é muito subestimado não tem jogadores de ponta mas apresenta um futebol constante,há 9 meses,1,
Cuiabá venceu fora de casa mais uma.  20/10/23,há 9 meses,0,
"Cuiabá e Fortaleza representando muito bem suas respectivas regiões, é muito bom ver equipes fora dos grandes centros ficarem mais fortes também",há 9 meses,7,
joga muitooo!,há 9 meses,1,
Dheyverson e Tiquinho na SELEÇÃO!!! ❤❤❤,há 9 meses,1,
Deivinho venha p o Timão!❤🎉🎉🎉😊,há 9 meses,0,
"Coritiba não jogou nada contra o Galo(venceu), Jogou muito contra o Cuiabá (petdeu)...",há 9 meses,0,
eeeee meu coxa.,há 9 meses,0,
😮😮,há 9 meses,0,
Ueeee o todo poderoso cousha não ia arrebentar por ter a SAF 😂😂😂😂,há 9 meses,0,
Time fraco diretoria incompetente,há 9 meses,0,
"Coitado do Coritiba, massacre do Cuiabá",há 9 meses,0,
Se o deyverson tivesse no Brasil x Croácia a gente não teria levado o gol,há 9 meses,0,
"O Coritiba adora levar surra em casa, hein...",há 9 meses,0,
"Quem tá feliz q o Cuiabá ganho deixa o like
👇 desse nanico chamando coxa",há 9 meses,0,
FURIA CUIABANA,há 9 meses,0,
Deyvinho é diferenciado todo jogo ele faz o gol dele brabo merece ir pra seleção brasileira ⚽️🔥,há 9 meses,3,
O Deyverson ta jogando muita bola slk Não é facil ganhar do coxa no Couto Pereira cara 2:23 que golaco do Isidro Pitta na gaveta la na onde a coruja dorme parabéns ao Cuiabá bela vitoria melhor jogo deles no ano!!! 👏⚽️,há 9 meses (editado),2,
Aqui e santos,há 9 meses,0,
Uuuuu,há 9 meses,0,
O argelino jogando sozinho nesse time do Coritiba não dá ne.,há 9 meses,0,
"Resumindo jogo Coritiba chuta pra fora pra fora pra fora , Cuiabá gol gol gol kkkk😅",há 9 meses,2,
Abel Ferreira dispensou Deyverson ... O Palmeiras gastou 235 milhões depois que ele saiu do clube ( pagando para alguns 3x o que ele ganhava ) e não contratou nenhum jogador melhor que ele ... Mas gênio não pode ser criticado ..,há 9 meses,2,
