text,time,votes,replies
"Fala, athleticano! O interino Wesley Carvalho deve ser efetivado no comando do time?
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 1 ano,49,9
jc,há 2 meses,0,
"Vim do futuro pra dizer que o Corinthians ta jogando o mesmo futebol sem vergonha, mesmo depois de 3 técnicos diferentes. O Cássio é o único jogador que merece estar ali.",há 9 meses,0,
.,há 1 ano,0,
D,há 1 ano,0,
Oi,há 1 ano,0,
"Atlético PR lá é muito chato, até o narrador ficou sem palavras.....",há 1 ano,0,
Os gambá deram foi sorte de não ter levado uma goleada😂😂,há 1 ano,0,
Cara o Atlético-PR so sabia fazer falta q jogo é esse pprt agr virou pancadaria?,há 1 ano,0,
"Desse jeito fica fácil, não avisaram pro Corinthians que tinha jogo. 🤔👀",há 1 ano,0,
"@xxxixas
@xxxixas
há 0 segundo
Luxemburgo precisa acertar a defesa e meio campo e jogar fechado, sentir a força do adversário e saber a hora de jogar defensivamente e ser ofensivo   e buscar tambéme recuperar o emocional  e a autoestima dos jogadores. Não pode jogar aberto na casa do adversário todo jogo (tem que dosar)!",há 1 ano,0,
"Queria vê o timao nesta fase vir jogar contra algum time paraibano pra tomar surra aqui na PB pela copa do Brasil, ja que toda  times do Sudeste  costuma caçoar dos times daqui.rsrs😅😅😅",há 1 ano,0,
"Agradeçam ao Cássio, melhor jogador do timão nessa partida, salvou.",há 1 ano,0,
Queria ver os melhores momentos do jogo mais aí só mostrou os melhores momentos do atlhético paranaense ☺,há 1 ano,0,
Sou Mengão Mais hj o Melhor Centro avante do Brasil é o Tiquinho Soares do Botafogo.,há 1 ano,0,
"Jogo foi equilibrado,  uma hr o Atlético batia outra hr o Corinthians apanhava",há 1 ano,0,
Acho essa narração desse jogo um pouco melhor que a feminina,há 1 ano (editado),0,
2:37 😂 O desespero do cassio,há 1 ano,0,
A situação está caótica,há 1 ano,0,
O curitias vai lutar pra nâo cai esse ano,há 1 ano,0,
"Vamo gamba, rumo ao bi da série B",há 1 ano,3,
Não,há 1 ano,1,
Não,há 1 ano,1,
Pathetico-PR pequeno,há 1 ano,1,
Vitor Roque futuro do Barça ❤️💙,há 1 ano,2,
Bom treinador,há 1 ano,0,
Patética é a alma de quem não reconhece a verdade!,há 1 ano,0,
