text,time,votes,replies
Perdi tudo em aposta,há 2 meses,0,
Parabéns América-MG 🤩🤩,há 7 meses,1,
"Vem pro São Paulo MASTRIANI, vem ser feliz crack 🇾🇪🔥",há 9 meses,0,
Golllll,há 11 meses,0,
Vai america vamos amaceta o São Paulo,há 11 meses,0,
"Nao acho que América cai esse ano nao hein, agora fora da Sul Americana acho que pega um 12° lugar inclusive",há 11 meses,2,
Acredita América!,há 11 meses,1,
Spfc e flamengo 2 jogos das finais vao ser uma pelada so.,há 11 meses,0,
O time do sao paulo  e uma piada,há 11 meses,0,
pato nao sabe pater penalti mano,há 11 meses,0,
"Luciano tá matando o São Paulo.... esse cara perde gol de Mais ..... 

Tem que deixa ele na resava",há 11 meses,0,
Bora sair da zona mequinha,há 11 meses,1,
"América tem um bom time, não sei o que ta acontecendo lá....",há 11 meses,0,
"==> SE o LANTERNA 🔦 Do Brasileirão DERROTA o Time Do São Paulo Desse JEITO :  JÁ SABEMOS Que O CAMPEÃO 🏆 Da COPA Do BRASIL ❤ 2023, SERÁ O FLAMENGO PENTA CAMPEÃO 🏆 🏆 🏆 🏆 🏆  !!!",há 11 meses,0,
"O América deitou e rolou encima da zaga do são Paulo ,pelo amor de Deus,se os caras não tiver vergonha desse jogo , esqueça rumo a segunda por que pra cima tá difícil",há 11 meses,2,
"Final copa do Brasil  entre 2 clubes que nem deveriam estar ali 2 times ruins,vence quem estiver menos zicado ,SAO VARLO E VARMENGO Rsrsrsrsrs",há 11 meses,0,1
"NAO ENTENDO ESSE TIME DO AMÉRICA  UM ÓTIMO  TIME QUE SE ENCONTRA NA ZONA DA DEGOLA,MAS EU ACREDITO QUE O AMERICA VAI SAIR DESSA SITUAÇÃO, COM ESSE BOM TIME.",há 11 meses,2,
Bem que o juiz tentou ajudar o São  paulo mas o América MG  mereceu a vitória,há 11 meses,1,
Normal esse resultado. São Paulo tem uma final contra o flamengo. Tem uma decisão contra a LDU na sul-americana.  Vai entrar pra arregaçar contra o lanterna do Brasileiro??? Os caras jogando a vida pra tentar fugir da serie B. Calleri tem que entrar pra dividir e machucar o tornozelo e perder a final??? Põe o pato aí pra dar minutagem e já era.,há 11 meses,0,
