text,time,votes,replies
Timão,há 11 dias,0,
O último empate que tivemos até agora,há 5 meses,0,
"Quinta-feira placar final

Bora bora rave Santos Priscila Fantin

Tiago Abravanel e Rodrigo
 campeões da dança dos Famosos 2012!

MG total
292,6",há 7 meses,0,
"Quem torce pro Atlético mg clica aqui
No like",há 8 meses,1,
"Com certeza qualquer treinador ao assumir o Corinthians precisa aceitar uma imposição da diretoria, que é a de manter a todo custo esse Yuri Alberto como titular, para que algum time maluco lá de fora o contrate.",há 8 meses,0,
"2:24 me lembrou Ronaldinho Gaúcho x Seaman, Copa do Mundo de 2002, mas aqui o Cassio defendeu!",há 8 meses,0,
"Rapaz, se o Yuri Alberto fosse matador, o Corinthians seria o líder do campeonato kakakakakaakkakakaakakakakakakakakakakakakk todo jogo são uns 19 gols perdidos cara a cara kkkkkkkk",há 8 meses,1,
"A sorte do Corinthians é que nossa torcida é a mais paciente da história do futebol, a torcida mais fiel de todas, porque caso o contrário já teria acontecido algo pior que Cruzeiro x Coritiba",há 8 meses,0,
"Vai pro inferno todo gol é nas costas do Bagre santos, esse merda do duilio renovou com esse idoso de merda.",há 8 meses,0,
Esses jogadores do Corinthians deve estar ganhando uma grana enorme para rebaixar o clube. Yuri Alberto é hoje o pior atacante do campeonato brasileiro,há 8 meses (editado),0,
VAI CORINTHIANS 🏴🦅🏳️🦅,há 8 meses,0,
De baixo do gol esse cara jogou a bola la na tira-dentes kkk,há 8 meses,0,
Brota romero de atacante mais facil ele decidir jogos,há 8 meses,0,
"Coloca um zagueiro na esquerda por favor, melhor que Fábio aposentado Santos e Bidu morto 💀",há 8 meses,0,
Mano Yuri Alberto tá fora do Normal o cara não acerta nada,há 8 meses,0,
Este goleiro.tem que por ele no banco....nao tras mas confianca...o galo no maxiko 4 lugar mesmo e olhe la...,há 8 meses,0,
PAULINHO SEMPRE SALVANDO A MASSA DA DERROTA!!!!,há 8 meses,0,
"De coração sou colorado,em Minas sou galo,em São Paulo sou tricolor e no Rio sou Botafogo com muito amor!",há 8 meses,0,
Empatamos,há 8 meses,0,
Esta na hora de entrar sem o Yuri Alberto para ver se o time rende mais na frente,há 8 meses,0,
"A globo tem que voltar os ex Árbitro para comentar a partir os cometarias não tem experiência na arbitragem, globo volta eles e elas por favor",há 8 meses,0,
"Esse time do Corinthians é ridículo, culparam treinadores pela falta de competência dos jogadores!!!",há 8 meses,0,
Poha mas esses rojas caralho. Só cruza a bola mno toda vez esses bicho faz isso. O Yuri e ruin mas ele faz gol. Esse rojas desde quando veio pro corinthias nao fez nada so isso aí mesmo,há 8 meses,0,
Ué cadê o gol anulado do galo ?? 🤔🤔🤔,há 8 meses,0,1
Aumentaram a velocidade que se passa os lances ou eu tô pirando ja?,há 8 meses,0,
Esse pé de rato Rorras só chuta encima do goleiro.,há 8 meses,0,
"😂 Projeto de jogador e os fanáticos clubistas achando que já são craques kkkk , abaixao a bola só promessas em cima de promessas que não consegue sair do papel literalmente, o tal burrinho dos patéticos mineiros misericórdia 😂😂😂😂",há 8 meses,1,
