text,time,votes,replies
🥉,há 2 meses,1,
pro Fortaleza vou dar um presente,há 2 meses,1,
Ese penalty ia valer brasileirão,há 6 meses,0,
O CRISTALDO BATENDO PENALTIKKKKKKKKKKKKKKK,há 8 meses,0,
meu Deus que narrador chato! pqp todo lance quer lançar bordão!,há 10 meses,0,
É IMPRESSIONANTE como o Grêmio só tem batedor de pênalti bocaberta...,há 10 meses,0,
Seria muito bom se o Fortaleza ganhace .,há 10 meses,0,
"Grêmio 1 x 1 Fortaleza pênalti não derrota 
🤬🤬🤬",há 10 meses (editado),1,
O Time do gremio na partida todinha praticamente teve so duas chances de gol e nada mais o resto do jogo todo foi so ataque do Fortaleza parecia que o gremio nao queria jogar nao queria atacar o time do Fortaleza porque poderia fazer o gol mais o Fortaleza tava no ataque direto. Isso nao é  futebol emsim uma enganação.,há 10 meses,0,
Nenhum time no mundo tem um time reserva que jogue igual ao titular sempre sao nivel abaixo mais o Fortaleza parece que tanto faz nao tem titular nem reserva. Todos jogam do mesmo jeito. Será isso um time real ou so uma mentira. Porque futebol o time do Fortaleza nao tem pra ganhar ou ate empatar com o time principal do grêmio.  Esse campeonato Brasileiro é  uma enganação   uma palhaçada e o mais favorecido é  o Fortaleza porque o time nao perde tanto faz jogar com titulares ou reservas nao perde de forma nenhuma nem jogando em casa e nem fora. Parece combinado o time so joga pra ganhar nesse fraco campeonato Brasileiro l. O campeonato que faz os torcedores de 🤡🤡🤡🤡🤡🤡🤡🤡,há 10 meses,1,
"Suárez depois de ter ganhado Champions, chuteira de ouro e tudo mais na europa ainda encontra vontade pra jogar de 3 em 3 dias no fim de carreira, exemplo de atleta",há 10 meses,1,
O Marcelo benevenuto errou td nesse jogo,há 10 meses,0,
Se não fosse a Renata Silveira esse cara seria dono da pior narração do Brasil,há 10 meses,0,
Arbitragem 🤡🤡🤡,há 10 meses,0,
O dandan é bom demais...ta louco,há 10 meses,0,
Esse benevenuto +o Fm  2 negaçoes em campo.,há 10 meses,1,
Dupla GreNal quando o assunto é entregar o Brasileirao...,há 10 meses,0,
que narrador insuportável,há 10 meses,1,
