text,time,votes,replies
Deyverson ta melhor que os centroavantes patetas da seleção que fez 2 gols em um ano kk,há 9 meses,0,
Aqui é Cuiabá para cima Dourado,há 9 meses,0,
"Clássico ""Goiaba"" do centroeste...",há 9 meses,1,
Engraçado o Goiás leva coro pra quase todos os times mais esse ano não perdeu pro líder bota fogo,há 10 meses,0,
Fortalecimento de um possível clássico interestadual do Centro-Oeste.,há 1 ano,1,
Ninguém vai falar da cavadinha fria e calculista do cara ali do Cuiabá?,há 1 ano,0,
Assisti esse jogo.,há 1 ano,0,
Tá jogando fácil deivinho,há 1 ano,0,
Cuiaba meteu pisa nois goiano,há 1 ano,0,
"esse GE é uma merda, teve mais uma defesa do Tadeu que não colocaram, parece que só ligam pra time de maior expressão",há 1 ano,0,
Tô torcendo pro Davidson marca contra o Botafogo e o Cuiabá ganha e o Palmeiras assumir a liderança aí vou aínda mas fã dele!!,há 1 ano,0,
Olá Goias Ja Paguei Sua Passagem Ok Filho. to com saudades 🙂,há 1 ano,0,
Força Deyverson!! É sempre triste perder alguém que a gente ama mas vc vai passar por essa.,há 1 ano,2,
Cuiaba esta no caminho não  rebaixar pra ninguem,há 1 ano,0,
Tevê gol do tri da América deivison vai Cuiabá,há 1 ano,0,
vamoss douradoo,há 1 ano,0,
Estádio da Serrinha em Goiânia,há 1 ano,0,
Sucesso Deyverson. Parabéns Cuiabá.,há 1 ano,0,
"Deyverson nosso herói,palmeirense",há 1 ano,0,
"Cara deiverson melhor que navarro,Breno Tabata,e mesmo nível que flaco.",há 1 ano,0,
O Deyverson é muito bom cabeceador.,há 1 ano,0,
"Esse ataque do Cuiabá precisa Melhorar e Muito
O que Esses Caras Perde de Chances de gols ñ é brincadeira, Sai no contra ataque, fica cara a cara com o goleiro e na hora de finalizar, finaliza igual a cara deles, misericórdia
 Ñ dá pra ficar dependendo Só do Deyverson, o Atônio Oliveira tem qe dá um jeito Nisso aí",há 1 ano,1,
Classico de dois times que representa bem o centro oeste,há 1 ano,2,
"Avante douradão, torcendo muito sempre, aqui de alta floresta mato grosso. Grande Vitória, grande deivinho.",há 1 ano,3,
Parabéns Cuiabá! Abraços desde Cuiabá 😂😂😂,há 1 ano,2,
@Cruzeiro o Deiverson desperdiçado la no Cuiabá e nós com esses cones aqui ?,há 1 ano,0,
Uma vergonha o Goiás tantos anos na série A perder para um time que há cinco anos jogava no Terrão amador.,há 1 ano,0,4
Red do Red,há 1 ano,0,
"Brincadeira Goiás. Muito ruim esse time, só salva o goleiro.  🤮😞",há 1 ano,1,
O melhor do centro oeste perdeu? Kkkkkkkkk,há 1 ano,0,
"Cuiaba so ganha com camisa branca kkkkkk, pq com a verde ou empata ou perde
Tomara q deyverson renove com o dourado",há 1 ano,0,
Valeu Dourado obrigado Deivinho,há 1 ano,2,
"Já sabia que ia perder,pois foi campeão de um campeonato de merda né, tem direito de perder, ainda tem umas cornos por aí que puxa saco de desse presente sem futuro, o Goiás tá e fundido com esses diretoria e comissão técnica!!!!!",há 1 ano,0,
"Que VERGONHA esse time do Goiás 🇳🇬🇳🇬 . Senão você o TADEUS seria de 4x0 . A culpa é da Diretoria que não sabe montar o time logo no começo do ano . Desde de 2014 o Goiás não tem um 10 de Verdade . Só traz meia boca   jogador gordo , fora de forma . Nosso ataque é pior que time de Várzea com Palácios,  o ingua gordo e fora de forma do Novaes e o Penteador de Bola Vinicius que só tá enganando a diretoria.  Toda série A Goiás põe um interino como treinador.  Hoje estão deixando o Avilá fazer um estágio no Goiás . Contrata um treinador de Verdade.  Um zagueiro,  lateral esquerdo e volante pra repor peças. Traz um 3: reserva do Palmeiras , São Paulo ou Atlético mg que eles chegam aqui e vira rei 👑.  Traz 2 atacantes de lado e um centroavante pra disputar com Matheus Peixoto. Busca as revelações da base o artilheiro Pedrinho e Wendell.  Empresta o Hugo 6 , Willian Oliveira 5 , Felipe Bastos 8 , Alleson 7 e Diego Gonçalves 11 . Alô série B . Temos reforços pra vocês,   Vila,  Atlético go, Criciúma , Vitória,  Ceará,  Sport . Adson Batista olha os meninos aí.  Ajuda nóis.  Volta Dr: João Bosco Luz,  Raimundo Queiroz, Wagner Vilela . Salva meu GOIAS do vexame desde 2014😭😭 . Ressucita Verdao 🇳🇬🇳🇬🇳🇬",há 1 ano,2,
Pra cima Cuiabá... Tesouro-MT aqui,há 1 ano,3,
Palmeirense como eu não perde jogo do Cuiabá 😅,há 1 ano,1,
ESTRANHO O GOLEIRO SE JOGOU PARA O LADO COMO SE DISSESSE VAI FAZ O GOL,há 1 ano,0,1
"cara, eu acho o time do cuiaba bem treinado, só tem um elenco mt fraco",há 1 ano,0,
Deyverson foi destaque da partida fez o gol da vitória e agora o Cuiabá respirar fica há seis pontos da zona perigosa.,há 1 ano,1,
"Vamooooo deivinhooo, sempre terá um lugar guardado no coracao de cada palmeirense",há 1 ano,10,
Pra vc ter uma ideia da grandeza que é o Goias...,há 1 ano,0,
 @grungerover1521  Bem maior que o Cuiabá é,há 1 ano,0,
 @ironmusicasevariedades  Só tem idade...,há 1 ano (editado),1,
 @grungerover1521   Cuiabá vai ter título de expressão primeiro que Goiás!! Escreve aí printa aí Goiás e uma vergonha no cenário nacional só tem idade 😂😂😂😂😂😂😂😂,há 1 ano,0,
ele achou que o cara bateria no outro canto.....,há 1 ano,0,
Goiás e sua mania de perder para times pequenos,há 1 ano,0,5
"Eu sempre comemoro gol do Dayverson,
Obrigado por tudo 🐷❤️",há 1 ano,8,
Poxa o carrinho maca do Cuiabá é um trator kkkkk tem alimentos como  arroz e feijão nos mercados da marca do time Cuiabá kkkkk tem q ficar na série A,há 1 ano,2,2
Puxa Goiás perder para um time sem torcida e que apoia bandido ?,há 1 ano,1,6
Pai do varmenguinho 😂,há 1 ano,0,
"Esse Deiverson, é um fanfarrão!",há 1 ano,1,
Esse estadio parece ter a iluminação ruim nas transmissões,há 1 ano,1,1
Goiás é isso ganhou do líder e perdeu pro Cuiabá,há 1 ano,1,
"Rapaz quase 10 min de acréscimo...

Sei não ein....

Os pequenos sofrem",há 1 ano,3,
Tadeu merecia mais.,há 1 ano,0,
"Tadeu um ótimo goleiro,sempre quis ele no meu flamengo",há 1 ano,0,
Deyvin>>>>>>>flacheiro,há 1 ano,1,
Não seria mais fácil chamar o Cuiabá de Cuiabá mesmo (dourado),há 1 ano,0,1
O Deyverson é melhor que o Breno Lopes e o Navarro juntos.,há 1 ano,0,
Deivimm😅😅,há 1 ano,0,
Na minha opinião eu acho que o Cuiabá não cai vai permanecer na série A,há 1 ano,3,5
"Deyverson, é impossível te odiar.",há 1 ano,0,
Deyverson eterno ídolo alviverde,há 1 ano,0,
"Só o Vasco vai perder pro Goiás, o Vasco vai ressuscitar o Goiás",há 1 ano,0,
Cuiaba orgulho de mt,há 1 ano,4,
E o Goiás é grande?? Digo que o Cuiabá é um time mais bem estruturado que o o Goiás e em breve será o Rei do centro oeste,há 1 ano,2,
" @breninhofifa651  Goiás sempre foi grande
Bem estruturado kkkkkkkkkkkkkkkkkkkkk",há 1 ano (editado),0,
⁠ @MANOELITOist  Sqn né time ioio da pohha !! Cuiabá  é melhor administrado que o Goiás !  Contratações do Goiás terrível !! Um grande time começa pela finanças !!,há 1 ano,0,
 @Jcnunes8888  Tão terrível que foram campeões a pouco tempo ja estão na copa do Brasil do ano que vem e estão bem demais na sulamericana e o Cuiabá nem isso tem kkkkkkkkk,há 1 ano,0,
 @MANOELITOist  mais Cuiabá já está classificado para copa do Brasil 2024 chefe !!  Espero que Goiás ganhe a Sula espero de coração mesmo tomara que o foco do Goiás seja inteiramente na sul-americana!!!,há 1 ano,0,
Verdade tem até biscoito kkkk mascote do Cuiabá parece um Digmon kkkk,há 1 ano,0,
 @Jcnunes8888  é um time diferenciado kkkkk,há 1 ano,1,
