text,time,votes,replies
"Quem foi o Craque do Jogo?
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 1 ano,25,4
Parabéns Fortaleza ec 🦁 🇫🇷🇫🇷,há 7 meses,1,
Na casa do senhor não existe satanás gol do Goiás.😂😂😂😂😂😂,há 11 meses,0,
"vitória merecida do goiás, mesmo sendo assaltado pela arbitragem , jogou bem e mereceu a vitória.",há 11 meses,1,
Bela vitória do Goiás,há 1 ano (editado),2,1
Os jogadores do fortaleza estao fazendo corpo mole 😢,há 1 ano,0,
Marinho é uma bosta 😅😢🎉,há 1 ano,0,
"Contato de jogo essa porra, disputa por espaço.",há 1 ano,0,
"Caliu disse que esse gol contra é de se desconfiar na rádio transamérica, vim ver aqui sério pelo amor de Deus tem nem como desconfiar de um lance desse, ele disse que o zagueiro tirou a bola do goleiro sim, mas não dessa forma de maldade.. ele disse pq é santista e o santos esta na zona, então o time dele que está errado de não estar jogando nada tbm",há 1 ano,0,
❤️,há 1 ano,0,
"Vacilo não ter mostrado o suposto empurrão no Marinho, no 2° gol anulado do Goiás. Aí não hein edição",há 1 ano,0,1
O último gol anulado do Goiás foi um ABSURDO! Estão querendo com todas as forças prejudicar o Goiás.,há 1 ano,2,
Gostaria de aaberndo estagiário por qual motivo  não  postou o jogo do Bahia,há 1 ano,0,
"O JOGO DO FIRTALEZA TA MANJADO, O TREINADOR CONTINUA ESCALANDO ERRADO, 4 DERROTAS, O TIME NAO TEM MEIUCA, MARINHO DESENTROSOU O ATAQUE, PESSIMA AQUISIÇAO, JOGADOR ENCRENQUEIRO, A DIRETORIA DEU UM TIRO NO.PÉ,",há 1 ano,0,
"💚Goias 3 x 0 Bostaleza 8C 😂
VAR roubado ser ferrar",há 1 ano,0,1
"Esse Alano parece ser bom jogador, roubou bolas que deixaram jogadores na cara do gol, acertou uma bola na trave, veloz, pode ajudar muito o Goiás, nem sei se é novo realmente, mas parece jogar bem.",há 1 ano,1,
Esse juiz é tendencioso,há 1 ano,0,
Estadio da Serrinha em Goiânia,há 1 ano,1,
Marinho so levando peia no fortaleza 😅,há 1 ano,0,
Defesa infantil essa do fortaleza 😢,há 1 ano,0,
hugo jogou dms,há 1 ano,1,
Palmeiras não tem Mundial,há 1 ano,0,
 @isaquemartins1110  Flamengo não tem estádio,há 1 ano (editado),0,
Allano jogou muito faltou sorte,há 1 ano,1,
"Mdc, mais esse teve um azar, danado...",há 1 ano,0,
Não monstra porque é tudo farinha do mesmo saco sempre vão prejudicar os times fora do eixo,há 1 ano,1,
Terminou em 1 x 0,há 9 meses,0,
Que falta foi essa no Marinho que eu não consegui ver ?,há 1 ano,1,
Esse time do Fortaleza tem péssima criatividade em fazer uniformes...,há 1 ano,0,
Jogaço 🤝,há 1 ano,1,
Alano entrou e fez um carnaval na zaga do Fortaleza slc,há 1 ano,2,
Reage LAION 😂😂,há 1 ano,0,
"Esse hábito é um ladrão tentou roubar o jogo tempo todo para o Fortaleza mas, falar que foi falta no Marinho depois do lance seguir e depois do Goiás fazer o gol..",há 1 ano,0,
Goiás foi muito superior do que o fortaleza..,há 1 ano (editado),0,
A defesa do Fortaleza se posiciona sempre de costas para os atacantes adversários.,há 1 ano,1,
Ao inves de buscar treinador de fora pra selecao tem buscar e arbitragem de fora,há 1 ano,0,
"Defesa do Fortaleza, a mesma de sempre: lerda, desatenta, chumbo nos pés!",há 1 ano,0,
"Querem rebaixar o Goiás de toda forma, todo jogo arbitragem mete a mão!!",há 1 ano,0,
"gol legal do Goiás, foi prejudicado!,,",há 1 ano,1,
"Boa vitoria do goias contra o fortaleza, pelo campeonato brasileiro da série a 2023",há 1 ano,1,
Enquanto o Marinho tiver aí é só peia,há 1 ano,0,
Era pra ser uns 5 a 0 pro Goiás nesse timinho da stela.,há 1 ano,0,
Pq não colocam o nome dos jogadores na camisa?,há 1 ano,0,
"Parabéns ao Goiás, mereceram a vitória, dês da escalação até às ações tomadas em campo, já o Fortaleza em nenhum momento mereceu nem o empate, dês da má escalação do treinador e todo jogo é uma formação diferente, e a vontade dentro de campo,l e a desorganização, obs: eram pra ter ganhado de uns 3x0 e sou torcedor do Fortaleza.",há 1 ano (editado),5,
So deu Goias. Merecida Vitoria!! Contra ataques mortais pena q estavam impedidos,há 1 ano,1,
"Fortaleza totalmente sem criatividade,  n sei pq o voyvoda n coloca o crispim pra jogar , insisti na velocidade que n tá dando certo no momento , jogadores longe um do outro , errado passe e domínio de bola que é o básico!!! Bora lion pra cima",há 1 ano,0,
Ficou barato esse placar magro.,há 1 ano,0,
Mais uma zebra 🦓 que o Fortaleza ajuda vtnc.,há 1 ano,0,
"Parabéns ao GOIÁS!!!
ganhou do bom time do Fortaleza e também da arbitragem que fez de tudo que isso não acontecece. A intenção de prejudicar o Goiás está nítida.",há 1 ano,3,
"Arbitragem  horrível, Vuaden um dos piores do Brasil.",há 1 ano,0,
O marinho é a pior contratação do fortaleza.,há 1 ano,0,
"Sou São Paulino mas estou torcendo para o Goiás ficar na série A , já o Santos pode cair ...",há 1 ano,0,
Voltar a ganhar meu leão. Tomar pressão do Goiás é melhor pedir a morte…,há 1 ano,1,
O primeiro gol anulado é duvidoso essas imagens são muito ruins SLK e o segundo gol anulado juiz tá de sacanagem roubo,há 1 ano,0,
"Esse Goias perde muito gol, se é loco",há 1 ano,0,
O Fortaleza com esse time aí ja ta na B.,há 1 ano,0,
As Barbie perderam dinovo🦁🏳️‍🌈👡💞🎀,há 1 ano,0,
"Com um zagueiro desse do Fortaleza ,Goiás não precisa nem botar atacante em campo!",há 1 ano,1,
Aparentemente é mais um ano que o Goiás tem time muito fraco mas consegue uns pontinhos e não cai kk,há 1 ano,0,
Fortaleza daqui uns tempos vai voltar pro lugar dele a série B,há 1 ano,0,
Que juiz ladrão!! CBF corrupta,há 1 ano,0,
Kkk😂😂😂😂,há 1 ano,0,
"Arbitragem da CBF brasileira, uma vergonha, como o juiz no lance do terceiro gol, não marcou a falta com campo de defesa e deu o lance além da vantagem e fez o gol. O segundo gol está impedido, mas o terceiro é um absurdo e uma vergonha.",há 1 ano,2,
FORÇA GOIÁS CONTRA TUDO CONTRA TODOS🇳🇬👏💪,há 1 ano,7,1
"Marinho jogador pé frio,fortaleza vai série B com ele",há 1 ano,0,
GOIAS 1 × 0 FORTALEZA,há 1 ano,0,
O Go sendo roubado dnv...incrivel...,há 1 ano,1,
Sou palmeirense mais você disse tudo,há 1 ano,0,
Trazer a praga desse marinho foi a maior loucura nem no Goiás essa ameba consegue fazer gol,há 1 ano,0,
E ainda era pra ser 4 x 0 de tanto perder gol,há 1 ano,0,
Terça feira o Fortaleza vai perder de novo e vai desclassificar,há 1 ano,0,
O Goiás foi roubado era pra sair 3 a 0 mas o Fortaleza vai descer Deus e maior,há 1 ano,0,
Lascou se fortaleza o vidente já disse vai voltar pra 2 divisão ele acerta todas do Fortaleza e vai ter mas 10 derrotas e 5 empates ta lascado,há 1 ano,0,
Robou o Goiás,há 1 ano,0,
O estádio tem uma iluminação péssima,há 1 ano,0,
