text,time,votes,replies
"BAHIA É O SEGUINTE
NÃO PODE TENTAR TIRAR A BOLA DO FLAMENGO DENTRO DA AREA QUE SERÁ PENALTI
NÃO PODE TOCAR NO JOGADOR DO FLAMENGO FORA QUE SERÁ EXPULSO
VAMOS VER HJ O QUE VÃO INVENTAR PARA PREJUDICAR O BAHIA, MAIS COM OGRUPO CITY POR TRÁS TALVEZ ELES RESPEITEM NOSSO TRICOLOR",há 1 mês,0,1
Quinta feira só vai da a gente ... bora bahia,há 1 mês,0,2
Aqui desabafo,há 8 meses,0,
"Fala aí, quem fez o método e deu bom! 🤑🎰🎰✅️",há 8 meses,0,
VARmengo sempre ganhando com ajuda do VAR 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤏🏿🤏🏿🤏🏿🤏🏿🤏🏿🤏🏿🤏🏿🤏🏿,há 9 meses,2,2
Não mostraram a comemoração do pedro,há 9 meses,0,
"Santos e Vasco não caem.quem cai para série B? Curitiba, Bahia, Goiais, America",há 9 meses,0,
Lindo e vida vida,há 9 meses,0,
"É bem simples, se fosse contra o flamerda o puxão não teria impacto suficiente ou jogador não teria o total domínio da bola... E o penalty, não seria marcado, pois teria sido sem intenção e o jogador recolhe e tenta diminuir a potência do chute...😂😂😂😂😂😂",há 9 meses,2,
Faengo mereceu pqp,há 9 meses,1,
"O Santos deveria ficar no Flamengo,duvido ele tomar o gol do título do São Paulo",há 9 meses,1,
topzeraaa,há 9 meses,1,
Pense que em um time ladrão é o Flamengo. Juiz roubou nesse jogo flamengo e o juiz tudo fora da lei ladrão,há 10 meses,2,
"Aos adversários fica o aviso caiu no meio do campo contra o Flamengo é pênalti, operou o Bahia VARMENGOOOO",há 10 meses (editado),1,
"Parabéns ao juíz e ao var, jogaram muito !",há 10 meses,3,
Pow tô sacanagem as falta do pulgar não entra mano que isso bate bem demais,há 10 meses,1,
Nem encostou no Bruno Henrique... O que seria desse timinho sem o var,há 10 meses,1,
"Bela comemoração do Pedro ""Jesus é o suficiente""",há 10 meses,1,
O RJ é nosso shhhh cala a boca anti flamenguista,há 10 meses (editado),1,
Não foi pênalti,há 10 meses,1,
😂😂😂 o maior chorão que eu já vir.. bateu o recorde 😂😂😂😂,há 1 mês,1,
Veremos...,há 1 mês,0,
Dito isso: 3 x 0 mengão,há 1 mês,0,
"Falou o time que nunca foi ajudado pelo var, CHORA MAIS KID",há 5 meses,0,
E só o Pedro é maior que esse teu time de mulambos,há 5 meses,0,
❤1x0💠,há 10 meses,1,
Os dois fizeram o mesmo movimento e o juiz deu pênalti que coisa mais safada como esse povo até hoje gosta de futebol bando de idiotas,há 10 meses,2,
Roubado,há 10 meses,2,
MAIS UM ROUBO PARA O FLA,há 10 meses,2,
"Esses cara são cego vei n é possível, Gilberto CHUTA o pé de Bruno Henrique e não é pênalti? Porra mano é só ver o replay, só pq é a favor do Flamengo vcs ficam dizendo q n foi. O lance q o cara foi expulso, tá certo tbm, Gerson ia sair sozinho na cara do gol, ia ser gol. E esse lance do pênalti, é só ver o lance q o pé de BH chega dá uma balançada e Gilberto dá uns pulinhos, esses cara ou são cego ou se fazem de burro nmrl",há 10 meses,2,
"Obrigado meu Var, sem vc o meu Mengão não iria vencer o Bahia",há 10 meses,2,
"2:29 O CARA MANCA depois que acerta o chute, pqp. O BH teve sorte de que não ter sido operado.",há 10 meses,1,
