text,time,votes,replies
Que vergonha gente. Aaaa que é isso? Vai a ......,há 1 mês,0,
Parabéns Cuiabá Deyverson 😍😍,há 6 meses,1,
"Fico só olhando a tal gestão profissional que não consegue contratar sequer um treinador com coragem para tirar do time titular, os jogadores que atrapalham o time como Oliveira, Machado e Rafael Cabral, por exemplo.",há 10 meses (editado),0,
"Rafael Cabral e Oliveira, sempre eles entregando, o goleiro plantado na linha do gol deixando o atacante cabecear dentro da pequena área, a menos de dois metros dele. Já o Oliveira assistindo o jogo de dentro de campo.
Só faltou Machado pra completar o trio.",há 10 meses,0,
Cruzeiro contratou Zé Ricardo treinador de série b treinou tanto o Vasco não saiu da série b Zé Ricardo péssimo treinador,há 10 meses,0,
"Cruzeiro sempre será o menor de minas, Série B vai voltar pro GAYBULOSO NÂNICO, Timeco😂😂😂😂",há 1 ano,0,
deusversson vai amassar os gambás,há 1 ano,0,
"Vai CURINTIA!  Que Fase mano. 
Luxemburgo é Mandrak !",há 1 ano,0,
Impressionante como os cara jogam com a alma quando enfrenta o flamengo,há 1 ano,0,
"Cuiabá que timinho de futebol feio em, anti jogo total, Mas vamos cruzeiro sabado tem jogo importante 🔵🦊",há 1 ano,0,
😅 Deivim.....,há 1 ano,0,
Aff gente não é porque cruzeiro perdeu de 1 a 0 que ele é time pequeno não tá para de zua quando os times de vcs perde pra um time que não está jogando  muito bem na temporada vcs vão ver  até os gigante perde 2:05,há 1 ano (editado),1,
"Deu ruim pro Vasco esse resultado. Parece que o Cruzmaltino está ""cravando"" aos pouquinhos mais um descenso à série B. Se perder do Fortaleza na próxima rodada, esquece. Será mais um campeonato da série A que o Vasco estará a passeio. Infelizmente!",há 1 ano,0,
Eu não entendi o Cruzeiro ! Ganha dos grande perde pra os pequenos,há 1 ano,0,
Eu não entendi o Cruzeiro ! Ganha dos grande perde pra os pequenos,há 1 ano,0,
Só eu acho que as pessoas comentam zuando o time pra ganhar visibilidade?,há 1 ano,0,
Assisti esse jogo.,há 1 ano,0,
