text,time,votes,replies
"Fala, galera. Craque da partida?",há 1 ano,593,223
porra hoje tem Flamengo x Fortaleza e o yt me recomenda logo hoje! achei que já tivesse perdido o jogo... que susto,há 4 semanas,1,
"Esse jogo eu não assisti pois estava assistindo homem Aranha no aranhaverso com uma pessoa que eu amo muito,mas com certeza foi um jogaço.",há 5 meses,0,
Flamengo tem ó Matheus cunha como bom só nesse jogo o resto na ora que entra no campo na primeira bola que vai nele aí aí só tem frangaso,há 7 meses,0,
"Time tomou virada do Grêmio e virada do Santos, aqueles, seis pontos já teriam deixado o Flamengo em igualdade de condição e só dependendo dele mesmo para ser campeão...só que não foi só isso! Tem mais...e o América, São Paulo em casa...quando um time ""abadona"" o Brasileirão e volta depois, paga muito caro por isso e percebe que burrice foi perder uns pontos que significaria hoje uma chance grande e real de poder vencer o campeonato! Sexto lugar? O Flamengo tem poucas chances. Burrice, teu nome é ""gestão amadora do Flamengo"". Um time que conseguiu ser tão incompetente em 2023, que esse por enquanto é o título do ano.",há 9 meses (editado),0,
o var deve corrigir o cartão amarelo injusto se nem no adversário o jogador toca e o juiz da falta e o amarelo errado o var ve que nem falta foi e não se pronuncia o var deve corrigir pois prejudica o jogador e clube já que veio pra corrigir esses erros devem corrigir esse erro do amarelo que o juiz da para o jogador.,há 9 meses,0,
aqui é  flamengo,há 9 meses,0,
Aas de ghas que não tem como vc,há 9 meses,0,
"Bem que eu avisei esse fortaleza só foi pra final da sul-americana pq só pegou galinha  morta, e só tem 42 pontos pq tbm só ganhou  de times que estão  na zona de rebaixamento e contra times  reservas",há 9 meses,1,
Flamengo vence porque já tá um gol,há 9 meses,0,
Sucesso absoluto,há 10 meses,0,
F.  🤍🤍🖤🖤❤️❤️10.   G,há 11 meses,0,
Io,há 11 meses,0,
o arrascaeta tá no cenário daquela novela la  que eu me esqueci o nome kkkkk,há 11 meses,0,
BOTAFGO VS PAULO MIRS❤😂😂😂😂🎉,há 1 ano,0,
🇵🇦💘🇧🇷,há 1 ano,0,
Parabéns framengo🎉🎉🎉🎉,há 1 ano,0,
eu estava nesse jogo flamengo x fortaleza,há 1 ano,0,
Tamo subindo eim,há 1 ano,0,
Bom❤,há 1 ano,0,
Arrascaeta,há 1 ano,90,
Ninguem,há 1 ano,11,
Arrascaeta,há 1 ano,40,
VAI NAÇÃO RUMA AO HENDECACAMPEAO DO BRASIL!,há 1 ano (editado),40,
Arrascaetq,há 1 ano,16,
ARBIRTRAGEM,há 1 ano,5,
Como sempre ajudando o flamengo,há 1 ano,7,
​ @enzoospfc Argumentos?,há 1 ano (editado),18,
​ @enzoospfc Cadê o argumento Enzo?,há 1 ano (editado),24,
 @enzoospfc  seu Nick ou nome já diz tudo sobre vc!,há 1 ano (editado),23,
​ @enzoospfc o que tu quer tá mole,há 1 ano (editado),25,
Matheus Cunha,há 1 ano,30,
Todos horrível,há 1 ano,2,
​ @enzoospfc sério mesmo isso já tem choro em 5 minuto 😂😂😂 nenhum momento o flamengo foi ajudado nanico fica na tua seu b0sta,há 1 ano (editado),0,
​ @enzoospfc tinha q ser enzo,há 1 ano (editado),18,
Arrascaeta,há 1 ano,11,
Arrascaeta,há 1 ano,11,
 @Forlan21647  al-nassr mandou um abraço,há 1 ano (editado),17,
Euuuu ❤,há 1 ano,3,
ARRASCAETA,há 1 ano,8,
Giorgian De Arrascaeta,há 1 ano,7,
Arrascaeta,há 1 ano,7,
Arrascaeta,há 1 ano,7,
ARRASCAETA DISPENSA COMENTÁRIOS,há 1 ano,8,
​ @maicosilva7068 português mandou lembranças 😂,há 1 ano (editado),3,
precisa perguntar ainda? kkkkkk Arrascaeta é óbvio como sempre,há 1 ano,8,
 @enzoospfc  ih ala tinha que ser enzo kakakakakakakaka,há 1 ano (editado),4,
Eu,há 1 ano,2,
Arrascaeta com certeza,há 1 ano,6,
​ @williampereira6935 meu nome é ninguém  eu vim de Belém  quem   te comeu foi quem😂kkkkkkk,há 1 ano (editado),0,
 @Forlan21647  CR7 Mandou um belo abraço :D,há 1 ano (editado),4,
​ @Forlan21647  cara e sei vice pro Botafogo mas   admiro um pouco o arasca  não  precisa você  gostar do flamengo  só elogia sem clubismo  eu só flamenguista  mas admiro o tiquinho  soares  admiro o matias Segóvia     não  precisa ser clubista,há 1 ano (editado),6,
Arbitragem,há 1 ano,3,
​ @enzoospfc clbc Enzo mimado .,há 1 ano (editado),0,
Arrascaeta quando ta on nao tem pra ninguem,há 1 ano,5,
​ @enzoospfc choro,há 1 ano (editado),2,
Arrascaeta óbvio,há 1 ano,2,
Arrascaeta e Matheus cunha,há 1 ano,3,
"O BRABO TEM NOME ( ARRASCAETA ) e tem um detalhe, não está jogando nem 70% do que sabe. Quando tiver 100%  EXQUECIIIIIII",há 1 ano,3,
Arrascaeta,há 1 ano,2,
 @alexfernandes135  chora Freguês 😘🤟,há 1 ano (editado),1,
"​ @jeffscarvalho tbm acho,não deu o gol,que o Matheus Cunha pegou😏",há 1 ano (editado),1,
​ @filipeesteves7 mano o Matheus cunha defendeu demais também,há 1 ano (editado),2,
"O torcedor, q não parou de cantar um minuto",há 1 ano,2,
Arrasca,há 1 ano,3,
​ @williampereira6935 vai tun4r no c...,há 1 ano (editado),0,
Arrascaeta,há 1 ano,3,
​ @romulosilva2165 kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,há 1 ano (editado),3,
​ @enzoospfc cadê o argumento chorão 😢,há 1 ano (editado),4,
O verdadeiro craque da partida são os amigos que fazemos no caminho,há 1 ano,1,
Arrasca,há 1 ano,1,
Matheus cunha,há 1 ano,0,
"Arraxca, porém lógico, Matheus Cunha brilhou hj",há 1 ano,1,
Arrascaeta,há 1 ano,2,
Ribamar,há 1 ano,0,
​ @Forlan21647 Vasco te mandou um abraço,há 1 ano (editado),0,
Pelé,há 1 ano,0,
Arrascaeta é 70% desse time..,há 1 ano,1,
Arrasca,há 1 ano,1,
Araxca,há 1 ano,1,
imperador,há 1 ano,0,
Sem dúvida arrascaeta,há 1 ano,2,
"Matheus Cunha, porq se não fosse a defesa de pênalti, o jogo seria outro!",há 1 ano,1,
Bh,há 1 ano,1,
Arrascaeta,há 1 ano,1,
Arrasca🔴⚫️,há 1 ano,1,
Mateus cunha,há 1 ano,0,
Goleiro do fla,há 1 ano,0,
Arrascaeta,há 1 ano,0,
Arrascaeta,há 1 ano,0,
Marinho,há 1 ano,0,
Arascaeta ❤🖤,há 1 ano,0,
Arrascaeta ou Matheus Cunha?,há 1 ano,1,
"Arrascaeta 
Sem dúvidas",há 1 ano,0,
Matheus Cunha,há 1 ano,1,
Cunha.,há 1 ano,0,
Estádio do Flamengo,há 1 ano,0,
Arrascaeta,há 1 ano,0,
Arraxca 🔥⚽🔥,há 1 ano,0,
Arrascaaaa,há 1 ano,1,
Arrascaeta,há 1 ano,0,
Arrascaeta,há 1 ano,0,
É sério?🤡🤌🏽,há 1 ano,0,
ARRASCAETA,há 1 ano,0,
Bruno Henrique,há 1 ano,0,
 @enzoospfc  Tá ficando louco rapa? Merdinha que não sabe nada de futebol,há 1 ano (editado),1,
Arraxxca,há 1 ano,0,
Arrasca,há 1 ano,0,
Arrascaeta,há 1 ano,0,
Gabigol,há 1 ano,1,
Geogian daniel de arracaeta❤,há 1 ano,0,
ARRASCAETA,há 1 ano,0,
Mateus cunha,há 1 ano,0,
"Arrascaeta, sem dúvidas.",há 1 ano,0,
 @kaiogama3924  da hora o nome tio kkkk,há 1 ano (editado),2,
"Arrascaeta, claro!",há 1 ano,1,
​ @enzoospfc  Ué Enzo kkkkk,há 1 ano (editado),2,
Mateus cunha,há 1 ano,0,
​ @enzoospfc  bora deixar de chorou coisa feia mano 😭😭,há 1 ano (editado),2,
Matheus cunha,há 1 ano,0,
Arrascaeta,há 1 ano,0,
Arrascaeta,há 1 ano,0,
Arascaeta,há 1 ano,0,
"Arrascaeta, 1 assistência e 1 Gol. Craque!❤🖤",há 1 ano,0,
Matheus cunha,há 1 ano,1,
Matheus Cunha. Pegou penalti deu segurança  para a zaga e fez uma ou outra defesa difícil,há 1 ano,0,
Arascaeta,há 1 ano,0,
PIKACHU,há 1 ano,0,
Os cara leva tudo pro coração,há 1 ano,0,
Arrascaeta,há 1 ano,1,
"Arrascaeta, MEU idolooooo...❤",há 1 ano,0,
Arrascaeta,há 1 ano,0,
Arraxxxxca,há 1 ano,0,
Sem sobra de duvida o Arrascaeta,há 1 ano,0,
Arrasca,há 1 ano,0,
​ @Forlan21647 veio aq ver né kkkkkkm secadoor,há 1 ano (editado),1,
​ @Forlan21647 tua mae,há 1 ano (editado),0,
​ @williampereira6935  Sai daí invejoso😂,há 1 ano (editado),0,
"​ @Forlan21647 O gás acabou....técnico foi embora, vamos ver no que vai dar 😂😂😂😂",há 1 ano (editado),0,
Matheus Cunha,há 1 ano,0,
​ @vinityjrjgi esse é acima do nível,há 1 ano (editado),0,
De arrascashow,há 1 ano,0,
MATEUS CUNHA,há 1 ano,0,
De arrascaeta,há 1 ano,0,
​ @williampereira6935 burro,há 1 ano (editado),0,
"​ @Forlan21647 clubista botafoguense, tinha que ser",há 1 ano (editado),0,
"Matheus Cunha,com certeza.",há 1 ano,0,
" @enzoospfc  sim mano, ajudando o flamengoKKKKKKKKKKK ndv",há 1 ano (editado),0,
Matheus Cunha,há 1 ano,0,
Arrascaeta,há 1 ano,0,
"O Pedro mesmo quando não faz gol, mas pelo menos toca na bola, já dá pra perceber que o cara é diferenciado. Bateu pro gol então, já é praticamente meio gol. O trabalho que dá prós zagueiros e pros goleiro adversário é enorme.",há 1 ano,0,
Pedro,há 1 ano,0,
Mateus cunha também foi excelente!,há 1 ano,0,
Arraxca,há 1 ano,0,
El Deboche......,há 1 ano,0,
​ @williampereira6935 acho q foi sua mãe jogo mt,há 1 ano (editado),0,
Matheus Cunha,há 1 ano,0,
Nada se compara a grandeza do gigante flamengo. É muito bom ser flamengo.,há 1 ano,0,
​ @enzoospfc teu nome é Enzo pô kkkkkkkkkkkkkkkkkkkkkkk,há 1 ano (editado),1,
Sávio Pereira Sampaio,há 1 ano,0,
Arrascaeta!!,há 1 ano,0,
" @williampereira6935  KKKKKK sai dai, kid",há 1 ano (editado),0,
 @enzoospfc  kkkk chora mais,há 1 ano (editado),0,
Arrascaeta e Matheus Cunha,há 1 ano,0,
Mateus Cunha,há 1 ano,0,
"​ @enzoospfc Em qual parte do jogo, Enzo?",há 1 ano (editado),0,
​ @jeffscarvalho Prova.,há 1 ano (editado),0,
"​ @enzoospfc Mais fala aí, Enzo. Qual foi o erro da arbitragem hoje ?",há 1 ano (editado),0,
Arrascaeta,há 1 ano,0,
Arrascaeta,há 1 ano,0,
" @enzoospfc  cara,ele literalmente deu um penal pro fortaleza",há 1 ano (editado),0,
Arraxxxxxxxca,há 1 ano,0,
Arrascaeta,há 1 ano,0,
tinha que ser Enzo. Kkkkkkk,há 1 ano,0,
Mateus cunha,há 1 ano,0,
Matheus cunha,há 1 ano,0,
 @enzoospfc  kakakak clbc Enzinho vai joga seu Minecraft tem nem argumento e quer vim falar bosta,há 1 ano (editado),0,
 @ygorzin.xt_  e bem guardado,há 1 ano (editado),0,
Mateus cunha,há 1 ano,0,
ARRASCANETA ❤️🖤,há 1 ano,0,
Arrascaeta,há 1 ano,0,
Matheus Cunha,há 1 ano,0,
Arrascaeta,há 1 ano,0,
D Arrascaeta 👊🏾,há 1 ano,0,
Matheus cunha,há 1 ano,0,
Arrascaeta e Matheus Cunha.,há 1 ano,0,
Matheus cunhado,há 1 ano,0,
Arrascaeta por que uma assistência e um gol,há 1 ano,0,
"​ @enzoospfc não é atoa q o seu nome é ""ENZO""",há 1 ano (editado),0,
Arrasca e mateus cunha,há 1 ano,0,
Arrascaeta,há 1 ano,0,
Arrasca,há 1 ano,0,
Matheus cunha,há 1 ano,0,
Mano,há 1 ano,0,
Mateus cunha,há 1 ano,0,
Matheus Cunha merece ser o craque junto com o arrascaeta,há 1 ano,0,
Finalmente o gabigol fez gol sem ser de pênalti,há 1 ano,0,
Arrasceta,há 1 ano,0,
Matheus Cunha,há 1 ano,0,
​ @enzoospfc clbc ENZO sabe de prr nenhuma de futebol,há 1 ano (editado),0,
Matheus Cunha,há 1 ano,0,
​ @enzoospfc teu nome já diz né,há 1 ano (editado),0,
Giorgian De Arrascaeta,há 1 ano,0,
 @enzoospfc  tinha q ser enzo kkkkkkk,há 1 ano (editado),0,
Mateus Cunha o goleiro lá,há 1 ano,1,
Giorgian De Arrascaeta,há 1 ano,0,
​ @enzoospfc vai dormir Enzo amanhã tem aula !,há 1 ano (editado),0,
Mateus Cunha,há 1 ano,0,
​ @enzoospfc teu cu,há 1 ano (editado),0,
​ @EwertonPBS o nome dele já entrega a pessoa que ele é.,há 1 ano (editado),0,
​ @Forlan21647 cara você torce para o Botafogo kkkkkkkkkkkkkkkkkkk e ainda quer vir falar alguma coisa?,há 1 ano (editado),0,
Arrascaeta😎,há 1 ano,0,
arrascaeta e Mateus cunha,há 1 ano,0,
​ @ygorzin.xt_ 😂😂😂,há 1 ano (editado),0,
Arrasca,há 1 ano,0,
"Arrascaeta, com uma lembrança  também ao Matheus Cunha",há 1 ano,0,
"Esse editor de vcs é muito ruim, tem que colocar os melhores momentos completo pô, fica cortando e só coloca metade! Sdds dos canais do YouTube quando postavam 10 a 12 minutos de melhores momentos! Horrível",há 1 ano,0,
Guerreiro kkk,há 1 ano,0,
O goleiro jogou bem mas o ARRASCA e foda,há 1 ano,0,
Entre o arraxca e cunha mas arraxca,há 1 ano,0,
ARRASCAETA NELES!!,há 1 ano,0,
ARRASCAETA NELES!!,há 1 ano,0,
Arrascaeta 😊,há 1 ano,0,
​ @isabellibernardino9607 eu to zuando os flamenguistas não teve erro algum...dessa vez,há 1 ano (editado),0,
​ @Titancameraman_1235 aula no domingo kkkkkkkkkkkkkkk e alias to de ferias kkkkkkkkkkkkkkkkkkkkkkk,há 1 ano (editado),0,
" @enzoospfc  Ah sim, entendi.",há 1 ano (editado),0,
 @enzoospfc  TUA VÓ KERELHO,há 1 ano (editado),0,
Arrascaeta,há 1 ano,0,
Arrascaeta,há 1 ano,0,
"Matheus cunha, trabalho bem demais, parabéns pro nosso goleiro!",há 1 ano,0,
ARRASCAETA ❤🖤,há 1 ano,0,
BH,há 1 ano,0,
ARRASCANETA,há 1 ano,0,
 @Forlan21647  BOTAFOFO,há 1 ano (editado),0,
 @Julios100  O @ENZO35S É VASCAINO,há 1 ano (editado),0,
Quem fez os gols ❤️🖤,há 1 ano,0,
Gabigol,há 1 ano,2,
Arrascaeta e matheus Cunha,há 1 ano,1,
Arrascaeta,há 1 ano,1,
Eu,há 1 ano,0,
 @Forlan21647   al nassr mandou um abraço,há 1 ano (editado),0,
Zé da manga,há 1 ano,0,
Arrascaeta certeza,há 1 ano,0,
Pode ser no,há 1 ano,0,
"Tambem né o time do fortaleza é xuxeta , dai vem web ""Varmeiras , cortinas , FortaCereia"" etc é fica falando mal de um time que ganha de lavada do fortaleza kkkkkkkkkkkkkkkkkkkkkkkkk",há 1 ano,0,
🙏🙏🙏♥️♥️♥️♥️♥️,há 1 ano,1,
😂😂,há 1 ano,0,
golaso,há 1 ano,0,
golasoooooooo,há 1 ano,0,
"esse time do Fortaleza é bem ajustado, joga bonito, sempre em busca do gol .",há 1 ano,1,
O que o fortaleza perde de gol é incrível!,há 1 ano,0,
Esse goleiro do Flamengo é fera ❤🖤❤🖤,há 1 ano (editado),0,
Melhor,há 1 ano,0,
Flamengo melhor,há 1 ano,0,
Melhor flamengo,há 1 ano,0,
Jogo equilibrado! Uma hora o flamengo batia e outra hora o fortaleza apanhava😂,há 1 ano,1,
Paredão cunha,há 1 ano,0,
"Mn o goleiro do Fortaleza só assistiu os 2 gols vei, mds, q goleiro heim",há 1 ano,0,
Flamengo ❤️❤️❤️❤️❤️❤️,há 1 ano,0,
Flamengo melhor,há 1 ano,0,
🎉🎉🎉,há 1 ano,0,
Mento!!! O melhor!!!!🎉,há 1 ano,0,
Muito bom!!,há 1 ano,0,
Top,há 1 ano,0,
"Arrascaeta é fera demais , mas essa zaga é uma mãe.",há 1 ano,0,
MENGÃO,há 1 ano,0,
Fortaleza tá pensando q é o palestino respeita a firma porra,há 1 ano,0,
0:26 MATHEUS CUNHA PORRA👍,há 1 ano,3,
"Fui no Maracanã nesse dia, minha primeira vez num estadio e foi incrivel!!",há 1 ano,5,
Matheus Cunha é um ótimo goleiro,há 1 ano,0,
Caralho que porrada do Arrascaeta.,há 1 ano,0,
Vai arrascareta gooooooll kkkkk,há 1 ano,0,
Vasco,há 1 ano,0,
Maior do mundo ❤🖤,há 1 ano,0,
Matheus cunha titular absoluto,há 1 ano,0,
liguei pode contra o Flamengo,há 1 ano,0,
❤️🖤😎😌🙏,há 1 ano,0,
Arrascaeta é o melhor gringo da história do flamengo 🔥🔴⚫,há 1 ano,0,
Ta melhorando.,há 1 ano,0,
M Cunha vai pegar o lugar de santos desse jeito kkkk,há 1 ano,0,
ARRASCANETA É MELHOR QUE O RAPHAEL VEIGA É GANSO É O GABIGOL É MELHOR QUE O DUDU CHORÃO É O CANO,há 1 ano (editado),0,
😢,há 1 ano,0,
Só eu quando o M.cunha defedeu o pênalti lembrei de Diego Alves?,há 1 ano,0,
❤️🖤❤️🖤,há 1 ano,0,
Jogão do Flamengo e uma ótima partida do Matheus cunha. 👏🏽👏🏽❤️🖤,há 1 ano,0,
essa passe do Arrascaeta pro gol é uma verdadeira sacanagem....,há 1 ano,1,
Tão bom ver os antis caladinhos aqui.,há 1 ano,1,
Esse careca ainda tem coragem deixar o arrascaeta no banco,há 1 ano,1,
"42' do 1º tempo o Wesley esqueceu q era lateral!!! (Eu sei q ele é imaturo, mas imagina oq ele fez 🆚 o Racing em uma final)",há 1 ano,0,
"Impressionante como o flamengo tem sorte. Fortaleza além do pênalti, teve vários lances cara a cara com o goleiro e a bola se recusa a entrar. Parece bruxaria",há 1 ano,1,
O passe do Arrascaeta no primeiro gol chega a ser desrespeitoso.,há 1 ano,0,
Fla torcida soberba mas merece ganha e brigar por título por diretoria contra bem e investe e mantém o elenco! Diferente do Corinthians só vende e traz jogadores ruins,há 1 ano,0,
Que pênalti batido foi esse kkk,há 1 ano,0,
Temos goleiro!🔥,há 1 ano,0,
Gabigol ya debería estar jugando en una liga Europea.,há 1 ano,0,
Camisa 10 do Fla deveria ser do Arrasca 😅,há 1 ano,0,
Arrascaeta e craque isso e fato,há 1 ano,0,
M. Cunha pra mim agora é o melhor goleiro eu amo ele.,há 1 ano,0,
Arrascaeta gênio do futebol,há 1 ano,0,
