text,time,votes,replies
2:32 entrou no gol,há 2 semanas,0,
Mais alguém aqui depois do tiquinho marcar mais um gol no palmeiras e vencer esse ultimo jogo com o gol dele?,há 3 semanas (editado),0,
palmeiras é lgbt,há 3 semanas,0,
Amanhã o Botafogo tem jogar engual 2023 que ganhou do Palmeiras por 0 a 1 🎉🎉🖤🗯🖤🗯🖤🗯🖤🗯🖤🗯🖤,há 3 semanas,1,1
Eu vendo isso dps do Botafogo pipocar e o Palmeiras ganhar o Brasileirão 😂😂😂,há 1 mês,0,
Vcs perceberam que na hora do gol o bandeirinha cai 😂,há 1 mês,0,
❤😂,há 1 mês,0,
Esso e de mais,há 2 meses,0,
Carol o tiquinho o tiquinho Soares está machucado,há 2 meses,0,
"Essa versão do Tiquinho jogava demais, inclusive fez gol contra meu SP!",há 3 meses,0,
Palmeiras 😥,há 3 meses,1,
"Hoje o líder e nos, vindo assistir essa partida antes de enfrentar eles se ganharmos temos a chance de disparar, VAMOS PRA CIMA ATHLETICO!!!!!",há 3 meses,0,3
Time nanico desgraçado. Merece se lascar mesmo! O último título foi em 1995 (Mamonas ainda estavam vivos) e só tem esse pra comemorarem! kkkkkkkkkkkkk,há 3 meses,0,
Time nanico desgraçado. Merece se lascar mesmo! O último título foi em 1995 (Mamonas ainda estavam vivos) e só tem esse pra comemorarem! kkkkkkkkkkkkk,há 3 meses,0,
tentaram nos roubar e n conseguiram kkkkkkkkkkkkkkkkk 🔥,há 3 meses,1,
Rony saiu irritado com o Daronco na partida entre Palmeiras e Botafogo,há 3 meses,0,
Esse jogo foi o mais perde do cheiro do titulo que o Botafogo sentiu kkkkkkkkkkkkkkkkk,há 3 meses,0,
Ate hj ninguém percebeu o bandeira tomando uma queda kkkkkkkkkkkkkkkkkkkkk,há 4 meses,0,
"Vim do futebol pra dizer que:
Botafogo é pipoqueiro, perdeu o segundo jogo de 4x3 sendo que está ganhando de 3x0, Palmeiras foi campeão! 💚🤍
""É na dancinha do jacaré!"" 😂😂😂",há 4 meses (editado),2,
Segovinha an an an,há 6 meses,0,
PreviuJKKKKKKKKK,há 3 semanas,0,
Parabéns jogaram muito,há 2 meses,0,
não durou muito tempo essa liderança kkkk,há 1 mês,1,
 @Ana_Lima-349  E se não fosse a teimosia do ex-técnico estaríamos nas primeiras colocações.,há 1 mês,0,
PALMEIRAS x BOTAFOGO Chamada do CAMPEONATO BRASILEIRO 2023 na GLOBO - PATROCÍNIO MASCULINO E FEMININO,há 6 meses,0,
Passei aqui só pra avisar 4 palmeiras 3 botafogo pipoqueiro verdão campeão respeita seus merdas,há 6 meses,5,5
Quem tá aqui depois da pipocada,há 7 meses,4,
O Botafogo e o melhor e merece se campeão,há 7 meses,3,
Agr eu vejo esse video e sinto felicidade😊,há 7 meses,2,
Botafogo e cidade,há 7 meses,1,
Vendo esse jogo agora que diria que o Botafogo iria cair tanto de produção e perder o título.,há 8 meses,1,
"como foi bom vencer , rs.
em breve o meu BOTAFOGO retornará , mas rumo ao caminho das vitórias ( sem desequilíbrio ).",há 8 meses (editado),0,3
6 a 1 Barcelona,há 8 meses,0,
Ja assistiu Barcelona vs psg??oitavas??,há 8 meses,0,
"E essa bicuda do Tiquinho ( que fez o gol) na cara do Luan e que não rendeu um Vermelho ? Está no Dossiê do Textor, junto com o pênalti fajuto de Rony dando carrinho só na bola ????",há 8 meses,0,
"E pensar que perdeu o título pro Palmeiras.. Brasileirão 2023, você foi demais! Foi um ano difícil pro meu coringão.. mas, ano q vem vai ser diferente!",há 8 meses,0,1
e no final acabamos ganhando o campeonato,há 8 meses,0,
Gustavo 🦅💚💚🏆 Palmeiras,há 8 meses,1,
"Voltando aqui p/dá um alô,acabou-se o gás,saudações alviverdes!😂",há 8 meses,1,
CADE O MALUCO QUE QUEIMOU A CAMISA DO PALMEIRAS?  TEM QUE RESPEITAR O MAIOR TIME DO BRASIL POHA!,há 8 meses,0,
