text,time,votes,replies
BUNDA NO CHÃO KKKK,há 5 meses,0,
4x0 Bahia x bragantino,há 11 meses,1,
Eu vindo ver 2 dias antes desse jogo novamente  😅,há 11 meses,0,
Já começou  perdendo,há 1 ano,0,
você torce para qual time,há 1 ano,0,
Gooooooool do baeeeea kkkkkk,há 1 ano,0,
Com essa zaga o botafogo vai deitar. Muito atrapalhados.,há 1 ano,0,
pra que esse bahia subiu pra serie A? sendo massacrado pelo bragantino mds kkkkkkk,há 1 ano,0,
"Bragantino em casa é bem enjoado, golaço do Bruninho parece ser bom jogador",há 1 ano,0,
Renato Paiva é um péssimo treinador. O Bahia está fudido com esse grupo City de merda.,há 1 ano,0,
"Isso mostra que SAF é um erro e aqui no Brasil não vão investir igual fazem na Europa, Bahia vai brigar pra não cair.",há 1 ano,0,
esse goleiro do Bahia bom,há 1 ano,0,
Jacaré só sabe botar a mão na cabeça o técnico é fraco a Zaga piorou ainda vai descer Fazer o que né bora Bahia Eu gosto do meu Bahia mas isso felizmente manda esse técnico embora.,há 1 ano,0,
Bragantino 2x1 Bahia,há 1 ano,0,
Fora paiva,há 1 ano,0,
"Vai ser rebaixado novamente,  cai no primeiro turno.",há 1 ano,0,
2 erros indi idividuais do Bahia resultaram nos gols do Braga. O Bahia pode melhorar muito nesse campeonato.,há 1 ano,0,
O Sasha é decisivo desde o Inter,há 1 ano,1,
"Mds essa zaga n tem atitude kkkkkk , fica um olhando pra o outro pra ver quem vai tirar a bola",há 1 ano,0,
Duas falhas individuais bizarras,há 1 ano,1,
Sardinha city,há 1 ano,0,
Esse time do Bahia todo desorganizado. Com esse treinador 2° Divisão é certeza.,há 1 ano,0,
Sardinha vai perder 38 jogos na série A,há 1 ano,0,2
"Cara... se n fossem essas falhas grotescas, era vitória do bahia. Eu sei que os torcedores gostam do Rezende, mas já passou da hora dele sair da zaga. Ele n é um zagueiro bom. Ele é melhor de volante, mas cm Acevedo e Yago Felipe fica difícil p ele, então, o destino dele é um banco, mas um banco q com certeza vai entrar. A zaga ideal, hoje, do bahia é formada por Marcos Vitor, Kanu e Vitor Hugo (ou Marcos Vitor ou Gabriel Xavier).",há 1 ano,0,
"Marcos Felipe defende pra caralho, só n tem a mesma mídia de outros goleiros q são piores do q ele até",há 1 ano,0,
"Podem falar o que for Brasileirão é um campeonato foda, lógico que cada um tem seus favoritos,mas todo jogo é uma guerra, só jogaço!!!",há 1 ano,6,
O gol da primeira rodada com certeza é o do Bruninho,há 1 ano,0,
Golaço do Bruninho,há 1 ano,0,
Bahia  city  na sere B de novo,há 1 ano,0,
6x0,há 1 ano,0,
A defesa do Bahia tava de brincadeira...,há 1 ano,0,
"Essa zaga do Bahia da muito leite, se tá doido, o ataque até é bom, mas a zaga precisa melhorar urgente",há 1 ano,0,
BRAGANTINO 2X1 BAHIA,há 1 ano,0,
RED BULL BRAGANTINO      16/04/2023,há 1 ano,0,
Jahia perdendo me faz feliz😂 Vai brigar pra não cair vamos City,há 1 ano,0,
"Tá embaraçoso, grupo city o cruzeiro mesmo em crise tá jogando melhor que o Bahia !",há 1 ano,0,
Îj6 noite uma io8koi ho7je j fuium tô õ vi😢😢😮😮😮😮😢😢😮😮😮😮😮😮😮😮😮😮😮😮😮😮😅,há 1 ano,0,
👎 Bahia cyty,há 1 ano,0,
"Campo ruim de ver jogo, escuro demais, a Red Bull poderia investir em uns refletores!!!",há 1 ano,0,
Com as safs o nivel do nosso campeonato aumentou que venha os árabes também igual na premier league,há 1 ano,0,
Galinha pitadinha você não olha pro próprio umbigo não?🐔🐔😂😂,há 1 ano,1,
Vai sonhando Galinha KKKKKKK,há 1 ano,0,
2:00 Nacho?? Kkkk,há 1 ano,0,
Esse time do Bahia e péssimo 😊,há 1 ano,0,
Que zaga miserave,há 1 ano,0,
Jogo horrível kkkkkkk,há 1 ano,0,
Golaço de sangue frio esse bruninho,há 1 ano,0,
Oxente disseram q ia ser o melhor time só porq tem dinheiro kksksksk os pensa q é assim tem dinheiro e já q montar um super Time leva anos meu amigo e se for aqui no Brasil eles não vai gastar dinheiro assim eles usam esses times do Brasil pra poder rodar seu dindin é como se fosse uma lavagem de dinheiro 😅😅,há 1 ano,0,
Essa zaga do Bahia será 1 das más vazada pode crê.,há 1 ano,0,
"Bahia tinha tudo pra sair triunfante, mas entregaram a paçoca ..",há 1 ano,0,
O Bahia continua o mesmo com ou sem SAF.,há 1 ano,0,
A saf do Bahia não está adiantando nada o time so pedir,há 1 ano,0,
"BRAGANTINO 2024:
1. TADEU ( GOIAS)
2. HURTADO
3. LEO ORTIZ
4. NATAN
5. MATEUS FERNANDEZ
6. CAPIXABA
7. ARTUR
8. MAURICIO (INTER)
9. PEDRO RAUL ( VASCO)
10. CLAUDINHO
11. OCAMPO ( NACIONAL URUGUAI)

12. CLAYTON
13. ADERLAN
14. LUCAS CUNHA
15. LOMONACO
16. RAUL
17. LUAN CANDIDO
18. EVANGELISTA
19. BRUNINHO
20. HELINHO
21. SASHA
22. MOSQUERA

23. LUCAO
24. GUSTAVO (CORINTHIANS)
25. EDUARDO
26. JADSON
27. GUSTAVINHO
28. EVERTON
29. POPO
30. NACHO",há 1 ano,0,
Boa vitória ✌ do bragantino contra o Bahia pelo campeonato brasileiro da série a 2023.,há 1 ano,2,
Bahia vai ser lanterna desse campeonato,há 1 ano,2,
Bahia perdeu por causa do cabelo nojento do jacaré!!!,há 1 ano,0,
Essa zaga do Bahia tá foda viu,há 1 ano,1,
Bahia rumo a B,há 1 ano,0,1
Bahia entregando a paçoca kkk,há 1 ano,0,
"Não vale, a zaga do Bahia tava bêbada",há 1 ano,1,
Se Yago quiser se juntar a Cicinho no banco ou se sair eu aceito. Q mísera ruim,há 1 ano,0,
"O gol do Bahia e o 1° do Bragantino foram duas pinturas, que golaços!",há 1 ano,23,1
Vai pénsando otário  kkk,há 1 ano,0,
O gol da sardinha foi cagada,há 1 ano,0,
O Bahia entregou a porra do baba.,há 1 ano,0,
"Começou a decepção do Bahia kkkk, time miserável não vale um centavo, apesar do investimento altíssimo. Vai cair , quem viver verá. E se não cair com certeza vai passar suco para permanecer, todo ano é a mesma merda.",há 1 ano (editado),0,
"Todo jogador qui o Braga buscá no galo da certo no time,  Clayton,  Alessandro,  e agora sasha",há 1 ano,3,1
Escada dos times 😂,há 1 ano,1,
"Aí é famoso jahia fish, dá alegria a outros torcedores,mas não dá alegria aos próprios torcedores 😂😂😂🐟🐟🐟🐟🐟",há 1 ano,0,
o sacha é o 13° jogador sorte do braga azar do atletico,há 1 ano (editado),1,
Técnico fraco falo sempre  esse Paiva kkk,há 1 ano,0,
"Owwn gente elas não ""triunfaram"" 😂😂😂😂😂😂😂😂😂😂",há 1 ano,1,
A fraqueza do Bahia foi a zaga,há 1 ano,0,
Botei Bruninho no cartola,há 1 ano,1,
Si Bahia continua jogando assim não vai longe não,há 1 ano,0,
Bahia briga para não cair fato,há 1 ano,1,
Top,há 1 ano,1,
Chora sardinha 😂😂😂🎉🎉🎉🎉,há 1 ano,0,
",
🤣🤣🤣🤣🤣",há 1 ano,0,
Pedro Raul e sacha no foi pro Vasco ironia do inferno 👿,há 1 ano,1,
Já começou perdendo o Jahia C 😂😂😂😂😂,há 1 ano,0,
"Esse jogo foi bom  de assistir   , uma pena que arbitragem fica  parando o jogo toda  hora .",há 1 ano,1,
Vai voltar pra serie b seus bosta,há 1 ano,0,
"Jogo movimentado, bom de assistir",há 1 ano,1,
Cleiton😅😂,há 1 ano,0,
Yago estragou o jogo,há 1 ano,0,
Everaldo é muito bom,há 1 ano,1,
"TIMES QUE VAI CAI PRA SÉRIE B
VASCO COMO SEMPRE
CUIABÁ 
BRAGATINO
BOTAFOGO,  OU SANTOS .",há 1 ano,1,1
"Bahia vai ser rebaixado dinovo se não trazer reforços aqui na Bahia passou sufoco com time de serie d mais aqui a arbitragem sempre ajuda campeonato bahiano uma vergonha , 130 mil reais pro campeão que mixaria comparado com os outros",há 1 ano,0,
AGONIA,há 1 ano,1,
O Bahia msm com a zaga ruim perdeu porque não aproveitou as chances que teve. Acho que 3x3 seria um placar justo.,há 1 ano,0,
Melhor em campo do lado do Bahia foi o goleiro deles . Escapou de levar uma goleada.,há 1 ano,1,
Lucão é mais goleiro que o Cleiton,há 1 ano,2,
Bahia tomou dois gols por erro de zaga kkkk,há 1 ano,1,
A zaga do Bahia quer atacar em vez de defender é tudo ruim os zagueiros,há 1 ano,0,
Que zaga miserável,há 1 ano,1,
O Bahia só contratou quantidade,há 1 ano,0,
"Esse jacaré tá uma merda, só anda pintando cabelo igual Neymar e não ta jogando nada",há 1 ano,0,
