text,time,votes,replies
"Quem foi o craque do jogo?
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 1 ano,53,26
Owohwoaiakaolajaia,há 3 semanas,0,
Bora Bahia Éverton Ribeiro ❤💙,há 6 meses,1,
Claramente a arbitragem do futebol tá cheia de corruptos safados. manchando a legitimidade do esporte. Nem linha traçaram na revisão.,há 1 ano (editado),0,
Sou Bahia mas foi legal,há 1 ano,0,
Cicinho falou mal do Cruzeiro e eu não 💙,há 1 ano,2,
Bahia ta mal,há 1 ano,0,
Que golaço do Bruno Rodrigues... Que arbitragem horrível... Gol do ceifador legalissimo... Todo mundo sabe e viu que não houve impedimento... Cruzeiro foi tapeado pela arbitragem assim como o nosso verdão 😔👌,há 1 ano,0,
"Os caras tão conseguindo usar o VAR pra roubar, pqp, nunca vi tanta incompetência. Juiz mais VARgabundo tá pra nascer.",há 1 ano,1,
0:16 tinha um drible idêntico a este no sega virtua strike do arcade,há 1 ano,3,
Kkkkkk sem clubismo mas roubaram o cruzeiro q arbitragem e essa mn,há 1 ano,1,
que impedimento foi esse ? Roubalheira do caralho,há 1 ano,1,
Quase q operaram o Bahia,há 1 ano,0,
"Não tem replay dos lances duvidosos, não tem replay de nada kkkkkkk vtnc ge",há 1 ano,0,
GE deve tá de brincadeira de não mostrar replay dos lances e principalmente DOS GOLS!!!!,há 1 ano,0,
Juiz lazarento. Meteu a mão no Cruzeiro.,há 1 ano,0,
Esses caras nao gostam do cruzeiro unico gigante fora do eixo Rio Sao Paulo,há 1 ano,0,
"Vai tomar no centro do cu, GE. Sempre esses videozinhos de 2 ou 3 minutos é nem pra mostrar os gols por outro ângulo. Vão se FODER
Não sei como tem tanto inscrito essa bosta.",há 1 ano,0,
Cruzeiro...!,há 1 ano,0,
"se aquilo foi impedimento e depois não foi penalti, eu sou astronauta",há 1 ano,0,1
O torcedor que não viu o jogo,há 1 ano,5,
Cadê a linha do VAR?,há 1 ano,7,
Como assim impedimento se o Henrique Dourado tava na mesma linha que a zaga na hora do passe??,há 1 ano,6,
 @JoaoMarcelo-ws7hr  Fica na sua rapá! Seu time tá beirando o z4 kkkkkkk,há 1 ano (editado),3,
"Melhores momentos , a gente quer ver o replay pra analisar e não mostram . Já ouvi dizer que traçaram a linha errada de um gol do Cruzeiro e não mostram .",há 1 ano,3,
Corinthians além de pequeno é fraco e caloteiro não paga as marmitas,há 1 ano (editado),0,
Br9,há 1 ano,1,
" @JoaoMarcelo-ws7hr  kakakakka, empate com Cuiabá é foda 😅",há 1 ano,1,
O Cruzeiro precisa de um estádio próprio já,há 1 ano,2,
​ @JoaoMarcelo-ws7hr  corinthiano merece sofrer,há 1 ano (editado),0,
As líderes de torcida kkkk,há 1 ano,2,
"Isso ja virou mania..o cruzeiro incomoda muita gente..time multi campeao..hj eu ja esperava de roubo contra o cruzeiro mas passou dos limites..um gol legitimo, nao tinha ninguem impedido e anulou o gol e depois de da o penalty anularam tbm. O penalty..que engracado ne?? No galo e' o contrario..mao do zagueiro, penalty e depois de 20 minutos anulou!! No gol de hulk no alianca, no escanteio, a bola pegou na mao do ruim zagueiro fucks e do yorran..brincaram de voley os 2, mas o pix do menin pagou p continuar o lance..essa libertadores ta manchada e corrupta!! O menin ta pagando pix pra todos da arbitragem porq quer ganhar o titulo a todo custo..futebol brasileiro ta podre de corrupcao e o lider e' dono da mrv: rubens menin..lamentavel..tao roubando o cruzeiro de todas as formas!! Ronaldo, faz o pix tambem..so assim pra gente sair da lama..cbf, bando de urubus corruptos e ladroes!! O ministerio publico tem q interver nisso..ta demais uai..so nos"" tem erro contra a gente e so roubo pras frangas quebradas q devem 2 bi😂",há 1 ano,5,
O cruzeirão ou o primeiro  Gol do Cruzeiro  no caso Bruno  Rodrigues  incrível  Driblo incrívelmente incrível  o segundo  do Wesley  bom também  incrível,há 1 ano,2,
O Var,há 1 ano,1,
"O juiz foi o craque, puta queo pariu",há 1 ano,0,
