text,time,votes,replies
👀O que acharam da partida?,há 10 meses,218,68
"melhores momentos 🚫
""melhores momentos"" 👍",há 4 semanas,0,
❤❤❤❤😂❤😂😂😂😢😮😅😅😅😮😮,há 2 meses,0,
Parabéns Flamengo Everton ❤🖤,há 8 meses,1,
Para mim a melhor parte foi quando o juiz apitou o fim de jogo,há 8 meses,0,
"# AQUI NO BRASIL O DINHEIRO 💸 COMPRA TUDO#
Parabéns presidente e o vice do flamengo.
Flamengo ta jogando muito com Jorge Sampaoli.
Renova com Jorge Sampaoli
Amo o presidente do Flamengo só da a alegria para os torcedores.",há 10 meses,0,
Nossa Senhora Que Jogo Fei,há 10 meses,0,
Forças pro editor que tentou achar os melhores momentos 👏👏👏,há 10 meses,0,
Emocionante esse jogo de um lado um time erra e do outro erra tbm parece briga de cego esse jogo,há 10 meses,1,
Góis vai cai 🅱️🅱️🅱️👻👻👻👻🤣🤣🤣🤣,há 10 meses,0,
"o jogo é tão feio que precisou botar lance de amarelo como 'melhores momentos"" kkkkkk e com replay",há 10 meses,0,
O jogo ficou melhor com essa  naração 😊😊,há 10 meses,0,
Pior que o jogo só a narração.,há 10 meses,1,
Os dois times tavam indo bem foi um empate merecido,há 10 meses,0,
isso foi os melhores momentos?!?!😂😂😂😂 inacreditável flamengo ta jogando prr nenhuma!!,há 10 meses,1,
Jogo de alto nível  e narração mais alto nível ainda,há 10 meses,0,
Um dos jogos mais horrível do flamengo em 2023,há 10 meses,0,
"1:58 cara, um dos melhores momentos foi um cartão amarelo, pesado",há 10 meses,0,
Kkkkkk e o penalte nao marcado pro goias ae o queridinho da midia tvglobofla nao mostra kkkkk,há 10 meses,0,
Kkkk a voz das comentarista kkkkk tentando narra igual homem kkk  muito ........,há 10 meses,1,
Uma bosta,há 10 meses,0,
E estadual,há 10 meses,20,
Queria ser cego,há 10 meses,19,
"Várzea, parece q o times nem entraram em campo",há 10 meses,18,
Show de horrores esse jogo,há 10 meses,10,
eu deveria ser pago pra assistir esse joguinho,há 10 meses,9,
Pior que bater em mãe,há 10 meses,8,
Nem assisti pq sabia que ia dar em nada.,há 10 meses,4,
Horripilante,há 10 meses,0,
