text,time,votes,replies
0:11 golaço,há 4 dias,0,
AQUi É PALMEIRAS AMASSAMO💚💚,há 1 mês,1,
💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💚💞💞💞💚💚,há 1 mês,0,
PALMEIRAS,há 2 meses,0,
volta pra minas chucrute,há 2 meses,1,
palmeiras vai ganhar hoje,há 3 meses,0,
La ele 2:46,há 4 meses (editado),0,
Será que John e o IA vao dizer que a vitoria foi manipulada tambem kkkkkkkkkkkkkkkkkkkkkk,há 4 meses,0,
😂😂😂😂😂 guuuuuuoooollll,há 5 meses,0,
1:40 Grandes momentos do futebol BR.,há 5 meses,0,
palmeiras❤❤,há 7 meses,0,
"Lembra do jogo contra o Fluminense,o tricolor tinha um jogador expulso (🟥) e 1x0 também normalmente o palestra já era campeão",há 7 meses,0,
PALMEIRAS GIGANTE ⬜️🟩😎✌️🐽🐖🏆🇮🇹⚽️,há 7 meses,0,
"PAL 4 X 0 AME
endrick🇧🇷⚽️ 2'  
Rony ⛑ 32'
Eder🇧🇷(Gc)⚽️ 40'
F. López 🇦🇷⚽️ 87'
F. López 🇦🇷⚽️ 90+1'",há 7 meses (editado),1,
"Cara, não dá pra afirmar nada pois o futebol é uma coisa maluca, mas o Endrick é um jogador muito diferente, pra mim ( minha opinião) ele é muito mais destacado que os atuais jogadores brasileiros que foram pra Europa. Concordamos que Vini Jr e Rodrygo são muito diferenciados também, mas o Endrick tem um ar totalmente diferente.
O mlk com apenas 17 anos joga um jogo de um cara experiente, n tem medo de nada, não precisa fazer firula e toda vez que chega perto do gol ele decide. Sempre que vejo jogos brasileiros vejo muitos jogadores com uma certa dificuldade em conduzir a bola ( muitos perdendo ela sempre) já ele consegue pegar a bola e só cortando ele chega aonde ele quer sem dificuldade.

AH! Afirmando, não estou desmerecendo nenhum jogador, só estou mostrando pra ficarem atentos nele e analisar muito bem o jogo dele, é MT diferente de qualquer jogador brasileiro destaque hoje em dia (exceto neymar claro)
Como disse, o futebol é MT maluco, mas pelo que estou vendo nesse estilo dele de jogar ele vai ser o cara mais promissor do BR",há 8 meses,1,1
E DO PAL-,há 8 meses,0,
Por favor óia o vídeo do Pedrinho palmeiras e realize o sonho dele,há 8 meses,1,
"Porque esse cara agora só grita: guol? 
Ai dento",há 8 meses,0,
verdão minha paixão 🐷💚💚💚💚🐷💚💚💚,há 8 meses,0,
"Palmeiras 4 x 0 América-MG não derrota 
😢🤦‍♂️

🇳🇬 PALMEIRAS CAMPEÃO 🏆
😢",há 8 meses (editado),1,
"Ah, e vcs tlg noq acontece com esses caras que não dribla muito mas tem muita posse e mesmo todo mundo sabendo que ele vai dar um corte n consegue pegar ( ex: Robben) olha oque o cara fazia",há 8 meses,0,
"Sou flamenguista, mas esse time do Palmeiras tem me encantado",há 8 meses,0,
"Somente a torcida do Fluminense deve decidir. Como fez a torcida do Palmeiras no passado favorecendo o Fluminense. Como tricolor o Fluminense deve poupar jogadores chaves e colocar no lugar do goleiro Fábio o massagista, agora se este estiver contundido que coloque o roupeiro, quem manda o Botafogo transformar o final em carniça.",há 8 meses,0,
Qual top 5 gols mais bonitos dessa rodada ? Eu fiz um video com o top 5 gols dessa e das outras rodadas do Brasileirão =),há 8 meses,0,
🐷🐷🐷,há 8 meses,0,
"Este é Jorivaldo
😃
A cada like é mais um fio de cabelo",há 8 meses,0,
Avanti,há 8 meses,1,
"PARABÉNS PALMEIRAS PELO TÍTULO DO BRASILEIRÃO 2023. JÁ ERA, PODE ENTREGAR A TAÇA",há 8 meses,0,
"Palma, palma não priemos canico! Palmeiras é campeão 🎉🎉🎉🎉🎉🎉🎉😊",há 8 meses,0,
💚💚💚💚💚,há 8 meses,0,
E campeão 🎉🎉🎉🎉,há 8 meses,0,
"Que sorte as vezes o Palmeiras tem, Endrick nem olhou para o gol, mas sabia que podia chutar que iria lro gol kkk",há 8 meses (editado),0,
gol do verdão gol do palestra essa narração ta feia demais,há 8 meses,1,
😻😻😻🙌🏾🙌🏾🙌🏾🫶🏾🫶🏾😘😘🤩🤩💕🌹🙏🙏🥰🥰🥹,há 8 meses,0,
Real Madrid pula de alegria kkkkkk,há 8 meses,0,
Te amo meu Palmeiras,há 8 meses,0,
Ja pode entregar a taça 🏆 nem Deus para nós 🍷🗿,há 8 meses,1,
"É muito cedo pra comemorar, no próximo jogo o Fluminense não vai dar moleza pro Palmeiras não, vai querer dar uma mãozinha pro seu rival e se o verdão tropeçar vai ter que contar com o tropeços dos outros aí a decisão vai ter que ser na última rodada mesmo",há 8 meses,0,1
"Esse América é uma tristeza, dos 4 gols, 2 foram feitos pelo América",há 8 meses,0,
CADÊ O LANCE BIZARRO DO BRENO LOPES?,há 8 meses,1,
Caramba o Breno Lopes perdeu o gol feio..... Era só ter calma e meter na rede !,há 8 meses,1,
"Vai não mn o fluminense vai entregar,ou tu acha que eles querem ver o rival campeão do brasileiro???? Mais tá certo",há 8 meses,0,
Raiva que eu tenho do Palmeiras nem consegui ver o primeiro gol no jogo ao vivi me atrasei 3 minutos só poha.,há 8 meses,1,
"Inacreditável o gol que esse bagre desse Breno Lopes perdeu,pqp!",há 8 meses,2,1
Palmeiras tem 95% da taça,há 8 meses,1,
2:20,há 8 meses,0,
O craque do jogo foi o goleiro fo america,há 8 meses,1,
"2:47 ""eeee do pau""",há 8 meses,1,
"ESSE JUIZ SEMPRE APRONTA CONTRA O PALMEIRAS, P QUE VAR? GOLEIRO DESLEAL, MALDOSO DEMAIS.
PALMEIRAS CONTRA TUDO E CONTRA TODOS",há 8 meses,0,
Calma que tem o Fluminense eu sou palmeirense,há 8 meses,1,
Ano que vem o mundial vem aí agente cala o povo brasileiro,há 8 meses,0,
Essa reta final do Palmeiras me lembra a reta final do Brasileirão de 2020,há 8 meses,0,
o que é essa naração de GUUOLLLLL do luis roberto? mt podre credo,há 8 meses,1,
"Isso era expulsão, más   quando é pra o palmeiras é sempre mais difícil tomar a decisão.",há 8 meses,0,
"Golerinho péssimo esse do américa mineiro, 3 gols falha dele, o cara não sai na bola",há 8 meses,0,1
"Palmeiras merece esse título, é um grande time q bateu na trave nas principais competições q participou, aquele jogo contra o boca, palmeiras merecia sair vitorioso…
Eu q sou tricolor 🟥🟩 só agradeço kkkk.
Mas eles merecem um título de grande relevância.",há 8 meses (editado),1,
🤍💚🤍💚🇮🇹🇮🇹🇮🇹🇮🇹,há 8 meses,0,
❤💚,há 8 meses,0,
"Palmeirenses tão igual flamenguista, cantando vitória antes da hora, tao se iludindo com essa vitoria contra serie B, vão acabar relaxando e levando fumo do campeão da libertadores, e na última rodada meu cabuloso vai escapar do rebaixamento com uma vitória sobre o palmeiras",há 8 meses (editado),0,
Endrick fez um passage lindissimo pro cara ficar sozinho com o goleiro e fazer uma feiura dessas KKKKKKKKKKKKKKKKKKKKK,há 8 meses,0,
Palmeiras vence e fica próximo ao título.  30/11/23,há 8 meses,0,
Sou corintiano e parabenizo o Palmeiras pelo belo futebol e a caminho desse título brasileiro e o endrik joga muito e o Fernando Diniz chuchuca da CBF não vai conseguir queimar esse mulek e deixo saudações ao Palmeiras e sua torcida pois somos adversários dentro de campo e nunca inimigos isso que o Palmeiras está passando se chama trabalho sério capacidade de uma diretoria séria um técnico competente o jogadores que se entregam,há 8 meses,1,
E Abel ainda insiste em por ele titular,há 8 meses,0,
dps de quebrar o rony tbm ne,há 8 meses,0,
Esse goleiro é um psicopata isso sim foi para machucar mesmo o jogador do Palmeiras pena que esse árbitro não apita bosta nenhuma muito ruim esse árbitro esse árbitro tem ódio do Palmeiras ..... Não expulsou o psicopata do goleiro JORI .... Tinha que ser expulso .,há 8 meses,0,
Gente vcs viu q o goleiro quebrou o braço do Roni goleiro velho da puta,há 8 meses,0,
AQUI É O PALMEIRAS PORRAAAAAAA O PALMEIRAS É MIL VEZES MELHOR QUE O BRASIL💚🤍💚🤍💚🤍,há 8 meses,1,
Avante palestra,há 8 meses,0,
Fez 4 e perdeu ums mil,há 8 meses,0,
ESSE BRENO LOPES E RUIM QUE DOI COMO PERDE GOLS QUE QUALQUER  PELADDEIRO DE FIM DE SEMANA FAZ,há 8 meses,0,
"Deveria mesmo com impedimento poderia dar cartão, o arqueiro do América-mg tinha que tomar, pela falta no Rony, ele foi muito imprudente, tem que mexer nessas regras, na minha opinião, que não vale de nada para a CBF rsrsrs",há 8 meses,0,
Breno lopes joga de mais kkkkkk,há 8 meses,0,
"O América é ruim, mas, cabe uma investigação,  entregando a partida na cara dura, não faz nem força pra disfarçar.",há 8 meses,0,
Não consigo entender como Flaco lopez é reserva nesse time .,há 8 meses,0,
Melhor narrador ❤,há 8 meses,1,
o gol q o breno perdeu era p ser demitido,há 8 meses,0,
Palmeiras ja é  campeão,há 8 meses,0,
