text,time,votes,replies
"E aí, o Fluminense é um dos favoritos ao título? 🔴⚪🟢
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 1 ano,91,19
Volta Nino,há 3 semanas,0,
❤😅❤😊❤😊❤😊😊❤😊❤😊❤😊❤😊😊❤,há 7 meses,0,
😙😙🤐😙😃😙😃😙😇😙😉😝😉😉😝🥸😜😜🥸😝😙😃😃😙😙😐😐😙😙😐🤣😙😙🤣😙🤣😙🤣😙🤣😙🤣😙🤣😙😙🤣🤣😙🤣😙🤣🤣😙😙😙😃😃😙😋😝😋😜😃😃🥸🙂🥸🙂🥸😍🥸😍🥸😍🥸😍,há 7 meses,0,
"Cuiabá 3x0 Fluminense
Agregado (Cuiabá 3x2 Flu)",há 10 meses,1,
Cara que narraçao terrivel😢,há 10 meses,0,
"Que tapa do ganso no segundo gol, gênio demais, um dos poucos camisas 10 raiz do Brasil 🧠",há 1 ano,0,
Mano oque o ganso tá jogando é um absurdo,há 1 ano,0,
nense,há 1 ano,0,
Ganso tirou onda,há 1 ano,0,
Como é lindo ver o jogador Ganso fazer gooL 🤩,há 1 ano,0,
O time bom esse do fluminense,há 1 ano,0,
"O que o Ganso joga é putariaaa, o cara é craque",há 1 ano,0,
Primeiramente. O Ganso joga muitooo. Segundamente. Mulher não era pra narrar jogos. É chato de mais,há 1 ano,0,
Narração horrível!,há 1 ano,0,
O Marcelo já abriu os braços antes do gol do Ganso KKKKKKKKK,há 1 ano,0,
FLU 🇭🇺💪🏼,há 1 ano,0,
"se narrasse com a voz normal seria lindo, mas quer fazer essa voz de traveco malandro carioca, fica bizarro",há 1 ano,0,
Ganso e foda,há 1 ano,0,
"Tinha que demitir essa mulher, narração chata do CARALHO...",há 1 ano,0,
Eu estou sem time agora porque caso eu não consigo fazer escolher um time brasileiro mas me ajude por favor eu aguento mais última chance,há 1 ano,3,
GE ACABEI DE ASSINA A PREMIER MUITO BOM,há 1 ano,5,
Sim o fluminense é favorito ao título,há 1 ano,9,
 @torcedor2737  e o favorito é o Botafogo tá em primeiro na tabela,há 1 ano,3,
Sim,há 1 ano,4,
Sim,há 1 ano,0,
Engraçado que vcs só falam dos times que tão com patamar a cima que são superiores a qualquer tipo de jogo não importa qual....,há 1 ano,0,
 @KARIMBENZEMA644  👏👏 bora bora bora,há 1 ano,1,
 @geglobo  BORA ARTILHEIRO,há 1 ano,0,
​ @KARIMBENZEMA644  a questão não é liderança que vai está no final nela fio,há 1 ano,0,
Flores só batê em cachorro morto,há 1 ano,3,
 @palzaoterrordananicada2395  tá certo vamos ver quando vamos enfrentar vcs,há 1 ano,1,
 @palzaoterrordananicada2395  respeita mais intuição fluminense não somos flores não otario idiota sobeba,há 1 ano,0,
 @palzaoterrordananicada2395  o próximo cachorro vai ser vcs vamos fazer de cadelinha 😂,há 1 ano,2,
​ @HugoSilva-xf8hv  ⁷úý⁵,há 1 ano,0,
"O VAR deve decidir quem vai ser o campeão: Fla, Flu, Palmeiras, Botafogo, Atlético. Vamos esperar.",há 1 ano,0,
