text,time,votes,replies
"E vai Corinthians!
Craque da partida?",há 11 meses,635,78
"2020: Corinthians 3 x 1 Coritiba 
2022: Corinthians 3 x 1 Coritiba 
2023: Corinthians 3 x 1 Coritiba 💀",há 1 mês,0,
😊😊,há 3 meses,0,
que golaço do wesley,há 7 meses,0,
"Não teremos ano q vem o clássico ""Co-Cô"". 😢",há 8 meses,0,
Lembranças muito boa desse jogo. Foi minha 1° vez na casa do povo 😍🦅🦅🇧🇷,há 9 meses,0,
Sim.    Yame,há 9 meses,0,
Irulllllllllllll,há 9 meses,0,1
Ultima vez que o corinthians jogou bem:,há 10 meses,0,
Corinthians é o melhor time do mundo 😍,há 10 meses,1,
2:09 KKKKKKKKKKKKKKKKKKKKKKKKKKK Eu não tankei 😂😂😂😂,há 10 meses,0,
3x1,há 10 meses,0,
Sou sao paulino mas sou fã do Coritiba torço muito para ele sair a da ZR,há 11 meses,0,
Eu sou coriti,há 11 meses,1,
Que golaço do Wesley! Vaaaaaaaaaaaaaai Corinthians!,há 11 meses,1,
Eu vim ver sim por causa o Gustta,há 11 meses,2,
Q partida do Cássio,há 11 meses,1,
esse gol do Wesley foi de Champions,há 11 meses,0,
"murilo nao estava ligado nesse jogo, varios erros do nosso garoto, mas contra o sao paulo ele estará no 220v",há 11 meses,1,
Tem que fecha mas a zaga coritiba devi muita chassi um time com mas qualidade tinha botado a bola na rede,há 11 meses,0,
Wesley pois fez um golaço,há 11 meses,29,
Renato Augusto com certeza,há 11 meses,37,
Gambá tem que pagar as Marmita Amigão,há 11 meses,5,
 @torcedor2737  você é são Paulinho e é Corinthiano?,há 11 meses (editado),8,
​ @maumau513 são Paulino cara ele só tá dando a opinião dele ué,há 11 meses (editado),6,
Gil,há 11 meses,4,
​ @luanacam freques,há 11 meses (editado),0,
​ @luanacam kkkkk coitado sai de 2017 amigão ninguém liga,há 11 meses (editado),18,
"Wlw botafoguense tamo junto , nem TDS são assim , 😅",há 11 meses,3,
Bom sou corintiano mas tenho respeito ao são Paulo e  mengao  eles são grandes times  e no jogo contra o são Paulo será empate de 1x1 e vai aos pênaltis vai timão.,há 11 meses,1,
O Cássio 🔥,há 11 meses,5,
 @Peeryttk  tu torce que time?,há 11 meses (editado),1,
Cássio,há 11 meses,3,
 @rafaeljosecruz  mas 1 x 1 fica 3x2 no agregado Corinthians tem vantagem de 2x1 o Corinthians se o são Paulo fazer um a zero a vai prós pênaltis,há 11 meses (editado),2,
Gil o mais seguro do Brasil,há 11 meses,2,
" @luanacam  dois meses depois, ainda dói a eliminação na copa do Brasil..
Ainda dói ter perdido o título brasileiro em 98..  hehehe",há 11 meses (editado),3,
Só terminou com a vitória por causa do Cássio,há 11 meses,2,
"​ @luanacam menor de Minas, um dos menores do país, se acham grande e tem 2 brasileiros 😂😂😂😂😂😂😂😂😂😂",há 11 meses (editado),2,
 @maumau513  sou São Paulino,há 11 meses (editado),0,
Reinato,há 11 meses,0,
cássio cato demais tem que respeita,há 11 meses,2,
Renato,há 11 meses,2,
 @torcedor2737   tá,há 11 meses (editado),1,
Cássio 🦅,há 11 meses,3,
Cássio fez cada defesa 😍,há 11 meses,4,
​ @luanacam cala a boca sem mundial 🤫🤫,há 11 meses (editado),4,
Cássio,há 11 meses,1,
Craque neto 😂😂😂😂😂,há 11 meses,0,
Cássio! Fez várias defesas importantes,há 11 meses,2,
​ @user-ik2mm7jn6l Corinthians vai entrar com o sub-13?,há 11 meses (editado),0,
Caneta azul,há 11 meses,0,
"Muitos torcedores do Corinthians vivem reclamando do Gil e até mesmo do Cássio, más não elogiam quando jogam bem, más se cometerem um erro já erra ...",há 11 meses,0,
" @rafaeljosecruz   mn entendo o seu lado mas eu não,  os torcedores deles são insuportáveis",há 11 meses (editado),0,
Gil,há 11 meses,0,
Aqui é coxa cara,há 11 meses,0,
Reinato Augusto o homem,há 11 meses,0,
Hadson,há 11 meses,0,
