text,time,votes,replies
Gustavo Villani Narrando Fluminense X Atlético Mg,há 2 semanas,0,
Gol contra mais e uma mula,há 6 meses,0,
Parabéns Fluminense Germán Cano ❤💚,há 7 meses,0,
Fabio ❤❤❤❤❤,há 10 meses,0,
Minha vó 👵 que já tem 92 anos eu acho que ela torce pro Atlético Mineiro também é de Minas Gerais eu que tou mandando comentários torço pro Corinthians hoje é o aniversário dele né vai fazer 113 anos e o São Paulo só tem 93 anos né agora o meu pai acabou de dizer que a minha vó torce pro cruzeiro,há 11 meses,0,
"Guga continua jogando pro atlético, kkkkk",há 1 ano,0,
Fabio é um excelente Goleiro!,há 1 ano,0,
Ah se não é o Fábio nesse time seus hein Flu kkk,há 1 ano,0,
"madu 5027 
você se esqueceu de colocar o acento agudo na letra a do nome fábio",há 1 ano,0,
Ell,há 1 ano,0,
Vai o Palmeiras e perde para esse time rediculo,há 1 ano,0,1
🇭🇺🇧🇷,há 1 ano,0,
Ronaldo chorando o Fábio todo jogo,há 1 ano,1,
O Fábio lembrou da época do Cruzeiro e fez pacto com o trem ruim pra não deixar nenhum atleticano fazer gol🤣,há 1 ano,0,
O que Fábio jogou nessa partida foi brincadeira tá doido 👏🏽👏🏽,há 1 ano,0,
"fabio so nao fez chover nesse jogo, mas fabio gosta de joga contra as galinhas kkkkk paredao dms",há 1 ano,1,
Fabio esta velho e consegue jogar  melhor    se tivesse mais novo so ele jogaria no time,há 1 ano,0,
a  globo  podia  voltar  com  a  vinheta  do  brasileirão 2008 ou  a  2014.Era top,há 1 ano,1,
Tamo numa fase tão ruim que tem lei do ex duas vezes e uma é reversa,há 1 ano,0,
"O lance bem maroto da falta que originou o gol do CBFLU não entra no resumo, não, né, GE? Tá.",há 1 ano,0,
"vander 2598 
não é rediculo 
é ridiculo",há 1 ano,0,
A cara de bunda do Diniz kkkkkkkkkk,há 1 ano,0,
Ahhhh seus cuzao seus otário os cara correu da polícia e correu da Galoucura que eu tenho vídeo 😂😂😂😂😂😂😂😂,há 1 ano,0,
Alguem ensina o pedrinho a fazer gol?,há 1 ano,0,
"Engraçado como, contra o atlético, DIVERSAS vezes o melhor da partida foi o goleiro adversário. kkkkkkkk Como pode? A gente PERDE MUITO gol. Mas méritos do Fábio, excepcional goleiro.",há 1 ano (editado),0,
Força fluminense,há 1 ano,0,
Fábio 300Mil vezes melhor que o Rafael Bosta Cabral😢😢,há 1 ano,0,
"REINALDO, DARIO E ÉDER. Por favor, um intensivão para Paulinho, urgente!",há 1 ano,0,
G.cano foi fominha não deu a BOLA por isso que n,há 1 ano,1,
"O Dinis é bom ,mais não tá preparado para a seleção  brasileira ele é descontrolado e não tem postura ,como q vai treinar o Brasil assim 😢",há 1 ano,0,
Ne2k,há 1 ano,0,
"É uma vergonha irreparável pra história da CBF e da seleção Brasileira nunca ter tido o Fábio defendendo essas cores embaixo das traves ou no mínimo no banco numa copa do mundo.. Uma lenda do futebol Brasileiro, sem nenhuma dúvida ou exagero. PQP... 🎶",há 1 ano,3,
"o melhor goleiro Brasileiro da década passada fácil, no minimo dos que jogaram no Brasil. E não foi convocado uma vez sequer, pau no cu da CBF e do eixo, só falta agora ele ser convocado",há 1 ano,1,
"Esse Patético Mineiro sempre foi uma bosta de time, só participa dos campeonatos",há 1 ano,0,
O fabio de idolo do cruzeiro vai virar idolo no fluminense tambem.,há 1 ano,1,
