text,time,votes,replies
SPEED MENDOZA E SOTELDO JOGARAM MUITO,há 3 meses,0,
"Só não imaginava que o Santos ia cair pra série B ne 2023, força peixe ne 2024 nois sobe 🤍🖤",há 6 meses (editado),0,
Show do América-MG Wellington Paulista 🤩🤩,há 7 meses,1,
"A CBF não deveria tomar uma decisão contra o atleta que está envolvido neste ato, de oferecer dinheiro aí América Mn, e o Santos não deveria perder pontos ou alguma punição no campeonato,  isso não seria rachadinha?",há 8 meses,0,
Vai santos,há 11 meses,1,
REALMENTE A CBF TÁ FAZENDO TUDO PARA O SANTOS SUBIR. ESTÃO ROUBANDO MUITO DO VASCO PARA SUBIR O SANTOS. VERGONHOSO ESSA CBF,há 11 meses,0,
Possível pênalti no atacante do América no último lance empurrão nas costas o que vcs acham? Fiquei na dúvida ali em🙈,há 11 meses (editado),0,
Ki vergonha pro santos nao perde o juis marco un penalti ke nunca esistiucada juis pelo amoe de deus,há 11 meses,0,
Sou palmeirense e vim avisar que essa vitoria do santos foi muita merecida! Parabens e vocês fizemram a homenagem ao nosso rei!,há 1 ano,1,
Eduardo tomou vermelho vei pagou a dívida kkkk,há 1 ano,0,
então foi aí que o Bauerman tomou vermelho no esquema de apostas 😂,há 1 ano,1,
"Dúvida sobre o Santos: sabemos que o maior jogador de todos os tempos, Pelé, fez sua história no Santos. Mas quando fui na loja dentro da Vila Belmiro perguntei ""Vocês tem os 90 minutos completos de qualquer um dos 1116 jogos que o Pelé fez pelo Santos?"" Resposta da loja: não tem NENHUM jogo completo dele pra vender. O marketing não acha que os jogos do Pelé são dignos de atenção pra não ter nenhum deles pra vender na loja dentro do estádio? Vale lembrar que todos os times tem a mesma falha (vão numa loja do Flamengo e peçam pra comprar um jogo completo do Zico, ou numa loja do Corinthians e peçam um jogo do Sócrates). Pra quem achar que não vale a pena por já sabermos do resultado, perguntem pelo menos para as torcidas organizadas de cada clube se eles não teriam interesse em comprar esses jogos históricos. Comparando com filmes, esse ano faz 90 anos da primeira versão de King Kong, mas como a história é boa, tem audiência, mesmo todos sabendo o final.",há 1 ano,0,
"Esse Vagner Mancini é um pessimo treinador o time faz gols mas toma muitos gols, não tem um equilibrio, terrivel.",há 1 ano,1,
🐬🐳🐋🦈🦭🐡🐠🐟,há 1 ano,1,
Santos tem um jogo horrível,há 1 ano,0,
"Dois times em má fase fazem um jogaço com direito a golaços e grandes jogadas, isso é Brasileirão 🔥",há 1 ano,1,
Santos vai me matar do coração algum dia,há 1 ano,0,
VAI SANTOS !!!!!!!!,há 1 ano,0,
O America jogou muito melhor!,há 1 ano,0,1
João Paulo é o melhor goleiro do Brasil,há 1 ano,0,
Adiantou nd kkk😂,há 1 ano,0,
Finalmente uma vitória 😅❤,há 1 ano,0,
Soteldo joga muito,há 1 ano,0,
"Essa zaga do Santos quando pegar um time como palmeiras Inter grêmio flamengo e fluminense,vão tomar muito gol
Desse time so se salva o goleiro João Paulo e o coitado do Soteldo 
O timinho ruim.",há 1 ano,0,2
Incrível como é atmosfera da vila Belmiro,há 1 ano,0,
Esse vai ser mais um ano que esse time pirento do santos permanecerá na serie A,há 1 ano,0,
Melhor jogo do Brasileirão até agora,há 1 ano,0,
Grande vitória do peixe.,há 1 ano,0,
"João Paulo 
Nathan 
messias 
ed carlos 
dodi 
marcos Leonardo 
Ângelo 

Tec. odair",há 1 ano,0,
O Coelho tá dando azar nesse BR. Mesmo perdendo os 3 jogos não jogou mal.,há 1 ano,0,
"Esse cavicilli mata o América hen
Pqp 😂",há 1 ano,0,
Esse América-MG é muito fraco,há 1 ano,0,
"pelo menos um everaldo e bom, pq o da bahia e horrivel",há 1 ano,0,
Ninguém vai falar que foi pênalti pro América no último lance depois da cabeçada na trave?????????,há 1 ano,0,
Com certeza foi o melhor jogo da rodada,há 1 ano,0,
O América é postulante a cair pra série B esse ano.,há 1 ano,0,
O narrador e muito ruim.,há 1 ano,0,
"João Paulo e Soteldo,tudo de bom.",há 1 ano,0,
Se o santos não cai ta bom de mais 😣,há 1 ano,0,
Cadê o VAR no lance aos 03:04?,há 1 ano,0,
Essa defesa do santos pela amor de deus,há 1 ano,0,
Só tomou um do gremio,há 1 ano,0,
Do SUAREZ,há 1 ano,0,
"Esse time do América vai ser rebaixado, com todo respeito mas não tem cabimento os cara perder pra SP + Santos seguidamente 
OBS: O pior é que tomou 3 gols dos dois times...",há 1 ano,0,
"Daronco mais uma vez tentou roubar o Santos. Fez de tudo pra não dar o pênalti, depois inventou inexplicáveis 8 minutos. Não satisfeito, tirou mais 2 minutos do cu pra tentar fazer o América empatar.",há 1 ano,0,
Luan do futebol curte la,há 1 ano,0,1
"o primeiro gol as falhas foram do Nathan e do Dodi, no segundo o Mendoza deixa dois contra um no Nathan",há 1 ano,0,
Gramado ta lindo. Impecavel,há 1 ano,1,
Vitoria importante contra um time que sempre é um calo no sapato do Santos,há 1 ano,1,
Quem acha que o Mendoza foi o melhor da partida curti o comentário,há 1 ano,1,
Mais um ano nino Paraíba rebaixado kkk,há 1 ano,0,
"Eu te amo Santos, mas que sufoco.",há 1 ano,0,
Mendonça joga muito,há 1 ano,1,
"O Santos ainda tem sérios problemas de controle de jogo, o time está desorganizado e os jogadores não sabem o que fazer quando recuperam a bola isso é problemas de treinamento...foi uma vitória sofrida ontem.",há 1 ano (editado),1,
Agora eu quero ver o América mg ganhar o próximo jogo no horário das 11:00.,há 1 ano,0,
"os "" melhoras momentos "" do GE são uma bosta , não mostra expulsão, não mostra os replais certinho e também não mostra todos os melhores momentos....",há 1 ano,0,
no último lance do jogo foi pênalti para o América... só acho,há 1 ano,1,2
"hugo mucci
você se esqueceu de colocar o acento agudo na letra a do nome cássio",há 1 ano,0,
campeonato brasileiro é muito bom,há 1 ano,0,1
"Comemorar gols e bom mas títulos  e esencial,e isso é pra poucos.",há 1 ano,0,
"ótima vitória do meu santos, e melhor ainda com essa narração e o volume perfeito da torcida",há 1 ano,2,
"02:50 - vejam um gol de goleiro 
JP MONSTRO",há 1 ano,0,
"O Santos é o maior de todos porra, vai pra cima deles!",há 1 ano,0,
Luanel Messi,há 1 ano,0,
Foi fora,há 1 ano,1,
Da área no SporTV tava dando pra ver melhor,há 1 ano,1,
Só não er bom pq tein erro de arbitragem e,há 1 ano,0,
João Paulo tem potencial pra ser grande no futebol ⚽️ ele joga muito 😊,há 1 ano,0,
achei o time muito desatento na marcação sorte é que o soteldo jogou muito continuo pedindo outro técnico,há 1 ano,0,
Esse só faz gol de pênalti e olha lá,há 1 ano,0,
Que defesa RUIM A NOSSA SE NÃO FOSSE SÃO JOÃO PAULO ESTAVAMOS FUDILADOS,há 1 ano,0,
"NÃO GOSTO DO JOÃO PULA PULA,NO GOL DO PEIXÃO ACHO QUE ELE SÓ DEFENDE BOLAS EM CIMA DELE, É É O PIOR GOLEIRO DO MUNDO PRA SAIR DO GOL E PEGAR PÊNALTIS, SÓ QUE RECONHEÇO QUE ESSA ULTIMA DEFESA DELE NA FALTA BATIDA NO ÂNGULO, FOI FANTÁSTICA..",há 1 ano,0,
"Não sou torcedor do Santos, mas a torcida transformou o alçapão num caldeirão.",há 1 ano,1,
Bora peixao,há 1 ano,0,
Vamos santos lei do ex nunca falha Eduardo kkk fez,há 1 ano,0,
João não tem potencial pra nada ele é frangueiro mão de alface não sabe sair do gol sem falar nos penaltes que ele enxiste em sair antes da cobrança temos treinador de goleiros pelo que eu vejo não quer aprender a pegar penaltis é assistir os jogos do Cejas sò isso basta mais não oscaras so craques de mais para ver um vídeo nunca mais o Santos vai ter um time de pegada lutando por todas as bolas correndo que faz parte do trabalho deles amigos hoje sò temos Mascarados e com salario Altissimo.,há 1 ano,0,
América-MG tá ruim começo de Rebaixamento,há 1 ano,0,
"O time tá ganhando cara , sem o Ângelo o time tem tudo para entrar no ritmo porque jogar com um estrovando ñ é fácil.",há 1 ano,1,
Sem dúvidas vai ser o melhor brasileiro de todos,há 1 ano,0,
Eu te Amo João Paulo Mostro tem todo o meu Respeito 🙌🙏💪❤😎,há 1 ano,0,
"Santos tem que ficar na copa do Brasil e na sul americana, pode até ganhar esses dois títulos vcs sabiam que não é difícil 🤔",há 1 ano,0,
"Que jogaco, é enfom o santos venceu, esse GIGANTE",há 1 ano,1,1
"Agora coloca o Ângelo no lugar no Mendoza na hora do primeiro gol.
1°ele estaria atrás do Nathan
2°mesmo que estivesse na posição, ia tentar driblar, tocar pra outro jogador ou, o mais óbvio, ia recuar a bola rpo goleiro do América
Parabéns Ângelo, ta jogando menos que o Mendoza👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻",há 1 ano,0,
Esse time do América joga muito mas perde muitos gols,há 1 ano,0,
Peixão😎👍🏻🔃,há 1 ano,1,
parece que o santos ta jogando no escuro,há 1 ano,0,
"M.Leonardo bateu mal, mas levou sorte. O Técnico precisa rever esse lado direito muito fraco, os dois gols do América saiu por lá!",há 1 ano,0,
Sim e que o gigante não caia.,há 1 ano,0,
kkkkk...,há 1 ano,0,
Boa vitória ✌ do Santos futebol clube contra o América mg pelo campeonato brasileiro da série a 2023.,há 1 ano,0,
Santos segunda divisão é logo ali  !!,há 1 ano,0,
"Outra vez João Paulo salvou, grande goleiro, valeu pela garra e pela Vitória Santos",há 1 ano,0,
Peixão tem que pontuar o maximo possível. A meta são os 45 pontos e fé.,há 1 ano,0,
"O Santos se superou nessa partida!
Time guerreiro que foi buscar a virada duas vezes 😮
Parabéns Santos e parabéns ao America MG pois as duas equipes fizeram um grande jogo!",há 1 ano,3,
"Beckenbauerman, golaço pai.",há 1 ano,2,
"Em pleno mês de páscoa
E O MEU PEIXE COMENDO COELHO KKKKKK",há 1 ano,0,
"Jp e o melhor goleiro do Brasil,  tivesse no time q tem mídia,  igual fla , flu , Palmeiras e galo , já tava na seleção,  vão esperar alguém de fora comprar ele pra convocar ele , igual com o Veríssimo",há 1 ano,0,
América segundona😅😅,há 1 ano,0,
"Tá tiste, fica tiste não coelhinho pompom😂",há 1 ano,0,
"Bauerman apostou mais de 2,5",há 1 ano,0,
Bauermann é mais matador do que o Ângelo,há 1 ano,0,1
"Joao Paulo, Soteldo, Dodi, lucas lima, Fernandez, e mencao honrosa pelo Marcos leonardo, de resto podia manda tudo embora",há 1 ano,0,
"Não sou santista,mais oque este João Paulo está fazendo e o melhor goleiro do Brasil fácil.",há 1 ano,0,
