text,time,votes,replies
🐓 galoooo,há 2 meses,0,
Um gol do Hulk um gol do Guilherme e Aana homem-aranha super-herói Hulk o super-herói❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,há 4 meses,1,
Hulk Hulk Hulk sempre ele,há 8 meses,0,
Flamengo vai jantar encima do atlético Mineiro no Maracanã.,há 8 meses,0,1
Quero vê é ganhar do flamengo no Maracanã.,há 8 meses,0,
"A cbf tem vergonha de admitir,  mas credito que hulk seria uma boa escolha nessa novas seleção fracassa que esta ai jogando, mas recorrer a jogadores antigos talvez seja vergonhoso a propria cbf que acredita ter um elenco jovem e ""promissor""!",há 8 meses,0,
Sempre gostei do Hulk..desde a epoca do Porto.,há 8 meses,0,
"1:14 o cara literalmente riu na hora do cartão, era só ter levantado",há 8 meses,0,
"Goias jogou demais nesse jogo, pena que o Galo é o Galo né? Tem jeito não!! O Galão da Massa é IMBATÍVEL!! Mas se Goias joga assim contra um time com menos qualidade é vitoria",há 8 meses,0,
"Galo foi meu primeiro amor, maior doença da minha vida. Este time faz raiva pra caralho, mas é a melhor coisa que tem é torcer pro galo",há 8 meses,0,
Goleiro fraco do Galo,há 8 meses,0,
"Obrigalo Hulk, Obrigalo🤝🏼🐔",há 8 meses,0,
"Não sei quem é pior Jemerson ou Rabello,duas vacas de leite",há 8 meses,0,
Po Arana é seleção brasileira pura como Diniz n o convoca,há 8 meses,0,
Milagre Paulinho n ter feito gol kakakakka,há 8 meses,0,
Vambora galo doidooo confirmar essa vaga na fase de grupos da liberta 🖤🤍,há 8 meses,0,
"Confesso que ontem,mesmo com muita dor no coração,eu torci muito p o Goiás vencer, só p ver o Cruzeiro MG tomar mais ainda no C**,mas tá bom",há 8 meses,0,
Sou São Paulo parabéns ao Galão da massa bela vitória Hulk e Arana joga muita bola o Igor Gomes jogou bem deu assistência mlk tik tok ta jogando bem no galo.,há 8 meses,0,
"Acabei de postar o video dos 5 GOLS MAIS BONITOS da rodada 34 do Brasileirão, confere la e veja se concorda?",há 8 meses,0,
😂 o estádio parece aquele jogos de PS2 ou bamba pacht,há 8 meses,0,
3x0 galo kkkkkk😊,há 7 meses,0,
O posicionamento dessa câmera tem q ser corrigido,há 8 meses,0,
Galoooooooooooooooo 💪🏾,há 8 meses,0,
Fogo de paia ganha 1 perde 2 time ruin da porra,há 8 meses,0,
Hulk 400 gols n carreira,há 8 meses,0,
"Quando Hulk parte mano a mano com os dois zagueiros, reparem a força do chute e a pancada batendo na arquibancada e voltando. Parece que é surreral. Muita força kkkkkkkkkk A torcida chega fica assustada com a bola indo na direção deles",há 8 meses,1,
Esse Igor Rabello tá profissão errada .pqp ...quase complica o que era fácil,há 8 meses,0,
Bom jogo 🎉,há 8 meses,0,
"Vixe custou ganhar,bom que seja de 1/2 a zero, o importante e ganhar,era para golear uai q o paulinho,hoje ate o ano q vem e ate o seculo vindouro,vou reclamar da derrota pro coxa,empates com  o mequinha,a vitoria mundial pros marias.",há 8 meses,0,
Matheus Mendes deu azar no gol. Não foi falha. Ele fez uma boa defesa e deu azar da bola resvalar na perna dele e sobrar pro atacante. Hulk como sempre Imparavel.,há 8 meses,1,
Mais um pênalti arrumado sem o pênalti o Hulk não faz gol,há 8 meses,0,
Galooo,há 8 meses,0,
Os 3 pontos perdidos para o Coritiba jogando na Arena MRV esta fazendo muita falta nessa hora... Seria só 2 pontos para o primeiro colocado hoje... Próximo jogo do Galo será na Arena MRV contra o Grêmio e com certeza vai lotar o estadio dia 26/11/2023 as 16 hora de domingo,há 8 meses (editado),1,1
Pra 2024 o galo tem que contratar 1 zagueiro e 1 goleiro por que a situação no elenco tá complicada time sem vontade de se defender do adversário.,há 8 meses,0,
"Não fossem os incessantes pontos para times brigando pelo rebaixamento, GALO seria líder",há 8 meses,0,
"Meu Deus! Esse dia foi espetacular. Primeiro jogo na arena, jogadores do sub 15 me deram tchau...
Hulk quase fazendo golaço etc.",há 8 meses,0,
.,há 8 meses,0,
BOM JOGO NA ARENA GALO CEGO,há 8 meses,0,
O meu Corinthians ganhou do Grêmio kkkkkkk 🔥🔥🔥🦅🎉🎉🦅.  Soares deixou a pist0l4 em casa 😂😂😂😂😂,há 8 meses,0,
Tá tudo bem complicado para o líder e os times da zona de rebaixamento também q campeonato complicado 😢,há 8 meses,0,
E essa joelhada na cara do goleiro KKKKKKKKKKKKKKK golaço,há 8 meses,1,
Atllético Nanico kkkkkkkkkkkkkkkkkkkkkkkkkk,há 8 meses (editado),0,
"Patético Mineiro é muito ridículo, não bastava perder para o time ridículo do Ronaldo, eles ainda ajudam vencendo os candidatos ao rebaixamento.
Vai se foder Galo.",há 8 meses (editado),0,
Um dos melhores narradores do Br esse Rogério corrêa e boa vitória do galo!!,há 8 meses,3,
"pra quem viu o jogo foi um jogo bem ruim !! Quase tomou o empate  esse time do galo tem que melhorar pro ano que vem , """"Goleiro ia entregando a paçoca 2 vezes"""" !!!",há 8 meses (editado),0,
O hulk nao estar na selecao é brincadeira,há 8 meses,0,
"Aquele lance do final do jogo, se fosse o Jemerson, ele teria marcado mais um.",há 8 meses,0,1
"Boa vitoria do atlético Mineiro contra o goias, pelo campeonato brasileiro da serie a 2023.",há 8 meses,0,
"Si o Everson machucar o Atlético tá ferrado , lembrando que tem libertadores , Copa do Brasil e Brasileirão ano que vem .",há 8 meses,2,
Esta edição do GE é sempre apressada. Não repetem os principais lances e sempre terminam o vídeo de forma abrupta. Vamos melhorar!,há 8 meses,0,
Hulk é muito craque,há 8 meses,0,
"Hulk aos 37 anos jogando d+! Felipão calando a boca de mtos. Igor Gomes como quase sempre entrando bem
E galo finalmente fazendo gol com alguém diferente. Arana!! Que por sinal tá jogando mto tbm",há 8 meses,4,
Vamo Galooo ganhar o brasileirooo✨️🖤🐓,há 8 meses,0,2
É impressão minha ou essa camera tava muito alta,há 8 meses,0,
"Atlético deu foi e sorte, ia ser gol aquele último lançe",há 8 meses,0,1
Goleiro atleticano gosta de emoção,há 8 meses,0,2
"O galo faz coisas impossíveis, vamos ver no que vai dar esse finalzinho",há 8 meses,0,
Se o hulk fizesse aquele segundo seria uma obra de arte!,há 8 meses,1,
"Foi TOP! Meu primeiro jogo conhecendo Arena MRV! Linda, linda essa arena! Galo vencendo é melhor ainda, experiência inesquecível!",há 8 meses,15,2
"Atlético mineiro, tá comendo pelas beiradas, todos os times do campeonato brasileiro, no segundo turno, se deixar o Atlético mineiro vivo, pode ser vice-campeao. Botafogo campeão do Brasileirão de 2023.",há 8 meses,0,
Boa galo 🐓,há 8 meses,0,
"Vitória Importante pro Atlético , se aproximando do G4!!! Hulk e Arana Jogaram Muito!!! Brasileirão série A em uma Reta final ""insana"" HAJA CORAÇÃO kkk 🇧🇷 💓⚽🔥🏆!!!",há 8 meses,8,
Ele teria marcado mesmo...,há 8 meses,0,
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk iludido,há 8 meses,0,
"​ @gleisonrodrigo3371 o galo tem chance, mas vai ser difícil",há 8 meses (editado),0,
E o galo tinha um jogador expulso e os caras não conseguiram nem empatar🤣🤣🤣,há 8 meses,0,
Maurício Lemos virou goleiro kkkkk,há 8 meses,0,
Foi ele que salvou o galo,há 8 meses,0,
Pior que foi meu primeiro jogo também,há 8 meses,0,
lá em Minas só o Cruzeiro que é sem estádio,há 8 meses,2,
Como assim Hulk n está na seleção...,há 8 meses,0,
Sem meu Penalty eu não consigo,há 8 meses,0,
Galooooo,há 8 meses,0,
Goleiro é Everson mesmo .. passa bem mais segurança,há 8 meses,0,
Goleiro do galo recebeu cartão amarelo?,há 8 meses,0,
Tadeu ta no time errado,há 8 meses,0,
Em nome de todo povo goiano: obrigado Galo por esta grande alegria!,há 8 meses,3,1
Arana foi muito esperto e Lemos salvou 🙏🏾,há 8 meses,10,
Vamoss Galooo,há 8 meses,0,
Jemerson na zaga do galo não dá,há 8 meses,0,
"Vlw Atlético, saudações vascaínas união sinistra tmj",há 8 meses,1,1
se o hulk faz o gol de voleio ia ser de placa.,há 8 meses,0,
Igor gomes joga muito✅vamo galo pra que exercito se temos hulk💪,há 8 meses,2,
Vamo que da meu galao ganhar do nosso aliado Grêmio e atropela os mulambo 😂😂😂,há 8 meses,0,
.,há 8 meses,0,
"Vejam com 02 jogadores fora de ritmo Rabello e Mateus Mendes fazem a ""diferença"". Não são ruins tecnicamente mas precisam ser rodados as vezes p pegsr ritmo de jogo.",há 8 meses,0,
3:13 krl,há 8 meses,0,
Hulk tem que aposentar no galo,há 8 meses,0,
Goiás pela 439851x vai cair pra B..,há 8 meses,1,
"Que iluminação horrível é essa? Arena MRV, segue o padrão dos apartamentos construído por eles",há 8 meses,0,2
?,há 8 meses,0,
Tmj menor,há 8 meses,0,
Você estava no estádio pra falar essa merda? Então cala a boca,há 8 meses,0,
ARENA MR NÃO V,há 8 meses,0,
"Feliz dms pelo Arana
Merece dms",há 8 meses,5,
"Pegar a última vaga no G4, vai terminar assim:
Palmeiras
Gremio
Flamengo
Galo",há 8 meses,0,
Vamo que vamo Atlético MG ⚫⚪🐓😎😎,há 8 meses,1,
Falta de ritmo de jogo derrubou Rabello. E Jemerson chegando atrasado mais uma vez.,há 8 meses (editado),0,
Esse time tem cair msm até com menos 1 n ganha,há 8 meses,0,
"Sei não em, mas acho que da pra pegar esse título",há 8 meses,1,
Agora no próximo jogo vamos ganhar do grêmio,há 8 meses,0,
"Tomara que o Atlético não coloque grama sintética no ano que vem. O estádio é próprio, se fizerem um bom trabalho ao término da temporada, dá pra jogar com um gramado natural de boa qualidade a partir da próxima temporada. Basta ver o trabalho feito pelo Inter, Corinthians, São Paulo.",há 8 meses,0,
"Que imagem ruim. Não se é a iluminação do estádio, mas todo jogo nessa casa do galo a imagem é assim.",há 8 meses,0,
"Cara e eu achando que o Atlético iria perder pro Goiás pra complicar a vida do rival kkkkk mas não !! Fez o que tinha que fazer , que é ganhar !! Não é tipo o internacional querer perder pra não deixar o Grêmio ter grandes chances de ser campeão!! Cruzeiro x atlético é um clássico inexplicavel",há 8 meses,2,
"com todo respeito ao Goiás, mas Tadeu nao merece estar nesse time... ele tem potencial pra jogar em qualquer clube grande do Brasil !",há 8 meses,0,
Boa noite a todos saudações,há 8 meses (editado),0,
"Sou atleticano, mas esse segundo gol do Galo me pareceu irregular, no 2:18 o Arana deu simplesmente uma joelhada no rosto do goleiro.",há 8 meses,0,1
Atlético mineiro vence em casa mais uma.  12/11/23,há 8 meses,0,
Isso e bom demais e o galo la em cima e as maricota brigando pra não cair.😂,há 8 meses,0,2
Excelente vitória para o Vasco,há 8 meses,7,
Ganha contra o Grêmio da pra Sonha com título,há 8 meses,0,
Atlético MG    e  time   maior  do  sudeste,há 8 meses,0,
esse Maguinho foi melhor jogador do Atlético hj cara bom,há 8 meses,1,
Teremos que aturar jemerson no próximo jogo Igor Rabello tem chance e sai expulso fica difícil assim,há 8 meses,0,
Tocou a bola primeiro e depois que o goleiro se choca com a perna dele.,há 8 meses,1,
Cara vive de cruzeiro 😂,há 8 meses,0,
​ @ANIMES45672 nunca,há 8 meses (editado),0,
Respeita,há 8 meses,0,
"Gente, como o Galo dificulta as coisas pra ele mesmo, o jogo estava fácil, e ganhando 2 x 0.

Sempre a mesma 
coisa viu, cruzes!

Abraço!!🤔",há 8 meses (editado),0,1
"esse hulk joga demais, mostrou oq eh ser o melhor atacante do brasil",há 8 meses,62,1
"Não sou Galo nem galinha, mas estou com pena do Cruzeiro 🐔😕",há 8 meses,0,
Zaga do Goiás é uma mãe kkkk Lucas Halter perdido em campo 😂,há 8 meses,4,
3:10 se fosse o jermeson era gol contra kkkkkkkkkkkkkkk,há 8 meses,1,
Galo campeão.,há 8 meses,0,
"Galo é gigante fanática parabéns 🏴🏳
💚Torcer Goiás 3 x 0 Cruzeiro 🅱️",há 8 meses,1,1
Goiás dando Adeus a série A😂😂😂,há 8 meses,0,
2ª força de MG X 2ª força de GO,há 8 meses,1,1
Deuuu Bommm,há 8 meses,0,
Tão deixando a gente sonhar,há 8 meses,0,
"Simplismente é o galo,o time de parar corações(meu tio teve um mini infarto vendo o jogo)",há 8 meses,9,2
