text,time,votes,replies
Parabéns Goiás Yan Souto 😍😍,há 6 meses,1,
Narrador nota 10,há 1 ano,1,
Athletico-PR 2x0 Goiás,há 1 ano,2,
boa Furacão... garantir 3 pontos em casa,há 1 ano,1,
.,há 1 ano,0,
A narração ta espetacular,há 1 ano,1,
ué o pablito sumiu na final da libertadores é só apareceu agr?? 😂,há 1 ano,1,
RESPEITA MEU FURACÃO 🌪️☠️🌪️,há 1 ano,3,
GOIÁS 2024: SÉRIE B.,há 1 ano,1,
ATHLETICO-PR 2X0 GOIÁS,há 1 ano,0,
ATHLETICO PR   16/04/23,há 1 ano,1,
TOF + TEV!,há 1 ano,3,
Vendo esses melhores momentos parece até q o athletico dominou o jogo kkkkkkl,há 1 ano,1,
"Pra cima deles meu Furacão, vamos ser Campeão Brasileiro, esse ano se Deus quiser o Brasileirão ira terminar com as cores do Furacão 🖤❤️🌪🇦🇴🏴‍☠️🔥",há 1 ano,3,
ATHLETICO PARANAENSE tem muito o que evoluir ainda! Mas está no Caminho certo,há 1 ano,1,
"O Goiás  não está podendo ver um Atlético  na frente dele que já entrega tudo. SOCORRO Sr. Haile Pinheiro nos ajudar de onde o Sr. Estiver,  nem um treinador  teus herdeiros conseguem contratar.😢😢😢😢😢😢😢",há 1 ano,1,
Oi gente quem tiver um jogador bom pra doar na amizade pro Goiás eu vou ficar agradecido de mais que deus abençoe vcs 😪💚,há 1 ano,3,1
U7777,há 1 ano,1,
Yyy7,há 1 ano,0,
Yyuu,há 1 ano,0,
só ganhar do coxa os dois turnos que vcs tao safe!,há 1 ano,0,
Vão levar um sacode do Fluminense seus porco,há 1 ano,0,
"Sou gremista, parabéns pela vitória do furacão",há 1 ano,10,
Boa vitória do Atlético paranaense contra o Goiás pelo campeonato brasileiro da série a 2023.,há 1 ano,18,
"E uma vergonha esse time do Goiás, tbm uma diretoria podre sem competência, nem um técnico o time não tem, vergonha total série B te espera! 😢",há 1 ano,1,
parabéns ao furação 👏🏻🔥🤍,há 1 ano,4,
Quero ver furacão brigando pelo título,há 1 ano,5,
DAVYD KEWSTHON DA ROCHA MAGALHÃES CANAL  ge  ATHLETICO PARANAENSE  2 X 0 GOIÁS 1 RODADA BRASILEIRÃO SÉRIE  A 2023,há 1 ano (editado),1,1
Goias es un buen equipo?,há 1 ano,2,2
Pablo nunca acertou um cruzamento desse do 2⁰ gol no São Paulo jkkkk desgraçado,há 1 ano,3,
"Furacão vem forte nesse BR 
23",há 1 ano,5,
Pq o athletico n assina com a premiere,há 1 ano,1,1
A Globo não transmite jogo do CAP não? NÃO TEM NARRAÇÃO!🙄,há 1 ano,2,3
Caze tv estava sem imagem,há 1 ano (editado),1,1
Onde transmitiu esse jogo?,há 1 ano,0,3
Mano nunca tem Narração no jogos do Atlético-PR kkkkkkk,há 1 ano,2,2
Onde tá sendo transmitido esses jogos do Athletico Paranaense ?,há 1 ano,3,3
Cap é do meu estado,há 1 ano,4,
Só chutão na área e foda-se kakakakaka,há 1 ano,1,
COXA>CAP é isso,há 1 ano,2,3
Amei a narração,há 1 ano,4,
Tio brouah,há 1 ano,0,
Mais ou menos,há 1 ano,4,
 @omaiorkkk  brigato beu amigo,há 1 ano,0,
porque eles não oferecem valores justos,há 1 ano,1,
Eles não têm os direitos,há 1 ano,1,
Só a caze tv,há 1 ano,3,
quando eles começarem a oferecerem valores justos voltarão a ter os direitos 😊,há 1 ano,0,
"A Cazé TV transmitia para membros pagos (exigência do contrato), os membros podiam entrar em outra live e lá era o jogo",há 1 ano,0,
Cazé TV,há 1 ano,0,
"rede furacão e cazetv na twitch
radio cap (apenas áudio)",há 1 ano (editado),1,
 @ukiss-laboum-superjunior-trax  obrigado,há 1 ano,0,
Tem no Caze que tem os direitos de transmissão..,há 1 ano,1,
"Cap é meio tretado com a Globo, por isso ela não transmite jogos do furacão, mas a imagem é liberada, menos a narração",há 1 ano,1,
"CazeTV (1,99 por mês) (todos os jogos em que o Cap é mandante)",há 1 ano (editado),3,
CazeTV e Rede Furacão(plataforma oficial).,há 1 ano,5,
"Valeu, rapazeada! Muito obrigado!",há 1 ano,4,
"Sim sim,  ganhar nos 9 países da América não é nada comparado a ganhar 1 JOGO EM 114 ANOS fora de casa; Ser cabeça de chave de liberta e 3° do ranking da CBF não vale nada. Guenta os xoxa kkkkkkkkk",há 1 ano,2,
