text,time,votes,replies
"E aí, flamenguista! Acredita no título?
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 8 meses,392,58
Everton Ribeiro jogou muito em sua despedida,há 4 semanas,0,
😊😊😊😊,há 2 meses,0,
caramba ver um jogo pessoalmente e legal dms vei MT DOIDO,há 6 meses,0,
😂😂😂😂😂😂😂😂,há 6 meses,0,
❤sssssssdd,há 7 meses,0,
Uma mensagem que eu não tenho mais pra y ir no ué não é da sua conta e é da tem de novo e o que eu tenho é só o seu pai me mandou um abraço e é da sua irmã de bom de fazer o que de manhã é o seu aniversário em nome e,há 7 meses,0,
❤ Josiel 😊,há 8 meses,0,
Muito legal 😎,há 8 meses,0,
R a gentes e o,há 8 meses,0,
"Uma vez Flamengo, sempre Flamengo...",há 8 meses,1,
Flamengo vence mais uma fora de casa.  29/11/23,há 8 meses,1,
O ministerio público precisa abrir uma sindicância urgente e envestigar o clube de regatas do Flamengo todos os jogadores alguns estão comprado por casa de apostas,há 8 meses,0,
Acredito no título ❤🖤,há 8 meses,1,
Agora o tite é bom quando tava na seleção era ruim...tite sempre foi um grande técnico aquela seleção terceirizada do Brasil é que não presta,há 8 meses,1,
que golaço de letra do everton ribeiro,há 8 meses,1,
COMPRARAM O AMÉRICA 1 GOL O GOLEIRO RECOLHEU A MÃO KKK,há 8 meses,1,
"A evolução do Flamengo é notória, o Tite recuperou o time !",há 8 meses,0,
so mais o botafogo!!!,há 8 meses,0,
sou mais o botafogo!,há 8 meses,1,1
Vai ficar no cheirinho 👃,há 8 meses,14,
SIM❤🖤🖤,há 8 meses,12,
👃,há 8 meses,2,
Palmeiras que vai ganhar o brasileirão e o Flamoda vai ficar no cheirinho 👃👃👃👃👃👃👃,há 8 meses (editado),6,
Sim,há 8 meses,6,
"Estão deixando a gente sonhar 🤩
Que campeonato maluco",há 8 meses,18,
Sempre,há 8 meses,5,
​ @henriquesalemaraposo8610 mesmo número de pontos kkkk desacreditada não viss,há 8 meses (editado),0,
​ @henriquesalemaraposo8610 sim no cheirinho do titulo kkkkkkkkkk,há 8 meses (editado),2,
Não flacheirinho vai ficar pra próxima 😂😂😂😂,há 8 meses,3,
"Palmeiras vai ser nosso vice, já que eles são nosso rebaixados",há 8 meses,4,
"Título garantido já! Palmeiras uma hora vai tropeçar! 

Palmeiras não é Corinthians pra segurar títulos.",há 8 meses (editado),3,
"​ @kitl59 ""Título pequeno"" e os cara se amostrando kkkkkkkk",há 8 meses (editado),1,
"​ @SAMUELHCR2. Varemeiras não vai ganhar nada não amigão, se eu fosse vc nem me iludia.",há 8 meses (editado),3,
6 vice no ano KKKKKKKK,há 8 meses,3,
​ @henriquesalemaraposo8610 e você vai ficar é cheirando a minha cueca vermelha kkkkkkk,há 8 meses (editado),0,
Não acredito no título do Flamengo pois na última rodada o São Paulo não vai deixar 👍⚫🔴⚪,há 8 meses,2,
Sim,há 8 meses,1,
​ @leonardosousa7897 o São Paulo não vai deixar o Flamengo ser campeão,há 8 meses (editado),0,
Mais uma vez o flamidia jogando com dezesseis.essa equipe de transmissão é uma vergonha esse narrador fuleiro sem nenhuma ética profissional!!,há 8 meses,2,
​ @luanacam quinta feira outro gol do pai 👉 ARRASCAETA,há 8 meses (editado),1,
"​ @torcedor2737 Por favor deixa a gente ser campeão, vcs ja ganharam a copa do brasil, faz isso pra gente, vai querer ver o palmeiras campeão são paulino?",há 8 meses (editado),3,
​ @SAMUELHCR2. tá si mordendo pq enpatou um time mais pequeno que o seu ksksk😂,há 8 meses (editado),2,
Mais e claro que sim 😎,há 8 meses,3,
 @PedroRicardo-yk9wg  😎🖤❤️,há 8 meses (editado),0,
Sim acredito e muito,há 8 meses,2,
Sim,há 8 meses,1,
 @BELLINGOL623  não amigão só se você usar minha cueca vermelha? Estou brincando tá amigo e o São Paulo vai entregar o jogo pro Flamengo pois o Dorival sente carinho pelo Flamengo e jogadores 😉👍,há 8 meses (editado),2,
