text,time,votes,replies
"Vitória esmeraldina!🟢⚪ Começou a reação do Goiás no campeonato?
🌟 Assine o Premiere: https://gplay.la/ytgepremiere",há 1 ano,110,20
Cuiabá e time de; gigante fraco ou pipoqueiro,há 4 meses (editado),1,
Parabéns Botatogo Patrick de Paula 🤩🤩,há 6 meses,1,
Botafogo ainda vai ter que brigar muito prá ficar no g4 nunca acreditei no título do Botafogo agora que voltou ao normal,há 10 meses,0,
NO INÍCIO DO CAMPEONATO FALEI QUE O BOTAFOGO É CAVALO PARAGUAIO MUITA GENTE ME CHINGOU FALOU UM MONTÃO PARA ME....OLHA O QUE TA ACONTECENDO VAI PERDER O TÍTULO JA PERDEU 😂😂😂😂VASCOOO,há 10 meses,0,
O Botafogo so ta na liderança porque esse ano ninguem quer ganhar o brasileiro so tem time ruim .,há 10 meses,1,
Roubaram de todas as formas para o foguinho e não deu certo.,há 10 meses,0,
Foguim já tá apagando ja,há 10 meses,0,
O bota fogo e qi nem uma vaca em sima do poste 😂não sabe como subiu e não sabe como volta .,há 10 meses,0,
Botafogo acabando o gaz kkk,há 10 meses,0,
Esse time do Botafogo vai lutar pra não cair em 2024,há 10 meses,0,
O velho cavalo paraguaio dando as caras! Kkkkkkk,há 10 meses,0,
"Sim.. vou ficar só nos melhores momentos..
Assinar que nada.. tô fora",há 10 meses,0,
Vasco e Cruzeiro não cai...a camisa pesa demais,há 10 meses,1,
O cavalo paraguaio com estrela no peito,há 10 meses,0,
Botafogo não e pedir muito nois quer joga contra vocês na supercopa do Brasil ajuda nois aí ganha esse brasileiro kkk,há 10 meses,0,
Time de M...esse botafogo...,há 10 meses,0,
Deixe o botafogo sonhar um pouquinho gente.....sonhar não paga......e logo logo o fogão acorda...😀,há 10 meses,1,
"Se o Botafogo perder no 2° turno de novo para o Goiás, virará freguês, e mesmo assim pode levar o título. O Brasileirão é a Champions brasileira.",há 10 meses,0,
se o Botafogo perdeu ja era  pra ser campeao,há 10 meses,0,
Ganhou o time grande,há 1 ano,9,
​ @Comentoemalgunsvideosdoyoutube  nem sempre o time grande ganha do time pequeno como por exemplo Vasco x santos o Santos ganhou do Vasco ou seja o time pequeno venceu o time grande,há 1 ano (editado),2,
Vitória do poderoso Goiás 👏👏👏👏👏👏👏👏,há 1 ano,4,
O Goiás ganhou de virada,há 1 ano,2,
Kkkkkkkkkkkkkkkkkkkkkkkkkkkk,há 1 ano,1,
Eu queria saber o que aconteceu com o estádio do serra dourada que o Goiás não joga mais lá porque?,há 1 ano,3,
​ @viniciusmarques1993  Lá ainda não pode receber jogos da Série A de noite por conta de um tanto de iluminação lá. E os jogos de dia a diretoria fica com orgulho e pensa que a Serrinha dá mais renda,há 1 ano,3,
"Não foi pênalti, mas sim, solada do jogador do Botafogo.",há 1 ano (editado),2,
456° força do Rio foguinho de palha perdeu o gás foi? Refrigerante 3 litros obrigado por segurar a liderança pro Palmeiras verdadeiro e o maior campeão Brasileiro do Brasil ❤,há 1 ano (editado),3,
Foguinho de palha 😅 todos já sabiam que isso ia acabar acontecendo,há 1 ano,3,
O Goiás venceu de virada e ajudou o Palmeiras,há 1 ano,2,
 @rickkk09h  praticamente o serra dourada está abandonado então e isso e uma pena pó maior estádio do centro oeste,há 1 ano,3,
​ @Freddinho-2455 Vasco Time grande e Santos pequeno? A fucking inversão de valores ataca,há 1 ano (editado),1,
Botafogo pequeno começou a desabar kkkkkkkkkkkkkkkk,há 1 ano,2,
Sim,há 1 ano,1,
" @torcedor2737  ajudou o palmeiras como assim o porco ganhou ?
Quem é o lider ?
Aaaata kkkk 🏴🏳🏴🏳🚀🔥🔥🔥🔥",há 1 ano (editado),2,
 @isaquemartins1110  nem saiu do lugar bb kkkkkk segui o lider até sabado ainda kkkkk 🏴🏳🏴🏳🚀🔥🔥🔥🔥🔥,há 1 ano (editado),1,
Roubando até eu,há 1 ano,0,
​ @Meliodas2-2  roubando aonde deixa de ser chorão mlk,há 1 ano,0,
O Botafogo fez igual o Vitória invictos na Série A e B e depois eles perdem para times Goianos 😂😂,há 1 ano,0,
"1:29 1:32 1:33 
Uai! Vale ou não vale?",há 10 meses (editado),0,
Primeiro time que venceu botafogo até agora foi o Goias,há 11 meses,1,
Q Vitória d Goiás esse narrador q narrou esse jogo aí ele é bom narradou ele diz olha ele ai kkkkkk,há 1 ano,0,
Goias vai joga a série 🅱️🅱️🅱️🅱️👻👻👻👻👻👻,há 1 ano,0,
O placar do jogo era para ser Botafogo 1-3 Goiás,há 1 ano,0,
"1 mês depois , cadê a Galera do anti Botafogo que em 5° Rodada ja estaria la no fim da Tabela, Respeita porra aqui é Fogão.",há 1 ano,0,2
"Eu corinthiano torcendo pro bota fogo😂😂😂 nossa situaçao ta tao feia,q temos q torcer contra o gois",há 1 ano,0,
"O primeiro tempo só botafogo, aí depois no segundo tempo deu um apagão, realmente mereceu perder, desse jeito vai ser campeão não",há 1 ano,0,
Agora é so ladeira abaixo kkkkkkkkkkk vão terminar do meio da tabela pra baixo,há 1 ano,1,
Atlético Goianiense e Goias venceram os Líderes que estavam invictos com 5 Vitórias,há 1 ano,2,
