text,time,votes,replies
"Eu venho fazer um apelo pra DIRETORIA DO GOIÁS
Pelo amor de Deus, não deixa o GOIÁS subir mas pra série A nós somos um gatinho na série A
Isso e fato temos que morrer na série B mesmo.",há 8 meses,0,
Tô achando melhor o goleiro titular ser o Mateus Pasinato to achando o Cavichioli muito frangueiro que concorda curti,há 11 meses,0,
Vamo verdão,há 11 meses,0,
Goiás,há 11 meses,0,
América-MG caindo,há 11 meses,0,
"Essa bosta ja caiu, desisto.",há 11 meses,0,
Verdão!,há 11 meses,0,
Perdi meu bilhete aqui 1.5 💩💸,há 11 meses,0,
Técnico estrangeiro mt menos faz milagre  até conhecer o elenco o time  já estará  rebaixado,há 11 meses,0,
Técnico ñ faz milagre ao contrário do  q acham muitos imbecis como o idiota do Otávio de Toledo vai lá treinar o time gênio,há 11 meses,0,
Ame 0x1 goi,há 11 meses,0,
"Lucas kal falhou na marcação, deixou o atacante cabecear sozinho, depois abriu os braços e  começou a reclamar com todo o time.",há 11 meses,1,
América vai cai 😂😂🅱️🅱️🅱️👻👻👻👻,há 11 meses,0,
Que fase do América 😮,há 11 meses,1,
Arena Independência em Belo Horizonte,há 11 meses,0,
Este América é muito ruim,há 11 meses,0,
Torcida do America MG lotou a Kombi...,há 11 meses,0,
O gol foi anulado roubo,há 11 meses,0,
Esse impedimento sulreal,há 11 meses,0,
"America na Sul-americana🦁
America no Brasileirão 🐱",há 11 meses,3,
"Uma coisa é certa o único time que já garantiu presença na serie A pro ano que vem é o Botafogo os outros tudo precisa focar nos 45 primeiro para depois sonhar com algo mais. Inclusive o flamengo, palmeiras e etc.",há 11 meses,0,
"Cê é doido , até cego tá vendo , diretoria tem que aperta esses jogadores aí , tão jogando pra serem os primeiros do campeonato , se virar a tabela de cabeça pra baixo",há 11 meses,0,
"É menino não dá pra entender , tem algo errado , olha a diferença do time do América desse jogo em casa pro jogo de meio de semana fora de casa , só cego pra num ver a diferença da vontade",há 11 meses,0,
Esse América tem filiar em alguma federação Andina aí ele é bom e o Goiás é  o campeão Mineiro alugou o independência 😮.,há 11 meses,1,
Goiás ñ cai,há 11 meses,0,
E aquela arrogância de quem achou que seria o segundo maior de Minas. Desprezou o maior de Minas só pq jogou três séries A seguidas. Rumo à série B!!!,há 11 meses,1,
"Time do Goiás é ruim demais . Porém o América é pior , ainda tirou o RB bragantino da sul Americana 😅 , vai entender 🤷",há 11 meses (editado),1,
Incrível como tem gente que não sabe o que é regra de impedimento no futebol reclamando da anulação do gol do América. Anulação correta e perfeita.,há 11 meses,0,5
"América melhorou, tomou só um gol, normalmente leva 3.",há 11 meses,6,1
GRANDE VITÓRIA DO VERDAO DO CENTRO OESTE,há 11 meses,2,
As duas pontas do campeonato brasileiro se definindo. O Botafogo vai ganhar com rodadas de antecipação. O América será rebaixado com rodadas de antecipação também.,há 11 meses,0,
Boa vitoria do goias contra o América-MG pelo campeonato brasileiro da série a 2023,há 11 meses,1,
Goiás vence fora de casa.   13/08/2023,há 11 meses,0,
"América quer cravar uma vaguinha na B, ctzz",há 11 meses,0,
"Boa meu verdão, o maior do centro oeste 🇳🇬😎",há 11 meses,6,
Goiás rumo a pré libertadores,há 11 meses,0,
Q isso hein Goias!!!!,há 11 meses,0,
"Estadio do america mg deu sorte ao goias, duas vitorias esse ano na casa deles.",há 11 meses (editado),2,
Ótima partida do Goiás,há 11 meses,4,
Como eu que esse gol do idoso não fosse anulado,há 11 meses,0,
Me explica ai,há 11 meses,1,
" @mrsupernanks  Preciso mesmo? Faz isso não,  vc tem o LUXO de olhar no GOOGLE hoje. Povo esquece que GOLEIRO é jogador também kkkkkkkk",há 11 meses (editado),0,
 @juniorgameslives  então se o jogador de linha está antes do goleiro não conta? Eu sou torcedor do goias,há 11 meses (editado),0,
" @mrsupernanks  Não tem diferença entre ""Goleiro e Jogador de linha"" em regra de impedimento, Goleiro é jogador do mesmo jeito, saiu do gol e ficou apenas 1 atrás dele defendendo e o adversário receber atacando é impedimento.",há 11 meses (editado),0,
" @mrsupernanks  Para o vídeo exatamente aos 2:04 minutos, veja a linha de impedimento e lembre da regra.",há 11 meses (editado),0,
😂,há 11 meses,0,
"''Todos os times que joga contra o flamengo vem com a vontade de querer ganhar, Se o america jogasse sempre assim em todos os jogos não estaria na zona de rebaixamento''

                   -Bruno Henrique 2023",há 11 meses,12,
Jogo feio de ver pqp,há 11 meses,0,
A casa de aposta que comprou o America ja ppde fazer o pix. Impossivel nao fazer gol num time ridiculo como Goias.,há 11 meses,0,1
Tudo indica que o América vai ser uns dos rebaixado . Time mineiro não consegue sair da lanterna.,há 11 meses,0,
Esse mequinha ja caiu a muinto tempo  vou ter o przer te fechar a tampa do caixão  ó  felicidade q estou sentindo so deus sabe fui,há 11 meses,0,
O maior e melhor do centro oeste,há 11 meses,2,
"Sendo assim, todo impedimento vai ter que ter dois pra traçar as linha..... Sinceramente isso é um roubo",há 11 meses,2,2
Porque tinha que ter dois dando condição no lance do gol,há 11 meses,0,
Vinícius é um dos piores jogadores que eu já vi,há 11 meses,2,
O maior do Centro Oeste  tá  como ...😂🏆🏆🏆🏆,há 11 meses,7,
"Saí daí gambá, IAV + FJG",há 11 meses,0,
"Goiás deveria jogar só no independência,2 vitórias em menos de 20 dias ..Belo Horizonte capital goiana😅",há 11 meses,5,1
