text,time,votes,replies
"Jon Texto tem razão, olha esse gol, o passe com as mãos",há 3 meses,1,1
"Ngm fala sobre a bola resvalando no braço do Endrick? Jogador no ataque, não importa se foi sem querer, pegou na mão o lance tem que ser parado. Ou então o juiz dava a falta sobre ele. Gol ILEGAL!",há 3 meses,0,
Olhando agora o gol da pra perceber 😅,há 3 meses,0,
P.sao.jorge..londrina..alert.rua.cidao..president.k.nega.bagunsera..v.celular.ligass.ken.onde.alert.favela.,há 4 meses,0,
Gol roubado contra o Bahia,há 5 meses,0,
"se não fosse o goleiro do bahia , era uns 5 a 0 para o verdão",há 7 meses,0,
eu  nao  pulou       para    defender             a  bola     por   isso    o  veiga   fez       o  gol,há 7 meses,0,
P.sao.jorge.londrina..alert.rua.cidao..president.negu.bagunso..v.ligassao.ken.onde.alert.favela..mot.carr.cort.giro.bonba.carne.alert.favela.,há 8 meses,0,
O Murilo jogou muito nesse jogo! 💪🏾🧔🏾,há 8 meses,0,
P.sao.jorge.londrina.alert.rua.cidao..president.v.ligassao..ken.ond..nega aprontou.alert.favela..bonba.carr.mott.carti.giro.alert.fav..orassao.contra.macumba.,há 8 meses,0,
P.sao.jorge.londrina..alert.rua.cidao..president.v.ligassao.ken.ond..orassao.vorta.macunba..carne.musica..alert.fav.cassa.ex........,há 8 meses,0,
P.sao.jorge.londrina..alert.rua.cidao..president.v.ligassao.ken.ond..orlando.waldomir..ten.nego.preguisoz.isco....dos.......alert.favela..carr.mot.musica.carne.alert.fav.bagunsa.hoj.,há 8 meses,0,
P.sao.jorge.londrina.alert.rua.cidao..president..tem.negu.rua.cidao..alert.favela.v.ken.e..alert.favela..v.ligassao.onde.mora.,há 8 meses (editado),0,
P.sao.jorge.londrina..alert.rua.cidao..president.alert.fevela..macunba..orassao.pra.vorta..alert.favela.,há 9 meses,0,
Endrick e craque,há 9 meses,0,
Só baiano di SANT0NIO.DI.JEsus e tário da Bahia a só Bahia mais o Palmeiras ERA prA faze um 4gol marco filipe salvou o Bahia,há 9 meses,0,
Bahia so n tomo um goliadas do PALMEIRA pó causa di marco filipe,há 9 meses,0,
P.sao.jorge.londrina..alert.rua.cidao..president..nege.macunba..orassao.para.vouta..alert.favela..carne.musica.,há 9 meses,0,
1x0,há 9 meses,0,
joga muitooo!,há 9 meses,0,
Kkkkkkkk piada,há 3 meses,0,
"Gol mandrake, a bola bate no braço do Endrick quando ele cai. Arbitragem e VARmeira em campo, dando aquela forcinha para o Palmeiras.",há 9 meses,1,
Endric colocou a mão na bola,há 9 meses,0,
vamo palmeiras acredito que pode ganha o brasileirao,há 9 meses,0,
Dodeca vem ai,há 9 meses,1,
"GOL IRREGULAR. 
ENDRICK SOFRE FALTA E TOCA A MÃO NA BOLA. 
O JUIZ NÃO PODERIA DAR A VANTAGEM. 
OU MARCA A FALTA NO ENDRICK QUE ACONTECEU PRIMEIRO  OU FALTA DO ENDRICK QUE VEIO NA SEQUÊNCIA. O QUE ELE NÃO PODIA ERA DESCONSIDERAR QUE ELE TOCA A MÃO NA BOLA. 😡👎",há 9 meses (editado),1,
Juiz ladrão. Palmeirense,há 9 meses,0,
"Que golpe que o Palmeiras deu no Real Madrid Hein ?!
Esse Endrick não entrega metade do que o Marcos Leonardo entrega. 
Se o Endrick valeu 80 milhões de euros. 
O Marcos Leonardo do Santos vale uns 200 milhões de euros no mínimo 🤦🏻‍♂️!!!
Real Madrid, vai no Procon Reclamar que é PROPAGANDA ENGANOSA🤣🤣🤣🤣🤣🤣🤣🤣👆🏻
DEVOLVE MEU DINHEEEEEEIROOOOOOOO
Kkkkkkkkkkkkkkkkkkkkkkkkk",há 9 meses,1,
muito bom!,há 9 meses,1,
"Era pra ser de pelo menos uns 3 x 0, perdeu muito gol feito.
Mas o que vale são os 3 pontos.
Avanti Palestra.",há 9 meses,0,
Kkkkk os caras se acovardar nem tentaram jogar vergonhoso esi Bahia 2b e logo ali,há 9 meses,0,
Rapaz o Bahia não deu se quer um chute a gol😢,há 9 meses,0,
O bahia não deu chute no gol. Que porra é essa?,há 9 meses,0,
Botafogo vai ser campeão com UM ponto a mais que o parmera rsrs,há 9 meses,0,
Todo palmerense sabe que o palmeiras não vai ser campeão..toda vez que o palmeiras esta atrás ele nunca conseguiu passar um time nas ultimas rodadas pra ser campeão. Sempre tem parmerada...é mais facio o flamengo ser campeão do que o palmeiras..se o botafogo perder todas o palmeiras também perde..,há 9 meses,1,
Tá amassando! Palmeiras campeão outra vez!,há 9 meses,0,
💚,há 9 meses,0,
Rony tirou o gol do Arthur pqp,há 9 meses,0,
Veiga não dominou com a mão antes do hol não?,há 9 meses,0,
porra ainda falam de rony os cara perde uma carrada de gollllllllll,há 9 meses,0,
Bahia com time reserva,há 9 meses,0,
Palmeiras vence e é vice líder.  29/10/23,há 9 meses,0,
"No primeiro lance mostrado (Palmeiras), dava pra tocar, é o cara que recebeu a bola, era só fazer!",há 9 meses,0,
Verdao ganhando confiança de novo E se o Botafogo cochilar a gente pega a liderança  deles.Melhor time do pais.Nao conseguimos chegar na final  da Libertadores  pois não  jogamos  bem e o adversário  aproveitou. Mas vamos estar na próxima  Libertadores  devem chegar bons reforços  até la pra nosso time  ficar mais  forte ainda. E o Dudu que é um jogador  espetacular  ate la ja estará  jogando também. Então  é isso aí é continuarmos torcendo e jogarmos juntos com nosso verdao que vai ser so alegria.,há 9 meses,0,
A falta do dudu e absurda,há 9 meses,1,
Não querem o palmeiras campeão... (Dizem) contra tudo e contra todos kkk,há 9 meses,0,
Meu Deus o Bahia não teve nenhum ataque,há 9 meses,0,
Jogo de um time só,há 9 meses,0,
"Verdão voltou em, agora Odinei Ribeiro narra muito bem. ""Por todos os ângulos pra você""",há 9 meses,0,
Goleiro do banhia tava puro hack,há 9 meses,0,
"Rapaz palmeiras deu mole em perder aqueles 4 jogos direto se não fosse isso era líder hoje, torço pro fluminense mais acho que ainda dá pra ser campeao ainda tem confronto direto com botafogo",há 9 meses,1,
"Bahia tem um grande goleiro, jogou com os reservas.",há 9 meses,1,
Palmeiras Maior Do Mundo 💚🐷💚🐷💚,há 9 meses,0,
Domínio total do Palmeiras.Mas o que o goleirão do Bahia fez nesse jogo foi espetacular tbm,há 9 meses,11,
"Impressionante,todo jogo do Palmeiras sem Mundial tem um jogador do adversário expulso Se o jogo esta complicado,com certeza tera um jogador adversário com cartão vermelho",há 9 meses (editado),0,
Sou Bahia e digo que se n fosse o goleiro sairíamos daí goleados.,há 9 meses,0,
"Cara, como o Rony está atrapalhando o desenvolvimento desse time.",há 9 meses,0,
cadê juba?,há 9 meses,0,
Quem acerta o Palmeiras é o Botafogo no tapetinho ele vai dançar. Fogo. Fogooooooo😂😂😂😂😂😂.,há 9 meses,0,
Palmeiras 1 x 0 Bahia não derrota 🤦‍♂️,há 9 meses,1,
"POBRE TORCEDOR BAHIA, O QUE ESPERAR  TIME DESSE !!!!",há 9 meses,0,
"Frescura dessas jogadores, que jogam com alguma coisa diferente, veiga só joga com uma manga longa",há 9 meses,0,
"E o goleiro do Bahia fazendo cera no segundo tempo.
Será que ele esqueceu que tava 1x0 pro palmeiras .😅",há 9 meses,0,
O Bahia perdeu foi?,há 9 meses,0,
PAL 1x0 bah,há 9 meses,0,
O gol foi do Rafael Veiga faz tempo que eu não vejo Rafael Veiga fazendo gol,há 9 meses,0,
O Richard Rios está jogando para caramba,há 9 meses,0,
Endrick tá jogando bola para caramba,há 9 meses,0,
Vitória do verdão 💚💚🤍🤍,há 9 meses,0,
Pelo gol roubado e cagado do Palmeiras imagino que o árbitro seja o Klaus 😂😂😂😂,há 9 meses,0,
Bahia não entrou em campo.,há 9 meses,0,
Rumo ao Título. Ninguém mais pára o Palmeiras.,há 9 meses,0,
Nossa como esse Breno Lopes perde gol feito na cara do goleiro chuta em cima dele que ruim haha,há 9 meses,0,
qualidade de merda,há 9 meses,0,
Ta liberado a bola pegar na mão?,há 9 meses,0,
"Ceni sabia que iria perder, mandou os reservas, pra descansar os titulares para jogo contra fluminense na fonte",há 9 meses,0,
O Bahia não deu um chute se quer no gol mas o jogador do Palmeiras que sofreu a falta pegou a bola com a mão viu,há 9 meses,0,
ADM PALMEIRENSE 1 GOL 4 MIN DE VIDEO,há 9 meses,0,
"Misericórdia, esse time reserva do Bahia é horrível. Não teve uma uma finalização",há 9 meses,0,
Sem Rony e Gabriel menino o futebol melhorou muito,há 9 meses,0,
O BAHIA JOGANDO COM RESERVAS ERA PARA  O  PALMEIRAS  TER GANHADO COM FOLGA,há 9 meses (editado),0,
Se o goleiro do bahia estive no jogo do são paulo pegando no gol não is dar todo aquele placar kkkkkkk,há 9 meses,0,
Esse pasto do palmeiras é muito feio véi. Deveria ser proibido,há 9 meses,0,
"Vejam esses lances neste vídeo, e tirem suas conclusões qdo Abel disse na coletiva, q faltou jogo COLETIVO:
- 14"" Breno Lopes deveria ter passado para o Endrick, q estava de frente para o gol;
- 1'20"" Endrick prendeu d+ a bola no contra-ataque, e não tocou para os companheiros;

Tem q levar o Arthur numa benzedeira ! O cara só faz gol qdo tem eclipse...",há 9 meses,1,
Não é possível que o Abel não vê que esse Arthur não serve para o Palmeiras.,há 9 meses,0,1
"Veiga é o nome da Emoção 💚💚💚
AVANTI PALESTRA 🇮🇹💚🤍💚",há 9 meses,5,
"Engraçado q ninguém falou q o gol foi irregular,  mão clara , se fosse a favor do bahia seria anulado, e o juiz daria a falta na jogada",há 9 meses,0,
"Obrigado Palmeiras pela ajuda, hoje temos que fazer a nossa parte, se bem que nenhum time ajuda outro, todos tem objetivos. Palmeiras briga ainda pelo título e se não der, a vaga na Libertadores é obrigação garantir.",há 9 meses,0,
"Ainda estamos vivos,vamos seguir lutando,a paz voltou,AVANTI PALESTRA  !!!",há 9 meses,0,
B. Lopes não pode perder um gol desse depois do passe do Murilo.,há 9 meses,0,
"Esse goleiro do BAHIA merece todo crédito por n ser uma lavada,cara pega muito,porém a equipe tá deixando a desejar muitooo,o Bahia quase n chutou a gol!!",há 9 meses,0,
"Esse esquema é perfeito para o endrick porem o abel foi teimoso demais, mas tudo bem",há 9 meses,0,
negocio é secar o botafogo hj e pegar eles na proxima rodada pra diminuir a vantagem,há 9 meses,1,
Jogou MT meu verdão!!! Parabéns Deus abençoe sempre avante palestra,há 9 meses,0,
O ataque do Palmeiras está sofrível. Contra um adversário e muito mais fraco ou acerta o goleiro ou chuta longe do gol.,há 9 meses,0,
"Marcos Felipe, que goleiro seguro. o Bahia acertou na compra de Marcos Felipe, o cara é frio ,seguro .o Bahia não cai .",há 9 meses,1,
Murilo é seleção namoral,há 9 meses,1,
Se o Botafogo vacilar!! O Palmeiras papa este título também. Vai vendo👀,há 9 meses,1,
Se desse para buscar o Botafogo.... mas o Palmeiras esse ano Moscou demais.... tá loco............,há 9 meses,0,
Ninguém falou  do lance do gol né? Que a bola pegou na mão do veiga.,há 9 meses (editado),0,
"Um monte de hipocrisia, a bola pegou na mão de veiga.",há 9 meses,1,
"viado ele tava jogando bem no início, mas agora ele não tá jogando na posição dele, ele e ponta direita, e o Abel coloca ele de meio campo ae e foda vlw",há 9 meses,0,
Esse goleiro do Bahia é bom,há 9 meses,0,
Só deu Palmeiras,há 9 meses,0,
"Ainda bem q o Zé volta no próximo jogo , não q o Fabinho tenha jogado mal mais o jogo contra o Botafogo vai ser pegado e vc extremamente difícil por eles verem q o Palmeiras encostou",há 9 meses,1,
"Ficou nítido q a eliminação para o Time Péssimo do Boca foi Responsabilidade não só d Diretória, mas d Abel , por ter insistido em Rony, Menino, entre outros ...",há 9 meses,0,
"E aquele passe do Murilo, tá doido.",há 9 meses,0,
.,há 9 meses,0,
"Este time do Bahia, estar morto, viu simplesmente, o Palmeiras jogar.",há 9 meses,0,
"Palmeiras, perde muitos gols , o Abel sempre falou em eficiência, e tomadas de decisões erradas.",há 9 meses,0,
E esse Breno Lopes é fome de mais e perde muito gol cara como pode,há 9 meses,0,
Série B 2024 estará cheia de SAF's kkk.,há 9 meses,0,
Nanico x nanico,há 9 meses,0,
Com esse futebol sem iniciativa o Bahia não fica na série A,há 9 meses,0,
"Até que enfim jogaram bem, comparando as partidas que perdemos.",há 9 meses,6,
😢,há 9 meses,0,
Que passe do Murilo no lance do Breno Lopez !  Até que enfim o Abel mudou o estilo de jogo,há 9 meses,0,1
O gigante renasceu agora nem o botafogo vai segurar vai ser vice,há 9 meses,0,
"Impressiona como vcs da Globo sao manipuladores nao mostra os dois penalts claro pro Bahia que n foram carcados 
Mas e isso ms so passa o que te covem kkkk",há 9 meses,0,
"Rock In Roll e Palmeiras...tudo a ver !!!
(Barueri)",há 9 meses,0,
26 chutes ao gol e se teve 1 gol.,há 9 meses,0,
Pode continuar sonhando palmeiras que esse Brasileirão já é do Botafogo e ninguém tira sou Flamenguista mas esse brasileirão já é do Botafogo,há 9 meses,0,
Abel mudou o estilo de jogo? Qual estilo de jogo? Qual era antes?,há 9 meses,0,
O Bahia poupou jogadores. Agora esperando que essa estratégia dê certo para o próximo jogo. A briga vai ser feia até o final,há 9 meses,0,
"Palmeiras melhor doque Só vencer voltou a convencer,  tá jogando muita bola, eu sabia que aqueles jogos ruim eram um curto momento afinal um time que tá muito bem ganhando tudo não muda assim do nada, pena que essa fase custou os títulos relevantes esse ano, mas calma esse time ainda é aquele que foi campeão de tudo ano que vem tem mais, se contratar bem então já era",há 9 meses (editado),0,
"Palmeiras melhor doque SP vencer voltou a convencer,  tá jogando muita bola, eu sabia que aqueles jogos ruim eram um curto momento afinal um time que tá muito bem ganhando tudo não muda assim do nada, pena que essa fase custou os títulos relevantes esse ano, mas calma esse time ainda é aquele que foi campeão de tudo ano que vem tem mais, se contratar bem então já era",há 9 meses,0,
"É impressionante como o potencial de jogadores brasileiros é desperdiçado quando o técnico da Seleção não convoca jogadores como o Murilo, zagueiro do Palmeiras. É muito sólido e completo o garoto.",há 9 meses,13,
SO DEU PALMEIRAS,há 9 meses,0,
"Ótimo jogo do palmeiras 
Os melhores foi só palmeiras, muitas chances poderia ter feito mais",há 9 meses,0,
Eita que o Bahia nao Jogou nada nada. Parece que Ceni ja sabia que ia perder mesmo ai foi com reservas pra no jogo de terca ir com titular em casa. Se vebcer vlw a pena se perder inchou,há 9 meses,0,
"Placar mentiroso, se o Palmeiras não fosse inimigo do gol, era uns 5",há 9 meses (editado),0,
Tá perigando não haver BAVi no campeonato brasileiro da série A ano que vem .,há 9 meses,0,
Até que enfim Palmeiras campeão,há 9 meses,0,
"O zagueiro do Bahia pedindo falta que ele mesmo fez, no lance do gol😅",há 9 meses,0,
Que partidão do Endrick e do goleiro do Bahia 👏👏,há 9 meses,8,
Breno voltou ao normal perdendo gol cara cara com o goleiro 😡😡😡,há 9 meses,0,
"Se for a marca de 75 pontos o palmeiras não pode perder nem empatar mais, se escapar 1 vitória tem que torcer pro bota não vencer 5 jogos e 1 empate, se isso acontecer não consegue mais alcançar o fogão, ao contrário torcer pra parar de pontuar.",há 9 meses,0,
"o juiz deu a vantagem no gol da porcada mas na queda do falso craque ele meteu a mão na bola, então era falta pro Bahia",há 9 meses,0,
Como é que Roni perde um gol desse ?,há 9 meses,0,
"Isso pq falaram um tempo atrás que o endrick não estava jogando mais… mlk msm não marcando gols, joga muito !!!!!!",há 9 meses,4,1
Impressão minha ou o Bahia não deu nenhum chute no gol ? Pelo menos não apareceu ae,há 9 meses,0,
Fúria independente. Cabo de st. Agostinho. PE. Brasil 🇧🇷 😮😮😮😮😮,há 9 meses,0,
"Restam apenas 8 jogos agora, atenção a tds os times, e principal ao bota com 2 a menos tirando contra o verdão, palmeiras ou os debaixo pode ser campeão se vencer td mas também se o botafogo parar de pontuar, senão não adianta nada.",há 9 meses,0,
kkkkkk,há 9 meses,0,
Se o rony jogasse logo do inicio talvez teriamos vencidos de mais,há 9 meses,0,
Juiz lalau,há 9 meses,0,
Rony só por Jesus mto ruim,há 9 meses,0,
"É hoje, Fiel. Hoje tem Corinthians x Santos, é dia de clássico alvinegro, eu acredito até o fim no meu coringão, vai Corinthians 🔥🔥🔥🦅🦅💥",há 9 meses,0,
Marcos Felipe o melhor do jogo,há 9 meses,0,
Gol do Palmeiras não valeu,há 9 meses,0,
"Único representante do estado da Bahia na série A, passando por um momento difícil assim... espero que piore e caia pra D.",há 9 meses,0,1
Breno Lopes voltando ao normal kk,há 9 meses,0,
verdinho se não fosse a Crefisa vocês não teriam ganho nada .,há 9 meses,0,
"Endrick lembra muito Adriano imperador, parece uma camionete 4x4, explosivo, forte, deixa zagueiro no chinelo, e o ""Arthur"" e piada de mal gosto, atacante de série D.",há 9 meses,0,
Começou a caganeira de novo 😂😂,há 9 meses,0,
Parabens Palmeiras.,há 9 meses,0,
Que passe surreal do Murilo,há 9 meses,0,
"men, se o palmeiras ganhar do botafogo agora fica só a 3 pontos de diferença kkkk será que isso vai acontecer? kkk",há 9 meses,0,2
Esse Breno Lopes é um fominha nojento,há 9 meses,0,
Vai caaaaaaaaaaair 🐟🐟🐟🐟,há 9 meses,1,
"dois jogos horrorosos do bahia, se continuar assim a nota de corte do rebaixamento vai ser uns 42 kk vasco tb caiu mto, santos vem de duas goleada ( ganhou do coxa no sufoco e n fez mais q obrigação) goias tb caiu",há 9 meses,0,
O Bahia tava jogando???,há 9 meses,0,
3 pontos pro Botafogo segurar o rabo,há 9 meses,0,
"Agora imagina ( VINI JR, ENDRIK, RODRYGO )  pqp , furacão",há 9 meses,0,1
Vitoria nunca representou a Bahia,há 9 meses,0,
"Botafogo joga hj, c vencer fica 9 pontos d novo kkk",há 9 meses,0,
 @emersonsilva-qg2im confio no cuiabá kkk,há 9 meses (editado),0,
"Endrick 😂😂, Vitor Roque e Marcos Leonardo aí sim.",há 9 meses,0,
Já estou imaginando um ataque ( Vini Jr . Endrik . Rodrygo) seguraaaa,há 9 meses,1,
"Palmeiras jogou bem de novo, o placar não reflete o que foi o jogo.",há 9 meses,0,
Perdeu de golear o Bahia tbn,há 9 meses,0,
O Palmeiras passará o Botafogo e será Campeão Brasileiro 2023,há 9 meses,0,1
"O menino Endrick é veloz, mas tem muito o que melhorar em finalização.",há 9 meses,5,3
"Breno Lopes ta de sacanagem, e esse tanto de jogador fominha hein?! Tem que ver isso aí",há 9 meses,1,
Avvisa pra eles que a gente voltou prr.,há 9 meses,0,
O Rony tem umas tomadas de decisão igual a de juvenil!!!,há 9 meses,1,
Joga muito esse Joaquín Piquerez,há 9 meses,0,
Só deu palmeiras ❤,há 9 meses,0,
"Incrivel como o Rony não sabe definir uma jogada. Quando a bola vem nós pés, ele mergulha pra cabecear. Quando a bola vem na cabeça, ele tenta dominar no peito.",há 9 meses,0,
A defesa do Bahia fez lambança no gol que tomaram do Palmeiras . Eles ainda não estão salvo de serem rebaixados deram mole foram derrotados em casa .,há 9 meses,0,
Bahia vai acabar salvando Santos e Vasco do rebaixamento,há 9 meses,0,
"Na entrevista coletiva o Rogério disse que o bahia poderia ter saído com 1 ponto, time so não tomou 3/4/5 gols porque o goleiro do bahia pegou tudo. Time do bahia não parece ter elenco para ficar na 1.ra divisão",há 9 meses,1,
"Time vertical... Jogando para frente ... Criou muitas chances , a decisao final as vezes ainda nao é a melhor mas... Tem tudo para dar certo nas ultimas rodadas...  Avanti Palestra sempre.",há 9 meses,2,
Como perde gol meu Deus,há 9 meses,0,
"Hoje e Endrick e mais 10 , mesmo que não fassa gol olha o poder de ataque que o palmeiras tem com esse menino , Rios cada dia melhor , Palmeiras voltou a jogar bola , Murillo está dando ums passe muito cabuloso .",há 9 meses,8,1
"Bahia deu um total de  chute no gols rsrs..Defesa do palameiras tá bem acertada, falta só encaixar mais no ataque",há 9 meses,1,1
Tem palmeirense faltando que foi no sufoco os melhores momentos fiz oq foi a partida Palmeiras não correu risco em nenhum momento,há 9 meses,0,
Palmeiras só fez um gol ?? Era pra ser uns 5,há 9 meses,0,
KKKK DUVIDO,há 9 meses,0,
Acho que é nervosismo mesmos. Ele finaliza bem.,há 9 meses,2,
Ele finalizou com a esquerda nao é o pé dominante,há 9 meses,0,
