text,time,votes,replies
"Fala, galera!! O estagi já está com saudades...
O que acharam dessa final do Brasileirão?",há 8 meses,280,23
Pepas? Nunca serão.,há 8 dias,0,
Quem é que não lembra o 6 a 1 do São Paulo no Flamengo?😂,há 11 dias,0,
❤🖤❤️🖤❤️🖤,há 12 dias,0,
Nosso filho,há 1 mês,0,1
Circulação do São Paulo era para falar o calleri que é gol,há 2 meses,0,
1×0,há 3 meses,0,
É bicharada vai sofrer esse ano tbm em😅,há 3 meses,0,
Tava no Morumbi nesse dia... Que dia🇾🇪,há 6 meses (editado),3,
Os incaives,há 6 meses,0,
Ghghghvhgj,há 6 meses,0,
"Pra quem dizia que bater o flamengo na copa do Brasil foi sorte, tá aí a resposta, são Paulo bateu de novo. A mesma coisa aconteceu com o Corinthians, tomou surra do sampa no brasileiro tbm depois de apanhar na copa do Brasil .",há 7 meses (editado),4,
Freguês que fala neh 😂😂😂😂,há 7 meses,0,
"Só tem animal no são Paulo 
Pato ; rato .",há 7 meses,1,
Pablo é um talismã! So atrai desgraça quando joga de titular.,há 7 meses,0,
Flamengo e freguês do Dorival 😂😂,há 7 meses,1,
Vamos FLAMENGO ❤❤,há 7 meses,0,
Primeiramente Deus Com FÉ em deus,há 7 meses,0,
Luciano!!!! 🙌🏾👏🏼👏🏼👏🏼👏🏼,há 7 meses,0,
SÃO PAULO. 1. x  0FLAMENGO.KKKKK,há 7 meses (editado),0,
Eu achei um campeonato brasileiro muito emocionante até o final e vai deixar saudades 😢,há 8 meses,11,
👃👃,há 8 meses,5,
Por enquanto deixa chegar 2024 .kkkkkkkkkk,há 8 meses,5,
Mais o Flamengo caiu em 2014 e viraram a mesa pra derrubar a portuguesa,há 8 meses,10,
Não deu pro Oeste 2.0 😢,há 8 meses,2,
Esse nome de estagiário foi eu que dei em... Parabéns o trabalho e bom descanso. Até já❤,há 8 meses,2,
​ @tiagobarcelosviana2171 Mainha Globo ajudou.,há 8 meses (editado),2,
👃🏻👃🏻👃🏻🤣😂🤣😂🤣😂,há 8 meses,2,
👃👃👃👃😂😂 tudo normal....kkkk,há 8 meses,2,
👃👃👃👃👃,há 8 meses,1,
Varmengo ficando no cheirinho 👃,há 8 meses,3,
​ @tiagobarcelosviana2171 virou nada pesquisa antes de passar vergonha,há 8 meses (editado),0,
Futebol brasileiro tem que mudar,há 8 meses,1,
Vcs irão...calma,há 8 meses,0,
Achei que meteram a mão no São Paulo em alguns jogos como aquele no Maracanã. Arbitragem tem que mudar e passar a ter critério pra ser justa,há 8 meses (editado),0,
 @isaquemartins1110  ano que vem o Corinthians vai ser rebaixado hein amigão kk,há 7 meses (editado),0,
🇦🇷🇦🇱🇦🇱🇦🇱,há 7 meses,0,
🇦🇸,há 7 meses,0,
🇦🇷,há 7 meses,0,
Loop,há 7 meses,0,
T,há 7 meses,0,
​ @torcedor2737 e acertou pode ser rebaixado esse ano kkk,há 6 meses (editado),1,
 @SAMUELHCR2.  verdade amigão,há 6 meses (editado),0,
Sempre será filho,há 8 dias,0,
Luciano e o cara,há 7 meses,0,
o sao paulo  terminou o ano muito bem mas nao posso deixar  de lado o flamengo mesmo pela final da copa do brasil,há 7 meses,0,
José ❤🎉❤🎉❤🎉,há 7 meses,1,
MAIOR CLUBE DO MUNDO ❤️🤍🖤,há 8 meses,0,1
Acho q tem uns 4 anos q o flamengo perde a última rodada incrível pra fechar o fracasso desse ano time de maricas tomem vergonha pra no ano q vem não passar esse mico de novo seus Pipoqueiros de merda🖕🖕🖕,há 8 meses,0,
Isso é Sportv ou Premiere?,há 8 meses,0,
Só deu São Paulo kkkkk,há 8 meses,0,
😊cara 1ue top 0:26,há 8 meses,0,
"4 partidas 2023 sendo:
2 vitórias e 2 empates para o tricolor.
Ano passado não ganhamos 1 😂😂",há 8 meses,0,
Valeu meu Flamengo Giorgian De Arrascaeta ❤🖤,há 8 meses,1,
"Puta que pariu
Peixe caiu
E tenho copa do Brasil
Kkkkk",há 8 meses,0,
Gol São Paulo 🎉,há 8 meses,0,
Flamengo freguês do são Paulo .,há 8 meses,0,
