text,time,votes,replies
jogo chatao ainda bem que nao vim ver esse video né,há 5 meses,0,
Parabéns América-MG Gonzalo Mastriani 🤩🤩,há 7 meses,1,
Quem Quer ser Um Milionário Campeão,há 7 meses,0,
"O América tem potencial pra se consolidar na elite do Futebol Brasileiro, não ficar essa gangorra que é sobe e dese. A gente vê o Cuiabá e o Fortaleza são Clubes menores que o america e sejam o que se tornaram o fortaleza saiu da C pra elite e o Cuiabá se mantém todo amo. O América é uma vergonha um clube que tem a estrutura melhor que o Cuiabá sendo tratado como time pequeno. Era hoje pro América ser a nível nacional a terceira força de minas pra concorrer com rio e são Paulo. Minas a nível nacional só tem Cruzeiro e Atlético. Volto a dizer enquanto Salon fir dirigente do América o América continuará essa gangora sobe e dece.",há 7 meses,1,
O Ademir judiou do meu coração nesse jogo kkkk Bora Baêa,há 8 meses,2,
"Eu odeio América-MG😠💔.
Eu gosto de Botafogo,Fluminense,Vasco,
grêmio,Corinthians,Bahia,Santos,
Atlético-MG e Paris saint germain❤️.
Meu time é flamengo❤️🖤❤️🖤.",há 8 meses (editado),0,
O Bahia pegou o galinho pé duro e meteu a peia,há 8 meses,0,
No final não deu pra ver nada por causa das merdas de ver outros jogos.,há 8 meses,0,
"Uma enxurrada de congratulações ao América, e já enterrava o Bahia pra série B.

Vasco  ,Santos e Cruzeiro,
É meu amigo mais não foi como vcs pensaram não... O Bahia fez a parte dele goleando o galo mineiro.

E empurrando o Santos pela primeira vez a série B.

A lição que aprendemos é essa

Nunca subestime ninguém e nem nada pq de onde menos se espera que sai",há 8 meses,1,
"Bahia, o inimigo da vitoria.",há 8 meses,0,
manda o PiX,há 8 meses,0,
"ESTE É O GRANDE CLUBE,LEVA DE 3 DO FLAMENGO,DE 3 DO PALMEIRAS EM CASA E TCHAU ATLÉTICO.",há 8 meses,0,
"BAÊA ESCAPA NÃO , MESMO QUE ESCAPASSE, O ADHEMIR NÃO IA DEIXAR NÃO.",há 8 meses,1,
"NINGUÉM ME CONVENSE SOBRE A ATUAÇÃO DO ADHEMIR, ESTAVA COMPRADO?SO PODE, NEM MINHA MÃE QUE JA FALECEU PERDERIA UM GOL QUE ELE COLOCOU PRA FORA DE PROPOSITO..NO VIDEO, ELE VIRA O PÉ.",há 8 meses,0,
"E O ADEMIR PORQUE NÃO QUIS FAZER O GOL?VIROU  O PÉ PARA COLOCAR A BOLA PRÁ FORA, DE PROPOSITO?ALI TEM COISA",há 8 meses,0,
"baêa vai cair para segunda divisão. mas não chorem não, em 2025 o Vitoria volta a fazer companhia a voces. saudacoes tricolor de aço",há 8 meses,0,
E hoje quem vai cai pra série 🅱️👻🅱️👻 abri o olho Bahia,há 8 meses,0,
DISSSSGRAAAAAAAÇA,há 8 meses,0,
Realmente o pix fez efeito nesse jogo 😂😂😂😂😂,há 8 meses,0,
America salvou o Santos e o Vasco,há 8 meses,1,
Mala branca e apostas esportivas motivaram muito eles.,há 8 meses,0,
1 vez que o américa mg ganha 😂😂😂,há 8 meses,0,
Esse time do América tem que fica 10anos na série B.,há 8 meses,0,
time horrível esse bahia,há 8 meses,0,
"Santos e Vasco tem essa dívida com o América, na próxima nós os ajudaremos",há 8 meses,2,
"Vascaínos,Santistas e cruzeirenses estão com vc América!Deixo aqui o agradecimento de todos os torcedores ❤",há 8 meses,2,
Obrigado  Coelhao por ajudar o Cruzeirao a raposa masi esperta do Brasil.Aquu w o Cabuloso,há 8 meses,0,
"Que time incompetente esse do Bahia, sinto pelo tocerdor desse time vergonhoso.",há 8 meses,0,
Se o Bahia perdeu para o ameriquinha é porque está tudo esquematizado para o Bahia descer. Na Cara dura. Igual ao esquema sinistro do Botafogo.  Tem que investigar. Tem treta.,há 8 meses,0,
"Bahia de Monique pediu ""série B por favor"" 😂",há 8 meses,0,
O tanto de gol que o Bahia perdeu. Kkkkk,há 8 meses,0,
Como esse Ademir virou profissional ?,há 8 meses,0,
"Todo chute pra esse narrador é cruzado 😂😂😂 ""Bateu cruzado...""",há 8 meses,0,
america so resolveu ganha pra levar o bahia junto pra serie b,há 8 meses,0,
O América Mg decidiu levar o Bahia junto pra série B!,há 8 meses,0,
Viu sardinha kkkk caiu o cyt da shoppe,há 8 meses,0,
joga muitooo!,há 8 meses,1,
Time do Bahia só tem atacante ruim,há 8 meses,0,
Unica explicação é uma Mala Branca no meio,há 8 meses,0,
"O América salva o vasco é o santos é o que eles fazem perdem a partida deles, parece que querem cai.",há 8 meses,0,
"que se lasque santos ou Vasco, o Bahia não vai cair !!",há 8 meses,0,
america não rebaixou o bahia. O bahia se rebaixou. Olha o gol perdido sem goleiro,há 8 meses,0,
"Futebol é isso, time maior ganhando de time menor.",há 8 meses,0,
Oq o treinador do América tava comemorando será ? Time já rebaixado .... Acredito que rola MT dinheiro no futebol triste,há 8 meses,0,
"Bahia 2x1 Atlético.MG
Vasco 3x2 RB Bragantino
Santos 0x0 Fortaleza

Santos rebaixado",há 8 meses,1,
Bahia time cabaço!!! Parabéns Ademir!!!,há 8 meses (editado),0,
linda essa camisa do América-MG...parece da Sassuolo ( Itália) 🙆‍♀️🥅😝,há 8 meses,0,1
Salvou Vasco,há 8 meses,0,
Obrigado América,há 8 meses,0,
Esse jogo q salvou o vasco!!!,há 8 meses,0,
muito bom mesmo!!!,há 8 meses,1,
"América  rebaixou o bahia, bem feito o clube do bahia nunca foi grande sempre foi pequeno.",há 8 meses,0,
"Time que consegue perder para um time já rebaixado, merece ser rebaixado também, me desculpe Bahia mas a série B te aguarda, pelo menos o RC vai treinar um time da série B, coisa que ele deveria ter feito desde o começo da carreira para pegar conhecimento",há 8 meses,0,
GG casas de apostas.,há 8 meses,0,
Esses critérios de pênalti..o do Vasco contra o Corinthians não foi nojo essa arbitragem..,há 8 meses,0,
Bahia perde gol de mais bom pro vasco vms sair dessa,há 8 meses,0,
"Bahia : Ah os caras já estão rebeixado
America : Vou cair, mas te levo junto",há 8 meses,0,
"Palmas pra quem ganhou 50mil no pix kkkkkk
Isso mostra pra gente que tudo tem haver cm dinheiro e não com amor😅",há 8 meses,0,
acho pouco contra o São Paulo  goleiro do Bahia fechou o gol contra o São Paulo pega demais toma vai tarde se for rebaixado,há 8 meses,0,
Tem amor America vc sempre estará no meu coração gotasa ❤kksksk,há 8 meses,0,
Vdd nunca tinha reparado nisso. Lembra o Fürth da Alemanha tbm,há 8 meses,1,
